date,open,high,low,close,volume,dividend,split
2012-11-01,59.47,61.81,58.4,61.17,3454900,0.0,1.0
2012-11-02,61.61,61.61,59.93,60.03,2211300,0.0,1.0
2012-11-05,59.8,59.91,58.77,59.4,2903600,0.0,1.0
2012-11-06,59.4,59.9185,59.39,59.78,1924000,0.0,1.0
2012-11-07,59.23,59.36,58.44,58.56,2309700,0.0,1.0
2012-11-08,58.57,58.58,57.29,57.31,2039400,0.0,1.0
2012-11-09,57.26,58.32,57.23,57.49,2188600,0.0,1.0
2012-11-12,57.55,57.83,57.3,57.45,920100,0.0,1.0
2012-11-13,57.1,58.04,56.87,56.96,1455900,0.0,1.0
2012-11-14,56.92,57.22,56.19,56.34,2101600,0.0,1.0
2012-11-15,56.35,56.86,56.04,56.41,1780900,0.0,1.0
2012-11-16,56.66,56.905,56.14,56.62,2141900,0.0,1.0
2012-11-19,57.35,59.43,56.97,57.7,1972500,0.0,1.0
2012-11-20,57.69,58.25,57.29,58.03,1567900,0.0,1.0
2012-11-21,57.86,58.62,57.86,58.5,2024300,0.0,1.0
2012-11-23,58.91,59.63,58.52,59.62,700700,0.0,1.0
2012-11-26,59.18,59.35,58.89,59.32,1037600,0.0,1.0
2012-11-27,59.44,59.48,58.56,58.69,1809400,0.0,1.0
2012-11-28,57.98,58.33,57.39,58.05,1504500,0.72,1.0
2012-11-29,58.29,58.66,57.97,58.01,1733800,0.0,1.0
2012-11-30,58.2,58.53,57.77,58.25,1370600,0.0,1.0
2012-12-03,58.59,60.02,58.51,59.21,3277500,0.0,1.0
2012-12-04,59.13,59.21,58.3,59.06,2269500,0.0,1.0
2012-12-05,59.0,59.68,58.84,59.33,1976400,0.0,1.0
2012-12-06,59.11,59.79,58.4716,59.77,1501300,0.0,1.0
2012-12-07,59.96,60.75,59.68,60.67,1768400,0.0,1.0
2012-12-10,60.86,60.98,59.96,60.09,1319400,0.0,1.0
2012-12-11,60.15,60.64,60.15,60.4,1015100,0.0,1.0
2012-12-12,60.75,60.98,60.24,60.4,1353400,0.0,1.0
2012-12-13,60.55,60.88,59.79,59.91,769000,0.0,1.0
2012-12-14,59.63,61.17,59.63,60.93,1522200,0.0,1.0
2012-12-17,61.01,61.26,60.59,60.82,1401700,0.0,1.0
2012-12-18,60.76,61.03,60.6511,60.9,1866900,0.0,1.0
2012-12-19,60.86,61.06,59.71,60.34,2033500,0.0,1.0
2012-12-20,60.5,60.5,59.37,59.99,1859800,0.0,1.0
2012-12-21,59.53,60.43,59.355,59.82,2473300,0.0,1.0
2012-12-24,59.8,59.8,58.81,58.95,686100,0.0,1.0
2012-12-26,58.96,59.07,57.805,57.95,1260900,0.0,1.0
2012-12-27,57.95,58.66,57.76,58.45,1712800,0.0,1.0
2012-12-28,58.12,58.75,57.9,57.93,991900,0.0,1.0
2012-12-31,57.67,59.89,57.53,59.86,1483500,0.0,1.0
2013-01-02,60.35,61.02,59.9,61.01,3250900,0.0,1.0
2013-01-03,61.35,62.98,61.35,62.23,2956700,0.0,1.0
2013-01-04,62.3,62.98,62.03,62.69,1895600,0.0,1.0
2013-01-07,62.67,62.67,61.45,62.0,1887200,0.0,1.0
2013-01-08,61.75,62.75,61.62,62.74,1638800,0.0,1.0
2013-01-09,62.79,63.22,62.41,62.49,1349100,0.0,1.0
2013-01-10,62.87,63.82,62.5,63.8,2716800,0.0,1.0
2013-01-11,63.8,64.14,63.54,64.13,1805400,0.0,1.0
2013-01-14,64.04,64.43,63.9,64.23,2079000,0.0,1.0
2013-01-15,64.0,64.35,63.605,64.34,1150600,0.0,1.0
2013-01-16,64.18,64.33,63.9,63.97,1067500,0.0,1.0
2013-01-17,64.44,64.61,63.99,64.23,1497500,0.0,1.0
2013-01-18,63.91,63.92,62.4,62.85,3118800,0.0,1.0
2013-01-22,62.67,62.92,62.36,62.81,1725300,0.0,1.0
2013-01-23,62.6,62.92,62.33,62.4,1337400,0.0,1.0
2013-01-24,62.6,63.0,62.31,62.54,1815400,0.0,1.0
2013-01-25,62.95,63.34,62.7,63.25,1811300,0.0,1.0
2013-01-28,63.31,63.37,62.935,63.14,2077000,0.0,1.0
2013-01-29,63.3,63.88,63.0801,63.72,1597800,0.0,1.0
2013-01-30,63.7,63.99,62.77,62.87,945500,0.0,1.0
2013-01-31,62.11,62.25,60.76,60.93,3921500,0.0,1.0
2013-02-01,61.2,62.97,61.2,62.72,4349400,0.0,1.0
2013-02-04,62.44,62.5,60.99,61.05,2523700,0.0,1.0
2013-02-05,64.3,66.07,62.55,64.71,6229600,0.0,1.0
2013-02-06,64.2499,64.49,63.19,63.33,2026000,0.0,1.0
2013-02-07,63.22,63.37,62.09,63.14,2244700,0.0,1.0
2013-02-08,63.11,63.51,62.44,62.75,1400000,0.0,1.0
2013-02-11,62.4,62.4,61.48,61.78,2458600,0.0,1.0
2013-02-12,61.97,62.78,61.7,62.67,1725600,0.0,1.0
2013-02-13,62.68,63.435,62.65,63.3,1490100,0.0,1.0
2013-02-14,63.25,63.78,62.84,63.54,1208300,0.0,1.0
2013-02-15,63.43,64.1,62.99,63.11,2661500,0.0,1.0
2013-02-19,63.1,63.62,62.5,63.6,2073900,0.0,1.0
2013-02-20,63.9,64.29,63.65,63.71,1917900,0.0,1.0
2013-02-21,63.31,63.86,62.57,63.03,1660100,0.0,1.0
2013-02-22,63.26,63.62,62.66,63.31,1561200,0.0,1.0
2013-02-25,63.64,63.64,61.73,61.78,1409400,0.0,1.0
2013-02-26,61.71,62.468,61.3,62.33,1932900,0.18,1.0
2013-02-27,62.12,64.04,62.09,63.93,1762900,0.0,1.0
2013-02-28,63.66,64.6,63.61,64.1,1850500,0.0,1.0
2013-03-01,63.68,64.48,63.17,64.47,1319600,0.0,1.0
2013-03-04,64.44,64.89,64.09,64.89,1412300,0.0,1.0
2013-03-05,65.0,66.51,64.97,65.85,2299300,0.0,1.0
2013-03-06,65.89,66.17,65.68,65.92,1343600,0.0,1.0
2013-03-07,65.82,66.23,65.68,65.9,1861800,0.0,1.0
2013-03-08,66.0,66.0,64.9,65.7,1622200,0.0,1.0
2013-03-11,65.48,65.96,65.29,65.75,578400,0.0,1.0
2013-03-12,65.94,66.19,65.76,65.83,1538000,0.0,1.0
2013-03-13,65.81,65.89,64.58,65.02,1407000,0.0,1.0
2013-03-14,65.26,65.34,64.88,65.02,1030900,0.0,1.0
2013-03-15,64.74,64.76,63.28,63.34,2207300,0.0,1.0
2013-03-18,62.72,62.972,62.255,62.44,1907800,0.0,1.0
2013-03-19,62.82,63.0,61.87,62.25,2340800,0.0,1.0
2013-03-20,62.76,63.91,62.76,63.75,2398300,0.0,1.0
2013-03-21,63.43,63.64,63.025,63.04,1364900,0.0,1.0
2013-03-22,63.14,64.14,63.11,63.89,1193600,0.0,1.0
2013-03-25,64.01,64.42,63.08,63.28,852400,0.0,1.0
2013-03-26,63.67,64.01,63.31,63.99,870400,0.0,1.0
2013-03-27,63.61,63.64,63.12,63.54,969000,0.0,1.0
2013-03-28,63.79,64.11,63.125,64.03,1361600,0.0,1.0
2013-04-01,63.98,64.13,63.32,63.66,769500,0.0,1.0
2013-04-02,64.11,65.5999,64.05,65.28,1337200,0.0,1.0
2013-04-03,65.32,65.41,64.49,64.88,1587400,0.0,1.0
2013-04-04,64.92,65.16,64.37,64.53,1593400,0.0,1.0
2013-04-05,63.64,63.8,62.29,63.17,2177200,0.0,1.0
2013-04-08,63.07,64.39,63.04,64.39,1189200,0.0,1.0
2013-04-09,64.53,64.6,63.69,64.48,1241000,0.0,1.0
2013-04-10,64.56,65.87,64.45,65.49,1253300,0.0,1.0
2013-04-11,65.57,67.78,65.4,67.56,2414700,0.0,1.0
2013-04-12,67.27,68.26,66.901,68.24,1834800,0.0,1.0
2013-04-15,67.89,68.08,67.04,67.4,2911000,0.0,1.0
2013-04-16,67.8,68.12,67.46,67.89,2062400,0.0,1.0
2013-04-17,67.54,67.68,66.3,66.71,1858400,0.0,1.0
2013-04-18,66.86,67.39,66.49,67.21,1772300,0.0,1.0
2013-04-19,67.63,69.78,66.94,69.67,3549600,0.0,1.0
2013-04-22,69.49,69.82,69.16,69.59,1861800,0.0,1.0
2013-04-23,70.0,70.8,69.56,70.38,2069300,0.0,1.0
2013-04-24,70.28,70.51,68.81,68.82,1270400,0.0,1.0
2013-04-25,69.12,69.85,68.51,68.93,1997400,0.0,1.0
2013-04-26,69.14,69.63,68.83,68.88,1745600,0.0,1.0
2013-04-29,69.24,69.6499,68.72,68.92,1489300,0.0,1.0
2013-04-30,69.05,70.0,68.99,69.35,2088400,0.0,1.0
2013-05-01,69.38,70.9,68.6875,68.79,2884900,0.0,1.0
2013-05-02,67.09,71.78,66.7,70.6,4387900,0.0,1.0
2013-05-03,71.03,71.53,70.29,71.23,2083700,0.0,1.0
2013-05-06,71.07,71.08,69.99,70.0,2332300,0.0,1.0
2013-05-07,69.88,70.5,69.72,70.31,1674200,0.0,1.0
2013-05-08,70.39,70.67,69.95,70.01,1820900,0.0,1.0
2013-05-09,69.98,70.1,69.13,69.27,1599200,0.0,1.0
2013-05-10,69.32,71.09,69.16,71.05,1722000,0.0,1.0
2013-05-13,70.71,71.13,70.34,71.02,1346400,0.0,1.0
2013-05-14,70.92,71.83,70.8501,71.8,1254200,0.0,1.0
2013-05-15,71.7,72.08,71.41,71.63,1338200,0.0,1.0
