date,open,high,low,close,volume,dividend,split
2012-11-01,61.29,62.05,60.97,61.73,2330000,0.0,1.0
2012-11-02,62.01,62.15,61.13,61.14,1437800,0.0,1.0
2012-11-05,61.08,61.23,60.29,60.85,1364400,0.0,1.0
2012-11-06,60.45,61.23,59.95,61.2,3058200,0.0,1.0
2012-11-07,58.12,59.0,57.7,57.85,7688600,0.0,1.0
2012-11-08,57.85,58.03,55.82,56.01,4579100,0.0,1.0
2012-11-09,56.0,56.89,55.85,56.16,4059200,0.0,1.0
2012-11-12,56.36,56.76,55.75,55.85,1674700,0.0,1.0
2012-11-13,55.63,56.97,55.49,55.5,2926400,0.0,1.0
2012-11-14,55.51,55.86,54.15,54.33,3181300,0.0,1.0
2012-11-15,54.41,55.2,54.25,54.64,2993400,0.0,1.0
2012-11-16,54.89,55.72,53.69,55.15,3797500,0.0,1.0
2012-11-19,55.71,56.02,55.27,55.94,2062500,0.0,1.0
2012-11-20,55.9,55.99,55.38,55.62,1517300,0.0,1.0
2012-11-21,55.71,55.93,55.21,55.57,1966300,0.0,1.0
2012-11-23,55.72,56.23,55.55,56.06,806200,0.0,1.0
2012-11-26,55.68,55.68,54.79,55.37,2878700,0.0,1.0
2012-11-27,55.21,55.69,54.86,54.97,3857100,0.0,1.0
2012-11-28,54.73,55.13,54.5,54.77,4678900,0.0,1.0
2012-11-29,54.96,55.81,54.82,55.64,4185100,0.0,1.0
2012-11-30,55.77,56.1,55.26,55.9,4478400,0.0,1.0
2012-12-03,56.02,56.29,55.46,56.08,3027100,0.0,1.0
2012-12-04,56.01,56.52,55.66,55.68,2196700,0.0,1.0
2012-12-05,55.61,56.45,55.33,56.1,1572200,0.2875,1.0
2012-12-06,56.12,56.64,55.88,56.62,1850400,0.0,1.0
2012-12-07,56.67,57.78,56.67,57.78,2418000,0.0,1.0
2012-12-10,57.57,58.36,57.37,58.21,1693800,0.0,1.0
2012-12-11,57.28,59.03,57.28,58.89,2558800,0.0,1.0
2012-12-12,58.93,59.95,58.93,59.24,2980900,0.0,1.0
2012-12-13,59.21,59.61,58.67,59.02,2511500,0.0,1.0
2012-12-14,58.55,58.96,58.03,58.49,2065700,0.0,1.0
2012-12-17,58.51,60.05,58.51,60.03,2296300,0.0,1.0
2012-12-18,59.97,60.6,59.6,60.57,2123100,0.0,1.0
2012-12-19,60.62,60.66,59.91,59.97,1867900,0.0,1.0
2012-12-20,60.22,61.52,60.1,61.51,2422700,0.0,1.0
2012-12-21,61.34,61.65,60.68,61.31,4666800,0.0,1.0
2012-12-24,61.38,61.38,60.68,61.07,788200,0.0,1.0
2012-12-26,61.07,61.53,60.88,61.15,1306000,0.0,1.0
2012-12-27,61.06,61.22,59.94,60.48,1819300,0.0,1.0
2012-12-28,60.14,60.81,59.88,59.89,1169400,0.0,1.0
2012-12-31,59.76,60.97,59.48,60.92,1800400,0.0,1.0
2013-01-02,61.08,61.89,60.44,60.92,2309600,0.0,1.0
2013-01-03,60.24,60.24,58.75,58.93,3352000,0.0,1.0
2013-01-04,59.2,59.69,58.98,59.29,2862500,0.0,1.0
2013-01-07,59.05,59.84,58.83,59.74,1850800,0.0,1.0
2013-01-08,59.71,60.61,59.45,60.07,2923200,0.0,1.0
2013-01-09,60.17,62.11,59.99,62.05,3383900,0.0,1.0
2013-01-10,62.35,62.37,61.36,62.24,3315300,0.0,1.0
2013-01-11,62.56,62.56,61.52,61.75,1985100,0.0,1.0
2013-01-14,61.46,62.69,61.07,62.44,1756400,0.0,1.0
2013-01-15,62.42,63.01,61.78,63.01,1852900,0.0,1.0
2013-01-16,62.79,62.85,61.6,61.85,2327900,0.0,1.0
2013-01-17,62.13,62.62,61.92,62.42,2007800,0.0,1.0
2013-01-18,62.3,62.75,62.02,62.75,1757800,0.0,1.0
2013-01-22,62.76,63.94,62.64,63.8,2186700,0.0,1.0
2013-01-23,64.5,65.0,62.66,64.83,4355100,0.0,1.0
2013-01-24,64.61,65.9,64.1,65.69,2701200,0.0,1.0
2013-01-25,65.78,66.27,65.08,66.17,2478900,0.0,1.0
2013-01-28,66.27,66.31,65.44,66.06,2373300,0.0,1.0
2013-01-29,66.21,66.41,65.72,65.95,3170700,0.0,1.0
2013-01-30,66.14,66.3,65.37,65.39,1949800,0.0,1.0
2013-01-31,65.22,65.28,64.71,64.82,1716300,0.0,1.0
2013-02-01,65.04,65.37,64.53,65.32,1646500,0.0,1.0
2013-02-04,65.0,65.99,64.69,64.82,1482900,0.0,1.0
2013-02-05,65.28,66.2,65.28,65.84,1784200,0.0,1.0
2013-02-06,65.44,66.03,65.29,65.41,1869600,0.0,1.0
2013-02-07,65.56,65.81,64.95,65.7,1387700,0.0,1.0
2013-02-08,65.98,66.62,65.38,66.28,1530500,0.0,1.0
2013-02-11,66.06,66.19,65.4,66.01,894200,0.0,1.0
2013-02-12,66.0,66.25,65.43,66.01,1114900,0.0,1.0
2013-02-13,64.14,64.84,62.85,63.0,5755600,0.0,1.0
2013-02-14,63.07,64.02,62.63,63.29,2622200,0.0,1.0
2013-02-15,63.18,63.81,62.57,62.7,2930700,0.0,1.0
2013-02-19,60.72,62.8,60.41,62.77,3448500,0.0,1.0
2013-02-20,62.8,63.0,62.34,62.58,2462500,0.0,1.0
2013-02-21,62.6,63.16,62.1,62.71,2014200,0.0,1.0
2013-02-22,62.81,63.2,61.68,61.92,1973700,0.0,1.0
2013-02-25,62.17,62.84,61.46,61.46,2361600,0.0,1.0
2013-02-26,61.62,61.98,61.2,61.83,2558300,0.0,1.0
2013-02-27,61.76,62.58,61.52,62.46,1972500,0.0,1.0
2013-02-28,62.42,62.76,61.78,62.18,3173600,0.0,1.0
2013-03-01,61.98,62.47,61.56,61.88,3015700,0.0,1.0
2013-03-04,61.73,62.01,61.52,61.82,1804200,0.0,1.0
2013-03-05,61.97,62.56,61.65,62.27,2047200,0.0,1.0
2013-03-06,62.02,62.57,61.76,62.52,1757500,0.375,1.0
2013-03-07,62.6,63.01,62.57,62.7,1352000,0.0,1.0
2013-03-08,62.88,63.46,62.47,63.03,1367300,0.0,1.0
2013-03-11,63.04,63.68,62.6,63.49,1110100,0.0,1.0
2013-03-12,63.47,64.21,63.35,64.14,1462600,0.0,1.0
2013-03-13,64.14,65.15,63.98,64.84,1749400,0.0,1.0
2013-03-14,64.99,65.28,64.5,65.18,1364600,0.0,1.0
2013-03-15,64.84,65.44,64.6,64.98,2702000,0.0,1.0
2013-03-18,64.54,64.84,64.19,64.55,1523100,0.0,1.0
2013-03-19,64.69,64.9,64.14,64.31,1688100,0.0,1.0
2013-03-20,64.64,64.88,63.91,64.02,1567100,0.0,1.0
2013-03-21,63.65,64.23,63.42,63.63,1819700,0.0,1.0
2013-03-22,63.86,64.04,63.31,64.03,1114900,0.0,1.0
2013-03-25,64.12,64.39,63.8,64.11,1213200,0.0,1.0
2013-03-26,64.37,65.18,64.35,64.76,1213800,0.0,1.0
2013-03-27,64.63,65.61,64.42,65.61,1972600,0.0,1.0
2013-03-28,65.71,66.33,65.4,66.23,2120600,0.0,1.0
2013-04-01,66.29,67.7,65.82,67.44,2971500,0.0,1.0
2013-04-02,69.25,70.58,68.24,68.46,4167500,0.0,1.0
2013-04-03,68.35,69.34,68.12,68.15,2112200,0.0,1.0
2013-04-04,68.15,69.25,67.94,68.49,1915000,0.0,1.0
2013-04-05,68.2,68.39,67.51,67.99,2392600,0.0,1.0
2013-04-08,68.01,68.13,67.04,67.72,1537500,0.0,1.0
2013-04-09,67.89,68.93,67.75,68.48,1722200,0.0,1.0
2013-04-10,68.86,69.88,68.6,69.46,1608400,0.0,1.0
2013-04-11,69.48,70.14,69.26,70.06,1998800,0.0,1.0
2013-04-12,69.95,70.44,69.33,69.79,1343900,0.0,1.0
2013-04-15,69.46,69.7,68.26,68.28,1351800,0.0,1.0
2013-04-16,68.81,70.52,68.69,70.16,2444600,0.0,1.0
2013-04-17,69.67,70.36,68.66,69.03,2173100,0.0,1.0
2013-04-18,68.2,68.41,66.68,67.18,2505100,0.0,1.0
2013-04-19,67.47,68.77,67.39,68.71,1500300,0.0,1.0
2013-04-22,68.71,68.77,67.98,68.25,867200,0.0,1.0
2013-04-23,68.6,69.64,68.32,69.33,1729900,0.0,1.0
2013-04-24,72.0,74.43,71.39,73.33,4394100,0.0,1.0
2013-04-25,73.65,74.27,73.18,73.75,3121400,0.0,1.0
2013-04-26,73.43,74.21,72.38,72.87,1807300,0.0,1.0
2013-04-29,73.26,73.98,72.75,72.9,1715800,0.0,1.0
2013-04-30,73.22,73.22,71.65,72.92,2649200,0.0,1.0
2013-05-01,72.5,73.53,72.05,72.27,1641000,0.0,1.0
2013-05-02,72.62,73.63,72.53,73.42,2354500,0.0,1.0
2013-05-03,73.83,74.32,73.65,73.82,1741800,0.0,1.0
2013-05-06,73.82,74.26,73.37,73.51,1070800,0.0,1.0
2013-05-07,73.64,75.04,73.47,74.71,2329800,0.0,1.0
2013-05-08,74.29,75.35,74.18,75.05,1740600,0.0,1.0
2013-05-09,74.67,75.49,74.51,75.39,1527000,0.0,1.0
2013-05-10,75.39,75.98,75.24,75.89,1332700,0.0,1.0
2013-05-13,75.53,76.03,75.16,76.01,1470100,0.0,1.0
2013-05-14,76.51,78.01,76.51,78.0,3708700,0.0,1.0
2013-05-15,77.98,78.1,77.4,77.83,1768500,0.0,1.0
2013-05-16,77.42,77.8,76.79,76.84,1578000,0.0,1.0
2013-05-17,76.82,77.89,76.82,77.81,1483600,0.0,1.0
2013-05-20,77.79,78.33,77.32,77.49,1584700,0.0,1.0
2013-05-21,77.53,78.66,77.24,78.1,1531100,0.0,1.0
2013-05-22,78.02,79.58,77.68,77.81,1735800,0.0,1.0
2013-05-23,77.21,78.1,77.05,77.98,1305700,0.0,1.0
2013-05-24,77.34,77.52,76.18,76.98,1547300,0.0,1.0
2013-05-28,77.83,79.15,77.7,78.72,1493400,0.0,1.0
2013-05-29,78.13,78.5,77.72,78.0,1404300,0.0,1.0
