date,open,high,low,close,volume,dividend,split
2012-11-01,59.02,60.67,58.5,60.64,1432100,0.0,1.0
2012-11-02,61.0,61.0,59.1,59.3,1445400,0.0,1.0
2012-11-05,58.81,60.12,58.76,60.06,1108000,0.0,1.0
2012-11-06,59.45,60.72,59.45,60.48,1279400,0.0,1.0
2012-11-07,59.47,60.39,58.95,60.04,1721500,0.0,1.0
2012-11-08,59.84,60.07,58.04,58.05,1127200,0.0,1.0
2012-11-09,57.89,58.86,57.47,57.53,1151000,0.0,1.0
2012-11-12,57.77,57.92,56.76,57.22,912200,0.0,1.0
2012-11-13,56.84,57.96,56.84,57.18,1467300,0.0,1.0
2012-11-14,57.34,57.395,55.32,55.5,1790600,0.0,1.0
2012-11-15,55.57,56.0199,54.65,55.05,1437400,0.0,1.0
2012-11-16,55.6,56.04,54.68,55.69,1208000,0.0,1.0
2012-11-19,56.71,58.45,56.61,58.37,2178400,0.0,1.0
2012-11-20,58.17,59.25,57.9,58.65,1578200,0.0,1.0
2012-11-21,58.7,59.14,58.37,59.12,1540200,0.0,1.0
2012-11-23,59.6,60.09,58.99,60.05,478900,0.0,1.0
2012-11-26,59.41,59.61,58.62,59.25,1515800,0.0,1.0
2012-11-27,59.73,60.18,58.99,59.03,1644800,0.0,1.0
2012-11-28,58.7,60.03,58.02,59.94,2215400,0.0,1.0
2012-11-29,60.43,60.88,59.96,60.62,1786900,0.0,1.0
2012-11-30,60.53,60.96,60.32,60.85,1496600,0.0,1.0
2012-12-03,61.35,61.77,59.94,59.99,1815900,0.0,1.0
2012-12-04,59.99,60.73,59.46,59.66,951100,0.0,1.0
2012-12-05,59.59,60.48,59.32,60.27,1375900,0.0,1.0
2012-12-06,60.0,60.88,59.618,60.85,1282500,0.0,1.0
2012-12-07,61.04,61.95,60.96,61.85,1506300,0.0,1.0
2012-12-10,61.69,63.05,61.49,62.71,2358500,0.0,1.0
2012-12-11,63.5,64.12,61.73,62.16,2203300,0.0,1.0
2012-12-12,62.55,64.09,61.7,63.65,3646600,0.0,1.0
2012-12-13,63.91,64.64,62.865,63.76,3187400,0.3,1.0
2012-12-14,63.67,65.07,63.67,64.68,2007200,0.0,1.0
2012-12-17,65.16,65.77,64.7,65.76,2498600,0.0,1.0
2012-12-18,65.89,66.47,65.55,66.39,1767900,0.0,1.0
2012-12-19,66.65,66.65,65.65,65.73,1396100,0.0,1.0
2012-12-20,65.69,67.17,65.12,66.65,2389500,0.0,1.0
2012-12-21,65.2,66.35,65.2,66.0,6545900,0.0,1.0
2012-12-24,65.68,67.05,65.5,66.72,481600,0.0,1.0
2012-12-26,66.99,67.29,66.56,66.7,950700,0.0,1.0
2012-12-27,66.89,67.3,65.665,66.72,1072500,0.0,1.0
2012-12-28,66.15,66.785,65.818,66.05,742800,0.0,1.0
2012-12-31,66.06,68.22,66.04,68.05,1511100,0.0,1.0
2013-01-02,69.89,70.43,69.44,69.78,2208200,0.0,1.0
2013-01-03,69.91,69.97,68.7003,68.88,1308200,0.0,1.0
2013-01-04,68.83,70.28,68.8,70.16,2678500,0.0,1.0
2013-01-07,69.88,70.42,69.74,70.14,1179900,0.0,1.0
2013-01-08,70.01,70.4,69.39,69.51,1590800,0.0,1.0
2013-01-09,69.87,70.63,69.511,70.58,1211600,0.0,1.0
2013-01-10,71.12,71.2,69.942,71.17,1547100,0.0,1.0
2013-01-11,71.25,71.48,70.37,70.52,1021300,0.0,1.0
2013-01-14,70.4,70.74,70.04,70.5,877700,0.0,1.0
2013-01-15,70.05,70.42,69.79,70.18,1230600,0.0,1.0
2013-01-16,69.89,70.09,69.57,70.0,712600,0.0,1.0
2013-01-17,70.49,72.01,70.45,71.52,1501400,0.0,1.0
2013-01-18,72.11,72.11,70.82,71.22,1200800,0.0,1.0
2013-01-22,71.35,71.83,71.11,71.46,894500,0.0,1.0
2013-01-23,71.3,71.59,70.47,70.95,1413000,0.0,1.0
2013-01-24,71.17,72.0201,70.89,71.24,920300,0.0,1.0
2013-01-25,71.47,71.93,70.84,71.9,979300,0.0,1.0
2013-01-28,71.88,71.93,70.97,71.63,1183600,0.0,1.0
2013-01-29,71.49,72.53,71.29,72.47,1006300,0.0,1.0
2013-01-30,72.25,72.72,71.32,71.51,1507900,0.0,1.0
2013-01-31,71.1,72.43,70.79,71.15,2130700,0.0,1.0
2013-02-01,72.13,74.305,71.1,73.5,2824700,0.0,1.0
2013-02-04,72.92,73.09,71.78,72.48,1676700,0.0,1.0
2013-02-05,73.02,73.3,72.56,72.88,1423200,0.0,1.0
2013-02-06,72.57,73.0,72.15,72.77,1086600,0.0,1.0
2013-02-07,72.93,73.03,71.57,72.47,965800,0.0,1.0
2013-02-08,72.51,73.32,72.45,73.31,911100,0.0,1.0
2013-02-11,73.34,74.27,73.174,74.13,1033900,0.0,1.0
2013-02-12,74.1,74.36,73.37,73.93,991200,0.0,1.0
2013-02-13,74.26,75.18,74.13,74.78,1411700,0.0,1.0
2013-02-14,74.43,74.55,73.76,74.08,1904100,0.0,1.0
2013-02-15,74.14,74.71,73.05,73.46,2525800,0.0,1.0
2013-02-19,73.8,73.97,73.29,73.43,1105700,0.0,1.0
2013-02-20,73.31,73.41,70.2,70.22,1976600,0.0,1.0
2013-02-21,70.14,70.21,67.27,68.72,3844400,0.0,1.0
2013-02-22,69.26,71.73,69.25,71.69,2124700,0.0,1.0
2013-02-25,71.78,71.78,67.94,68.0,2332400,0.0,1.0
2013-02-26,68.47,68.93,67.41,68.57,1954700,0.0,1.0
2013-02-27,68.9,71.34,68.8,70.79,2044500,0.0,1.0
2013-02-28,70.78,71.22,69.72,69.73,1730400,0.0,1.0
2013-03-01,69.09,70.02,68.29,69.71,2630000,0.0,1.0
2013-03-04,69.3,70.03,68.55,69.78,1537100,0.0,1.0
2013-03-05,70.28,71.48,70.02,71.12,1333900,0.0,1.0
2013-03-06,71.65,72.31,71.37,72.0,1177200,0.0,1.0
2013-03-07,71.87,72.26,71.3,72.02,1200100,0.0,1.0
2013-03-08,72.59,73.13,71.7699,72.23,1240900,0.0,1.0
2013-03-11,72.19,72.8,71.59,72.78,818700,0.0,1.0
2013-03-12,72.59,73.42,72.35,73.16,1033900,0.0,1.0
2013-03-13,73.04,73.05,72.18,72.72,804300,0.3,1.0
2013-03-14,73.22,73.58,72.922,73.25,739000,0.0,1.0
2013-03-15,72.81,73.41,72.53,72.6,1230900,0.0,1.0
2013-03-18,71.54,73.005,71.54,72.83,1134800,0.0,1.0
2013-03-19,72.96,73.56,71.8,72.77,903600,0.0,1.0
2013-03-20,73.21,73.83,72.96,73.18,661700,0.0,1.0
2013-03-21,72.09,72.24,70.46,70.48,2770900,0.0,1.0
2013-03-22,70.91,71.15,69.6,70.11,1772000,0.0,1.0
2013-03-25,70.55,70.67,68.88,68.99,1423800,0.0,1.0
2013-03-26,69.47,69.94,68.93,69.23,1466900,0.0,1.0
2013-03-27,68.85,69.33,67.77,69.07,1962500,0.0,1.0
2013-03-28,69.23,70.48,69.12,69.87,1325100,0.0,1.0
2013-04-01,69.73,69.91,68.97,69.14,1164800,0.0,1.0
2013-04-02,69.4,69.42,68.03,68.2,1570100,0.0,1.0
2013-04-03,68.29,68.49,66.11,66.47,2513200,0.0,1.0
2013-04-04,66.64,67.85,66.56,67.52,1688600,0.0,1.0
2013-04-05,66.27,68.255,65.71,68.14,1905100,0.0,1.0
2013-04-08,68.18,68.22,67.12,67.86,1520600,0.0,1.0
2013-04-09,67.97,68.84,67.61,68.55,1421400,0.0,1.0
2013-04-10,68.67,68.75,67.3901,67.9,1669600,0.0,1.0
2013-04-11,68.1,69.24,67.64,68.29,1031500,0.0,1.0
2013-04-12,67.8,68.03,66.74,68.0,881600,0.0,1.0
2013-04-15,68.0,68.15,65.44,65.59,2059500,0.0,1.0
2013-04-16,66.51,68.0,66.25,67.87,1541800,0.0,1.0
2013-04-17,66.97,67.14,66.33,66.97,1320900,0.0,1.0
2013-04-18,67.14,67.52,65.56,66.35,1926000,0.0,1.0
2013-04-19,67.36,70.85,67.36,69.8,3426600,0.0,1.0
2013-04-22,69.88,70.01,68.27,69.32,1571900,0.0,1.0
2013-04-23,69.48,70.67,69.29,70.6,1267600,0.0,1.0
2013-04-24,70.88,71.955,70.6,71.85,1849300,0.0,1.0
2013-04-25,72.6,73.65,72.25,72.65,2635000,0.0,1.0
2013-04-26,72.17,73.0,68.62,68.97,2655100,0.0,1.0
2013-04-29,68.51,68.51,66.79,68.27,2263400,0.0,1.0
2013-04-30,68.11,68.26,66.63,66.65,2372600,0.0,1.0
2013-05-01,66.22,66.26,63.48,64.06,4598100,0.0,1.0
2013-05-02,64.12,66.29,64.12,66.03,2723300,0.0,1.0
2013-05-03,67.29,68.89,67.22,67.89,1967600,0.0,1.0
2013-05-06,68.01,68.67,67.461,68.52,1065000,0.0,1.0
2013-05-07,68.97,69.5299,68.42,69.24,1111600,0.0,1.0
2013-05-08,69.16,69.42,68.1,68.6,1174500,0.0,1.0
2013-05-09,68.65,68.69,66.76,66.84,2168300,0.0,1.0
2013-05-10,66.89,67.39,66.61,67.24,1488500,0.0,1.0
2013-05-13,66.92,67.33,66.1,66.56,1248200,0.0,1.0
2013-05-14,66.51,67.53,66.5,67.44,1151000,0.0,1.0
2013-05-15,67.34,70.84,67.19,70.83,3457500,0.0,1.0
2013-05-16,70.57,72.15,70.57,71.4,3176000,0.0,1.0
2013-05-17,72.05,73.96,71.81,73.95,2786100,0.0,1.0
2013-05-20,73.64,73.99,73.12,73.37,1645100,0.0,1.0
2013-05-21,73.36,73.7,73.01,73.15,1247700,0.0,1.0
2013-05-22,72.84,74.62,71.86,72.44,1496300,0.0,1.0
2013-05-23,71.56,72.81,70.7,72.11,1044800,0.0,1.0
2013-05-24,71.38,72.19,70.89,71.9,824100,0.0,1.0
2013-05-28,72.98,73.35,71.65,71.88,1093500,0.0,1.0
2013-05-29,71.38,72.14,71.12,71.89,952600,0.0,1.0
2013-05-30,72.0,72.44,71.44,71.92,919000,0.0,1.0
2013-05-31,71.72,73.47,71.44,71.72,1278400,0.0,1.0
2013-06-03,71.91,72.64,70.97,72.34,1086200,0.0,1.0
2013-06-04,72.15,73.56,70.795,71.11,1733600,0.0,1.0
