date,open,high,low,close,volume,dividend,split
2012-11-01,48.84,50.69,48.58,50.38,5362000,0.0,1.0
2012-11-02,50.69,50.89,49.73,49.81,4206300,0.0,1.0
2012-11-05,49.91,50.57,49.6,50.5,4353500,0.0,1.0
2012-11-06,52.3,52.81,51.33,51.46,5969900,0.0,1.0
2012-11-07,50.91,51.19,50.21,50.28,4228700,0.0,1.0
2012-11-08,50.21,50.46,49.65,49.78,3497000,0.0,1.0
2012-11-09,49.55,50.92,49.48,50.15,3951900,0.0,1.0
2012-11-12,50.2,50.7,50.07,50.34,2474300,0.0,1.0
2012-11-13,50.0,50.5567,49.832,49.91,4122500,0.0,1.0
2012-11-14,49.8,49.85,48.18,48.37,4304600,0.41,1.0
2012-11-15,48.31,48.735,47.92,48.14,3398400,0.0,1.0
2012-11-16,48.15,48.34,47.63,48.19,3910600,0.0,1.0
2012-11-19,49.09,49.41,48.71,48.95,3510300,0.0,1.0
2012-11-20,48.35,48.64,47.74,48.49,4444700,0.0,1.0
2012-11-21,48.77,48.8,48.295,48.55,2568200,0.0,1.0
2012-11-23,48.71,49.12,48.68,49.12,1473700,0.0,1.0
2012-11-26,48.72,49.05,48.53,48.86,3881700,0.0,1.0
2012-11-27,48.89,49.89,48.8,49.2,6822200,0.0,1.0
2012-11-28,49.0,50.0,48.85,49.97,3590400,0.0,1.0
2012-11-29,50.15,50.84,49.98,50.58,4732200,0.0,1.0
2012-11-30,50.52,50.78,50.2,50.23,4183200,0.0,1.0
2012-12-03,50.56,50.65,49.54,49.6,2707900,0.0,1.0
2012-12-04,49.65,49.9,49.385,49.74,2889000,0.0,1.0
2012-12-05,49.84,50.95,49.83,50.65,4124000,0.0,1.0
2012-12-06,50.64,50.8,50.28,50.8,4261400,0.0,1.0
2012-12-07,50.97,51.2,50.6501,50.85,2216100,0.0,1.0
2012-12-10,50.85,51.2999,50.79,51.23,2251500,0.0,1.0
2012-12-11,51.54,51.775,51.24,51.52,2711900,0.0,1.0
2012-12-12,51.71,52.14,51.44,51.62,4278800,0.0,1.0
2012-12-13,51.53,52.02,51.42,51.66,2970300,0.0,1.0
2012-12-14,51.4,52.17,51.4,51.75,3746000,0.0,1.0
2012-12-17,52.03,52.27,51.85,52.25,2783300,0.0,1.0
