date,open,high,low,close,volume,dividend,split
2012-11-01,116.49,118.6,116.04,116.88,1831000,0.0,1.0
2012-11-02,117.77,118.51,114.69,115.2,2503400,0.0,1.0
2012-11-05,114.55,117.07,114.55,116.81,2189500,0.0,1.0
2012-11-06,123.39,124.49,121.3,121.98,4274200,0.0,1.0
2012-11-07,120.0,120.95,119.33,120.0,3015900,0.0,1.0
2012-11-08,119.87,120.77,115.71,115.77,2256800,0.0,1.0
2012-11-09,115.63,116.77,114.45,114.52,2492300,0.0,1.0
2012-11-12,115.09,115.6,113.44,114.76,1088800,0.0,1.0
2012-11-13,113.9,117.14,113.69,115.28,1942400,0.0,1.0
2012-11-14,115.38,115.9,113.0,113.36,1550000,0.0,1.0
2012-11-15,113.44,116.55,113.32,116.16,2379000,0.0,1.0
2012-11-16,117.25,117.46,114.79,116.67,2628900,0.0,1.0
2012-11-19,118.21,120.8,117.82,118.61,1993000,0.0,1.0
2012-11-20,118.39,118.54,116.55,117.4,1314700,0.0,1.0
2012-11-21,117.79,118.54,117.4004,118.14,1115100,0.0,1.0
2012-11-23,118.5,119.15,117.65,118.99,584400,0.0,1.0
2012-11-26,117.45,117.83,115.6,116.65,1251200,0.0,1.0
2012-11-27,115.54,116.06,114.44,115.08,2559200,0.0,1.0
2012-11-28,114.09,116.59,112.72,116.35,1611600,0.0,1.0
2012-11-29,117.6,118.42,116.81,117.64,1419000,0.0,1.0
2012-11-30,117.4,118.41,117.046,117.62,1448600,0.0,1.0
2012-12-03,118.24,119.1,117.13,117.24,1286200,0.0,1.0
2012-12-04,116.94,118.0,116.69,117.18,900700,0.0,1.0
2012-12-05,117.5,119.55,117.344,118.72,1720600,0.0,1.0
2012-12-06,118.29,118.75,117.0,118.36,1208300,0.0,1.0
2012-12-07,118.71,118.71,116.93,117.35,1335200,0.0,1.0
2012-12-10,117.2,117.86,116.57,117.73,1066200,0.0,1.0
2012-12-11,118.32,119.5,117.97,118.73,1358000,0.0,1.0
2012-12-12,119.2,121.37,118.72,120.74,1811300,0.0,1.0
2012-12-13,120.31,120.65,118.35,118.51,1894600,0.0,1.0
2012-12-14,118.38,119.8,118.04,118.99,1200900,0.0,1.0
2012-12-17,119.39,120.98,118.78,120.97,1249800,0.0,1.0
2012-12-18,121.08,124.25,121.0,123.92,1848100,0.0,1.0
2012-12-19,123.6,124.02,122.44,122.45,1519400,0.0,1.0
2012-12-20,122.79,124.5,122.4,124.37,1526800,0.0,1.0
2012-12-21,122.42,124.1625,121.88,123.57,2333200,0.0,1.0
2012-12-24,123.11,124.2,122.68,122.77,780400,0.0,1.0
2012-12-26,123.14,123.15,121.22,121.55,1048200,0.0,1.0
2012-12-27,121.98,122.15,119.56,121.63,1598300,0.0,1.0
2012-12-28,120.56,120.93,118.5,118.61,1098100,0.0,1.0
2012-12-31,118.11,120.98,118.0,120.79,1780900,0.0,1.0
2013-01-02,123.4,123.68,121.44,123.68,1832600,0.0,1.0
2013-01-03,123.49,125.49,122.47,124.18,1464200,0.0,1.0
2013-01-04,124.23,126.25,123.95,125.8,1259300,0.0,1.0
2013-01-07,125.21,126.1,124.15,125.99,1428900,0.0,1.0
2013-01-08,125.75,125.99,123.18,124.14,1561200,0.0,1.0
2013-01-09,124.36,125.17,123.69,124.63,877600,0.0,1.0
2013-01-10,125.4,126.13,124.56,126.1,1138500,0.0,1.0
2013-01-11,126.06,126.45,125.0,125.63,1132300,0.0,1.0
2013-01-14,125.65,126.28,124.23,124.66,1023400,0.0,1.0
2013-01-15,124.01,125.5,123.75,125.1,1673500,0.17,1.0
2013-01-16,124.83,125.5,124.39,125.37,1504900,0.0,1.0
2013-01-17,126.0,126.55,124.89,126.03,1724500,0.0,1.0
2013-01-18,126.34,127.08,125.22,126.79,1766400,0.0,1.0
2013-01-22,126.95,127.34,124.9,126.5,1915700,0.0,1.0
2013-01-23,126.16,126.59,124.5,124.75,1141000,0.0,1.0
2013-01-24,124.9,126.4,124.79,124.99,1362000,0.0,1.0
2013-01-25,125.37,126.54,124.54,125.27,1182500,0.0,1.0
2013-01-28,125.81,125.81,123.55,124.2,1359200,0.0,1.0
2013-01-29,124.66,127.19,124.01,126.94,1410700,0.0,1.0
2013-01-30,127.17,129.43,126.17,126.32,1597500,0.0,1.0
2013-01-31,125.5,125.97,124.5,124.98,1764000,0.0,1.0
2013-02-01,126.64,128.79,124.99,128.6,1683500,0.0,1.0
2013-02-04,127.67,127.79,126.6,127.29,1340600,0.0,1.0
2013-02-05,128.65,129.27,127.905,128.82,1022200,0.0,1.0
2013-02-06,127.73,129.9199,127.53,129.67,864700,0.0,1.0
2013-02-07,129.72,130.11,128.05,129.77,1157900,0.0,1.0
2013-02-08,130.1401,133.39,130.14,133.28,1801100,0.0,1.0
2013-02-11,133.29,133.685,132.12,133.34,1698100,0.0,1.0
2013-02-12,133.5,134.69,132.8,134.1,1731200,0.0,1.0
2013-02-13,134.1,134.4,132.7,133.6,1589000,0.0,1.0
2013-02-14,138.07,138.2,133.08,133.33,2956000,0.0,1.0
2013-02-15,133.26,134.0,127.78,129.19,3171600,0.0,1.0
2013-02-19,130.56,131.58,130.04,131.4,1967700,0.0,1.0
2013-02-20,131.43,131.74,127.32,127.39,2471800,0.0,1.0
2013-02-21,126.49,127.06,123.55,124.04,2914100,0.0,1.0
2013-02-22,125.0,125.84,123.69,125.34,2273100,0.0,1.0
2013-02-25,125.67,126.96,121.65,121.77,2595300,0.0,1.0
2013-02-26,122.37,123.85,120.7601,123.5,1964300,0.0,1.0
2013-02-27,123.11,127.13,122.77,126.92,2359500,0.0,1.0
2013-02-28,126.44,127.9599,125.6,125.71,2163100,0.0,1.0
2013-03-01,124.64,125.35,122.23,123.0,2863500,0.0,1.0
2013-03-04,122.78,122.88,121.0,121.79,1876100,0.0,1.0
2013-03-05,123.08,125.05,122.42,124.7,1957800,0.0,1.0
2013-03-06,125.18,125.95,124.32,125.6,2044400,0.0,1.0
2013-03-07,125.75,128.231,125.37,127.56,1221300,0.0,1.0
2013-03-08,128.19,128.92,127.49,128.68,1224600,0.0,1.0
2013-03-11,128.33,129.37,127.411,128.66,1042000,0.0,1.0
2013-03-12,129.5,130.4,129.12,130.08,1292800,0.0,1.0
2013-03-13,130.0,131.177,129.49,129.88,1317400,0.0,1.0
2013-03-14,130.49,132.01,130.27,131.83,1423900,0.0,1.0
2013-03-15,131.47,132.84,130.41,130.42,2486100,0.0,1.0
2013-03-18,128.91,130.42,128.32,128.93,1386700,0.0,1.0
2013-03-19,129.1,129.52,126.71,127.27,1256800,0.0,1.0
2013-03-20,128.36,128.798,126.17,126.24,1892400,0.0,1.0
2013-03-21,125.27,126.85,123.85,123.9,2015100,0.0,1.0
2013-03-22,124.44,125.07,123.62,124.98,1395200,0.0,1.0
2013-03-25,125.77,126.8,123.03,123.92,1543500,0.0,1.0
2013-03-26,124.48,129.39,124.37,128.9,2432600,0.0,1.0
2013-03-27,127.89,128.67,126.19,128.2,1856900,0.0,1.0
2013-03-28,128.17,129.15,127.4301,128.07,1519700,0.0,1.0
2013-04-01,128.07,128.83,126.63,128.51,1128700,0.0,1.0
2013-04-02,128.8,130.0499,128.035,129.05,1552600,0.0,1.0
2013-04-03,129.05,129.42,125.75,126.1,1667700,0.0,1.0
2013-04-04,126.07,126.07,122.63,122.86,2372900,0.0,1.0
2013-04-05,121.0,124.87,120.76,124.75,2128200,0.0,1.0
2013-04-08,124.89,127.22,124.53,126.89,1262600,0.0,1.0
2013-04-09,127.07,129.21,126.2,128.25,1144700,0.0,1.0
2013-04-10,128.56,130.2,128.48,128.62,1361500,0.0,1.0
2013-04-11,129.01,129.66,127.72,128.26,1478400,0.0,1.0
2013-04-12,127.3,127.8,124.01,124.13,2025300,0.1875,1.0
2013-04-15,122.36,122.37,116.13,116.19,2887700,0.0,1.0
2013-04-16,117.83,119.64,115.82,119.15,2268500,0.0,1.0
2013-04-17,117.41,117.86,113.46,114.82,3065600,0.0,1.0
2013-04-18,115.39,115.96,112.05,115.31,3451900,0.0,1.0
2013-04-19,116.16,116.28,112.93,113.44,2477100,0.0,1.0
2013-04-22,113.95,116.82,113.5101,116.4,2164500,0.0,1.0
2013-04-23,116.9,117.38,115.27,117.0,2217800,0.0,1.0
2013-04-24,117.04,120.45,117.0,119.93,1919000,0.0,1.0
2013-04-25,120.16,123.53,119.36,121.86,2261500,0.0,1.0
2013-04-26,121.7,121.91,119.0,119.12,2338100,0.0,1.0
2013-04-29,120.5,122.72,119.88,121.93,1163400,0.0,1.0
2013-04-30,121.8,122.74,120.59,121.16,1783900,0.0,1.0
2013-05-01,120.39,120.39,117.76,118.83,1839300,0.0,1.0
2013-05-02,119.25,120.262,118.0,119.67,1540200,0.0,1.0
2013-05-03,121.4,124.2,121.4,123.98,2169500,0.0,1.0
2013-05-06,124.6,126.73,123.26,126.04,2802400,0.0,1.0
2013-05-07,133.79,137.96,132.96,135.69,5222500,0.0,1.0
2013-05-08,136.04,138.776,135.92,137.9,3213100,0.0,1.0
2013-05-09,138.81,139.0,135.53,136.08,2805700,0.0,1.0
2013-05-10,135.49,135.49,131.701,133.58,2448200,0.0,1.0
2013-05-13,132.82,134.54,132.31,133.66,1604400,0.0,1.0
2013-05-14,134.0,136.97,133.82,136.67,1978900,0.0,1.0
2013-05-15,136.49,137.64,134.05,134.69,2108100,0.0,1.0
2013-05-16,134.51,134.92,132.74,133.22,1979400,0.0,1.0
2013-05-17,133.8,135.89,133.51,135.25,2619600,0.0,1.0
2013-05-20,135.37,137.15,134.87,135.61,2037200,0.0,1.0
2013-05-21,135.78,136.265,134.05,134.28,1245100,0.0,1.0
2013-05-22,134.16,135.53,129.82,130.93,2020000,0.0,1.0
2013-05-23,128.97,131.64,128.23,131.4,1805300,0.0,1.0
2013-05-24,129.73,130.95,128.63,130.83,1205500,0.0,1.0
2013-05-28,132.46,133.25,129.51,131.12,1752900,0.0,1.0
2013-05-29,130.34,133.42,130.12,132.83,1574800,0.0,1.0
2013-05-30,132.33,133.94,130.895,132.69,1217600,0.0,1.0
2013-05-31,131.73,132.595,129.09,129.1,1719100,0.0,1.0
2013-06-03,130.15,132.13,129.72,131.75,1452100,0.0,1.0
2013-06-04,131.47,132.64,130.33,132.16,1776500,0.0,1.0
2013-06-05,131.66,131.97,128.49,128.52,1445400,0.0,1.0
2013-06-06,128.91,130.65,127.52,130.64,1496300,0.0,1.0
2013-06-07,131.1,133.6455,130.2,132.68,1117800,0.0,1.0
2013-06-10,132.33,132.6,131.15,131.62,766800,0.0,1.0
2013-06-11,129.29,130.32,128.24,129.11,1397300,0.0,1.0
2013-06-12,131.26,131.77,129.48,129.63,1354700,0.0,1.0
2013-06-13,129.68,133.5,129.35,133.33,1567500,0.0,1.0
2013-06-14,133.61,133.61,131.13,131.74,1343900,0.0,1.0
2013-06-17,133.2,134.34,132.16,133.33,1189700,0.0,1.0
2013-06-18,133.5,135.96,133.1404,135.02,1400200,0.0,1.0
2013-06-19,134.97,137.99,134.78,135.59,1704500,0.0,1.0
2013-06-20,133.72,133.89,129.791,130.99,2198800,0.0,1.0
2013-06-21,132.24,132.395,128.57,130.4,2393300,0.0,1.0
2013-06-24,128.89,129.46,124.53,127.41,1981100,0.0,1.0
2013-06-25,129.02,131.1,128.22,130.15,1720500,0.0,1.0
2013-06-26,131.19,132.55,129.53,131.85,1252300,0.0,1.0
2013-06-27,133.16,134.08,130.72,131.01,1805400,0.0,1.0
2013-06-28,130.43,132.99,130.02,131.68,1712200,0.0,1.0
2013-07-01,133.79,136.43,133.24,135.31,1615200,0.0,1.0
2013-07-02,135.24,139.27,135.24,137.88,2169600,0.0,1.0
2013-07-03,138.0,138.5,136.81,138.18,853700,0.0,1.0
2013-07-05,139.06,140.64,138.63,140.4,1140500,0.0,1.0
2013-07-08,141.5,142.53,139.01,139.76,1714700,0.0,1.0
2013-07-09,140.95,142.47,140.39,142.22,1773700,0.0,1.0
2013-07-10,142.69,143.68,141.63,142.27,1767000,0.0,1.0
2013-07-11,144.0,146.79,142.89,143.55,2800700,0.0,1.0
2013-07-12,143.1,144.77,141.91,144.71,1886100,0.0,1.0
2013-07-15,144.63,145.6152,142.5849,143.54,1729600,0.1875,1.0
2013-07-16,143.78,145.535,143.75,144.56,1867700,0.0,1.0
2013-07-17,145.05,146.42,144.65,145.83,1373000,0.0,1.0
2013-07-18,146.42,148.27,146.22,147.0,1535300,0.0,1.0
2013-07-19,147.81,148.7,146.51,148.67,1371100,0.0,1.0
2013-07-22,148.63,150.05,147.54,149.49,1620400,0.0,1.0
2013-07-23,149.62,149.98,148.0125,148.64,1632300,0.0,1.0
2013-07-24,149.09,149.14,143.16,144.07,3037900,0.0,1.0
2013-07-25,144.07,147.4,144.0,147.37,1962500,0.0,1.0
2013-07-26,146.24,146.72,144.24,145.74,1487200,0.0,1.0
2013-07-29,145.32,145.5199,143.87,144.71,813700,0.0,1.0
2013-07-30,145.05,145.78,141.55,144.1,1634200,0.0,1.0
