date,open,high,low,close,volume,dividend,split
2012-11-01,39.16,39.4,38.96,39.24,1380000,0.0,1.0
2012-11-02,39.52,39.67,39.3,39.41,1305900,0.0,1.0
2012-11-05,39.32,39.32,38.75,39.03,1269700,0.0,1.0
2012-11-06,39.06,39.4,38.97,39.18,1183900,0.0,1.0
2012-11-07,39.0,39.0,38.1934,38.37,1171100,0.0,1.0
2012-11-08,38.29,38.83,38.22,38.22,981200,0.0,1.0
2012-11-09,38.09,38.39,38.05,38.14,1172700,0.0,1.0
2012-11-12,38.2,38.21,37.83,37.96,890000,0.0,1.0
2012-11-13,37.83,38.44,37.75,38.23,1136800,0.0,1.0
2012-11-14,38.29,38.39,37.69,37.99,1584200,0.0,1.0
2012-11-15,38.0,38.34,37.64,37.86,1506900,0.0,1.0
2012-11-16,37.86,38.37,37.64,38.32,1808500,0.0,1.0
2012-11-19,38.5,38.569,37.9475,38.17,1420000,0.0,1.0
2012-11-20,38.22,38.53,37.6868,38.09,1740800,0.0,1.0
2012-11-21,38.11,38.18,37.55,37.89,1670600,0.0,1.0
2012-11-23,37.93,38.16,37.53,37.73,737100,0.0,1.0
2012-11-26,37.71,38.29,37.71,38.11,2089600,0.0,1.0
2012-11-27,38.18,38.65,38.12,38.39,1356800,0.0,1.0
2012-11-28,38.07,38.17,37.7,38.09,1750200,0.343,1.0
2012-11-29,38.16,38.27,37.81,38.16,1555200,0.0,1.0
2012-11-30,38.22,38.77,38.198,38.74,1582400,0.0,1.0
2012-12-03,38.74,38.79,38.14,38.56,1106600,0.0,1.0
2012-12-04,38.68,38.81,38.44,38.46,810200,0.0,1.0
2012-12-05,38.52,39.5,38.46,39.29,1484000,0.0,1.0
2012-12-06,39.33,39.51,39.09,39.25,1167100,0.0,1.0
2012-12-07,39.23,39.49,39.14,39.27,1009600,0.0,1.0
2012-12-10,39.08,39.32,38.95,39.14,1349700,0.0,1.0
2012-12-11,39.25,39.655,39.2,39.53,1458400,0.0,1.0
2012-12-12,39.53,40.065,39.5,39.71,1836900,0.0,1.0
2012-12-13,39.65,39.83,39.21,39.34,2189100,0.0,1.0
2012-12-14,39.11,39.26,38.59,38.69,3343600,0.0,1.0
2012-12-17,38.79,39.31,38.75,39.27,3043800,0.0,1.0
2012-12-18,39.29,39.7,38.91,39.68,1740100,0.0,1.0
2012-12-19,39.61,39.77,39.22,39.45,1434300,0.0,1.0
2012-12-20,39.57,39.72,39.22,39.45,1780800,0.0,1.0
2012-12-21,39.27,39.5,39.185,39.23,3207200,0.0,1.0
2012-12-24,39.16,39.18,38.72,39.15,740600,0.0,1.0
2012-12-26,39.15,39.31,38.71,38.77,1753000,0.0,1.0
2012-12-27,38.7,38.9,38.43,38.78,1338000,0.0,1.0
2012-12-28,38.47,38.96,38.37,38.44,1265100,0.0,1.0
2012-12-31,38.38,39.14,38.12,39.08,1651400,0.0,1.0
2013-01-02,39.47,39.9,39.41,39.82,1419200,0.0,1.0
2013-01-03,39.86,40.05,39.55,39.6,1593100,0.0,1.0
2013-01-04,39.69,39.93,39.59,39.64,1419900,0.0,1.0
2013-01-07,39.44,39.58,39.09,39.21,1944500,0.0,1.0
2013-01-08,39.08,39.2,38.96,39.0,2764800,0.0,1.0
2013-01-09,39.1,39.19,38.8,39.12,2163000,0.0,1.0
2013-01-10,39.23,39.45,39.04,39.31,1531600,0.0,1.0
2013-01-11,39.25,39.3899,39.03,39.19,1525200,0.0,1.0
2013-01-14,39.21,39.34,38.97,39.04,1988500,0.0,1.0
2013-01-15,39.01,39.01,38.72,38.98,1845000,0.0,1.0
2013-01-16,38.87,39.01,38.66,38.67,2327100,0.0,1.0
2013-01-17,38.79,38.86,38.6,38.7,3487600,0.0,1.0
2013-01-18,38.8,39.24,38.8,39.21,2840200,0.0,1.0
2013-01-22,39.26,39.92,39.25,39.85,2123900,0.0,1.0
2013-01-23,39.66,39.83,39.31,39.77,1797400,0.0,1.0
2013-01-24,39.75,40.15,39.7,39.91,1386200,0.0,1.0
2013-01-25,40.05,40.32,39.73,40.32,1556000,0.0,1.0
2013-01-28,40.37,40.39,40.04,40.25,1242500,0.0,1.0
2013-01-29,40.25,40.66,40.17,40.63,1461900,0.0,1.0
2013-01-30,40.56,41.14,40.56,40.99,2057700,0.0,1.0
2013-01-31,40.89,41.01,40.66,40.73,4990600,0.0,1.0
2013-02-01,40.91,41.35,40.79,41.18,1755300,0.0,1.0
2013-02-04,41.07,41.17,40.95,40.99,1315300,0.0,1.0
2013-02-05,41.12,41.37,40.89,40.93,1323400,0.0,1.0
2013-02-06,40.88,41.11,40.65,41.08,1178700,0.0,1.0
2013-02-07,41.14,41.4013,40.89,41.09,1418600,0.0,1.0
2013-02-08,41.1,41.12,40.73,41.11,1499100,0.0,1.0
2013-02-11,41.12,41.2,40.86,41.12,847100,0.0,1.0
2013-02-12,41.06,41.16,40.83,41.15,1093100,0.0,1.0
2013-02-13,41.13,41.31,40.88,41.09,1185200,0.0,1.0
2013-02-14,41.04,41.14,40.595,40.76,2865800,0.0,1.0
2013-02-15,40.63,41.01,40.61,40.94,1463800,0.0,1.0
2013-02-19,41.08,41.44,40.93,41.41,1942600,0.0,1.0
2013-02-20,41.03,41.65,41.03,41.15,1577200,0.0,1.0
2013-02-21,41.06,41.32,40.84,40.89,1528000,0.0,1.0
2013-02-22,41.04,41.49,41.03,41.43,1265200,0.0,1.0
2013-02-25,41.62,41.88,41.0,41.02,1796600,0.0,1.0
2013-02-26,41.1,41.45,40.85,41.18,1420000,0.0,1.0
2013-02-27,40.69,41.33,40.56,41.27,1668900,0.3675,1.0
2013-02-28,41.3,41.63,41.11,41.51,1798500,0.0,1.0
2013-03-01,41.48,41.83,41.12,41.8,1315400,0.0,1.0
2013-03-04,41.67,42.5,41.67,42.3,1381300,0.0,1.0
2013-03-05,42.54,42.715,42.39,42.58,1074900,0.0,1.0
2013-03-06,42.65,42.8,42.41,42.53,742400,0.0,1.0
2013-03-07,42.52,42.7,42.31,42.32,650100,0.0,1.0
2013-03-08,42.48,42.48,42.02,42.21,1059800,0.0,1.0
2013-03-11,42.16,42.44,42.13,42.41,914600,0.0,1.0
2013-03-12,42.42,42.44,41.965,42.13,1239100,0.0,1.0
2013-03-13,42.13,42.4,42.06,42.3,916400,0.0,1.0
2013-03-14,42.33,42.56,42.22,42.52,995900,0.0,1.0
2013-03-15,42.32,42.75,42.25,42.66,1982200,0.0,1.0
2013-03-18,42.43,42.61,42.26,42.39,783900,0.0,1.0
2013-03-19,42.51,42.69,42.23,42.39,951600,0.0,1.0
2013-03-20,42.55,42.98,42.55,42.72,1471100,0.0,1.0
2013-03-21,42.57,42.845,42.49,42.59,1152200,0.0,1.0
2013-03-22,42.68,42.83,42.49,42.65,723800,0.0,1.0
2013-03-25,42.78,43.05,42.38,42.54,1135000,0.0,1.0
2013-03-26,42.69,42.9025,42.59,42.82,1302100,0.0,1.0
2013-03-27,42.68,42.89,42.52,42.89,1186700,0.0,1.0
2013-03-28,42.99,43.49,42.92,43.46,2006000,0.0,1.0
2013-04-01,43.44,43.45,43.15,43.29,856700,0.0,1.0
2013-04-02,43.4,43.677,43.34,43.49,1013300,0.0,1.0
2013-04-03,42.86,43.55,42.86,43.22,1911200,0.0,1.0
2013-04-04,43.34,43.56,43.2,43.45,1598000,0.0,1.0
2013-04-05,43.17,43.79,43.07,43.72,888000,0.0,1.0
2013-04-08,43.65,43.84,43.41,43.83,1131800,0.0,1.0
2013-04-09,43.91,43.95,43.52,43.68,1181500,0.0,1.0
2013-04-10,43.78,44.21,43.73,44.18,1362200,0.0,1.0
2013-04-11,44.24,44.46,44.06,44.43,1277600,0.0,1.0
2013-04-12,44.34,44.7399,44.34,44.66,1052800,0.0,1.0
2013-04-15,44.54,44.59,43.83,43.83,1289300,0.0,1.0
2013-04-16,44.04,44.53,43.61,44.48,1123000,0.0,1.0
2013-04-17,44.5,44.55,43.83,43.9,1648600,0.0,1.0
2013-04-18,44.08,44.35,43.85,44.2,2049600,0.0,1.0
2013-04-19,44.21,44.94,44.13,44.94,1203000,0.0,1.0
2013-04-22,44.92,44.94,44.23,44.49,1536100,0.0,1.0
2013-04-23,44.68,44.8,44.3,44.8,1506200,0.0,1.0
2013-04-24,44.81,45.07,44.44,44.93,1207600,0.0,1.0
