date,open,high,low,close,volume,dividend,split
2012-11-01,72.79,72.85,72.15,72.35,1053100,0.0,1.0
2012-11-02,72.8,72.84,71.1,71.23,2058500,0.0,1.0
2012-11-05,68.97,70.22,65.88,67.9,3354800,0.0,1.0
2012-11-06,67.49,67.49,65.69,66.9,2677000,0.83,1.0
2012-11-07,66.78,66.78,65.1801,65.26,1569500,0.0,1.0
2012-11-08,65.3,65.99,64.92,65.0,1487600,0.0,1.0
2012-11-09,64.85,65.16,64.6,64.9,1586900,0.0,1.0
2012-11-12,65.01,65.13,64.17,64.2,886600,0.0,1.0
2012-11-13,64.11,65.08,63.87,64.29,967300,0.0,1.0
2012-11-14,64.31,64.41,63.23,63.35,1200700,0.0,1.0
2012-11-15,63.35,63.71,62.53,63.0,1014200,0.0,1.0
2012-11-16,63.1,63.48,62.32,62.86,1767600,0.0,1.0
2012-11-19,63.15,63.39,62.28,62.55,1293300,0.0,1.0
2012-11-20,62.62,62.731,61.95,62.5,958900,0.0,1.0
2012-11-21,62.5,62.79,61.73,62.28,963700,0.0,1.0
2012-11-23,62.35,62.4879,61.55,62.04,482300,0.0,1.0
2012-11-26,61.78,62.82,61.56,62.5,1250200,0.0,1.0
2012-11-27,62.65,62.89,62.205,62.23,1327900,0.0,1.0
2012-11-28,62.31,63.46,62.2,63.44,1824300,0.0,1.0
2012-11-29,63.61,63.62,62.94,63.52,1010000,0.0,1.0
2012-11-30,63.41,63.7399,63.21,63.54,1161000,0.0,1.0
2012-12-03,63.55,63.66,62.54,63.39,1208400,0.0,1.0
2012-12-04,63.45,63.62,62.79,62.96,855700,0.0,1.0
2012-12-05,62.97,64.08,62.685,63.74,1216400,0.0,1.0
2012-12-06,63.79,64.08,63.63,63.73,835100,0.0,1.0
2012-12-07,63.76,64.056,63.61,63.94,566700,0.0,1.0
2012-12-10,63.82,63.99,63.59,63.9,552400,0.0,1.0
2012-12-11,63.96,64.43,63.81,64.08,756400,0.0,1.0
2012-12-12,64.03,64.46,63.7,63.76,896800,0.0,1.0
2012-12-13,63.78,63.95,63.3601,63.57,535400,0.0,1.0
2012-12-14,63.61,63.81,63.34,63.4,658400,0.0,1.0
2012-12-17,63.72,64.59,63.6901,64.35,1186400,0.0,1.0
