date,open,high,low,close,volume,dividend,split
2012-11-01,36.0,36.84,33.24,33.58,30872100,0.0,1.0
2012-11-02,33.38,33.53,32.21,32.77,25142000,0.0,1.0
2012-11-05,32.39,32.66,31.75,32.01,10727300,0.0,1.0
2012-11-06,31.99,32.17,31.6,31.95,8860700,0.0,1.0
2012-11-07,31.84,31.85,30.91,31.44,11093000,0.0,1.0
2012-11-08,31.62,31.97,31.5,31.69,26131300,0.0,1.0
2012-11-09,31.49,31.58,31.06,31.11,21982300,0.0,1.0
2012-11-12,31.16,31.3,30.55,30.77,6805900,0.0,1.0
2012-11-13,30.01,30.39,29.82,29.94,9505800,0.525,1.0
2012-11-14,30.0,30.09,29.31,29.37,10858500,0.0,1.0
2012-11-15,29.33,29.65,29.14,29.37,9651200,0.0,1.0
2012-11-16,29.36,29.4,29.01,29.25,10020800,0.0,1.0
2012-11-19,29.41,29.43,28.95,29.19,7919600,0.0,1.0
2012-11-20,29.16,29.23,28.75,28.98,6576900,0.0,1.0
2012-11-21,28.96,29.15,28.6,28.85,6499100,0.0,1.0
2012-11-23,28.89,28.97,28.4,28.57,3941200,0.0,1.0
2012-11-26,28.82,29.67,28.8,29.32,11979300,0.0,1.0
2012-11-27,29.54,30.06,29.43,29.76,16481900,0.0,1.0
2012-11-28,29.63,29.88,29.35,29.85,9245700,0.0,1.0
2012-11-29,29.85,30.09,29.75,29.96,7470000,0.0,1.0
2012-11-30,30.02,30.23,29.85,30.22,9366100,0.0,1.0
2012-12-03,30.22,30.22,29.13,29.31,14925900,0.0,1.0
2012-12-04,29.25,29.41,28.99,29.01,9910100,0.0,1.0
2012-12-05,29.07,29.67,28.93,29.56,11604500,0.0,1.0
2012-12-06,29.58,29.74,29.2,29.47,7532700,0.0,1.0
2012-12-07,29.51,29.63,29.39,29.57,5089100,0.0,1.0
2012-12-10,29.64,29.8,29.4,29.73,5666400,0.0,1.0
2012-12-11,29.75,30.21,29.6598,29.99,6731600,0.0,1.0
2012-12-12,30.0,30.13,29.83,29.9,5402600,0.0,1.0
2012-12-13,29.9,30.03,29.48,29.68,4406400,0.0,1.0
2012-12-14,29.69,29.79,29.43,29.66,4393200,0.0,1.0
2012-12-17,29.63,29.98,29.63,29.93,7654900,0.0,1.0
2012-12-18,29.87,30.62,29.83,30.62,14372500,0.0,1.0
2012-12-19,30.65,30.66,30.05,30.12,7117300,0.0,1.0
2012-12-20,30.15,30.29,29.75,29.95,5459000,0.0,1.0
2012-12-21,29.81,29.95,29.52,29.88,12326900,0.0,1.0
2012-12-24,29.66,29.75,29.38,29.65,2625500,0.0,1.0
2012-12-26,29.63,29.75,29.42,29.46,4574500,0.0,1.0
2012-12-27,29.4,29.55,29.04,29.44,5429200,0.0,1.0
2012-12-28,29.26,29.45,29.04,29.06,4394900,0.0,1.0
2012-12-31,29.0,29.79,28.8869,29.74,8085200,0.0,1.0
2013-01-02,30.09,30.29,29.65,29.82,15490900,0.0,1.0
2013-01-03,29.88,30.2,29.77,30.06,6282800,0.0,1.0
2013-01-04,30.05,30.28,29.99,30.27,5456900,0.0,1.0
2013-01-07,30.19,30.24,29.84,29.87,4629300,0.0,1.0
2013-01-08,29.82,29.8657,29.385,29.61,4508700,0.0,1.0
2013-01-09,29.6,29.71,29.21,29.24,5359700,0.0,1.0
2013-01-10,29.27,29.39,29.1,29.26,5649100,0.0,1.0
2013-01-11,29.34,29.45,29.21,29.29,3997100,0.0,1.0
