date,open,high,low,close,volume,dividend,split
2012-11-01,36.54,37.33,36.39,37.22,1407600,0.0,1.0
2012-11-02,37.38,37.4,36.82,36.91,1143300,0.0,1.0
2012-11-05,36.87,37.29,36.83,37.12,1179800,0.0,1.0
2012-11-06,37.23,38.5,36.9,37.88,2138200,0.0,1.0
2012-11-07,37.41,37.736,36.77,37.1472,1860300,0.0,1.0
2012-11-08,37.12,37.31,36.74,36.74,2105500,0.0,1.0
2012-11-09,36.76,37.12,36.67,36.73,1526500,0.0,1.0
2012-11-12,36.89,37.19,36.73,36.97,1006900,0.0,1.0
2012-11-13,36.71,37.34,36.68,36.86,1972300,0.0,1.0
2012-11-14,36.95,37.03,36.3,36.37,2388400,0.0,1.0
2012-11-15,36.31,36.54,36.04,36.22,1182400,0.0,1.0
2012-11-16,36.2,36.29,35.4,35.76,1700300,0.0,1.0
2012-11-19,36.14,36.38,35.85,36.2,892000,0.0,1.0
2012-11-20,36.21,36.47,35.88,36.47,1242700,0.0,1.0
2012-11-21,36.41,36.94,36.32,36.8,1397800,0.0,1.0
2012-11-23,36.93,37.2,36.73,37.18,521200,0.0,1.0
2012-11-26,36.96,37.31,36.84,37.24,1206200,0.0,1.0
2012-11-27,37.19,37.3,36.93,36.98,1231300,0.0,1.0
2012-11-28,36.78,37.1,36.69,37.03,1654900,0.0,1.0
2012-11-29,37.5,37.96,37.18,37.35,2610300,0.28,1.0
2012-11-30,37.45,37.59,37.2,37.42,1809200,0.0,1.0
2012-12-03,37.66,37.82,36.91,37.04,1324200,0.0,1.0
2012-12-04,37.18,37.18,36.89,37.06,1014000,0.0,1.0
2012-12-05,37.07,37.745,37.05,37.64,1327200,0.0,1.0
2012-12-06,37.57,37.57,36.67,36.99,1764900,0.0,1.0
2012-12-07,37.06,37.36,36.8734,37.34,1028500,0.0,1.0
2012-12-10,37.32,38.25,37.2601,38.22,1456100,0.0,1.0
2012-12-11,38.29,38.84,38.1,38.63,1613100,0.0,1.0
2012-12-12,38.65,38.84,37.91,38.04,1581700,0.0,1.0
2012-12-13,37.73,38.4988,37.72,38.11,1181500,0.0,1.0
2012-12-14,37.92,38.34,37.83,38.22,1671100,0.0,1.0
2012-12-17,38.37,38.61,37.98,38.6,2686300,0.0,1.0
2012-12-18,38.59,39.43,38.41,39.37,2152600,0.0,1.0
2012-12-19,39.35,39.88,39.26,39.61,2254300,0.0,1.0
2012-12-20,39.7,39.92,39.37,39.9,1843700,0.0,1.0
2012-12-21,39.46,39.805,39.0,39.73,2192300,0.0,1.0
2012-12-24,39.82,39.93,39.555,39.77,505100,0.0,1.0
2012-12-26,39.76,39.97,39.45,39.49,932500,0.0,1.0
2012-12-27,39.49,39.56,38.885,39.27,926800,0.0,1.0
2012-12-28,39.03,39.72,39.0,39.03,1074600,0.0,1.0
2012-12-31,39.08,39.56,38.83,39.55,1030900,0.0,1.0
2013-01-02,40.27,41.25,40.16,40.9,2293100,0.0,1.0
2013-01-03,40.89,41.08,40.77,41.03,2124900,0.0,1.0
2013-01-04,41.12,41.915,40.97,41.82,1592300,0.0,1.0
2013-01-07,41.53,41.6899,41.22,41.37,1381700,0.0,1.0
2013-01-08,41.23,41.27,40.85,41.08,1473600,0.0,1.0
2013-01-09,41.29,42.35,41.12,42.16,2393800,0.0,1.0
2013-01-10,42.45,42.59,42.305,42.54,1920600,0.0,1.0
2013-01-11,42.4,42.917,42.4,42.7,2067900,0.0,1.0
2013-01-14,42.65,42.8,42.43,42.7,1139100,0.0,1.0
2013-01-15,42.46,42.84,42.426,42.74,1053400,0.0,1.0
2013-01-16,42.64,42.91,42.64,42.72,1258700,0.0,1.0
2013-01-17,42.78,43.045,42.69,43.03,1340500,0.0,1.0
2013-01-18,43.47,43.47,42.74,42.87,3014700,0.0,1.0
2013-01-22,42.82,43.11,42.69,43.08,1300400,0.0,1.0
2013-01-23,43.13,43.32,42.81,42.98,1294000,0.0,1.0
2013-01-24,43.11,43.74,42.965,43.19,1977700,0.0,1.0
2013-01-25,43.44,43.5605,43.08,43.54,1504000,0.0,1.0
2013-01-28,43.69,43.8,43.19,43.38,1647800,0.0,1.0
2013-01-29,43.29,43.58,42.94,43.52,1489500,0.0,1.0
2013-01-30,43.51,43.54,42.97,43.12,1822000,0.0,1.0
2013-01-31,43.01,43.19,42.42,42.9,3358100,0.0,1.0
2013-02-01,43.3,43.32,42.95,43.03,1891000,0.0,1.0
2013-02-04,42.8,43.17,42.7,42.78,2066600,0.0,1.0
2013-02-05,43.0,43.61,42.73,43.43,1395600,0.0,1.0
2013-02-06,42.87,43.48,42.71,43.19,650397,0.0,1.0
2013-02-07,43.25,43.25,42.62,43.08,519242,0.0,1.0
2013-02-08,43.19,43.53,42.96,43.34,1448200,0.0,1.0
2013-02-11,43.29,43.46,42.8,43.0,913300,0.0,1.0
2013-02-12,42.95,43.19,42.715,42.75,1519700,0.0,1.0
2013-02-13,42.92,43.11,42.44,42.67,1361500,0.0,1.0
2013-02-14,42.56,42.78,42.23,42.4,1920600,0.0,1.0
2013-02-15,42.4,42.85,42.21,42.26,1628800,0.0,1.0
2013-02-19,42.39,42.74,42.14,42.6,1858000,0.0,1.0
2013-02-20,42.6,42.67,41.72,41.81,1535400,0.0,1.0
2013-02-21,41.67,41.67,40.66,40.75,2490100,0.0,1.0
2013-02-22,40.86,41.33,40.6,40.81,2289700,0.0,1.0
2013-02-25,41.08,41.56,39.925,39.99,2763600,0.0,1.0
2013-02-26,39.16,39.96,36.08,37.06,9355800,0.0,1.0
2013-02-27,37.19,38.52,37.15,38.22,4708400,0.0,1.0
2013-02-28,38.17,39.1,38.15,38.85,4339500,0.0,1.0
2013-03-01,38.51,38.91,38.19,38.82,2858900,0.0,1.0
2013-03-04,38.65,38.95,38.26,38.94,2431500,0.0,1.0
2013-03-05,39.02,39.76,38.99,39.55,1846200,0.0,1.0
2013-03-06,39.73,39.78,38.9801,39.09,1807600,0.0,1.0
2013-03-07,39.06,39.25,38.74,38.78,1818000,0.0,1.0
2013-03-08,39.25,39.29,38.63,38.69,1621400,0.0,1.0
2013-03-11,38.76,38.87,38.564,38.64,1236900,0.0,1.0
2013-03-12,38.61,38.94,38.09,38.24,1746700,0.0,1.0
2013-03-13,38.48,38.54,38.13,38.29,2099800,0.0,1.0
2013-03-14,38.44,38.53,38.185,38.37,1774000,0.0,1.0
2013-03-15,38.27,38.5,38.2,38.44,2182900,0.0,1.0
2013-03-18,38.12,38.7,37.85,38.18,1756700,0.0,1.0
2013-03-19,38.18,38.345,37.015,37.43,2790600,0.0,1.0
2013-03-20,37.55,37.66,36.51,37.19,3526700,0.0,1.0
2013-03-21,37.05,37.14,36.46,36.59,2395500,0.0,1.0
2013-03-22,36.78,36.96,36.32,36.54,2491100,0.0,1.0
2013-03-25,36.69,36.78,35.45,35.67,3626800,0.0,1.0
2013-03-26,35.6,35.97,35.45,35.8,3118600,0.0,1.0
2013-03-27,35.63,35.85,35.33,35.73,2262900,0.0,1.0
2013-03-28,35.58,35.75,35.4,35.73,2269800,0.0,1.0
