date,open,high,low,close,volume,dividend,split
2012-11-01,11.19,11.3,10.88,11.25,88770100,0.0,1.0
2012-11-02,11.31,11.38,11.15,11.17,53399000,0.0,1.0
2012-11-05,11.15,11.35,11.13,11.25,37995000,0.0,1.0
2012-11-06,11.33,11.59,11.26,11.42,51232200,0.0,1.0
2012-11-07,11.25,11.34,11.04,11.06,56674900,0.0,1.0
2012-11-08,11.07,11.23,10.89,10.9,45948800,0.0,1.0
2012-11-09,10.76,11.1,10.71,10.93,40703600,0.0,1.0
2012-11-12,11.03,11.16,10.96,10.97,25723100,0.0,1.0
2012-11-13,10.89,11.1,10.86,11.0,33342900,0.0,1.0
2012-11-14,11.02,11.05,10.62,10.67,45664700,0.0,1.0
2012-11-15,10.57,10.8,10.46,10.57,48879800,0.0,1.0
2012-11-16,10.58,10.64,10.38,10.5,45346200,0.0,1.0
2012-11-19,10.65,10.9,10.65,10.83,39359100,0.0,1.0
2012-11-20,10.85,11.02,10.76,10.85,34739800,0.0,1.0
2012-11-21,10.84,11.0,10.8,10.92,21181700,0.0,1.0
2012-11-23,10.98,11.1,10.96,11.1,16032200,0.0,1.0
2012-11-26,11.05,11.14,10.97,11.105,26831700,0.0,1.0
2012-11-27,11.1,11.27,11.1,11.1,37610000,0.0,1.0
2012-11-28,11.05,11.26,10.98,11.25,38496900,0.0,1.0
2012-11-29,11.32,11.53,11.32,11.53,57289300,0.0,1.0
2012-11-30,11.52,11.6,11.33,11.45,41329600,0.0,1.0
2012-12-03,11.56,11.7,11.4,11.41,47746300,0.0,1.0
2012-12-04,11.4,11.44,11.23,11.31,37760200,0.0,1.0
2012-12-05,11.32,11.4,11.18,11.31,33152400,0.0,1.0
2012-12-06,11.26,11.31,11.19,11.24,31065800,0.0,1.0
2012-12-07,11.27,11.5,11.26,11.48,38404500,0.0,1.0
2012-12-10,11.41,11.53,11.41,11.47,26025200,0.0,1.0
2012-12-11,11.49,11.57,11.4,11.49,6168943,0.0,1.0
2012-12-12,11.51,11.56,11.43,11.47,6174414,0.0,1.0
2012-12-13,11.461,11.5,11.21,11.27,35443200,0.0,1.0
2012-12-14,11.27,11.27,11.03,11.1,36933500,0.0,1.0
2012-12-17,11.16,11.41,11.14,11.39,46983300,0.0,1.0
2012-12-18,11.48,11.68,11.4,11.67,61810400,0.0,1.0
2012-12-19,11.79,11.85,11.62,11.73,54884700,0.0,1.0
2012-12-20,11.74,11.8,11.58,11.77,47750100,0.0,1.0
2012-12-21,11.55,11.86,11.47,11.86,94489300,0.0,1.0
2012-12-24,11.67,12.4,11.67,12.4,91734900,0.0,1.0
2012-12-26,12.31,12.79,12.31,12.79,140331900,0.0,1.0
2012-12-27,12.79,12.81,12.36,12.76,108315100,0.0,1.0
2012-12-28,12.545,12.88,12.52,12.87,95668600,0.0,1.0
2012-12-31,12.88,13.08,12.76,12.95,106908900,0.0,1.0
2013-01-02,13.23,13.28,13.0,13.2,75274700,0.0,1.0
2013-01-03,13.24,13.695,13.05,13.46,121284700,0.0,1.0
2013-01-04,13.51,13.61,13.35,13.57,54669900,0.0,1.0
2013-01-07,13.52,13.58,13.35,13.43,43482400,0.0,1.0
2013-01-08,13.38,13.43,13.2,13.35,46336200,0.0,1.0
2013-01-09,13.4,13.6,13.39,13.47,36973900,0.0,1.0
2013-01-10,13.78,13.94,13.68,13.83,84884300,0.0,1.0
2013-01-11,14.0,14.07,13.9,14.0,67641200,0.0,1.0
2013-01-14,14.04,14.08,13.86,13.99,46224800,0.0,1.0
2013-01-15,13.91,14.3,13.89,14.3,55425000,0.0,1.0
2013-01-16,14.16,14.25,14.01,14.22,51453400,0.0,1.0
2013-01-17,14.27,14.3,14.07,14.22,44299300,0.0,1.0
2013-01-18,14.1,14.13,13.97,14.11,45716100,0.0,1.0
2013-01-22,14.06,14.19,14.0,14.17,35467900,0.0,1.0
2013-01-23,14.0,14.02,13.79,13.88,58122200,0.0,1.0
2013-01-24,13.82,13.98,13.81,13.87,42532700,0.0,1.0
2013-01-25,13.83,13.84,13.64,13.68,53405400,0.0,1.0
2013-01-28,13.49,13.82,13.42,13.78,51189300,0.1,1.0
2013-01-29,13.5599,13.6087,12.89,13.14,131146500,0.0,1.0
2013-01-30,13.01,13.2,12.89,12.93,59595900,0.0,1.0
2013-01-31,12.86,13.02,12.67,12.95,65844000,0.0,1.0
2013-02-01,13.1,13.131,12.94,13.02,45222500,0.0,1.0
2013-02-04,12.94,13.0,12.86,12.88,32702200,0.0,1.0
2013-02-05,12.97,13.25,12.94,13.18,39116500,0.0,1.0
2013-02-06,13.13,13.27,13.05,13.2,33520400,0.0,1.0
2013-02-07,13.26,13.31,13.0,13.07,33987500,0.0,1.0
2013-02-08,13.1,13.16,13.05,13.1,18613300,0.0,1.0
2013-02-11,13.06,13.2,13.02,13.11,17688900,0.0,1.0
2013-02-12,13.12,13.2,13.05,13.08,26243300,0.0,1.0
2013-02-13,13.11,13.14,12.99,13.04,24503600,0.0,1.0
2013-02-14,13.0,13.17,12.96,13.11,33489000,0.0,1.0
2013-02-15,13.14,13.14,13.01,13.02,32418700,0.0,1.0
2013-02-19,13.04,13.09,12.9,12.99,31089900,0.0,1.0
2013-02-20,12.95,12.98,12.57,12.6,50381800,0.0,1.0
2013-02-21,12.51,12.51,12.3,12.39,43703700,0.0,1.0
2013-02-22,12.44,12.5,12.31,12.48,23866400,0.0,1.0
2013-02-25,12.53,12.57,12.1,12.13,38627200,0.0,1.0
2013-02-26,12.24,12.35,12.11,12.34,29191400,0.0,1.0
2013-02-27,12.35,12.85,12.35,12.76,51569900,0.0,1.0
2013-02-28,12.78,12.87,12.6,12.61,37659400,0.0,1.0
2013-03-01,12.56,12.75,12.38,12.61,38806100,0.0,1.0
2013-03-04,12.55,12.75,12.53,12.75,24337100,0.0,1.0
2013-03-05,12.87,12.98,12.79,12.87,26863200,0.0,1.0
2013-03-06,12.97,13.0,12.85,12.89,28953400,0.0,1.0
2013-03-07,12.89,12.91,12.77,12.83,27702800,0.0,1.0
2013-03-08,12.94,12.99,12.805,12.98,24715100,0.0,1.0
2013-03-11,12.97,13.4,12.9,13.34,48696900,0.0,1.0
2013-03-12,13.37,13.47,13.17,13.39,46047600,0.0,1.0
2013-03-13,13.37,13.45,13.35,13.4,26467800,0.0,1.0
2013-03-14,13.43,13.45,13.37,13.43,31653300,0.0,1.0
2013-03-15,13.31,13.45,13.26,13.45,62961000,0.0,1.0
2013-03-18,13.16,13.39,12.8,13.26,36877600,0.0,1.0
2013-03-19,13.27,13.35,13.09,13.16,37639900,0.0,1.0
2013-03-20,13.22,13.4,13.19,13.36,4604872,0.0,1.0
2013-03-21,13.25,13.41,13.233,13.26,4178954,0.0,1.0
2013-03-22,13.24,13.31,13.2,13.26,21423900,0.0,1.0
2013-03-25,13.31,13.4,13.26,13.29,27238000,0.0,1.0
2013-03-26,13.35,13.37,13.24,13.31,24236700,0.0,1.0
2013-03-27,13.23,13.25,13.1,13.22,26240600,0.0,1.0
2013-03-28,13.235,13.235,13.1,13.15,25472400,0.0,1.0
2013-04-01,13.01,13.15,12.9,12.9,32961500,0.0,1.0
2013-04-02,13.0,13.19,12.96,13.01,35189300,0.0,1.0
2013-04-03,13.05,13.05,12.59,12.68,45189000,0.0,1.0
2013-04-04,12.68,12.78,12.4463,12.65,29803800,0.0,1.0
2013-04-05,12.43,12.5,12.15,12.44,42605700,0.0,1.0
2013-04-08,12.46,12.83,12.4,12.78,23884700,0.0,1.0
2013-04-09,12.85,12.96,12.75,12.8,29826000,0.0,1.0
2013-04-10,12.87,13.13,12.82,13.12,31089600,0.0,1.0
2013-04-11,13.15,13.58,13.13,13.55,51493300,0.0,1.0
2013-04-12,13.43,13.55,13.26,13.53,37955000,0.0,1.0
2013-04-15,13.36,13.46,12.91,12.95,55885900,0.0,1.0
2013-04-16,13.17,13.24,12.995,13.12,36338200,0.0,1.0
2013-04-17,12.97,13.05,12.7983,12.925,44583600,0.0,1.0
2013-04-18,12.94,12.98,12.65,12.75,34877900,0.0,1.0
2013-04-19,12.88,12.97,12.75,12.93,26971400,0.0,1.0
2013-04-22,12.97,13.08,12.8,13.06,26082200,0.0,1.0
2013-04-23,13.12,13.45,13.11,13.36,40082600,0.0,1.0
2013-04-24,13.48,13.54,13.12,13.33,46026300,0.0,1.0
2013-04-25,13.4,13.5576,13.35,13.47,42016000,0.0,1.0
2013-04-26,13.52,13.76,13.45,13.67,43814900,0.0,1.0
2013-04-29,13.73,13.76,13.57,13.66,20659200,0.0,1.0
2013-04-30,13.66,13.74,13.52,13.71,24858800,0.0,1.0
2013-05-01,13.6399,13.78,13.35,13.38,39344800,0.1,1.0
2013-05-02,13.54,13.55,13.38,13.41,33982900,0.0,1.0
2013-05-03,13.58,13.83,13.57,13.83,45933600,0.0,1.0
2013-05-06,13.86,14.15,13.83,14.09,53821400,0.0,1.0
2013-05-07,14.2,14.25,14.09,14.19,42070400,0.0,1.0
2013-05-08,14.15,14.24,14.1,14.21,33334600,0.0,1.0
2013-05-09,14.19,14.26,14.16,14.2,30575000,0.0,1.0
2013-05-10,14.21,14.23,14.02,14.11,30885100,0.0,1.0
2013-05-13,14.1,14.12,13.92,14.01,22758500,0.0,1.0
2013-05-14,14.0,14.3,13.98,14.27,32390700,0.0,1.0
2013-05-15,14.28,14.77,14.27,14.67,56875000,0.0,1.0
2013-05-16,14.77,14.85,14.6,14.64,40924300,0.0,1.0
2013-05-17,14.79,15.15,14.75,15.08,59729800,0.0,1.0
2013-05-20,15.01,15.23,15.0,15.05,34580000,0.0,1.0
2013-05-21,15.07,15.22,14.75,14.95,61840300,0.0,1.0
2013-05-22,15.08,15.32,14.86,14.97,67147900,0.0,1.0
2013-05-23,14.5,14.94,14.37,14.81,49128700,0.0,1.0
2013-05-24,14.71,14.88,14.66,14.79,25287100,0.0,1.0
2013-05-28,15.22,15.35,15.1,15.28,59250500,0.0,1.0
2013-05-29,15.27,15.72,15.24,15.63,65167400,0.0,1.0
2013-05-30,15.76,16.02,15.74,15.9,61805000,0.0,1.0
2013-05-31,15.88,16.04,15.68,15.68,52117500,0.0,1.0
2013-06-03,15.93,16.08,15.51,15.89,59017900,0.0,1.0
2013-06-04,15.98,16.09,15.63,15.78,50273400,0.0,1.0
2013-06-05,15.7,15.71,15.18,15.25,64862400,0.0,1.0
2013-06-06,15.25,15.48,15.06,15.44,54819200,0.0,1.0
2013-06-07,15.58,15.76,15.46,15.73,37099500,0.0,1.0
2013-06-10,15.86,15.9,15.6,15.71,29589300,0.0,1.0
2013-06-11,15.52,15.68,15.4,15.51,35360600,0.0,1.0
2013-06-12,15.63,15.71,15.31,15.37,36207400,0.0,1.0
2013-06-13,15.31,15.5988,15.18,15.58,34327500,0.0,1.0
2013-06-14,15.52,15.57,15.35,15.37,27186000,0.0,1.0
2013-06-17,15.53,15.72,15.44,15.55,31340000,0.0,1.0
2013-06-18,15.54,15.71,15.44,15.65,25950200,0.0,1.0
2013-06-19,15.6,15.62,15.31,15.32,35997500,0.0,1.0
2013-06-20,15.19,15.28,14.75,14.82,57313900,0.0,1.0
2013-06-21,15.02,15.055,14.59,15.0,48218100,0.0,1.0
2013-06-24,14.67,14.83,14.3,14.67,58598000,0.0,1.0
2013-06-25,14.85,15.0,14.84,14.97,34031900,0.0,1.0
2013-06-26,15.16,15.31,15.095,15.29,39595100,0.0,1.0
2013-06-27,15.43,15.7,15.39,15.65,35859600,0.0,1.0
2013-06-28,15.56,15.65,15.44,15.47,45034700,0.0,1.0
2013-07-01,15.61,15.79,15.555,15.74,36012200,0.0,1.0
2013-07-02,15.76,16.21,15.69,16.18,70275900,0.0,1.0
2013-07-03,16.15,16.45,16.14,16.43,38114000,0.0,1.0
2013-07-05,16.53,16.74,16.48,16.7,44728400,0.0,1.0
2013-07-08,16.85,16.93,16.75,16.81,42019600,0.0,1.0
2013-07-09,16.86,16.94,16.72,16.84,33762200,0.0,1.0
2013-07-10,16.76,16.88,16.65,16.72,38162900,0.0,1.0
2013-07-11,16.95,16.99,16.86,16.98,34601800,0.0,1.0
2013-07-12,16.98,17.11,16.9698,17.11,27297500,0.0,1.0
2013-07-15,17.24,17.29,17.1,17.12,26663500,0.0,1.0
2013-07-16,16.95,16.95,16.41,16.6,63282600,0.0,1.0
2013-07-17,16.64,16.83,16.62,16.78,27888100,0.0,1.0
2013-07-18,16.82,16.98,16.78,16.93,24606400,0.0,1.0
2013-07-19,16.89,16.89,16.65,16.76,29592500,0.0,1.0
2013-07-22,16.87,17.04,16.83,17.04,28745600,0.0,1.0
2013-07-23,17.16,17.17,16.82,16.94,35016900,0.0,1.0
2013-07-24,17.48,17.675,17.25,17.37,78608500,0.0,1.0
2013-07-25,17.26,17.27,16.88,16.96,51510200,0.0,1.0
2013-07-26,16.92,17.13,16.9,17.02,30356000,0.0,1.0
2013-07-29,17.08,17.19,17.05,17.08,27823400,0.0,1.0
2013-07-30,17.19,17.25,17.06,17.08,25879200,0.0,1.0
2013-07-31,17.09,17.15,16.84,16.88,42156300,0.1,1.0
2013-08-01,17.04,17.21,16.95,17.19,39519600,0.0,1.0
2013-08-02,17.15,17.5,17.12,17.5,32233600,0.0,1.0
2013-08-05,17.44,17.5,17.11,17.19,53813000,0.0,1.0
2013-08-06,17.18,17.23,17.0,17.03,29014000,0.0,1.0
2013-08-07,16.95,16.96,16.72,16.77,33058100,0.0,1.0
2013-08-08,16.94,17.03,16.87,16.98,26626200,0.0,1.0
2013-08-09,16.95,17.11,16.94,17.02,25625300,0.0,1.0
2013-08-12,16.91,17.14,16.89,17.07,23170600,0.0,1.0
2013-08-13,17.15,17.21,16.96,17.06,22372000,0.0,1.0
2013-08-14,17.04,17.06,16.85,16.89,29255700,0.0,1.0
2013-08-15,16.71,16.73,16.22,16.43,55905300,0.0,1.0
2013-08-16,16.45,16.6,16.22,16.3,30477300,0.0,1.0
2013-08-19,16.29,16.31,16.11,16.12,28013600,0.0,1.0
2013-08-20,16.06,16.36,15.82,16.31,42599300,0.0,1.0
2013-08-21,16.31,16.42,16.11,16.25,34926600,0.0,1.0
2013-08-22,16.29,16.49,16.25,16.41,16464700,0.0,1.0
2013-08-23,16.47,16.52,16.35,16.45,21547100,0.0,1.0
2013-08-26,16.44,16.62,16.38,16.41,24792600,0.0,1.0
