date,open,high,low,close,volume,dividend,split
2012-11-01,45.64,45.76,44.87,44.91,2638500,0.0,1.0
2012-11-02,45.19,45.242,44.41,44.46,2420700,0.0,1.0
2012-11-05,43.73,43.75,42.46,42.55,3349800,0.55,1.0
2012-11-06,42.6,43.31,42.55,43.2,2804800,0.0,1.0
2012-11-07,42.94,42.94,42.11,42.3,2492800,0.0,1.0
2012-11-08,42.4,43.42,42.4,42.91,3080800,0.0,1.0
2012-11-09,42.73,43.04,42.4,42.48,1920400,0.0,1.0
2012-11-12,42.43,42.47,41.74,41.88,1317000,0.0,1.0
2012-11-13,41.69,42.4,41.58,42.1,1610900,0.0,1.0
2012-11-14,42.12,42.23,41.24,41.31,2160200,0.0,1.0
2012-11-15,41.31,41.62,40.76,41.16,3161300,0.0,1.0
2012-11-16,41.21,41.57,40.905,41.37,2810100,0.0,1.0
2012-11-19,41.67,41.71,41.17,41.56,2232200,0.0,1.0
2012-11-20,41.6,41.62,41.09,41.44,1806300,0.0,1.0
2012-11-21,41.49,41.63,40.71,41.2,2214600,0.0,1.0
2012-11-23,41.3,41.36,40.84,41.07,1099700,0.0,1.0
2012-11-26,41.0,42.04,41.0,41.77,2208900,0.0,1.0
2012-11-27,41.84,42.16,41.74,41.97,1871500,0.0,1.0
2012-11-28,41.99,42.51,41.7,42.5,1974600,0.0,1.0
2012-11-29,42.61,42.75,42.4,42.48,1651200,0.0,1.0
2012-11-30,42.52,42.865,42.33,42.46,3018800,0.0,1.0
2012-12-03,42.55,42.6,41.77,42.28,2628300,0.0,1.0
2012-12-04,42.3,42.43,41.67,41.71,2132000,0.0,1.0
2012-12-05,41.82,42.4,41.52,42.02,3541100,0.0,1.0
2012-12-06,42.05,42.1594,41.52,41.56,3247000,0.0,1.0
2012-12-07,41.61,41.76,41.35,41.45,2772700,0.0,1.0
2012-12-10,41.37,41.55,41.12,41.55,2047500,0.0,1.0
2012-12-11,41.58,41.87,41.27,41.5,3037100,0.0,1.0
2012-12-12,41.52,41.81,41.19,41.2,2728400,0.0,1.0
2012-12-13,41.17,41.21,40.5,40.72,2293600,0.0,1.0
2012-12-14,40.67,40.78,40.47,40.76,2227400,0.0,1.0
2012-12-17,40.78,41.24,40.78,41.23,2003200,0.0,1.0
2012-12-18,40.96,41.57,40.8,41.51,2619800,0.0,1.0
2012-12-19,41.58,41.64,41.3,41.5,3631200,0.0,1.0
2012-12-20,41.58,41.76,41.27,41.54,2906800,0.0,1.0
2012-12-21,41.43,41.88,41.4,41.61,5178000,0.0,1.0
2012-12-24,41.63,41.81,41.41,41.75,1348900,0.0,1.0
2012-12-26,41.75,41.8898,41.51,41.67,2058600,0.0,1.0
2012-12-27,41.6,41.75,40.97,41.65,2462600,0.0,1.0
2012-12-28,41.44,41.698,41.17,41.18,1509300,0.0,1.0
2012-12-31,41.19,41.82,40.85,41.76,2115200,0.0,1.0
2013-01-02,42.22,42.5,41.59,41.98,3738600,0.0,1.0
2013-01-03,41.97,42.29,41.87,42.04,2182600,0.0,1.0
2013-01-04,42.12,42.15,41.82,42.01,2636000,0.0,1.0
2013-01-07,41.93,41.93,41.44,41.49,1886000,0.0,1.0
2013-01-08,41.37,41.47,41.12,41.31,2204300,0.0,1.0
2013-01-09,41.33,41.36,40.01,40.22,5618700,0.0,1.0
2013-01-10,40.27,40.449,40.0,40.12,3606400,0.0,1.0
2013-01-11,39.74,40.03,39.5,39.89,4951900,0.0,1.0
2013-01-14,39.91,39.95,39.39,39.49,3108600,0.0,1.0
2013-01-15,39.49,39.92,39.37,39.87,3253800,0.0,1.0
2013-01-16,39.75,39.85,39.33,39.37,2820600,0.0,1.0
2013-01-17,39.49,39.6796,39.2,39.41,2006500,0.0,1.0
2013-01-18,39.52,39.89,39.51,39.89,2485000,0.0,1.0
2013-01-22,39.57,39.98,39.41,39.9,3529200,0.0,1.0
2013-01-23,39.76,39.76,39.18,39.3,3657600,0.0,1.0
2013-01-24,39.37,39.99,39.37,39.92,3550300,0.0,1.0
2013-01-25,39.97,40.39,39.75,40.27,9158800,0.0,1.0
2013-01-28,40.43,40.43,39.95,40.09,8437600,0.0,1.0
2013-01-29,40.1,40.635,40.09,40.6,9126900,0.0,1.0
2013-01-30,40.48,40.64,40.02,40.22,4022800,0.0,1.0
2013-01-31,40.1,40.53,40.09,40.49,2679900,0.0,1.0
2013-02-01,40.63,40.77,40.3101,40.49,3428000,0.0,1.0
2013-02-04,40.35,40.35,39.75,39.97,4008300,0.0,1.0
2013-02-05,39.56,39.85,39.47,39.57,3322200,0.55,1.0
2013-02-06,39.57,40.01,39.4,39.94,4166900,0.0,1.0
2013-02-07,39.92,40.4,39.87,40.15,4322900,0.0,1.0
2013-02-08,40.13,40.22,39.82,40.22,2337700,0.0,1.0
2013-02-11,40.18,40.28,39.86,40.25,5045900,0.0,1.0
2013-02-12,40.33,40.61,40.25,40.5,3786900,0.0,1.0
2013-02-13,40.58,40.86,40.57,40.68,3353400,0.0,1.0
2013-02-14,40.58,40.86,40.34,40.49,3441400,0.0,1.0
2013-02-15,40.55,40.63,40.34,40.57,1900100,0.0,1.0
2013-02-19,40.66,41.22,40.65,41.08,4146300,0.0,1.0
2013-02-20,40.96,41.3,40.49,40.56,6617500,0.0,1.0
2013-02-21,40.55,40.62,39.88,39.9,4271200,0.0,1.0
2013-02-22,40.08,40.54,40.01,40.54,3855700,0.0,1.0
2013-02-25,40.6,40.97,39.53,39.56,5605200,0.0,1.0
2013-02-26,39.55,39.63,38.2601,38.9,6490600,0.0,1.0
2013-02-27,38.98,39.51,38.98,39.45,2565900,0.0,1.0
2013-02-28,39.51,39.75,39.15,39.48,3360600,0.0,1.0
2013-03-01,39.55,39.62,39.315,39.5,2955300,0.0,1.0
2013-03-04,39.51,39.96,39.4,39.86,1891000,0.0,1.0
2013-03-05,39.91,40.15,39.84,40.06,2069700,0.0,1.0
2013-03-06,40.15,40.5,39.98,40.5,2312200,0.0,1.0
2013-03-07,40.53,40.76,40.5,40.76,3045000,0.0,1.0
2013-03-08,40.8,41.0,40.64,40.9,2169000,0.0,1.0
2013-03-11,40.81,41.17,40.78,41.17,1902500,0.0,1.0
2013-03-12,41.22,41.32,40.99,41.17,2131300,0.0,1.0
2013-03-13,41.17,41.32,40.88,41.31,2488400,0.0,1.0
2013-03-14,41.4,41.68,41.175,41.68,3148500,0.0,1.0
2013-03-15,41.33,42.12,41.31,42.1,4426000,0.0,1.0
2013-03-18,41.79,42.047,41.681,41.75,2160400,0.0,1.0
2013-03-19,41.86,42.01,41.38,41.6,2911300,0.0,1.0
2013-03-20,41.69,42.09,41.69,41.95,5069000,0.0,1.0
2013-03-21,41.84,41.94,41.48,41.48,2597300,0.0,1.0
2013-03-22,41.46,41.49,40.73,40.85,3187700,0.0,1.0
2013-03-25,40.87,41.21,40.54,40.76,2456000,0.0,1.0
2013-03-26,40.92,41.255,40.89,41.25,2095600,0.0,1.0
2013-03-27,41.06,41.7,41.0,41.65,2130200,0.0,1.0
2013-03-28,41.63,42.21,41.56,42.2,2533000,0.0,1.0
2013-04-01,42.2,42.2,41.91,42.04,1316900,0.0,1.0
2013-04-02,42.07,42.255,41.9,42.05,1812400,0.0,1.0
2013-04-03,42.07,42.15,41.76,42.01,1801500,0.0,1.0
2013-04-04,42.04,43.05,42.03,43.03,2908800,0.0,1.0
2013-04-05,42.65,44.13,42.57,44.09,4861300,0.0,1.0
2013-04-08,44.25,44.41,43.795,44.4,2651300,0.0,1.0
2013-04-09,44.39,44.96,44.17,44.71,5059800,0.0,1.0
2013-04-10,44.84,45.39,44.77,45.18,2680600,0.0,1.0
2013-04-11,45.25,45.81,45.18,45.47,2450300,0.0,1.0
2013-04-12,45.31,45.74,45.13,45.72,2159100,0.0,1.0
2013-04-15,45.56,45.83,45.05,45.05,1896200,0.0,1.0
2013-04-16,45.34,45.84,44.93,45.8,2000300,0.0,1.0
2013-04-17,45.61,45.61,45.09,45.28,2760700,0.0,1.0
2013-04-18,45.4,45.72,45.28,45.61,2300800,0.0,1.0
2013-04-19,45.74,45.92,45.02,45.65,3336200,0.0,1.0
2013-04-22,45.62,46.09,45.47,45.86,1878900,0.0,1.0
2013-04-23,46.0,46.0,45.59,45.91,1636900,0.0,1.0
2013-04-24,45.91,46.33,45.695,46.17,1951800,0.0,1.0
2013-04-25,46.19,46.33,45.62,46.3,7810300,0.0,1.0
2013-04-26,46.26,46.6,46.15,46.48,7550700,0.0,1.0
2013-04-29,46.63,46.69,45.57,46.32,8557800,0.0,1.0
2013-04-30,46.29,46.77,46.22,46.6,2094100,0.0,1.0
2013-05-01,46.53,46.7,46.18,46.28,1471700,0.0,1.0
2013-05-02,46.4,46.68,45.839,46.06,2340800,0.0,1.0
2013-05-03,45.7,45.7,44.95,44.99,3146600,0.55,1.0
2013-05-06,44.88,45.1,43.37,44.18,2537300,0.0,1.0
2013-05-07,44.36,44.65,43.85,44.1,2552800,0.0,1.0
2013-05-08,43.99,44.13,43.38,43.64,2275400,0.0,1.0
2013-05-09,43.55,43.68,42.625,42.78,5963100,0.0,1.0
2013-05-10,42.75,42.99,42.56,42.91,2444900,0.0,1.0
2013-05-13,42.78,42.9,42.33,42.66,1810500,0.0,1.0
2013-05-14,42.65,43.29,42.61,42.75,2352100,0.0,1.0
2013-05-15,42.73,43.4,42.52,43.2,2920600,0.0,1.0
2013-05-16,43.07,43.39,42.87,43.1,2317000,0.0,1.0
2013-05-17,43.2,43.831,43.19,43.78,2623800,0.0,1.0
2013-05-20,43.77,43.88,43.22,43.3,1794900,0.0,1.0
2013-05-21,43.28,43.9,43.05,43.87,3029000,0.0,1.0
2013-05-22,43.82,44.61,43.28,43.5,3609100,0.0,1.0
2013-05-23,43.08,43.208,42.25,42.99,3938800,0.0,1.0
2013-05-24,42.77,42.95,42.44,42.62,3105400,0.0,1.0
2013-05-28,40.89,40.89,39.32,39.86,12520800,0.0,1.0
2013-05-29,39.49,39.63,38.83,39.22,5682400,0.0,1.0
2013-05-30,39.61,40.22,39.08,39.09,4229200,0.0,1.0
2013-05-31,39.0,39.55,38.95,39.01,4018300,0.0,1.0
2013-06-03,39.29,39.72,38.85,39.16,6413100,0.0,1.0
2013-06-04,39.16,39.28,38.83,39.07,2495100,0.0,1.0
2013-06-05,38.95,39.0,38.5693,38.68,2107600,0.0,1.0
2013-06-06,38.78,38.9,38.31,38.9,2505300,0.0,1.0
2013-06-07,39.0,39.21,38.59,38.94,1750500,0.0,1.0
2013-06-10,39.0,39.09,38.66,38.92,2503500,0.0,1.0
2013-06-11,38.65,39.0,38.52,38.57,1997900,0.0,1.0
2013-06-12,38.76,38.82,37.82,37.87,2049300,0.0,1.0
2013-06-13,37.92,38.595,37.84,38.58,2112700,0.0,1.0
2013-06-14,38.52,38.79,38.26,38.33,1465000,0.0,1.0
2013-06-17,38.41,38.57,37.98,38.15,3234900,0.0,1.0
2013-06-18,38.15,38.46,38.05,38.25,2808900,0.0,1.0
2013-06-19,38.25,38.4,37.22,37.22,2861600,0.0,1.0
2013-06-20,36.99,37.209,36.27,36.32,4089700,0.0,1.0
2013-06-21,36.555,36.93,36.09,36.51,5335200,0.0,1.0
2013-06-24,36.26,36.69,35.72,36.41,3509200,0.0,1.0
2013-06-25,36.56,37.16,36.42,36.93,2629300,0.0,1.0
2013-06-26,37.13,37.29,36.88,37.06,2146300,0.0,1.0
2013-06-27,37.23,37.67,36.925,37.1,2599600,0.0,1.0
2013-06-28,37.11,37.68,36.98,37.34,7370100,0.0,1.0
2013-07-01,37.52,37.57,36.18,36.31,4125400,0.0,1.0
2013-07-02,36.25,36.55,36.02,36.16,2503800,0.0,1.0
2013-07-03,36.05,36.22,35.87,36.16,1061200,0.0,1.0
2013-07-05,36.16,36.16,35.46,35.85,1517400,0.0,1.0
2013-07-08,36.0,36.62,35.91,36.51,2269800,0.0,1.0
2013-07-09,36.65,37.06,36.65,36.81,2453000,0.0,1.0
2013-07-10,36.73,37.08,36.52,36.81,1829300,0.0,1.0
2013-07-11,37.19,37.48,37.1,37.34,2406800,0.0,1.0
2013-07-12,37.3,37.47,36.985,37.45,1828200,0.0,1.0
2013-07-15,37.36,38.5,37.32,38.45,2204600,0.0,1.0
2013-07-16,38.44,38.53,37.972,38.33,4259900,0.0,1.0
2013-07-17,38.44,38.55,38.17,38.43,1720900,0.0,1.0
2013-07-18,38.42,39.1799,38.4,39.09,2275300,0.0,1.0
2013-07-19,39.07,39.15,38.59,38.92,1779300,0.0,1.0
2013-07-22,38.92,39.405,38.81,39.18,2261200,0.0,1.0
2013-07-23,39.12,39.34,38.89,39.17,1472200,0.0,1.0
2013-07-24,39.06,39.13,38.0,38.24,1959700,0.0,1.0
2013-07-25,38.18,38.65,37.99,38.26,8920700,0.0,1.0
2013-07-26,38.06,38.94,37.97,38.91,9422200,0.0,1.0
2013-07-29,38.77,39.6,38.72,39.18,8579700,0.0,1.0
2013-07-30,39.29,39.88,39.21,39.3,2836300,0.0,1.0
2013-07-31,39.19,39.23,38.02,38.07,5425500,0.0,1.0
2013-08-01,38.18,38.42,37.85,38.25,2879500,0.0,1.0
2013-08-02,38.36,38.44,37.8,38.13,2676600,0.0,1.0
2013-08-05,37.51,37.62,37.02,37.04,4160500,0.55,1.0
2013-08-06,37.49,39.01,36.41,38.01,8865400,0.0,1.0
2013-08-07,37.58,38.265,37.35,38.21,5149600,0.0,1.0
2013-08-08,38.26,38.47,37.98,38.41,3094200,0.0,1.0
2013-08-09,38.32,38.55,37.86,37.9,3145100,0.0,1.0
2013-08-12,37.75,37.8,36.975,37.34,3083000,0.0,1.0
2013-08-13,37.3,37.39,36.95,36.97,2872800,0.0,1.0
2013-08-14,36.94,37.27,36.78,37.18,2315000,0.0,1.0
2013-08-15,37.05,37.2,36.85,37.12,2881400,0.0,1.0
2013-08-16,37.04,37.1,36.46,36.81,4749800,0.0,1.0
