date,open,high,low,close,volume,dividend,split
2012-11-01,75.16,75.94,74.6356,75.39,966300,0.0,1.0
2012-11-02,75.82,75.85,74.88,75.24,888700,0.0,1.0
2012-11-05,74.85,75.19,74.42,74.82,737500,0.0,1.0
2012-11-06,74.86,76.11,74.84,75.5063,563600,0.0,1.0
2012-11-07,74.86,74.924,74.2,74.42,577100,0.0,1.0
2012-11-08,74.25,74.6,73.48,73.7,543900,0.0,1.0
2012-11-09,73.48,74.56,73.29,73.91,498700,0.0,1.0
2012-11-12,73.65,74.265,73.63,73.96,329600,0.0,1.0
2012-11-13,73.56,74.37,73.28,73.83,439200,0.0,1.0
2012-11-14,73.83,73.92,72.46,72.58,692200,0.0,1.0
2012-11-15,72.75,72.83,72.19,72.59,557600,0.0,1.0
2012-11-16,72.5,73.73,72.24,73.55,797600,0.0,1.0
2012-11-19,73.97,74.16,73.38,73.62,674700,0.0,1.0
2012-11-20,73.52,74.56,73.38,74.29,468500,0.0,1.0
2012-11-21,74.06,74.68,74.0122,74.66,323500,0.0,1.0
2012-11-23,75.16,75.43,74.7738,75.43,146900,0.0,1.0
2012-11-26,75.53,75.64,75.04,75.38,441400,0.0,1.0
2012-11-27,75.25,75.67,75.08,75.13,274100,0.0,1.0
2012-11-28,75.04,75.67,74.78,75.59,629900,0.0,1.0
2012-11-29,75.72,76.18,75.61,76.13,305000,0.0,1.0
2012-11-30,76.18,77.02,76.06,76.99,818400,0.0,1.0
2012-12-03,77.13,77.42,76.8,76.9,481300,0.0,1.0
2012-12-04,76.66,77.69,76.66,77.68,630100,0.0,1.0
2012-12-05,77.7,80.4,77.38,79.7077,1727400,0.0,1.0
2012-12-06,79.72,80.52,79.13,79.89,1013000,0.0,1.0
2012-12-07,80.26,80.73,79.15,79.81,996200,0.0,1.0
2012-12-10,79.49,80.34,79.45,80.11,864300,0.0,1.0
2012-12-11,80.2,81.26,80.19,80.67,1270100,0.0,1.0
2012-12-12,80.71,81.13,80.2,80.24,881100,0.0,1.0
2012-12-13,80.52,80.89,79.481,79.93,1018800,0.0,1.0
2012-12-14,79.82,80.18,79.58,79.67,1030500,0.0,1.0
2012-12-17,79.71,80.83,79.5663,80.5,1131500,0.0,1.0
2012-12-18,80.86,81.17,80.26,81.11,896800,0.0,1.0
2012-12-19,81.01,81.1978,79.69,79.69,1429700,0.0,1.0
2012-12-20,79.4,80.37,79.34,80.22,911900,0.0,1.0
2012-12-21,79.73,80.01,79.12,79.7,1907500,0.0,1.0
2012-12-24,79.28,80.19,79.09,79.74,243000,0.0,1.0
2012-12-26,79.85,79.97,78.63,78.94,409500,0.0,1.0
2012-12-27,78.72,79.39,78.19,79.13,647900,0.0,1.0
2012-12-28,78.41,79.24,78.39,78.52,476400,0.0,1.0
2012-12-31,78.63,79.1,78.04,79.03,569200,0.0,1.0
2013-01-02,80.28,81.28,80.01,81.28,892800,0.0,1.0
2013-01-03,80.98,81.42,80.4,80.67,505300,0.0,1.0
2013-01-04,80.93,80.93,80.29,80.7,463000,0.0,1.0
2013-01-07,80.5373,81.38,80.11,81.21,606500,0.0,1.0
2013-01-08,81.16,81.84,80.57,81.6,738200,0.0,1.0
2013-01-09,82.0,82.9,81.7,82.84,684300,0.0,1.0
2013-01-10,83.36,83.36,82.36,83.2,546700,0.0,1.0
2013-01-11,82.39,83.4266,82.39,82.98,647600,0.0,1.0
2013-01-14,82.85,83.2,82.69,82.9,414000,0.0,1.0
2013-01-15,79.03,81.3,79.03,80.47,3087100,0.0,1.0
2013-01-16,80.32,80.74,79.92,80.47,1197100,0.0,1.0
2013-01-17,81.01,81.39,80.75,81.08,765400,0.0,1.0
2013-01-18,81.08,81.47,80.55,81.24,1064100,0.0,1.0
2013-01-22,81.35,81.79,81.07,81.73,1111000,0.0,1.0
2013-01-23,81.53,81.785,81.06,81.23,1135000,0.0,1.0
2013-01-24,81.19,81.96,80.24,80.4,989700,0.0,1.0
2013-01-25,80.91,81.12,80.33,80.85,676300,0.0,1.0
2013-01-28,81.22,81.22,80.52,80.78,1008100,0.0,1.0
2013-01-29,80.78,81.13,80.52,80.94,613400,0.0,1.0
2013-01-30,81.06,81.08,80.56,80.92,447500,0.0,1.0
2013-01-31,81.09,81.24,80.23,80.31,513200,0.0,1.0
2013-02-01,81.08,81.59,80.99,81.35,814300,0.0,1.0
2013-02-04,80.76,81.13,80.06,80.09,647700,0.0,1.0
2013-02-05,80.73,81.02,80.17,80.81,859900,0.0,1.0
2013-02-06,80.65,81.01,79.86,80.32,1040000,0.0,1.0
2013-02-07,80.2,80.34,79.75,79.96,1177700,0.0,1.0
2013-02-08,80.1,80.68,79.97,80.48,639600,0.0,1.0
2013-02-11,80.66,81.07,80.58,80.84,716000,0.0,1.0
2013-02-12,80.58,80.9,80.37,80.54,520600,0.0,1.0
2013-02-13,80.45,80.75,80.24,80.55,467000,0.0,1.0
2013-02-14,80.3,80.63,79.63,80.16,696400,0.0,1.0
2013-02-15,80.18,80.95,79.91,80.87,799700,0.0,1.0
2013-02-19,80.76,81.37,80.76,81.02,919500,0.0,1.0
2013-02-20,81.22,81.805,80.68,80.69,735300,0.0,1.0
2013-02-21,80.41,80.46,79.28,79.5,612800,0.0,1.0
2013-02-22,79.67,80.25,79.5,80.24,622800,0.0,1.0
2013-02-25,80.26,81.1804,79.51,79.59,779000,0.0,1.0
2013-02-26,79.79,80.82,79.6395,80.76,663200,0.0,1.0
2013-02-27,80.17,81.59,80.1501,81.34,1344000,0.0,1.0
2013-02-28,81.23,82.45,81.23,82.24,1321000,0.0,1.0
2013-03-01,82.08,82.14,81.18,81.5,687700,0.0,1.0
2013-03-04,81.33,82.83,81.33,82.82,715100,0.0,1.0
2013-03-05,82.96,84.6,82.88,84.59,894600,0.0,1.0
2013-03-06,84.59,84.98,83.71,83.96,596000,0.0,1.0
2013-03-07,84.07,84.58,83.62,84.07,656000,0.0,1.0
2013-03-08,84.4,84.77,84.01,84.71,591800,0.0,1.0
2013-03-11,84.5,84.85,84.405,84.69,273100,0.0,1.0
2013-03-12,84.61,84.81,84.07,84.7,304700,0.0,1.0
2013-03-13,84.97,84.98,84.44,84.87,285800,0.0,1.0
2013-03-14,85.0,85.29,84.74,85.29,846700,0.0,1.0
2013-03-15,84.96,85.68,84.88,85.45,1044600,0.0,1.0
2013-03-18,84.63,85.31,84.61,85.02,567900,0.0,1.0
2013-03-19,85.27,85.4299,84.51,85.08,391200,0.0,1.0
2013-03-20,85.73,85.98,85.17,85.76,334000,0.0,1.0
2013-03-21,85.0,85.46,84.93,85.31,466800,0.0,1.0
2013-03-22,85.75,86.16,85.34,86.09,359400,0.0,1.0
2013-03-25,86.62,86.65,85.26,85.71,321900,0.0,1.0
2013-03-26,86.38,86.78,85.8101,86.52,285000,0.0,1.0
2013-03-27,86.17,86.57,85.45,86.32,243300,0.0,1.0
2013-03-28,86.13,87.91,86.1,87.86,704500,0.0,1.0
2013-04-01,87.96,87.99,86.86,87.01,327900,0.0,1.0
2013-04-02,87.32,87.49,86.74,87.05,379900,0.0,1.0
2013-04-03,87.09,87.09,85.54,85.83,500400,0.0,1.0
2013-04-04,86.03,86.51,85.81,86.24,358600,0.0,1.0
2013-04-05,85.06,85.44,84.38,84.84,386900,0.0,1.0
2013-04-08,84.72,85.66,84.71,85.66,286900,0.0,1.0
2013-04-09,86.07,86.4,85.225,86.23,411600,0.0,1.0
2013-04-10,86.21,88.39,86.1,88.35,593100,0.0,1.0
2013-04-11,88.25,88.77,87.944,88.39,494800,0.0,1.0
2013-04-12,87.86,88.08,87.28,87.83,445000,0.0,1.0
2013-04-15,87.51,87.81,85.7,85.71,470500,0.0,1.0
2013-04-16,86.01,87.53,85.545,87.48,523700,0.0,1.0
2013-04-17,87.07,87.07,86.04,86.74,531800,0.0,1.0
2013-04-18,86.86,87.16,85.6,86.0,365800,0.0,1.0
2013-04-19,85.58,87.44,85.411,87.32,544800,0.0,1.0
2013-04-22,87.49,87.88,86.37,87.67,319400,0.0,1.0
2013-04-23,87.9,88.5,87.23,88.27,441200,0.0,1.0
2013-04-24,88.23,89.4,87.95,89.33,390200,0.0,1.0
2013-04-25,89.8,90.41,89.43,90.17,584200,0.0,1.0
2013-04-26,90.29,90.61,89.93,90.13,504600,0.0,1.0
2013-04-29,90.1,90.93,90.02,90.84,590300,0.0,1.0
2013-04-30,90.78,91.16,90.4,91.11,831400,0.0,1.0
2013-05-01,86.83,89.5,86.72,86.93,1582800,0.0,1.0
2013-05-02,87.27,87.65,86.25,86.3,1095300,0.0,1.0
2013-05-03,87.0,87.14,86.61,86.8,1024600,0.0,1.0
2013-05-06,86.98,87.34,86.34,86.52,901600,0.0,1.0
2013-05-07,86.52,88.13,86.4,88.0,970000,0.0,1.0
2013-05-08,87.95,88.77,87.705,88.73,775300,0.0,1.0
2013-05-09,88.78,89.561,88.76,88.99,544000,0.0,1.0
2013-05-10,88.95,89.57,88.9,89.52,462800,0.0,1.0
2013-05-13,89.63,89.86,89.09,89.39,346200,0.0,1.0
2013-05-14,89.26,89.88,89.148,89.8,572800,0.0,1.0
2013-05-15,89.73,90.3,89.35,90.26,478700,0.0,1.0
2013-05-16,89.74,90.55,88.92,88.95,430300,0.0,1.0
2013-05-17,89.63,90.6,89.18,90.59,599600,0.0,1.0
2013-05-20,90.17,90.68,89.82,90.202,515100,0.0,1.0
2013-05-21,90.11,90.73,89.85,90.0,523200,0.0,1.0
2013-05-22,90.17,90.41,88.97,89.35,978900,0.0,1.0
2013-05-23,89.09,89.44,88.68,88.8,493100,0.0,1.0
2013-05-24,88.21,88.24,87.59,88.09,571000,0.0,1.0
2013-05-28,88.7,89.62,88.51,89.39,420400,0.0,1.0
2013-05-29,88.79,89.03,87.7,87.79,535100,0.0,1.0
2013-05-30,87.77,88.78,87.72,88.5,722900,0.0,1.0
2013-05-31,88.21,88.96,87.05,87.16,1180300,0.0,1.0
2013-06-03,87.67,87.96,86.38,87.21,969500,0.0,1.0
2013-06-04,87.51,87.59,85.94,86.31,820900,0.0,1.0
2013-06-05,86.13,86.44,85.04,85.21,656600,0.0,1.0
2013-06-06,85.37,85.67,84.6,85.48,586000,0.0,1.0
2013-06-07,86.1,86.89,85.95,86.52,535100,0.0,1.0
2013-06-10,86.55,86.63,85.96,86.42,481100,0.0,1.0
2013-06-11,85.78,87.43,85.49,86.66,492500,0.0,1.0
2013-06-12,87.17,87.4,85.93,85.93,475000,0.0,1.0
2013-06-13,86.05,88.07,85.55,87.895,447300,0.0,1.0
2013-06-14,87.99,87.99,86.595,86.98,437500,0.0,1.0
2013-06-17,87.29,88.5,86.77,87.89,526200,0.0,1.0
2013-06-18,87.67,88.73,87.67,88.64,435000,0.0,1.0
2013-06-19,88.66,89.34,88.05,88.16,621900,0.0,1.0
2013-06-20,87.38,87.38,85.98,86.03,549900,0.0,1.0
2013-06-21,86.49,86.97,84.99,86.5,1190200,0.0,1.0
2013-06-24,86.04,86.41,85.45,85.45,667600,0.0,1.0
2013-06-25,86.11,86.652,85.06,86.42,353000,0.0,1.0
2013-06-26,87.01,87.34,86.51,86.74,445600,0.0,1.0
2013-06-27,87.01,88.16,86.74,88.06,486000,0.0,1.0
2013-06-28,87.32,88.19,86.85,87.41,1080100,0.0,1.0
2013-07-01,87.7,88.666,87.13,87.29,548600,0.0,1.0
2013-07-02,86.94,87.98,86.61,86.85,425100,0.0,1.0
2013-07-03,86.28,88.6,86.28,87.92,313500,0.0,1.0
2013-07-05,88.46,89.51,88.08,88.96,396800,0.0,1.0
2013-07-08,90.0,90.51,89.44,89.45,782500,0.0,1.0
2013-07-09,89.95,90.11,89.38,89.47,653500,0.0,1.0
