date,open,high,low,close,volume,dividend,split
2012-11-01,14.51,14.57,14.4175,14.555,11857700,0.0,1.0
2012-11-02,14.56,14.68,14.331,14.38,8280600,0.0,1.0
2012-11-05,14.39,14.39,14.18,14.32,5384500,0.0,1.0
2012-11-06,14.35,14.63,14.35,14.59,7247700,0.0,1.0
2012-11-07,14.49,14.5,14.0982,14.12,11696800,0.0,1.0
2012-11-08,14.16,14.37,14.04,14.04,9446800,0.0,1.0
2012-11-09,14.05,14.28,13.88,14.16,12520100,0.0,1.0
2012-11-12,14.18,14.25,14.12,14.225,6159500,0.0,1.0
2012-11-13,14.14,14.31,13.99,14.0,8086000,0.0,1.0
2012-11-14,14.03,14.109,13.75,13.805,10156900,0.0,1.0
2012-11-15,13.8,14.065,13.75,14.0,9942000,0.0,1.0
2012-11-16,13.99,14.18,13.9,14.1,8163200,0.0,1.0
2012-11-19,14.3,14.53,14.28,14.475,11313600,0.0,1.0
2012-11-20,14.41,14.73,14.35,14.6,9104800,0.0,1.0
2012-11-21,14.62,14.65,14.44,14.58,5076600,0.0,1.0
2012-11-23,14.65,14.89,14.6,14.89,2719700,0.0,1.0
2012-11-26,14.76,14.83,14.63,14.725,7074900,0.0,1.0
2012-11-27,14.64,14.81,14.53,14.545,9561900,0.0,1.0
2012-11-28,14.5,14.67,14.33,14.67,7759100,0.0,1.0
2012-11-29,14.75,14.7999,14.62,14.66,6540200,0.0,1.0
2012-11-30,14.7,14.77,14.56,14.64,7091300,0.0,1.0
2012-12-03,14.69,14.69,14.34,14.41,11941400,0.0,1.0
2012-12-04,14.44,14.45,14.05,14.14,13866500,0.0,1.0
2012-12-05,14.19,14.43,14.1,14.36,12657200,0.0,1.0
2012-12-06,14.39,14.39,14.245,14.335,7240100,0.0,1.0
2012-12-07,14.4,14.54,14.35,14.535,7592500,0.0,1.0
2012-12-10,14.52,14.68,14.47,14.555,8968400,0.0,1.0
2012-12-11,14.58,14.7,14.46,14.53,7234400,0.0,1.0
2012-12-12,14.56,14.76,14.54,14.62,9424000,0.0,1.0
2012-12-13,14.77,14.77,14.44,14.51,9131400,0.0,1.0
2012-12-14,14.5,14.515,14.33,14.36,5985000,0.0,1.0
2012-12-17,14.43,14.7,14.4175,14.665,9203000,0.0,1.0
2012-12-18,14.74,15.12,14.67,15.08,13977300,0.0,1.0
2012-12-19,15.15,15.18,14.91,14.95,7673900,0.0,1.0
2012-12-20,14.94,15.17,14.93,15.14,8822400,0.0,1.0
2012-12-21,14.95,15.18,14.75,15.12,14283000,0.0,1.0
2012-12-24,15.12,15.2,14.97,15.04,3255700,0.0,1.0
2012-12-26,15.07,15.31,15.0,15.135,6981100,0.0,1.0
2012-12-27,15.03,15.13,14.93,15.08,12407400,0.1,1.0
2012-12-28,14.97,15.13,14.93,14.99,7252900,0.0,1.0
2012-12-31,14.92,15.21,14.91,15.2,8068600,0.0,1.0
2013-01-02,15.46,15.77,15.43,15.77,13866300,0.0,1.0
2013-01-03,15.76,15.77,15.52,15.63,11670500,0.0,1.0
2013-01-04,15.51,15.7,15.48,15.69,14800100,0.0,1.0
2013-01-07,15.62,15.655,15.44,15.58,10651000,0.0,1.0
2013-01-08,15.63,15.645,15.4,15.44,10703400,0.0,1.0
2013-01-09,15.49,15.59,15.36,15.41,9882600,0.0,1.0
2013-01-10,15.52,15.72,15.46,15.7,11495700,0.0,1.0
2013-01-11,15.69,15.69,15.35,15.47,10867300,0.0,1.0
2013-01-14,15.49,15.5,15.28,15.35,7942100,0.0,1.0
