date,open,high,low,close,volume,dividend,split
2012-11-01,53.47,54.71,53.27,54.67,1165900,0.0,1.0
2012-11-02,54.94,55.1432,54.08,54.12,614600,0.0,1.0
2012-11-05,53.93,54.91,53.77,54.82,442900,0.0,1.0
2012-11-06,54.8,55.06,54.49,54.63,489900,0.0,1.0
2012-11-07,54.01,54.12,53.21,53.5,441900,0.0,1.0
2012-11-08,53.5,53.67,52.37,52.84,598700,0.0,1.0
2012-11-09,52.63,53.91,52.61,53.22,748200,0.0,1.0
2012-11-12,53.32,53.41,52.79,52.81,362500,0.0,1.0
2012-11-13,52.55,53.15,52.255,52.26,408800,0.0,1.0
2012-11-14,52.27,52.61,51.27,51.4,610400,0.0,1.0
2012-11-15,51.37,51.5527,50.76,51.44,707700,0.0,1.0
2012-11-16,51.34,52.14,51.12,51.64,755400,0.0,1.0
2012-11-19,52.34,54.08,52.2612,53.74,729100,0.0,1.0
2012-11-20,53.55,54.53,53.525,54.14,685200,0.0,1.0
2012-11-21,54.24,54.5,53.87,53.88,718600,0.0,1.0
2012-11-23,54.22,54.98,54.22,54.8,376000,0.0,1.0
2012-11-26,54.7,55.5,54.52,55.5,711700,0.0,1.0
2012-11-27,55.31,55.89,55.22,55.46,616300,0.0,1.0
2012-11-28,55.06,55.65,54.27,55.49,525000,0.0,1.0
2012-11-29,55.78,55.95,55.25,55.5,485100,0.0,1.0
2012-11-30,55.52,55.91,55.12,55.46,874400,0.0,1.0
2012-12-03,55.8,55.95,53.83,53.89,703000,0.0,1.0
2012-12-04,53.95,54.46,53.55,53.86,560800,0.0,1.0
2012-12-05,53.89,54.22,53.15,53.98,845900,0.0,1.0
2012-12-06,53.72,53.78,52.81,53.06,1032500,0.0,1.0
2012-12-07,53.29,53.3089,52.75,53.08,563200,0.0,1.0
2012-12-10,53.11,53.86,52.72,53.74,1038100,0.0,1.0
2012-12-11,53.91,54.22,53.77,54.21,850300,0.0,1.0
2012-12-12,54.49,57.46,54.22,56.8,2646100,0.0,1.0
2012-12-13,56.72,57.57,56.26,56.8,1685100,0.0,1.0
2012-12-14,56.51,57.24,56.38,56.79,992000,0.0,1.0
2012-12-17,57.0,57.35,56.61,57.33,817200,0.0,1.0
2012-12-18,57.33,58.28,57.24,58.17,1058400,0.0,1.0
2012-12-19,58.26,58.38,57.83,58.02,733600,0.0,1.0
2012-12-20,57.94,58.7,57.53,58.59,1021700,0.0,1.0
2012-12-21,57.98,58.32,57.83,58.01,1070400,0.0,1.0
2012-12-24,57.99,58.75,57.75,58.58,303000,0.0,1.0
2012-12-26,58.79,59.08,57.541,57.7,872300,0.0,1.0
2012-12-27,57.8,58.34,57.35,57.94,935000,0.135,1.0
2012-12-28,57.45,57.8199,57.22,57.27,703200,0.0,1.0
2012-12-31,57.17,58.53,57.12,58.52,743400,0.0,1.0
2013-01-02,59.66,59.99,59.02,59.42,831700,0.0,1.0
2013-01-03,59.48,59.825,58.69,58.91,570600,0.0,1.0
2013-01-04,58.92,59.265,58.82,59.13,494700,0.0,1.0
2013-01-07,59.04,59.98,58.8,59.95,600500,0.0,1.0
2013-01-08,60.08,60.47,59.13,60.41,870900,0.0,1.0
2013-01-09,60.64,61.83,60.5,61.6,967400,0.0,1.0
2013-01-10,61.89,61.93,60.85,61.86,693400,0.0,1.0
2013-01-11,61.93,61.93,61.07,61.4,756300,0.0,1.0
2013-01-14,61.32,61.76,61.16,61.31,462500,0.0,1.0
2013-01-15,61.12,61.62,60.98,61.16,551300,0.0,1.0
2013-01-16,60.84,60.99,60.11,60.83,730400,0.0,1.0
2013-01-17,61.01,61.15,60.55,60.83,586900,0.0,1.0
2013-01-18,60.55,60.96,60.0,60.61,1155200,0.0,1.0
2013-01-22,60.98,61.72,60.62,61.37,633200,0.0,1.0
2013-01-23,61.1,61.39,60.74,60.88,659500,0.0,1.0
2013-01-24,61.08,61.5,60.795,61.28,582000,0.0,1.0
2013-01-25,61.63,61.8799,61.06,61.87,693000,0.0,1.0
2013-01-28,62.06,62.06,60.7,61.38,565400,0.0,1.0
2013-01-29,61.2,61.83,61.034,61.79,351600,0.0,1.0
2013-01-30,61.65,61.97,61.4504,61.54,508300,0.0,1.0
2013-01-31,61.28,61.695,61.03,61.47,453600,0.0,1.0
2013-02-01,61.98,62.63,61.44,62.42,706800,0.0,1.0
2013-02-04,62.22,62.335,61.8,62.12,598300,0.0,1.0
2013-02-05,62.39,63.15,62.172,62.6,805300,0.0,1.0
2013-02-06,62.29,62.69,61.54,61.85,924900,0.0,1.0
2013-02-07,61.7,61.7,59.4,59.77,1647400,0.0,1.0
2013-02-08,59.71,60.09,59.06,59.82,1126400,0.0,1.0
2013-02-11,59.93,60.12,59.18,59.2,957000,0.0,1.0
2013-02-12,59.6,59.6,58.01,58.13,1594300,0.0,1.0
2013-02-13,58.25,59.0,58.25,58.81,1105000,0.0,1.0
2013-02-14,58.59,59.08,58.25,59.01,922900,0.0,1.0
2013-02-15,59.02,59.89,59.0,59.47,1188500,0.0,1.0
2013-02-19,59.73,60.22,59.32,59.32,1228500,0.0,1.0
2013-02-20,59.3,59.53,58.16,58.23,1419000,0.0,1.0
2013-02-21,57.92,57.92,57.0,57.46,1519900,0.0,1.0
2013-02-22,57.57,58.76,57.53,58.71,723200,0.0,1.0
2013-02-25,58.94,59.18,57.51,57.51,1199800,0.0,1.0
2013-02-26,57.79,58.715,57.66,58.52,905800,0.0,1.0
2013-02-27,58.57,59.98,58.47,59.65,613200,0.0,1.0
2013-02-28,59.68,60.665,59.62,60.26,1566500,0.0,1.0
