date,open,high,low,close,volume,dividend,split
2012-11-01,68.29,69.74,68.016,69.42,2200600,0.0,1.0
2012-11-02,69.74,69.88,68.655,68.81,1866900,0.0,1.0
2012-11-05,68.81,68.81,67.97,68.37,1679900,0.0,1.0
2012-11-06,68.6,69.95,68.3,69.26,1635500,0.0,1.0
2012-11-07,68.07,68.1,65.77,66.59,3075200,0.0,1.0
2012-11-08,66.45,66.58,64.14,64.33,3382900,0.0,1.0
2012-11-09,64.31,65.16,64.14,64.45,2200900,0.0,1.0
2012-11-12,64.48,64.56,63.87,64.18,1416800,0.0,1.0
2012-11-13,63.65,64.64,63.6,63.75,1376100,0.0,1.0
2012-11-14,63.92,63.94,62.02,62.2,1964600,0.0,1.0
2012-11-15,62.1,62.55,61.84,62.14,1705500,0.0,1.0
2012-11-16,62.18,62.59,61.7,62.13,2340400,0.0,1.0
2012-11-19,62.81,63.91,62.64,63.91,2273800,0.0,1.0
2012-11-20,63.83,63.85,63.12,63.75,1833100,0.0,1.0
2012-11-21,63.8,64.57,63.59,64.36,1005500,0.0,1.0
2012-11-23,64.59,65.41,64.34,65.41,553500,0.0,1.0
2012-11-26,65.0,65.19,64.64,65.06,1392600,0.0,1.0
2012-11-27,64.97,65.5,64.73,64.96,1668800,0.0,1.0
2012-11-28,64.48,65.72,64.41,65.71,1435200,0.0,1.0
2012-11-29,66.0,66.61,65.5,66.53,1946900,0.0,1.0
2012-11-30,66.5,66.61,66.1,66.5,1935000,0.0,1.0
2012-12-03,66.78,66.98,65.29,65.69,1151700,0.0,1.0
2012-12-04,65.68,66.52,65.58,66.44,1535900,0.0,1.0
2012-12-05,66.45,67.15,65.735,66.88,1760400,0.0,1.0
2012-12-06,66.8,66.85,65.87,66.7,1530600,0.0,1.0
2012-12-07,67.08,67.22,66.4,67.19,1174400,0.0,1.0
2012-12-10,67.19,68.3,66.91,68.25,1713700,0.0,1.0
2012-12-11,68.5,69.2,68.3,68.97,1864600,0.0,1.0
2012-12-12,69.13,69.57,68.79,68.9,1646700,0.0,1.0
2012-12-13,68.9,68.9875,67.9,68.0,1861400,0.0,1.0
2012-12-14,67.66,67.97,67.365,67.49,1445200,0.51,1.0
2012-12-17,67.63,68.38,67.5,68.0,1626800,0.0,1.0
2012-12-18,68.08,69.05,67.8221,69.01,1714500,0.0,1.0
2012-12-19,68.94,69.77,68.77,69.52,1713400,0.0,1.0
2012-12-20,69.61,70.28,69.17,70.28,1811000,0.0,1.0
