date,open,high,low,close,volume,dividend,split
2012-11-01,21.03,21.39,21.02,21.34,46231300,0.0,1.0
2012-11-02,21.53,21.68,21.26,21.31,47475200,0.0,1.0
2012-11-05,21.2,21.47,21.2,21.41,30000100,0.0,1.0
2012-11-06,21.51,21.775,21.45,21.59,32733200,0.0,1.0
2012-11-07,21.36,21.52,21.07,21.13,45253400,0.0,1.0
2012-11-08,21.16,21.19,20.88,20.89,40770700,0.0,1.0
2012-11-09,20.76,21.3,20.7,21.0,40306800,0.0,1.0
2012-11-12,21.04,21.14,20.88,20.89,21816400,0.0,1.0
2012-11-13,20.6,20.95,20.57,20.68,41073300,0.0,1.0
2012-11-14,20.73,20.75,19.95,20.01,65539500,0.0,1.0
2012-11-15,19.9,20.23,19.9,20.06,51760300,0.0,1.0
2012-11-16,20.1,20.19,19.87,20.15,45287500,0.0,1.0
2012-11-19,20.41,20.72,20.39,20.66,38283400,0.0,1.0
2012-11-20,20.67,20.69,20.37,20.62,26845900,0.0,1.0
2012-11-21,20.7,20.7399,20.57,20.68,41020400,0.0,1.0
2012-11-23,20.81,21.04,20.73,21.04,35456500,0.0,1.0
2012-11-26,20.88,21.07,20.87,21.06,47741300,0.0,1.0
2012-11-27,21.04,21.2,20.85,20.87,33001700,0.0,1.0
2012-11-28,20.75,21.15,20.5,21.14,34782700,0.0,1.0
2012-11-29,21.24,21.36,20.95,21.13,27632800,0.0,1.0
2012-11-30,21.14,21.26,21.04,21.13,37857000,0.0,1.0
2012-12-03,21.18,21.23,20.8,20.82,29981900,0.0,1.0
2012-12-04,20.87,21.01,20.71,20.86,36817200,0.0,1.0
2012-12-05,20.91,21.36,20.86,21.23,46466500,0.0,1.0
2012-12-06,21.2,21.39,21.08,21.37,32751200,0.0,1.0
2012-12-07,21.44,21.48,21.24,21.46,33548600,0.0,1.0
2012-12-10,21.43,21.5,21.36,21.39,27604300,0.0,1.0
2012-12-11,21.48,21.75,21.36,21.51,45757200,0.0,1.0
2012-12-12,21.61,21.95,21.57,21.78,42413600,0.0,1.0
2012-12-13,21.74,21.92,21.55,21.62,33966000,0.0,1.0
2012-12-14,21.61,21.76,21.55,21.62,47536600,0.0,1.0
2012-12-17,21.69,21.95,21.69,21.93,48483700,0.0,1.0
2012-12-18,21.85,21.91,21.41,21.69,81119200,0.0,1.0
2012-12-19,21.64,21.66,20.97,21.01,92330700,0.0,1.0
2012-12-20,20.91,21.24,20.87,21.05,50831400,0.19,1.0
2012-12-21,20.84,20.99,20.56,20.88,80833800,0.0,1.0
2012-12-24,20.79,20.96,20.75,20.82,15097200,0.0,1.0
2012-12-26,20.81,20.94,20.71,20.77,28557100,0.0,1.0
2012-12-27,20.8,20.87,20.4192,20.69,38330700,0.0,1.0
2012-12-28,20.45,20.71,20.43,20.44,32403400,0.0,1.0
2012-12-31,20.29,21.0,20.26,20.99,58785000,0.0,1.0
2013-01-02,21.51,21.54,21.2,21.34,46089500,0.0,1.0
2013-01-03,21.48,21.49,21.05,21.1,48509100,0.0,1.0
2013-01-04,21.21,21.26,21.12,21.2,29802600,0.0,1.0
2013-01-07,21.16,21.22,20.96,21.13,32746700,0.0,1.0
2013-01-08,21.1,21.12,20.6813,20.9,40045500,0.0,1.0
2013-01-09,21.04,21.07,20.93,20.95,28540500,0.0,1.0
2013-01-10,21.04,21.23,20.955,21.17,33348200,0.0,1.0
2013-01-11,21.22,21.24,21.02,21.13,41839700,0.0,1.0
2013-01-14,21.18,21.24,21.07,21.12,31715900,0.0,1.0
2013-01-15,21.04,21.21,21.01,21.2,26551000,0.0,1.0
2013-01-16,21.15,21.2,21.06,21.12,38932100,0.0,1.0
2013-01-17,21.22,21.54,21.12,21.3,63851700,0.0,1.0
2013-01-18,21.94,22.19,21.59,22.04,113079400,0.0,1.0
2013-01-22,22.18,22.2,21.9,22.01,55165800,0.0,1.0
2013-01-23,21.98,22.03,21.75,21.94,47228500,0.0,1.0
2013-01-24,21.96,22.19,21.95,22.05,46991100,0.0,1.0
2013-01-25,22.28,22.31,22.11,22.29,41919800,0.0,1.0
2013-01-28,22.44,22.54,22.26,22.5,49558400,0.0,1.0
2013-01-29,22.49,22.58,22.4,22.5,34148000,0.0,1.0
2013-01-30,22.52,22.55,22.23,22.23,36200400,0.0,1.0
2013-01-31,22.21,22.4,22.18,22.28,34427700,0.0,1.0
2013-02-01,22.43,22.64,22.32,22.62,43840300,0.0,1.0
