date,open,high,low,close,volume,dividend,split
2012-11-01,18.19,18.72,18.15,18.71,9615100,0.0,1.0
2012-11-02,18.85,18.89,18.73,18.8,9059500,0.0,1.0
2012-11-05,18.7,18.89,18.64,18.71,8600900,0.0,1.0
2012-11-06,18.71,19.04,18.7,18.85,7573100,0.0,1.0
2012-11-07,18.67,18.67,18.1,18.21,11106200,0.0,1.0
2012-11-08,18.19,18.27,17.94,17.95,5676500,0.0,1.0
2012-11-09,18.0,18.22,17.93,17.97,8216600,0.0,1.0
2012-11-12,18.01,18.06,17.92,17.96,4974900,0.0,1.0
2012-11-13,17.68,18.04,17.68,17.79,7497500,0.0,1.0
2012-11-14,17.91,18.0,17.49,17.525,6489900,0.0,1.0
2012-11-15,17.53,17.64,17.38,17.56,5747400,0.0,1.0
2012-11-16,17.53,18.06,17.405,17.97,12086000,0.0,1.0
2012-11-19,18.18,18.38,18.05,18.19,6376400,0.0,1.0
2012-11-20,18.11,18.18,17.86,18.02,4804000,0.0,1.0
2012-11-21,18.05,18.34,17.98,18.21,3030500,0.0,1.0
2012-11-23,18.35,18.49,18.25,18.47,2011200,0.0,1.0
2012-11-26,18.4,18.43,18.19,18.3,4161900,0.0,1.0
2012-11-27,18.31,18.52,18.01,18.015,6384700,0.0,1.0
2012-11-28,18.01,18.25,17.71,18.23,8241600,0.0,1.0
2012-11-29,18.39,18.78,18.35,18.62,7341000,0.0,1.0
2012-11-30,18.65,18.83,18.55,18.76,6193100,0.0,1.0
2012-12-03,18.94,19.08,18.52,18.6,7582500,0.0,1.0
2012-12-04,18.66,18.7,18.44,18.66,4390100,0.0,1.0
2012-12-05,18.65,18.9,18.54,18.87,9217600,0.0,1.0
2012-12-06,18.76,18.89,18.68,18.85,6291800,0.0,1.0
2012-12-07,18.9,19.02,18.71,18.945,6313400,0.0,1.0
2012-12-10,18.82,18.98,18.72,18.72,6224500,0.0,1.0
2012-12-11,18.84,19.11,18.8,19.09,4766900,0.0,1.0
2012-12-12,19.15,19.24,18.71,18.75,5149700,0.0,1.0
2012-12-13,18.82,18.99,18.425,18.54,7249700,0.0,1.0
2012-12-14,18.45,18.75,18.45,18.68,6958700,0.0,1.0
2012-12-17,18.73,18.89,18.39,18.52,7973700,0.0,1.0
2012-12-18,18.65,18.92,18.56,18.79,6606800,0.0,1.0
2012-12-19,18.89,19.0,18.6,18.61,5613800,0.0,1.0
2012-12-20,18.6,18.66,18.38,18.64,6491500,0.0,1.0
2012-12-21,18.47,18.6599,18.25,18.54,8342000,0.0,1.0
2012-12-24,18.56,18.7,18.4,18.42,1454900,0.0,1.0
2012-12-26,18.42,18.6099,18.22,18.31,2764300,0.0,1.0
2012-12-27,18.29,18.4,17.9,18.22,5699400,0.0,1.0
2012-12-28,18.13,18.33,17.98,18.16,3966100,0.0,1.0
2012-12-31,18.08,18.83,18.01,18.82,6955700,0.0,1.0
2013-01-02,19.19,19.5,19.1,19.495,8729700,0.0,1.0
2013-01-03,19.43,19.72,19.28,19.41,8920400,0.0,1.0
2013-01-04,19.41,19.7,19.37,19.62,5677000,0.0,1.0
2013-01-07,19.71,19.75,19.38,19.65,6350600,0.0,1.0
2013-01-08,19.65,19.7,19.25,19.42,6793200,0.0,1.0
2013-01-09,19.42,19.62,19.39,19.52,4168100,0.0,1.0
2013-01-10,19.59,20.0,19.5,19.94,8516300,0.0,1.0
2013-01-11,19.99,20.03,19.85,19.94,5157200,0.0,1.0
2013-01-14,19.89,20.04,19.79,19.91,5988100,0.0,1.0
2013-01-15,20.23,20.89,20.13,20.85,16400900,0.0,1.0
2013-01-16,20.74,20.9,20.58,20.71,9526500,0.0,1.0
2013-01-17,20.76,21.14,20.57,20.85,12157700,0.0,1.0
2013-01-18,20.84,20.92,20.455,20.68,10838800,0.0,1.0
