date,open,high,low,close,volume,dividend,split
2012-11-01,67.7,68.35,67.07,67.5,4351300,0.0,1.0
2012-11-02,67.7,67.7,66.46,67.01,5787800,0.0,1.0
2012-11-05,66.78,67.29,65.74,67.04,3644700,0.0,1.0
2012-11-06,67.17,67.96,66.6,67.47,3132400,0.0,1.0
2012-11-07,66.97,67.2199,65.33,65.45,6789600,0.0,1.0
2012-11-08,65.18,65.48,64.14,64.85,9142800,0.0,1.0
2012-11-09,64.61,66.35,64.52,65.01,9040800,0.0,1.0
2012-11-12,72.31,74.34,71.58,73.928,30777500,0.0,1.0
2012-11-13,74.27,75.48,72.55,72.69,18723300,0.0,1.0
2012-11-14,72.57,73.92,72.0,72.29,11692000,0.0,1.0
2012-11-15,72.05,73.07,71.11,72.89,8445900,0.0,1.0
2012-11-16,73.03,74.92,72.82,74.4,13255200,0.0,1.0
2012-11-19,74.72,75.24,73.76,74.82,9165000,0.0,1.0
2012-11-20,74.88,76.105,74.63,75.81,7641700,0.0,1.0
2012-11-21,75.74,75.99,74.78,75.55,4133700,0.0,1.0
2012-11-23,75.62,76.28,75.6,76.12,2027800,0.0,1.0
2012-11-26,75.64,75.85,74.68,75.47,5232200,0.0,1.0
2012-11-27,74.61,75.83,74.11,74.65,5513700,0.0,1.0
2012-11-28,74.55,74.95,73.021,74.88,5243200,0.0,1.0
2012-11-29,75.25,75.77,74.55,75.3,3845800,0.0,1.0
2012-11-30,75.38,75.57,74.61,75.0,4315100,0.0,1.0
2012-12-03,74.97,75.72,74.45,74.6106,4654300,0.0,1.0
2012-12-04,75.26,75.85,74.11,74.159,5315400,0.0,1.0
2012-12-05,75.11,75.13,73.75,74.5404,4850200,0.0,1.0
2012-12-06,74.83,74.9,73.67,73.81,6303000,0.0,1.0
2012-12-07,73.7,74.18,73.32,73.915,3809700,0.0,1.0
2012-12-10,74.25,74.71,73.98,74.25,4121000,0.0,1.0
2012-12-11,74.7199,76.76,74.53,76.34,9213600,0.0,1.0
2012-12-12,76.37,77.12,76.07,76.23,5835100,0.0,1.0
2012-12-13,75.98,76.43,74.48,74.77,5594000,0.0,1.0
2012-12-14,74.7,74.7,73.46,74.24,4999700,0.0,1.0
2012-12-17,74.49,75.47,73.49,75.46,5495500,0.0,1.0
2012-12-18,75.77,76.62,75.16,75.8501,4070300,0.0,1.0
2012-12-19,76.09,76.09,74.65,74.75,3612200,0.0,1.0
2012-12-20,74.96,75.05,73.49,73.66,4894400,0.0,1.0
2012-12-21,72.87,73.84,72.13,72.78,7906600,0.0,1.0
2012-12-24,72.54,72.98,72.44,72.66,1457200,0.0,1.0
2012-12-26,72.75,73.04,72.0,72.48,1963600,0.0,1.0
2012-12-27,72.48,73.35,71.36,72.6,4179600,0.0,1.0
2012-12-28,72.07,72.97,71.78,72.3782,3381900,0.0,1.0
2012-12-31,72.25,73.72,71.71,73.45,4274000,0.0,1.0
2013-01-02,74.31,75.06,73.87,75.06,3970900,0.0,1.0
2013-01-03,75.11,75.845,74.74,74.95,2982700,0.0,1.0
2013-01-04,75.2,76.05,74.85,75.7245,3563100,0.0,1.0
2013-01-07,76.89,77.08,76.2001,76.88,3974200,0.0,1.0
2013-01-08,76.82,78.41,76.81,77.4,6685700,0.0,1.0
2013-01-09,77.46,77.88,76.922,77.87,4128700,0.0,1.0
2013-01-10,78.09,78.59,76.96,77.94,4138500,0.0,1.0
2013-01-11,78.09,78.47,77.36,78.08,4131200,0.0,1.0
2013-01-14,78.44,78.5,77.485,77.77,4581100,0.0,1.0
2013-01-15,77.41,78.35,77.08,77.36,4663400,0.0,1.0
2013-01-16,77.3,77.452,76.59,77.17,5208000,0.0,1.0
2013-01-17,77.39,78.1,76.61,77.53,4424200,0.0,1.0
2013-01-18,77.55,78.32,77.4035,78.28,4924200,0.0,1.0
2013-01-22,78.58,78.68,77.49,77.91,4010400,0.0,1.0
2013-01-23,77.87,78.18,76.54,76.84,4493800,0.0,1.0
2013-01-24,77.3,78.75,77.09,78.4,5592900,0.0,1.0
2013-01-25,78.4,79.37,78.37,79.36,9122400,0.0,1.0
2013-01-28,40.06,40.19,39.205,39.44,2989450,0.0,2.0
2013-01-29,39.34,40.02,39.29,39.9,8439600,0.0,1.0
2013-01-30,39.97,40.39,39.65,39.85,7279700,0.0,1.0
2013-01-31,39.75,39.82,39.24,39.45,7956200,0.0,1.0
2013-02-01,40.17,41.14,39.94,40.56,13030400,0.0,1.0
2013-02-04,40.71,40.9,39.51,39.59,12765200,0.0,1.0
2013-02-05,40.15,41.34,40.15,40.54,11527200,0.0,1.0
2013-02-06,40.61,40.62,39.55,39.91,11644000,0.0,1.0
2013-02-07,39.78,40.46,39.4801,40.36,11699400,0.0,1.0
2013-02-08,40.32,41.27,40.15,40.9,8968800,0.0,1.0
2013-02-11,40.9,41.01,40.16,40.4,11061800,0.0,1.0
2013-02-12,40.46,40.95,40.3,40.83,9791000,0.0,1.0
2013-02-13,40.96,41.51,40.833,41.4,7962700,0.0,1.0
2013-02-14,41.18,41.75,41.11,41.6,8687400,0.0,1.0
2013-02-15,41.45,41.71,41.3,41.6,8020500,0.0,1.0
2013-02-19,42.25,43.04,42.06,42.28,11548300,0.0,1.0
2013-02-20,42.51,42.84,41.875,41.88,9391800,0.0,1.0
2013-02-21,41.82,41.8475,41.18,41.54,9769500,0.0,1.0
2013-02-22,41.66,42.49,41.6001,42.45,6138700,0.0,1.0
2013-02-25,42.77,43.35,42.06,42.09,9560900,0.0,1.0
2013-02-26,42.14,42.42,41.6901,42.25,7196000,0.0,1.0
2013-02-27,42.39,43.29,42.082,42.89,7986000,0.0,1.0
2013-02-28,43.03,43.18,42.71,42.72,10104200,0.0,1.0
2013-03-01,42.63,43.5,42.38,43.45,11294500,0.0,1.0
2013-03-04,43.53,43.88,43.18,43.87,8814000,0.0,1.0
2013-03-05,44.35,45.58,44.35,45.02,15086800,0.0,1.0
2013-03-06,45.23,45.447,44.64,45.4,8542200,0.0,1.0
2013-03-07,45.1,45.2,44.51,44.95,9176500,0.0,1.0
2013-03-08,45.24,45.55,44.5057,45.43,6885100,0.0,1.0
2013-03-11,45.495,45.95,45.18,45.94,7298000,0.0,1.0
2013-03-12,45.97,46.37,45.53,46.18,9915900,0.0,1.0
2013-03-13,46.15,46.15,45.605,45.87,6112100,0.0,1.0
2013-03-14,45.9,46.14,45.68,45.88,8979700,0.0,1.0
2013-03-15,45.81,46.0,44.96,45.17,14207400,0.0,1.0
2013-03-18,44.74,45.01,44.1,44.8,9084200,0.0,1.0
2013-03-19,44.81,45.0,43.78,44.38,9059300,0.0,1.0
2013-03-20,44.8099,44.82,44.285,44.52,7041300,0.0,1.0
2013-03-21,44.45,44.74,44.26,44.54,12615200,0.0,1.0
2013-03-22,45.13,45.56,44.84,45.51,8290600,0.0,1.0
2013-03-25,46.01,46.13,44.755,44.98,12174000,0.0,1.0
2013-03-26,45.15,45.89,45.11,45.76,7122900,0.0,1.0
2013-03-27,46.2,47.83,45.92,47.72,18418400,0.0,1.0
2013-03-28,47.86,49.48,47.85,48.94,18502100,0.0,1.0
2013-04-01,49.01,49.17,47.91,47.98,14403100,0.0,1.0
2013-04-02,48.33,48.38,47.97,48.2,15536500,0.0,1.0
2013-04-03,48.13,48.35,47.31,47.64,1979310,0.0,1.0
2013-04-04,47.8,48.35,47.57,47.74,2319120,0.0,1.0
2013-04-05,46.9,47.45,46.525,47.37,10958000,0.0,1.0
2013-04-08,47.25,47.61,46.85,47.2,9538000,0.0,1.0
2013-04-09,48.09,48.81,47.99,48.3,13126300,0.0,1.0
2013-04-10,48.52,49.85,48.5,49.73,10084900,0.0,1.0
2013-04-11,50.2,51.975,50.18,51.65,15567100,0.0,1.0
2013-04-12,51.66,52.43,51.39,51.93,10697000,0.0,1.0
2013-04-15,52.25,52.3598,50.62,50.68,13210200,0.0,1.0
2013-04-16,51.27,52.05,51.065,52.01,13561900,0.0,1.0
2013-04-17,51.7,52.2,50.73,51.94,12453000,0.0,1.0
2013-04-18,51.88,52.06,50.53,50.86,9391500,0.0,1.0
2013-04-19,50.66,53.98,50.66,53.17,20436500,0.0,1.0
2013-04-22,54.12,54.24,53.29,54.05,15188600,0.0,1.0
2013-04-23,54.4,55.16,52.58,53.33,13828200,0.0,1.0
2013-04-24,53.18,53.52,50.43,50.57,18388700,0.0,1.0
2013-04-25,51.3,51.84,50.91,51.43,10862700,0.0,1.0
2013-04-26,51.49,52.25,51.29,51.38,9678600,0.0,1.0
2013-04-29,51.36,51.63,50.77,51.09,10806000,0.0,1.0
2013-04-30,50.75,50.89,49.43,50.64,13550600,0.0,1.0
2013-05-01,50.45,50.645,49.86,50.14,9679100,0.0,1.0
2013-05-02,52.75,53.21,51.95,52.18,16602700,0.0,1.0
2013-05-03,54.55,56.35,54.52,55.15,17089300,0.0,1.0
2013-05-06,55.1801,55.6974,54.12,54.43,13330700,0.0,1.0
2013-05-07,54.37,54.6,52.82,53.13,14096100,0.0,1.0
2013-05-08,53.13,53.41,51.99,52.38,12612500,0.0,1.0
2013-05-09,52.58,53.22,52.25,52.79,9815900,0.0,1.0
2013-05-10,52.77,53.1525,52.19,52.88,12752600,0.0,1.0
2013-05-13,53.12,55.09,52.93,54.47,14485400,0.0,1.0
2013-05-14,54.49,56.27,54.4,56.25,16929400,0.0,1.0
2013-05-15,56.34,57.1,55.09,56.36,16779100,0.0,1.0
2013-05-16,56.6,56.64,54.2,54.96,15554100,0.0,1.0
2013-05-17,55.48,56.43,54.65,56.3,13909500,0.0,1.0
2013-05-20,56.0901,56.78,55.21,55.74,9493700,0.0,1.0
2013-05-21,56.14,56.85,55.76,56.47,10085900,0.0,1.0
2013-05-22,57.0,58.065,55.62,55.93,12765800,0.0,1.0
2013-05-23,54.89,56.06,54.16,55.48,10768700,0.0,1.0
2013-05-24,55.3,56.35,54.9,55.81,8745700,0.0,1.0
2013-05-28,56.68,56.82,55.61,56.18,8669400,0.0,1.0
2013-05-29,55.94,56.19,54.85,55.63,9677700,0.0,1.0
2013-05-30,55.75,56.82,55.45,55.8,9719000,0.0,1.0
2013-05-31,56.21,56.21,54.48,54.48,11526200,0.0,1.0
2013-06-03,54.56,54.64,51.35,53.12,15319800,0.0,1.0
2013-06-04,53.125,53.69,51.92,52.32,11367200,0.0,1.0
2013-06-05,51.6,52.66,49.26,50.12,18605900,0.0,1.0
2013-06-06,50.38,51.68,49.66,51.35,14267400,0.0,1.0
2013-06-07,51.88,53.41,51.81,52.892,12883500,0.0,1.0
2013-06-10,53.55,53.56,52.11,52.44,8744200,0.0,1.0
2013-06-11,51.9001,52.98,51.389,52.44,7277900,0.0,1.0
2013-06-12,52.83,53.055,51.14,51.17,9707600,0.0,1.0
2013-06-13,51.25,52.1,50.68,51.95,9292700,0.0,1.0
2013-06-14,51.89,52.79,51.85,52.23,6216700,0.0,1.0
2013-06-17,52.77,53.26,50.82,51.03,10079200,0.0,1.0
2013-06-18,50.87,52.05,50.87,51.94,6873600,0.0,1.0
2013-06-19,51.82,52.05,50.57,50.6,6406800,0.0,1.0
2013-06-20,50.19,50.45,49.02,49.35,11510700,0.0,1.0
2013-06-21,49.63,49.93,48.08,48.83,20298000,0.0,1.0
2013-06-24,48.2,49.71,46.7,48.93,11453100,0.0,1.0
2013-06-25,49.41,50.88,49.31,49.78,12879000,0.0,1.0
2013-06-26,50.42,51.63,50.3,51.31,9904400,0.0,1.0
2013-06-27,51.7,51.95,50.7,51.005,8249000,0.0,1.0
2013-06-28,50.95,51.61,50.62,51.27,9086200,0.0,1.0
2013-07-01,51.97,52.8,51.53,51.655,9472900,0.0,1.0
2013-07-02,51.7,52.67,51.42,52.23,8566000,0.0,1.0
2013-07-03,52.01,52.34,51.63,51.98,2786800,0.0,1.0
2013-07-05,52.4,53.49,52.27,53.32,6126900,0.0,1.0
2013-07-08,53.6,53.96,53.21,53.32,10022700,0.0,1.0
2013-07-09,54.02,54.8,53.35,54.38,8202100,0.0,1.0
2013-07-10,54.39,55.5,54.19,55.33,8768300,0.0,1.0
2013-07-11,56.03,56.25,55.39,55.85,11373200,0.0,1.0
2013-07-12,56.0,57.86,55.76,57.339,13267800,0.0,1.0
2013-07-15,57.2,57.7178,56.82,57.66,7637500,0.0,1.0
2013-07-16,57.55,57.765,56.78,57.14,8831400,0.0,1.0
2013-07-17,57.37,57.77,57.1114,57.75,9123400,0.0,1.0
2013-07-18,57.85,58.44,57.56,58.22,8821500,0.0,1.0
2013-07-19,58.58,60.51,57.49,60.1,14574100,0.0,1.0
2013-07-22,59.71,60.46,58.61,59.71,12171600,0.0,1.0
2013-07-23,59.99,60.15,59.05,59.12,10997200,0.0,1.0
2013-07-24,59.71,60.13,59.05,59.88,9589400,0.0,1.0
2013-07-25,60.12,61.14,58.81,60.86,11325400,0.0,1.0
2013-07-26,63.82,64.04,61.58,62.57,14716300,0.0,1.0
2013-07-29,62.6,62.82,61.57,62.02,10264600,0.0,1.0
2013-07-30,62.0,62.28,61.46,61.73,11134400,0.0,1.0
2013-07-31,62.1,62.2,61.36,61.4,8423200,0.0,1.0
2013-08-01,62.05,62.2,60.97,62.0,7726300,0.0,1.0
2013-08-02,61.86,61.95,61.28,61.75,5614300,0.0,1.0
2013-08-05,61.75,61.9,60.43,60.95,6105100,0.0,1.0
2013-08-06,60.92,60.92,59.18,59.98,8579000,0.0,1.0
2013-08-07,60.13,60.47,59.2,60.22,9417900,0.0,1.0
2013-08-08,60.5,60.78,59.29,59.3,8283700,0.0,1.0
2013-08-09,58.8201,60.23,58.57,59.21,5666200,0.0,1.0
2013-08-12,58.86,59.14,58.32,58.9,6263600,0.0,1.0
2013-08-13,59.1,59.45,58.2219,58.93,4565900,0.0,1.0
2013-08-14,59.11,59.56,58.14,58.17,5155200,0.0,1.0
2013-08-15,57.37,57.65,55.96,56.89,7345200,0.0,1.0
2013-08-16,56.76,57.7268,56.25,56.91,7598300,0.0,1.0
2013-08-19,56.84,58.13,56.75,57.34,5518000,0.0,1.0
2013-08-20,57.31,58.55,57.31,58.0,5349400,0.0,1.0
2013-08-21,57.7,59.5399,57.429,58.69,10075700,0.0,1.0
2013-08-22,58.75,59.98,58.7,59.93,4750500,0.0,1.0
2013-08-23,59.99,60.12,59.47,59.64,6215500,0.0,1.0
2013-08-26,59.82,60.99,59.6,60.42,6619100,0.0,1.0
2013-08-27,59.8,59.83,58.57,58.74,6127400,0.0,1.0
2013-08-28,58.83,61.04,58.5,60.44,8862800,0.0,1.0
2013-08-29,60.13,61.2825,59.91,60.93,5500100,0.0,1.0
2013-08-30,61.16,61.16,59.96,60.27,5545400,0.0,1.0
2013-09-03,60.9,61.6,60.25,60.92,7068700,0.0,1.0
2013-09-04,60.8,61.46,60.36,61.11,7264000,0.0,1.0
2013-09-05,61.19,61.3,60.5101,61.07,4951900,0.0,1.0
2013-09-06,61.35,61.48,59.42,61.12,8284700,0.0,1.0
2013-09-09,61.08,62.66,61.08,62.66,5751200,0.0,1.0
2013-09-10,63.16,63.56,62.45,62.86,4835000,0.0,1.0
2013-09-11,63.12,63.3,62.18,62.93,5462000,0.0,1.0
2013-09-12,63.0,63.49,62.28,63.185,4853700,0.0,1.0
2013-09-13,63.53,63.62,62.715,63.53,3839800,0.0,1.0
2013-09-16,64.08,64.21,62.579,63.02,7037400,0.0,1.0
2013-09-17,62.9,63.38,62.36,62.69,5631400,0.0,1.0
2013-09-18,62.83,64.52,62.58,64.28,7916500,0.0,1.0
2013-09-19,64.62,64.74,63.64,64.32,5450300,0.0,1.0
2013-09-20,64.41,64.48,63.8,63.86,9073800,0.0,1.0
2013-09-23,63.43,63.6978,62.33,62.58,5998800,0.0,1.0
2013-09-24,62.63,63.16,62.36,62.74,5175000,0.0,1.0
2013-09-25,62.63,62.74,61.71,61.73,5358300,0.0,1.0
2013-09-26,62.35,63.2,62.0501,62.8,4672200,0.0,1.0
