date,open,high,low,close,volume,dividend,split
2012-11-01,11.8,12.01,11.65,11.74,22118500,0.0,1.0
2012-11-02,11.88,11.88,11.65,11.7,13538700,0.0,1.0
2012-11-05,11.68,11.91,11.64,11.85,8402200,0.0,1.0
2012-11-06,11.89,11.97,11.82,11.9,12010200,0.0,1.0
2012-11-07,11.83,11.87,11.5,11.51,15489300,0.0,1.0
2012-11-08,11.56,11.6,11.38,11.4,17099900,0.0,1.0
2012-11-09,11.47,11.47,11.3,11.34,11424700,0.0,1.0
2012-11-12,11.36,11.4,11.22,11.27,9372500,0.0,1.0
2012-11-13,11.2499,11.315,11.13,11.16,10156600,0.0,1.0
2012-11-14,11.14,11.19,10.91,10.94,14158500,0.09,1.0
2012-11-15,10.95,11.02,10.83,10.88,17840000,0.0,1.0
2012-11-16,10.89,10.95,10.71,10.9,17996000,0.0,1.0
2012-11-19,11.0201,11.06,10.95,11.05,8436900,0.0,1.0
2012-11-20,11.13,11.33,11.105,11.18,13041100,0.0,1.0
2012-11-21,11.18,11.22,11.01,11.12,13965600,0.0,1.0
2012-11-23,11.23,11.3,11.16,11.29,3553700,0.0,1.0
2012-11-26,11.26,11.36,11.09,11.35,10625900,0.0,1.0
2012-11-27,12.09,12.33,12.0,12.13,42190800,0.0,1.0
2012-11-28,12.18,12.28,12.06,12.22,20754100,0.0,1.0
2012-11-29,12.24,12.41,12.2,12.33,12865300,0.0,1.0
2012-11-30,12.34,12.4,12.205,12.23,13340800,0.0,1.0
2012-12-03,12.31,12.35,12.1,12.15,12425900,0.0,1.0
2012-12-04,12.22,12.38,12.1,12.22,19057200,0.0,1.0
2012-12-05,12.19,12.47,12.19,12.38,12400600,0.0,1.0
2012-12-06,12.33,12.7057,12.24,12.48,10528000,0.0,1.0
2012-12-07,12.52,12.56,12.37,12.54,9532100,0.0,1.0
2012-12-10,12.5,12.7,12.46,12.63,10185600,0.0,1.0
2012-12-11,12.67,12.7,12.54,12.6,9951100,0.0,1.0
2012-12-12,12.63,12.85,12.59,12.73,12867000,0.0,1.0
2012-12-13,12.76,12.895,12.69,12.74,11309000,0.0,1.0
2012-12-14,12.77,12.78,12.52,12.62,11541200,0.0,1.0
2012-12-17,12.59,12.73,12.54,12.65,11315900,0.0,1.0
2012-12-18,12.61,13.02,12.6,12.99,13479400,0.0,1.0
2012-12-19,12.95,13.09,12.77,12.77,12591500,0.0,1.0
2012-12-20,12.79,12.87,12.74,12.79,18189100,0.0,1.0
2012-12-21,12.6,12.74,12.53,12.6,26681400,0.0,1.0
2012-12-24,12.62,12.75,12.54,12.74,5056800,0.0,1.0
2012-12-26,12.73,12.81,12.54,12.59,7716400,0.0,1.0
2012-12-27,12.62,12.63,12.41,12.58,10300600,0.0,1.0
2012-12-28,12.48,12.65,12.45,12.47,10766500,0.0,1.0
2012-12-31,12.44,12.64,12.36,12.62,12704900,0.0,1.0
2013-01-02,12.93,13.0,12.75,12.86,14040800,0.0,1.0
2013-01-03,12.86,13.0,12.76,12.77,10657300,0.0,1.0
2013-01-04,12.81,12.95,12.65,12.73,22629000,0.0,1.0
2013-01-07,12.71,12.78,12.62,12.63,18641400,0.0,1.0
2013-01-08,12.6,12.65,12.43,12.48,20353900,0.0,1.0
2013-01-09,12.51,12.63,12.27,12.4,24453800,0.0,1.0
2013-01-10,12.48,12.69,12.47,12.64,18278900,0.0,1.0
2013-01-11,12.42,12.48,12.13,12.45,24429300,0.0,1.0
2013-01-14,12.42,12.55,12.36,12.5,9905900,0.0,1.0
2013-01-15,12.41,12.63,12.365,12.62,10382400,0.0,1.0
2013-01-16,12.62,12.65,12.43,12.52,9443200,0.0,1.0
2013-01-17,12.45,12.49,12.28,12.3,16463500,0.0,1.0
2013-01-18,12.39,12.39,11.99,12.1,19468000,0.0,1.0
