date,open,high,low,close,volume,dividend,split
2012-11-01,201.83,204.58,200.35,200.52,796800,0.0,1.0
2012-11-02,201.53,204.0,200.88,201.06,515300,0.0,1.0
2012-11-05,200.0,202.78,198.82,202.49,687800,0.0,1.0
2012-11-06,200.76,204.41,199.84,203.08,848200,0.0,1.0
2012-11-07,200.93,203.7974,198.28,198.44,487400,0.8,1.0
2012-11-08,198.38,199.41,195.02,195.25,590200,0.0,1.0
2012-11-09,195.68,197.12,192.83,194.61,1135100,0.0,1.0
2012-11-12,192.96,195.73,191.32,193.42,774900,0.0,1.0
2012-11-13,192.79,195.33,190.94,192.8,998800,0.0,1.0
2012-11-14,192.96,192.96,185.58,188.77,1403000,0.0,1.0
2012-11-15,188.48,190.7,184.78,187.08,1817300,0.0,1.0
2012-11-16,188.38,190.96,187.04,187.83,1252400,0.0,1.0
2012-11-19,189.4,191.27,189.0,191.2,763300,0.0,1.0
2012-11-20,190.89,192.48,190.58,191.54,769700,0.0,1.0
2012-11-21,191.48,192.45,189.87,190.39,626400,0.0,1.0
2012-11-23,190.87,192.04,189.98,191.51,247400,0.0,1.0
2012-11-26,191.27,191.94,189.11,190.42,982100,0.0,1.0
2012-11-27,189.14,191.43,188.47,190.64,458700,0.0,1.0
2012-11-28,189.3,191.92,188.797,191.59,467400,0.0,1.0
2012-11-29,192.69,194.79,191.9,194.0,547500,0.0,1.0
2012-11-30,193.95,194.91,192.91,194.02,1472400,0.0,1.0
2012-12-03,194.69,194.99,192.2,192.41,431800,0.0,1.0
2012-12-04,192.15,193.56,191.71,192.08,404200,0.0,1.0
2012-12-05,191.88,194.36,191.59,192.21,429500,0.0,1.0
2012-12-06,186.84,190.7999,186.59,190.62,467100,0.0,1.0
2012-12-07,190.79,191.91,190.09,191.09,317300,0.0,1.0
2012-12-10,191.27,193.37,191.09,193.05,363300,0.0,1.0
2012-12-11,193.56,193.97,191.63,193.81,419500,0.0,1.0
2012-12-12,194.19,194.72,191.85,192.09,1086400,0.0,1.0
2012-12-13,191.93,192.285,189.92,190.49,730700,0.0,1.0
2012-12-14,190.8,191.22,189.94,190.26,454700,0.0,1.0
2012-12-17,191.34,191.99,190.06,191.66,327800,0.0,1.0
2012-12-18,192.45,195.49,191.257,195.16,589500,0.0,1.0
2012-12-19,195.22,198.98,194.31,197.95,650300,0.0,1.0
2012-12-20,197.77,198.7,195.71,196.94,476700,0.0,1.0
2012-12-21,195.03,200.24,194.75,200.0,880900,0.0,1.0
2012-12-24,198.16,199.84,197.25,199.44,227200,0.0,1.0
2012-12-26,199.34,199.99,198.41,198.88,450500,0.0,1.0
2012-12-27,198.54,201.0,198.47,200.52,403700,0.0,1.0
2012-12-28,199.72,200.26,198.08,198.2,241900,0.0,1.0
2012-12-31,197.79,202.43,196.98,202.37,375900,0.0,1.0
2013-01-02,205.39,207.88,204.88,207.73,420700,0.0,1.0
2013-01-03,207.64,208.5,205.87,207.07,325800,0.0,1.0
2013-01-04,207.33,208.57,206.28,208.42,301800,0.0,1.0
2013-01-07,207.16,207.62,205.94,207.12,187000,0.0,1.0
2013-01-08,207.86,207.86,203.66,203.66,450400,0.0,1.0
2013-01-09,203.84,206.6699,203.84,205.06,403900,0.0,1.0
2013-01-10,203.99,203.99,201.49,203.75,812500,0.0,1.0
2013-01-11,203.18,205.99,203.18,204.63,309800,0.0,1.0
2013-01-14,206.54,208.27,206.45,206.99,515100,0.0,1.0
2013-01-15,206.97,208.22,205.66,208.07,460000,0.0,1.0
2013-01-16,207.6,208.64,206.52,208.19,256400,0.0,1.0
2013-01-17,208.97,210.44,202.83,210.34,534300,0.0,1.0
2013-01-18,210.4,210.4,208.4001,210.23,573300,0.0,1.0
2013-01-22,210.12,211.23,209.08,210.47,320800,0.0,1.0
2013-01-23,210.21,211.01,208.24,209.79,444700,0.0,1.0
2013-01-24,204.98,215.789,204.19,214.31,908900,0.0,1.0
2013-01-25,214.62,217.11,213.71,217.09,434600,0.0,1.0
2013-01-28,216.85,217.48,215.07,216.65,400300,0.0,1.0
2013-01-29,216.54,219.29,215.89,218.61,436900,0.0,1.0
2013-01-30,218.25,219.26,216.86,218.55,601300,0.0,1.0
2013-01-31,217.68,218.91,216.2301,217.82,562300,0.0,1.0
2013-02-01,219.36,222.05,218.28,219.62,398600,0.0,1.0
2013-02-04,217.31,219.33,215.23,217.14,692200,0.0,1.0
