date,open,high,low,close,volume,dividend,split
2012-11-01,32.3,32.82,32.24,32.68,10104900,0.0,1.0
2012-11-02,33.04,33.07,31.75,32.11,11363100,0.0,1.0
2012-11-05,31.64,32.56,31.64,32.29,8049700,0.0,1.0
2012-11-06,32.5,32.88,32.12,32.76,9936600,0.0,1.0
2012-11-07,32.21,32.21,30.35,31.71,16495800,0.0,1.0
2012-11-08,31.71,31.7499,30.44,30.48,15614700,0.0,1.0
2012-11-09,30.4,30.82,30.1,30.56,19538200,0.0,1.0
2012-11-12,30.55,30.89,30.4,30.65,6406300,0.0,1.0
2012-11-13,30.23,31.005,30.06,30.39,13481100,0.0,1.0
2012-11-14,30.57,30.7,29.83,29.95,18150600,0.0,1.0
2012-11-15,30.34,30.93,30.0,30.36,13322500,0.0,1.0
2012-11-16,30.41,30.55,29.905,30.46,14452300,0.0,1.0
2012-11-19,31.17,31.75,31.07,31.71,12401700,0.0,1.0
2012-11-20,31.36,31.74,31.24,31.71,11821400,0.0,1.0
2012-11-21,31.66,31.84,31.42,31.7,7361300,0.0,1.0
2012-11-23,31.86,32.12,31.684,32.08,3973200,0.0,1.0
2012-11-26,31.91,32.2,31.69,32.035,9348400,0.0,1.0
2012-11-27,32.02,32.4,31.91,32.04,8547500,0.0,1.0
2012-11-28,31.8,32.44,31.41,32.41,11387800,0.0,1.0
2012-11-29,32.52,33.18,32.52,32.92,11756700,0.0,1.0
2012-11-30,32.96,33.445,32.83,33.35,11729700,0.0,1.0
2012-12-03,33.5,33.69,32.99,33.08,7689600,0.0,1.0
2012-12-04,32.94,33.49,32.88,33.06,9296400,0.09,1.0
2012-12-05,33.18,33.59,33.0,33.5,10149800,0.0,1.0
2012-12-06,33.34,33.65,33.19,33.58,10541400,0.0,1.0
2012-12-07,33.67,33.94,33.51,33.78,8211600,0.0,1.0
2012-12-10,33.8,34.09,33.62,33.66,6998900,0.0,1.0
2012-12-11,33.78,34.13,33.59,33.99,7754700,0.0,1.0
2012-12-12,34.18,34.36,33.91,34.05,8656900,0.0,1.0
2012-12-13,33.98,34.06,33.3,33.51,8355700,0.0,1.0
2012-12-14,32.91,33.57,32.82,33.39,12903600,0.0,1.0
2012-12-17,33.49,33.67,33.19,33.54,8022200,0.0,1.0
2012-12-18,33.07,35.09,33.02,34.8,16580300,0.0,1.0
2012-12-19,34.94,35.38,34.57,34.61,9900600,0.0,1.0
2012-12-20,34.57,35.22,34.55,35.13,11044000,0.0,1.0
2012-12-21,34.86,34.99,34.38,34.71,14700600,0.0,1.0
2012-12-24,34.57,34.655,34.45,34.52,3874600,0.0,1.0
2012-12-26,34.67,34.9,34.45,34.71,6315700,0.0,1.0
2012-12-27,34.65,34.7043,34.12,34.6,7843300,0.0,1.0
2012-12-28,34.23,34.34,33.9,34.01,5808200,0.0,1.0
2012-12-31,33.88,34.75,33.74,34.69,8671800,0.0,1.0
2013-01-02,35.48,35.73,35.07,35.71,10230700,0.0,1.0
2013-01-03,35.68,36.73,35.47,36.31,16641200,0.0,1.0
2013-01-04,36.39,36.79,36.27,36.65,8152700,0.0,1.0
2013-01-07,36.4,36.89,36.3,36.65,7676400,0.0,1.0
2013-01-08,36.29,36.57,35.71,36.19,12052900,0.0,1.0
2013-01-09,36.24,36.6,36.08,36.48,8379200,0.0,1.0
2013-01-10,36.66,36.96,36.42,36.9,9953400,0.0,1.0
2013-01-11,36.83,36.96,36.24,36.62,8333800,0.0,1.0
2013-01-14,36.6,36.91,35.71,35.91,10320800,0.0,1.0
2013-01-15,35.84,36.3,35.7701,36.18,6753100,0.0,1.0
2013-01-16,36.07,36.43,36.03,36.26,5339100,0.0,1.0
2013-01-17,36.39,36.43,35.87,36.3,10937500,0.0,1.0
2013-01-18,36.56,37.56,36.46,37.5,17312400,0.0,1.0
2013-01-22,37.54,38.2,37.46,37.93,13819300,0.0,1.0
2013-01-23,37.68,38.14,37.29,37.79,9260200,0.0,1.0
2013-01-24,37.79,38.3267,37.45,37.81,11012700,0.0,1.0
2013-01-25,39.55,40.28,39.32,39.72,32627000,0.0,1.0
2013-01-28,40.15,40.65,39.88,40.28,13923500,0.0,1.0
2013-01-29,40.29,41.06,40.19,40.88,14977400,0.0,1.0
2013-01-30,40.8,40.9,40.02,40.2,15532200,0.0,1.0
2013-01-31,40.03,40.93,39.88,40.68,14938200,0.0,1.0
2013-02-01,40.99,41.24,40.49,41.08,10022800,0.0,1.0
2013-02-04,40.7,41.04,40.55,40.86,11734400,0.0,1.0
2013-02-05,41.08,41.25,40.67,40.91,10153300,0.0,1.0
2013-02-06,40.6,40.9,39.55,40.31,14909000,0.0,1.0
2013-02-07,40.42,40.83,40.15,40.83,9551200,0.0,1.0
2013-02-08,40.87,41.35,40.81,41.26,8003200,0.0,1.0
2013-02-11,41.24,41.44,40.73,40.87,8821200,0.0,1.0
2013-02-12,40.99,41.15,40.64,40.71,5599700,0.0,1.0
