date,open,high,low,close,volume,dividend,split
2012-11-01,36.84,36.84,35.86,36.33,2617900,0.0,1.0
2012-11-02,36.63,36.72,35.47,35.58,2103800,0.0,1.0
2012-11-05,35.79,36.3385,35.73,36.17,1401800,0.0,1.0
2012-11-06,37.56,38.66,36.75,37.79,7254700,0.0,1.0
2012-11-07,37.51,37.63,36.95,37.21,1703200,0.0,1.0
2012-11-08,37.03,37.58,36.93,37.25,1718500,0.0,1.0
2012-11-09,37.05,37.69,37.03,37.22,1179300,0.0,1.0
2012-11-12,37.42,37.62,36.81,36.95,966500,0.0,1.0
2012-11-13,36.99,37.51,36.95,36.98,1023400,0.0,1.0
2012-11-14,36.98,37.23,36.37,36.48,1085100,0.0,1.0
2012-11-15,36.4,36.762,36.07,36.34,1163000,0.0,1.0
2012-11-16,36.42,36.94,36.12,36.45,1061300,0.0,1.0
2012-11-19,37.14,37.65,36.77,37.4,1141600,0.0,1.0
2012-11-20,37.25,37.48,36.91,37.26,1389400,0.0,1.0
2012-11-21,37.44,37.74,37.2,37.68,1103200,0.0,1.0
2012-11-23,37.81,38.25,37.74,38.25,533500,0.0,1.0
2012-11-26,38.25,38.49,38.1,38.32,710000,0.0,1.0
2012-11-27,38.36,38.7,38.22,38.3,1003600,0.0,1.0
2012-11-28,38.01,38.56,38.0,38.54,936900,0.0,1.0
2012-11-29,38.49,38.86,38.08,38.6,983200,0.0,1.0
2012-11-30,38.7,39.01,38.28,38.46,1669000,0.0,1.0
2012-12-03,38.6,38.89,37.55,37.6999,1341000,0.0,1.0
2012-12-04,37.69,37.82,36.65,37.32,1600400,0.0,1.0
2012-12-05,37.15,37.29,36.63,37.0,1857300,0.0,1.0
2012-12-06,37.01,37.33,36.99,37.22,1013200,0.0,1.0
2012-12-07,37.26,37.5,36.76,37.46,1092800,0.0,1.0
2012-12-10,37.48,37.63,37.05,37.6,1011800,0.0,1.0
2012-12-11,37.71,38.36,37.32,38.01,1217800,0.0,1.0
2012-12-12,38.07,38.24,37.68,37.77,1528200,0.0,1.0
2012-12-13,37.48,37.87,37.041,37.2,1011000,0.36,1.0
2012-12-14,37.23,37.305,36.83,36.97,1227100,0.0,1.0
2012-12-17,36.97,37.17,36.56,36.75,1662400,0.0,1.0
2012-12-18,36.92,37.105,36.65,36.7232,1895400,0.0,1.0
2012-12-19,36.88,37.07,36.55,36.57,1721900,0.0,1.0
2012-12-20,36.76,36.8376,36.13,36.6,1273400,0.0,1.0
2012-12-21,36.33,36.47,35.97,36.04,2022200,0.0,1.0
2012-12-24,36.3,36.88,35.63,35.89,687100,0.0,1.0
2012-12-26,35.83,35.97,35.27,35.39,1281400,0.0,1.0
2012-12-27,35.44,35.64,34.91,35.56,1182700,0.0,1.0
2012-12-28,35.51,35.6,35.06,35.31,1800300,0.0,1.0
2012-12-31,35.2,35.92,35.04,35.9,1071800,0.0,1.0
2013-01-02,36.37,36.38,35.3,35.82,2460900,0.0,1.0
2013-01-03,35.61,36.18,35.5,36.12,2271100,0.0,1.0
2013-01-04,36.28,36.44,35.645,35.74,2228900,0.0,1.0
2013-01-07,35.62,35.75,35.0,35.35,2372900,0.0,1.0
2013-01-08,35.26,35.49,35.0067,35.38,2953400,0.0,1.0
2013-01-09,35.6,36.02,35.47,35.68,1728300,0.0,1.0
2013-01-10,35.98,37.35,35.68,37.07,5557800,0.0,1.0
2013-01-11,37.16,37.16,36.41,36.89,2704400,0.0,1.0
2013-01-14,36.83,36.89,35.955,36.56,1791000,0.0,1.0
2013-01-15,36.62,37.29,36.39,37.21,1993000,0.0,1.0
2013-01-16,37.21,37.88,37.0,37.57,2043200,0.0,1.0
2013-01-17,37.88,38.3,37.61,37.94,1747000,0.0,1.0
