date,open,high,low,close,volume,dividend,split
2012-11-01,6.39,6.42,6.34,6.365,14524700,0.0,1.0
2012-11-02,6.42,6.44,6.3,6.35,16601500,0.0,1.0
2012-11-05,6.31,6.4,6.28,6.37,9027900,0.0,1.0
2012-11-06,6.4,6.57,6.4,6.57,12993700,0.0,1.0
2012-11-07,6.45,6.45,6.21,6.21,15572300,0.0,1.0
2012-11-08,6.25,6.35,6.15,6.15,11774500,0.0,1.0
2012-11-09,6.14,6.245,6.1,6.16,8207700,0.0,1.0
2012-11-12,6.18,6.21,6.12,6.165,6226900,0.0,1.0
2012-11-13,6.13,6.23,6.06,6.09,9024800,0.0,1.0
2012-11-14,6.1,6.15,5.91,5.93,13083600,0.0,1.0
2012-11-15,5.9,5.97,5.81,5.9,17465900,0.0,1.0
2012-11-16,5.93,6.03,5.9,6.01,14063500,0.0,1.0
2012-11-19,6.1,6.17,6.08,6.11,11448000,0.0,1.0
2012-11-20,6.1,6.17,6.05,6.14,14332300,0.0,1.0
2012-11-21,6.14,6.16,6.05,6.11,6008900,0.0,1.0
2012-11-23,6.17,6.23,6.14,6.23,2794600,0.0,1.0
2012-11-26,6.17,6.32,6.13,6.305,20392200,0.0,1.0
2012-11-27,6.3,6.33,6.17,6.17,13773100,0.0,1.0
2012-11-28,6.18,6.23,6.13,6.16,10926300,0.0,1.0
2012-11-29,6.2,6.23,6.13,6.16,10295500,0.0,1.0
2012-11-30,6.18,6.19,6.13,6.165,9844500,0.0,1.0
2012-12-03,6.18,6.2,6.1,6.12,11172200,0.0,1.0
2012-12-04,6.11,6.16,5.99,6.01,17964700,0.0,1.0
2012-12-05,6.04,6.17,6.04,6.1,11408500,0.0,1.0
2012-12-06,6.09,6.16,6.05,6.16,7706600,0.0,1.0
2012-12-07,6.16,6.18,6.08,6.175,10350900,0.0,1.0
2012-12-10,6.17,6.3,6.14,6.24,9893800,0.0,1.0
2012-12-11,6.25,6.31,6.24,6.26,12646000,0.0,1.0
2012-12-12,6.28,6.35,6.2234,6.25,15484500,0.0,1.0
2012-12-13,6.19,6.23,6.11,6.17,16847700,0.0,1.0
2012-12-14,6.13,6.21,6.12,6.16,11223100,0.04,1.0
2012-12-17,6.16,6.31,6.16,6.31,9162500,0.0,1.0
2012-12-18,6.33,6.42,6.3,6.4,12474200,0.0,1.0
2012-12-19,6.51,6.51,6.35,6.4,12364500,0.0,1.0
2012-12-20,6.39,6.435,6.33,6.39,9774200,0.0,1.0
2012-12-21,6.27,6.37,6.185,6.37,15105100,0.0,1.0
2012-12-24,6.38,6.38,6.29,6.33,2289100,0.0,1.0
2012-12-26,6.34,6.39,6.285,6.335,5133800,0.0,1.0
2012-12-27,6.34,6.36,6.24,6.34,6252000,0.0,1.0
2012-12-28,6.27,6.34,6.265,6.28,4408100,0.0,1.0
2012-12-31,6.25,6.4,6.25,6.39,6685600,0.0,1.0
2013-01-02,6.59,6.6,6.48,6.57,9507900,0.0,1.0
2013-01-03,6.58,6.67,6.525,6.65,10460000,0.0,1.0
2013-01-04,6.65,6.73,6.63,6.69,11162200,0.0,1.0
2013-01-07,6.7,6.71,6.625,6.7,9202200,0.0,1.0
2013-01-08,6.69,6.71,6.59,6.65,10895100,0.0,1.0
2013-01-09,6.64,6.73,6.56,6.58,10451100,0.0,1.0
2013-01-10,6.67,6.7,6.62,6.67,11404300,0.0,1.0
2013-01-11,6.68,6.7,6.56,6.59,10120400,0.0,1.0
2013-01-14,6.59,6.61,6.54,6.59,3947500,0.0,1.0
2013-01-15,6.54,6.66,6.54,6.64,10025900,0.0,1.0
2013-01-16,6.62,6.72,6.61,6.72,11739600,0.0,1.0
2013-01-17,6.86,7.03,6.8,7.0,35543800,0.0,1.0
2013-01-18,7.07,7.1,6.91,7.0,11525900,0.0,1.0
2013-01-22,7.05,7.09,7.025,7.08,13144800,0.0,1.0
2013-01-23,7.1,7.1,7.0,7.03,12819200,0.0,1.0
2013-01-24,7.05,7.08,6.95,6.99,8350500,0.0,1.0
2013-01-25,7.0,7.04,6.92,6.93,7989400,0.0,1.0
