date,open,high,low,close,volume,dividend,split
2012-11-01,52.21,53.18,52.11,52.65,3444100,0.0,1.0
2012-11-02,54.68,55.35,52.471,53.39,6254900,0.0,1.0
2012-11-05,53.88,54.98,53.84,54.9,4485600,0.0,1.0
2012-11-06,55.06,55.96,54.64,55.52,3417600,0.0,1.0
2012-11-07,54.64,54.64,52.82,53.12,4303400,0.0,1.0
2012-11-08,53.01,53.47,52.18,52.2,3730700,0.0,1.0
2012-11-09,52.02,52.16,50.55,50.73,8108700,0.0,1.0
2012-11-12,50.71,50.71,50.08,50.57,3011600,0.0,1.0
2012-11-13,50.12,51.0285,49.6401,49.96,4097500,0.0,1.0
2012-11-14,50.1,50.42,49.14,49.53,4412200,0.0,1.0
2012-11-15,49.48,49.85,48.375,48.89,6027700,0.0,1.0
2012-11-16,49.1,49.34,48.2,48.91,5294600,0.0,1.0
2012-11-19,49.78,50.49,49.76,50.49,4004300,0.0,1.0
2012-11-20,50.13,50.46,49.28,49.55,3598400,0.0,1.0
2012-11-21,49.94,50.12,49.4,50.1,2000900,0.0,1.0
2012-11-23,50.3,51.16,50.05,51.12,1233300,0.0,1.0
2012-11-26,50.61,50.62,49.48,49.9,2741600,0.0,1.0
2012-11-27,49.83,50.255,49.33,49.38,2826700,0.0,1.0
2012-11-28,48.76,49.89,48.4,49.85,2992900,0.0,1.0
2012-11-29,50.21,50.65,50.2,50.5,3132700,0.0,1.0
2012-11-30,50.32,50.49,49.265,49.61,3610300,0.0,1.0
2012-12-03,50.11,50.5,49.28,49.57,2437700,0.0,1.0
2012-12-04,49.61,49.82,48.6901,48.87,3218300,0.0,1.0
2012-12-05,49.13,49.85,49.04,49.47,3242500,0.0,1.0
2012-12-06,49.31,49.47,48.2966,49.11,3278400,0.0,1.0
2012-12-07,49.24,49.72,48.95,49.69,1889000,0.0,1.0
2012-12-10,49.67,50.29,49.49,50.02,2801400,0.0,1.0
2012-12-11,50.25,51.06,50.18,50.57,2584800,0.0,1.0
2012-12-12,50.82,52.745,50.77,52.02,5261300,0.0,1.0
2012-12-13,51.84,52.55,51.25,51.84,3943000,0.1,1.0
2012-12-14,51.36,52.01,50.99,51.38,4571900,0.0,1.0
2012-12-17,51.51,52.47,51.39,52.25,3222300,0.0,1.0
2012-12-18,52.12,54.15,52.12,54.05,4124500,0.0,1.0
2012-12-19,54.0,54.08,53.02,53.04,2663000,0.0,1.0
2012-12-20,53.04,53.54,53.04,53.46,2098100,0.0,1.0
2012-12-21,52.83,53.54,52.47,53.39,5910900,0.0,1.0
2012-12-24,53.23,53.3,52.5,52.64,959300,0.0,1.0
2012-12-26,52.87,53.3199,52.29,52.32,1562600,0.0,1.0
2012-12-27,52.29,52.62,51.77,52.45,3198200,0.0,1.0
2012-12-28,52.04,52.1793,51.25,51.28,2923500,0.0,1.0
2012-12-31,51.01,53.0,50.9,52.96,2973400,0.0,1.0
2013-01-02,54.13,54.13,53.06,53.71,5446900,0.0,1.0
2013-01-03,53.6,54.695,53.32,54.2,3887600,0.0,1.0
