date,open,high,low,close,volume,dividend,split
2012-11-01,21.87,22.2,21.73,21.92,7059900,0.0,1.0
2012-11-02,21.41,22.1,20.85,21.26,12750400,0.0,1.0
2012-11-05,21.25,21.52,20.98,21.44,4877900,0.0,1.0
2012-11-06,21.5,21.91,21.48,21.72,5286300,0.0,1.0
2012-11-07,21.32,21.33,20.76,20.78,7960400,0.0,1.0
2012-11-08,20.86,21.24,20.44,20.44,5425600,0.0,1.0
2012-11-09,20.46,21.02,20.31,20.81,5939700,0.0,1.0
2012-11-12,20.96,20.98,20.68,20.89,4680500,0.0,1.0
2012-11-13,20.64,20.99,20.51,20.55,4446300,0.0,1.0
2012-11-14,20.65,20.74,20.14,20.23,4710300,0.0,1.0
2012-11-15,20.29,20.75,20.22,20.44,6923600,0.0,1.0
2012-11-16,20.42,20.48,20.115,20.36,5647900,0.0,1.0
2012-11-19,20.72,20.95,20.54,20.86,4820200,0.0,1.0
2012-11-20,20.78,21.06,20.59,20.95,3177400,0.0,1.0
2012-11-21,21.01,21.25,20.84,21.18,4642700,0.0,1.0
2012-11-23,21.27,21.37,21.13,21.31,1369800,0.0,1.0
2012-11-26,21.15,21.34,21.0,21.2,3184000,0.0,1.0
2012-11-27,21.17,21.33,20.85,20.89,4001300,0.0,1.0
2012-11-28,20.8,21.06,20.54,21.06,4343100,0.0,1.0
2012-11-29,21.15,21.2,20.92,21.14,3673300,0.1,1.0
2012-11-30,21.07,21.295,21.01,21.18,4110800,0.0,1.0
2012-12-03,21.29,21.33,21.09,21.12,2810900,0.0,1.0
2012-12-04,21.05,21.11,20.81,20.93,4208500,0.0,1.0
2012-12-05,21.02,21.64,20.92,21.54,5469200,0.0,1.0
2012-12-06,21.49,21.67,21.38,21.64,3876000,0.0,1.0
2012-12-07,21.7,21.97,21.63,21.89,3406000,0.0,1.0
2012-12-10,21.75,21.98,21.66,21.82,2445000,0.0,1.0
2012-12-11,21.92,22.11,21.77,22.08,5052700,0.0,1.0
2012-12-12,22.12,22.25,21.9,21.93,4413000,0.0,1.0
2012-12-13,21.93,22.09,21.47,21.5,5029600,0.0,1.0
2012-12-14,21.49,21.52,21.11,21.29,4041000,0.0,1.0
2012-12-17,21.48,22.08,21.39,22.05,8104700,0.0,1.0
2012-12-18,22.12,22.56,22.1,22.5,4076000,0.0,1.0
2012-12-19,22.63,22.78,22.49,22.52,5911200,0.0,1.0
2012-12-20,22.52,22.88,22.42,22.88,4291600,0.0,1.0
2012-12-21,22.23,22.7001,22.055,22.24,6894900,0.0,1.0
2012-12-24,22.13,22.38,22.13,22.32,1199400,0.0,1.0
2012-12-26,22.35,22.43,22.23,22.3,2484600,0.0,1.0
2012-12-27,22.42,22.5999,22.15,22.51,4875700,0.0,1.0
2012-12-28,22.24,22.45,22.14,22.16,2821800,0.0,1.0
2012-12-31,22.07,22.48,22.0,22.44,4979200,0.0,1.0
2013-01-02,23.0,23.71,23.0,23.71,7350600,0.0,1.0
2013-01-03,23.77,24.23,23.61,24.17,8742100,0.0,1.0
2013-01-04,24.19,24.72,24.07,24.52,7401500,0.0,1.0
2013-01-07,24.38,24.395,24.09,24.21,4484300,0.0,1.0
2013-01-08,24.12,24.18,23.54,23.85,5874000,0.0,1.0
2013-01-09,23.98,24.1,23.75,23.87,3456300,0.0,1.0
2013-01-10,24.29,24.4,23.85,24.07,4206300,0.0,1.0
2013-01-11,24.03,24.1,23.74,23.9,3476000,0.0,1.0
2013-01-14,23.91,23.97,23.55,23.82,2534500,0.0,1.0
2013-01-15,23.59,23.95,23.51,23.89,4007300,0.0,1.0
2013-01-16,23.84,24.16,23.72,24.13,3718000,0.0,1.0
2013-01-17,24.22,24.48,24.156,24.36,4376400,0.0,1.0
2013-01-18,24.34,24.42,24.17,24.39,3595200,0.0,1.0
2013-01-22,24.37,24.72,24.14,24.63,5815800,0.0,1.0
2013-01-23,24.27,24.69,24.08,24.56,7500600,0.0,1.0
2013-01-24,24.61,24.84,24.29,24.39,5582500,0.0,1.0
2013-01-25,24.52,24.82,24.34,24.82,4208700,0.0,1.0
2013-01-28,24.87,25.04,24.73,24.79,5303600,0.0,1.0
