date,open,high,low,close,volume,dividend,split
2012-11-01,61.26,63.025,61.255,62.63,5618200,0.0,1.0
2012-11-02,63.05,63.18,62.26,62.43,3748600,0.0,1.0
2012-11-05,62.36,62.97,62.18,62.8,2348600,0.0,1.0
2012-11-06,62.74,63.89,62.74,63.53,4032900,0.0,1.0
2012-11-07,62.74,62.91,61.72,62.12,3422000,0.0,1.0
2012-11-08,62.05,62.49,61.29,61.3,3164000,0.0,1.0
2012-11-09,60.92,61.53,60.63,60.83,4905400,0.0,1.0
2012-11-12,60.94,61.66,60.8,61.44,2938900,0.0,1.0
2012-11-13,61.01,61.985,61.0,61.24,2543100,0.0,1.0
2012-11-14,61.3,61.49,59.83,59.96,3846000,0.0,1.0
2012-11-15,59.91,60.32,59.05,59.33,5440500,0.0,1.0
2012-11-16,59.08,59.3,58.29,59.15,4774400,0.41,1.0
2012-11-19,59.82,60.49,59.72,60.44,3661900,0.0,1.0
2012-11-20,60.3,60.81,60.12,60.61,3020200,0.0,1.0
2012-11-21,60.6,60.82,60.36,60.59,1751100,0.0,1.0
2012-11-23,60.77,61.26,60.7,61.26,910600,0.0,1.0
2012-11-26,60.6,60.88,60.22,60.66,2382600,0.0,1.0
2012-11-27,60.65,61.18,60.535,60.62,3069200,0.0,1.0
2012-11-28,60.25,61.29,59.85,61.24,3031900,0.0,1.0
2012-11-29,61.45,61.71,60.88,61.34,2242900,0.0,1.0
2012-11-30,61.42,61.4979,61.06,61.33,3525100,0.0,1.0
2012-12-03,61.56,61.7,60.55,60.59,2598800,0.0,1.0
2012-12-04,60.54,60.95,60.24,60.52,2296300,0.0,1.0
2012-12-05,60.77,61.71,60.38,61.57,3195900,0.0,1.0
2012-12-06,61.41,61.54,60.94,61.52,2276000,0.0,1.0
2012-12-07,61.77,62.0,61.35,61.97,2249700,0.0,1.0
2012-12-10,61.82,62.0,61.5,61.86,2946600,0.0,1.0
2012-12-11,62.0,62.28,61.51,61.65,4562800,0.0,1.0
2012-12-12,61.95,62.0,61.05,61.1,3740400,0.0,1.0
2012-12-13,61.16,62.0,61.01,61.74,4355500,0.0,1.0
2012-12-14,61.63,61.905,61.44,61.55,3242000,0.0,1.0
2012-12-17,61.69,62.47,61.57,62.39,3929400,0.0,1.0
2012-12-18,62.5,64.05,62.39,63.96,5355700,0.0,1.0
2012-12-19,64.0,64.35,63.76,63.77,5222100,0.0,1.0
2012-12-20,63.85,64.49,63.78,64.29,4411600,0.0,1.0
2012-12-21,63.4,64.31,63.4,64.21,5749800,0.0,1.0
2012-12-24,63.71,64.49,63.4,63.67,2237600,0.0,1.0
2012-12-26,63.78,64.28,63.65,63.81,2781800,0.0,1.0
2012-12-27,63.73,63.93,62.98,63.74,2839500,0.0,1.0
2012-12-28,63.24,63.64,62.85,62.92,2090800,0.0,1.0
2012-12-31,62.72,63.53,62.21,63.47,3990300,0.0,1.0
2013-01-02,64.67,65.09,64.16,64.75,5208600,0.0,1.0
2013-01-03,64.6,65.505,64.54,65.0,2974200,0.0,1.0
2013-01-04,65.25,66.45,65.25,66.33,4139300,0.0,1.0
2013-01-07,66.07,66.8,66.0,66.36,4264600,0.0,1.0
2013-01-08,66.25,66.26,65.54,65.74,2977400,0.0,1.0
2013-01-09,66.05,66.54,65.87,66.54,3218100,0.0,1.0
2013-01-10,66.87,66.87,66.09,66.42,4421000,0.0,1.0
2013-01-11,66.35,66.5,66.1,66.31,2346400,0.0,1.0
2013-01-14,66.4,66.76,66.12,66.76,1839600,0.0,1.0
2013-01-15,66.28,66.975,66.18,66.88,2273400,0.0,1.0
2013-01-16,66.54,66.73,66.38,66.73,2085800,0.0,1.0
2013-01-17,67.0,67.5,66.74,67.31,2269700,0.0,1.0
2013-01-18,67.48,67.81,67.145,67.81,3397900,0.0,1.0
2013-01-22,67.75,68.4,67.63,68.4,3643000,0.0,1.0
2013-01-23,68.3,68.4,68.0477,68.27,3284400,0.0,1.0
2013-01-24,68.36,69.21,68.05,68.24,4118800,0.0,1.0
2013-01-25,69.16,69.25,67.95,68.33,5636400,0.0,1.0
2013-01-28,69.21,69.21,68.57,68.92,4427800,0.0,1.0
2013-01-29,68.92,69.2,68.6,69.09,3619200,0.0,1.0
2013-01-30,68.91,69.211,68.62,68.67,2477100,0.0,1.0
2013-01-31,68.4,68.69,68.07,68.24,3526300,0.0,1.0
2013-02-01,68.97,69.56,68.62,69.15,3680400,0.0,1.0
2013-02-04,68.74,68.94,68.39,68.56,3030800,0.0,1.0
2013-02-05,68.98,70.17,68.965,69.88,4577600,0.0,1.0
