date,open,high,low,close,volume,dividend,split
2012-11-01,29.51,30.06,29.45,30.05,1031700,0.0,1.0
2012-11-02,30.07,30.09,29.7,29.75,901900,0.0,1.0
2012-11-05,29.76,29.89,29.5,29.87,507000,0.0,1.0
2012-11-06,29.98,30.21,29.93,30.07,901800,0.0,1.0
2012-11-07,29.91,29.97,29.6,29.75,529100,0.0,1.0
2012-11-08,29.71,29.94,29.55,29.59,965200,0.0,1.0
2012-11-09,29.51,29.9,29.46,29.61,527700,0.0,1.0
2012-11-12,29.61,29.99,29.54,29.94,929600,0.0,1.0
2012-11-13,29.73,30.33,29.73,30.28,940200,0.0,1.0
2012-11-14,30.3,30.38,30.12,30.26,752400,0.0,1.0
2012-11-15,30.22,30.65,30.09,30.61,1662100,0.0,1.0
2012-11-16,30.6,30.88,30.04,30.87,1191300,0.0,1.0
2012-11-19,31.0,31.49,30.93,31.3,1279200,0.0,1.0
2012-11-20,31.0,31.0,29.81,30.05,2377300,0.0,1.0
2012-11-21,29.84,30.46,29.53,30.44,1264300,0.0,1.0
2012-11-23,30.43,30.68,30.36,30.64,439700,0.0,1.0
2012-11-26,30.43,30.61,30.23,30.49,930600,0.0,1.0
2012-11-27,30.56,30.73,30.49,30.55,198930,0.0,1.0
2012-11-28,30.55,30.73,30.35,30.71,366062,0.0,1.0
2012-11-29,30.75,30.85,30.53,30.84,591900,0.0,1.0
2012-11-30,30.87,31.12,30.77,31.01,1500200,0.0,1.0
2012-12-03,31.09,31.17,30.92,31.01,740800,0.0,1.0
2012-12-04,31.01,31.07,30.88,30.98,770600,0.0,1.0
2012-12-05,30.99,31.21,30.9807,31.02,816000,0.0,1.0
2012-12-06,31.06,31.21,30.85,31.02,707200,0.0,1.0
2012-12-07,31.05,31.16,30.79,31.03,615700,0.0,1.0
2012-12-10,30.99,31.09,30.75,30.84,894900,0.0,1.0
2012-12-11,30.97,31.14,30.91,31.06,708000,0.0,1.0
2012-12-12,31.09,31.29,30.96,31.05,729200,0.0,1.0
2012-12-13,30.99,31.19,30.94,31.16,636600,0.0,1.0
2012-12-14,31.32,31.32,31.07,31.1,510100,0.0,1.0
2012-12-17,31.16,31.39,31.0906,31.39,822900,0.0,1.0
2012-12-18,31.48,31.61,31.2,31.54,1130200,0.0,1.0
2012-12-19,31.57,31.62,31.33,31.33,696800,0.0,1.0
2012-12-20,31.24,31.56,31.0,31.35,948300,0.0,1.0
2012-12-21,31.23,31.3,30.84,30.99,1118600,0.0,1.0
2012-12-24,30.86,31.11,30.86,31.05,284200,0.0,1.0
2012-12-26,31.06,31.1095,30.58,30.71,748100,0.0,1.0
2012-12-27,30.7,30.84,30.61,30.72,734500,0.0,1.0
2012-12-28,30.64,30.9,30.51,30.68,736300,0.0,1.0
2012-12-31,30.6,31.22,30.57,31.21,843900,0.0,1.0
2013-01-02,31.52,32.02,31.46,32.01,1282200,0.0,1.0
2013-01-03,32.25,33.82,32.25,33.2,3145800,0.0,1.0
2013-01-04,33.55,34.33,33.49,34.31,2470200,0.0,1.0
2013-01-07,34.3,34.39,33.81,34.15,1408100,0.0,1.0
2013-01-08,34.2,34.35,33.96,34.31,1224500,0.0,1.0
2013-01-09,34.38,34.58,34.31,34.51,1246500,0.0,1.0
2013-01-10,34.6,34.6,34.32,34.5,871200,0.0,1.0
2013-01-11,34.67,34.67,34.25,34.49,622600,0.0,1.0
2013-01-14,34.5,34.57,34.23,34.36,1277800,0.0,1.0
2013-01-15,34.33,34.54,34.23,34.45,883100,0.0,1.0
2013-01-16,34.39,34.45,34.28,34.42,649400,0.0,1.0
2013-01-17,34.41,34.74,34.19,34.48,770700,0.17,1.0
2013-01-18,34.61,34.9,34.58,34.69,1752700,0.0,1.0
2013-01-22,34.74,34.935,34.62,34.88,884100,0.0,1.0
2013-01-23,34.93,34.93,34.73,34.92,556200,0.0,1.0
2013-01-24,34.94,35.31,34.86,35.27,1061500,0.0,1.0
2013-01-25,35.37,35.38,35.06,35.34,703600,0.0,1.0
2013-01-28,35.45,35.45,34.965,35.15,741400,0.0,1.0
2013-01-29,35.16,35.24,34.96,35.01,565500,0.0,1.0
2013-01-30,35.02,35.1,34.81,34.89,751900,0.0,1.0
2013-01-31,34.72,35.12,34.6,34.61,1771400,0.0,1.0
2013-02-01,34.92,35.43,34.92,35.42,300002,0.0,1.0
2013-02-04,35.17,35.23,35.04,35.1,210855,0.0,1.0
2013-02-05,35.2,35.59,35.19,35.43,744100,0.0,1.0
2013-02-06,35.27,35.55,35.25,35.54,557600,0.0,1.0
2013-02-07,35.46,35.69,35.31,35.58,573700,0.0,1.0
2013-02-08,35.58,35.84,35.53,35.83,607700,0.0,1.0
2013-02-11,35.8,35.8528,35.62,35.63,606100,0.0,1.0
2013-02-12,35.6,35.74,35.4601,35.63,428000,0.0,1.0
2013-02-13,35.59,35.91,35.59,35.84,430900,0.0,1.0
2013-02-14,35.82,36.14,35.79,35.91,704700,0.0,1.0
2013-02-15,36.0,36.14,35.77,36.08,1032900,0.0,1.0
2013-02-19,36.15,36.54,36.1,36.54,993300,0.0,1.0
