date,open,high,low,close,volume,dividend,split
2012-11-01,68.88,70.1,68.23,69.72,1142200,0.0,1.0
2012-11-02,69.92,70.17,69.4,69.49,927700,0.0,1.0
2012-11-05,69.16,69.32,68.42,69.11,675700,0.0,1.0
2012-11-06,69.09,69.74,69.09,69.51,506500,0.0,1.0
2012-11-07,69.25,69.91,68.81,69.59,897900,0.0,1.0
2012-11-08,69.43,70.48,69.2412,69.9,1071200,0.0,1.0
2012-11-09,69.94,70.78,69.84,70.35,1147100,0.0,1.0
2012-11-12,70.4,71.15,70.1817,71.13,763100,0.0,1.0
2012-11-13,70.9,72.0,70.9,71.81,895200,0.0,1.0
2012-11-14,71.83,72.0,71.4,71.56,981500,0.0,1.0
2012-11-15,71.45,71.67,71.1,71.56,707500,0.0,1.0
2012-11-16,71.62,71.865,71.09,71.74,1157200,0.0,1.0
2012-11-19,72.0,72.99,71.78,72.6,1090700,0.0,1.0
2012-11-20,72.34,72.715,71.891,72.36,823400,0.42,1.0
2012-11-21,72.38,72.43,71.84,71.94,721800,0.0,1.0
2012-11-23,72.0,72.63,71.95,72.4,457000,0.0,1.0
2012-11-26,72.27,72.74,72.16,72.66,746300,0.0,1.0
2012-11-27,72.61,72.885,72.12,72.27,968500,0.0,1.0
2012-11-28,72.17,72.58,71.91,72.52,940000,0.0,1.0
2012-11-29,72.43,72.78,72.11,72.55,678800,0.0,1.0
2012-11-30,72.55,73.29,72.23,73.27,1611100,0.0,1.0
2012-12-03,73.28,73.3891,72.68,72.69,881100,0.0,1.0
2012-12-04,72.8,72.8,72.17,72.4,878500,0.0,1.0
2012-12-05,72.47,72.72,72.24,72.32,875300,0.0,1.0
2012-12-06,72.43,72.48,71.94,72.04,530500,0.0,1.0
2012-12-07,72.18,72.3,71.75,72.27,645000,0.0,1.0
2012-12-10,72.22,72.82,71.9,72.8,1025300,0.0,1.0
2012-12-11,73.0,73.63,72.93,73.31,707900,0.0,1.0
2012-12-12,73.47,73.97,73.25,73.4,922200,0.0,1.0
2012-12-13,73.47,74.02,73.29,73.79,1238100,0.0,1.0
2012-12-14,73.5,74.5,73.5,74.02,794800,0.0,1.0
2012-12-17,74.03,74.66,73.81,74.64,863700,0.0,1.0
2012-12-18,74.63,74.71,73.79,74.1,988000,0.0,1.0
2012-12-19,74.1,74.1,73.38,73.66,785600,0.0,1.0
2012-12-20,73.79,74.03,73.57,73.97,638100,0.0,1.0
2012-12-21,74.08,74.08,72.74,73.37,1118300,0.0,1.0
2012-12-24,73.2,73.36,72.8,73.01,228900,0.0,1.0
2012-12-26,73.0,73.0688,72.12,72.15,454800,0.0,1.0
2012-12-27,72.03,72.46,71.6,72.06,582000,0.0,1.0
2012-12-28,71.84,72.24,71.44,71.44,480300,0.0,1.0
2012-12-31,71.21,72.26,70.949,72.22,837400,0.0,1.0
2013-01-02,72.86,74.33,72.54,74.33,1365200,0.0,1.0
2013-01-03,74.2,74.277,73.27,73.51,1042500,0.0,1.0
2013-01-04,73.57,74.59,73.48,74.54,848300,0.0,1.0
2013-01-07,74.36,74.54,73.94,74.46,943400,0.0,1.0
2013-01-08,74.38,74.47,73.64,73.66,854000,0.0,1.0
2013-01-09,73.78,74.65,73.67,74.46,873600,0.0,1.0
2013-01-10,74.87,75.9599,74.27,75.93,1380800,0.0,1.0
2013-01-11,75.95,76.13,75.56,76.12,499200,0.0,1.0
2013-01-14,76.02,76.62,75.87,76.55,556400,0.0,1.0
2013-01-15,76.12,76.375,75.92,76.19,999600,0.0,1.0
2013-01-16,75.95,76.54,75.95,76.54,739100,0.0,1.0
2013-01-17,76.91,78.12,76.81,78.02,1008400,0.0,1.0
2013-01-18,77.95,78.31,77.65,78.28,866200,0.0,1.0
2013-01-22,78.31,78.79,78.17,78.79,1001000,0.0,1.0
2013-01-23,78.71,78.81,78.3,78.8,857000,0.0,1.0
2013-01-24,78.5,78.78,77.9,78.09,1208600,0.0,1.0
2013-01-25,78.38,78.38,77.55,77.85,1239300,0.0,1.0
2013-01-28,77.96,77.96,76.85,77.21,1364800,0.0,1.0
2013-01-29,77.57,77.9099,77.32,77.79,1600300,0.0,1.0
2013-01-30,77.77,78.36,77.642,78.28,1466300,0.0,1.0
2013-01-31,78.31,79.96,78.31,79.45,1865200,0.0,1.0
2013-02-01,80.0,80.45,79.4,80.14,1499100,0.0,1.0
2013-02-04,78.45,79.8,78.45,79.69,1544100,0.0,1.0
2013-02-05,79.9,80.44,79.83,80.02,1279500,0.0,1.0
2013-02-06,79.71,80.36,79.59,80.35,733300,0.0,1.0
2013-02-07,80.3,80.4,79.77,80.33,655900,0.0,1.0
2013-02-08,80.11,80.3,79.92,80.21,721900,0.0,1.0
2013-02-11,80.21,80.65,80.03,80.38,542300,0.0,1.0
2013-02-12,80.45,80.89,80.21,80.77,988200,0.0,1.0
2013-02-13,80.77,81.37,80.72,81.35,1001800,0.0,1.0
2013-02-14,81.53,81.81,80.83,80.89,1215500,0.0,1.0
2013-02-15,81.08,81.24,80.7,80.93,1458300,0.0,1.0
2013-02-19,81.0,81.79,80.2665,81.73,1235800,0.0,1.0
