date,open,high,low,close,volume,dividend,split
2012-11-01,8.62,8.81,8.59,8.75,17904500,0.0,1.0
2012-11-02,8.81,8.82,8.62,8.6501,13631900,0.0,1.0
2012-11-05,8.6,8.7,8.59,8.61,16654500,0.0,1.0
2012-11-06,8.67,8.8,8.62,8.74,19837900,0.0,1.0
2012-11-07,8.61,8.6301,8.47,8.48,24739200,0.0,1.0
2012-11-08,8.49,8.56,8.3,8.39,18583700,0.0,1.0
2012-11-09,8.34,8.57,8.32,8.43,18237400,0.0,1.0
2012-11-12,8.43,8.48,8.38,8.43,8583500,0.0,1.0
2012-11-13,8.36,8.44,8.3,8.31,11103900,0.0,1.0
2012-11-14,8.33,8.36,8.1,8.13,14175500,0.0,1.0
2012-11-15,8.11,8.19,8.02,8.05,14798900,0.0,1.0
2012-11-16,8.09,8.2,7.98,8.18,22913500,0.0,1.0
2012-11-19,8.27,8.35,8.21,8.34,14606500,0.0,1.0
2012-11-20,8.3,8.31,8.14,8.25,14130400,0.0,1.0
2012-11-21,8.27,8.32,8.22,8.27,8611000,0.0,1.0
2012-11-23,8.33,8.35,8.26,8.35,7821400,0.0,1.0
2012-11-26,8.33,8.35,8.25,8.305,11971600,0.0,1.0
2012-11-27,8.3,8.42,8.275,8.28,10803200,0.0,1.0
2012-11-28,8.21,8.41,8.16,8.4,17479800,0.0,1.0
2012-11-29,8.46,8.5,8.35,8.4,13496600,0.0,1.0
2012-11-30,8.41,8.45,8.32,8.41,12200900,0.0,1.0
2012-12-03,8.45,8.45,8.35,8.41,13646700,0.0,1.0
2012-12-04,8.37,8.49,8.35,8.42,11000600,0.0,1.0
2012-12-05,8.44,8.62,8.43,8.57,17286800,0.0,1.0
2012-12-06,8.56,8.6,8.48,8.57,11909100,0.0,1.0
2012-12-07,8.57,8.59,8.45,8.5,12167400,0.0,1.0
2012-12-10,8.46,8.6,8.46,8.57,11892800,0.0,1.0
2012-12-11,8.58,8.72,8.55,8.68,17204000,0.0,1.0
2012-12-12,8.71,8.72,8.61,8.65,14378400,0.0,1.0
2012-12-13,8.64,8.71,8.56,8.59,12192700,0.0,1.0
2012-12-14,8.6,8.75,8.59,8.74,13279800,0.0,1.0
2012-12-17,8.77,8.79,8.62,8.75,16364800,0.0,1.0
2012-12-18,8.75,8.91,8.75,8.91,18736200,0.0,1.0
2012-12-19,8.84,8.85,8.62,8.64,27418200,0.0,1.0
2012-12-20,8.63,8.7,8.6,8.7,14892000,0.0,1.0
2012-12-21,8.65,8.66,8.51,8.57,19066800,0.0,1.0
2012-12-24,8.53,8.64,8.52,8.62,8064200,0.0,1.0
2012-12-26,8.64,8.8,8.64,8.73,14435200,0.0,1.0
2012-12-27,8.75,8.76,8.53,8.62,16447000,0.0,1.0
2012-12-28,8.57,8.6,8.49,8.5,10049600,0.0,1.0
2012-12-31,8.52,8.69,8.48,8.68,19336100,0.0,1.0
2013-01-02,8.88,8.99,8.835,8.99,21044800,0.0,1.0
2013-01-03,8.97,9.15,8.95,9.07,22302800,0.0,1.0
2013-01-04,9.11,9.28,9.1,9.26,18345300,0.0,1.0
2013-01-07,9.28,9.29,9.1,9.1,21785000,0.0,1.0
2013-01-08,9.16,9.19,9.075,9.1,34078700,0.0,1.0
2013-01-09,9.33,9.33,9.06,9.08,41789300,0.0,1.0
2013-01-10,9.12,9.12,8.92,8.97,28951800,0.0,1.0
2013-01-11,9.02,9.02,8.89,8.94,19734600,0.0,1.0
2013-01-14,8.98,9.02,8.89,8.92,18716400,0.0,1.0
2013-01-15,8.87,8.95,8.86,8.92,13191000,0.0,1.0
2013-01-16,8.88,8.92,8.84,8.88,13146200,0.0,1.0
2013-01-17,8.92,8.99,8.9,8.94,17852200,0.0,1.0
