date,open,high,low,close,volume,dividend,split
2012-11-01,21.76,22.41,21.72,22.26,50359300,0.0,1.0
2012-11-02,22.39,22.54,22.02,22.06,51737600,0.0,1.0
2012-11-05,22.02,22.11,21.72,21.8391,48797400,0.225,1.0
2012-11-06,21.73,22.0,21.63,21.73,49860500,0.0,1.0
2012-11-07,21.54,21.55,20.9,20.91,70960100,0.0,1.0
2012-11-08,20.9,21.13,20.82,20.83,38090000,0.0,1.0
2012-11-09,20.81,21.14,20.8,20.8,35017900,0.0,1.0
2012-11-12,20.88,20.91,20.65,20.765,27267000,0.0,1.0
2012-11-13,20.57,20.82,20.18,20.28,56379200,0.0,1.0
2012-11-14,20.42,20.5,19.95,19.96,58961300,0.0,1.0
2012-11-15,20.01,20.29,19.98,20.03,45733800,0.0,1.0
2012-11-16,20.0701,20.26,19.77,20.19,50855500,0.0,1.0
2012-11-19,19.99,20.45,19.73,20.25,69433800,0.0,1.0
2012-11-20,19.88,19.88,19.35,19.5132,85743300,0.0,1.0
2012-11-21,19.52,19.55,19.23,19.36,95636000,0.0,1.0
2012-11-23,19.53,19.84,19.51,19.72,51711900,0.0,1.0
2012-11-26,19.69,19.92,19.62,19.885,67047900,0.0,1.0
2012-11-27,19.95,20.19,19.92,19.93,44893200,0.0,1.0
2012-11-28,19.89,20.11,19.64,20.09,43226300,0.0,1.0
2012-11-29,19.83,20.035,19.46,19.53,64926300,0.0,1.0
2012-11-30,19.63,19.77,19.42,19.565,51427800,0.0,1.0
2012-12-03,19.88,19.9156,19.5,19.54,50637000,0.0,1.0
2012-12-04,19.63,20.05,19.61,19.9694,57942400,0.0,1.0
2012-12-05,19.94,20.02,19.74,19.85,45847000,0.0,1.0
2012-12-06,19.99,20.29,19.97,20.16,46291200,0.0,1.0
2012-12-07,20.33,20.36,20.03,20.155,41701200,0.0,1.0
2012-12-10,20.15,20.17,19.98,20.08,27273200,0.0,1.0
2012-12-11,20.16,20.74,20.15,20.65,51036500,0.0,1.0
2012-12-12,20.86,20.99,20.54,20.67,48354700,0.0,1.0
2012-12-13,20.63,20.92,20.44,20.49,41607600,0.0,1.0
2012-12-14,20.52,20.74,20.35,20.5267,34149500,0.0,1.0
2012-12-17,20.55,20.69,20.36,20.57,34959900,0.0,1.0
2012-12-18,20.68,20.99,20.57,20.96,41601200,0.0,1.0
2012-12-19,21.07,21.31,20.86,21.1,52804600,0.0,1.0
2012-12-20,21.21,21.24,20.88,21.0293,34005500,0.0,1.0
