date,open,high,low,close,volume,dividend,split
2012-11-01,59.7,61.48,59.46,61.43,1722000,0.0,1.0
2012-11-02,61.5,61.62,60.69,61.19,1617500,0.0,1.0
2012-11-05,61.06,61.12,60.63,60.94,1196400,0.0,1.0
2012-11-06,61.25,62.1,60.761,61.78,1105100,0.0,1.0
2012-11-07,61.14,61.56,60.3,60.53,1634200,0.0,1.0
2012-11-08,60.27,60.59,59.82,59.82,1259000,0.0,1.0
2012-11-09,59.92,60.48,59.43,59.96,1140500,0.0,1.0
2012-11-12,60.04,60.45,59.34,59.35,1464200,0.0,1.0
2012-11-13,58.97,59.79,58.96,59.23,1947500,0.0,1.0
2012-11-14,59.46,59.84,58.4,58.47,2389000,0.0,1.0
2012-11-15,58.46,59.42,58.41,58.77,2406600,0.0,1.0
2012-11-16,58.71,59.43,57.6,59.28,3165800,0.0,1.0
2012-11-19,59.82,59.89,58.52,58.95,2390500,0.0,1.0
2012-11-20,58.9,58.9,57.926,58.17,1889100,0.0,1.0
2012-11-21,58.33,58.97,58.26,58.56,948400,0.0,1.0
2012-11-23,58.9,59.37,58.79,59.16,706500,0.0,1.0
2012-11-26,58.8,58.99,58.16,58.43,2119200,0.0,1.0
2012-11-27,58.48,58.54,57.89,58.2,1765500,0.0,1.0
2012-11-28,58.03,58.59,57.84,58.58,1494100,0.0,1.0
2012-11-29,58.84,59.45,58.748,59.178,1554500,0.0,1.0
2012-11-30,59.2,59.965,59.14,59.91,2313800,0.0,1.0
2012-12-03,60.0,60.23,59.21,59.42,1288000,0.0,1.0
2012-12-04,59.47,59.85,59.1,59.725,1289400,0.0,1.0
2012-12-05,59.7,60.29,59.06,59.91,2031000,0.0,1.0
2012-12-06,59.79,60.25,59.29,59.73,1438100,0.0,1.0
2012-12-07,59.91,60.0,59.2,59.56,1238400,0.0,1.0
2012-12-10,59.64,60.0,59.47,59.61,1379100,0.0,1.0
2012-12-11,59.8,60.71,59.69,60.44,1492400,0.0,1.0
2012-12-12,60.43,61.09,60.125,60.2801,1853100,0.0,1.0
2012-12-13,60.37,60.57,59.614,60.06,1193000,0.0,1.0
2012-12-14,59.9,60.39,59.68,60.18,1237100,0.0,1.0
2012-12-17,60.23,61.23,60.04,61.17,1474300,0.0,1.0
2012-12-18,61.21,62.1,61.19,62.01,1479000,0.0,1.0
2012-12-19,62.11,62.86,62.01,62.13,1876300,0.0,1.0
2012-12-20,61.97,62.13,61.44,62.05,1819000,0.0,1.0
2012-12-21,61.64,61.97,61.0,61.44,3297800,0.0,1.0
2012-12-24,61.14,61.34,60.74,61.29,514500,0.0,1.0
2012-12-26,61.1,61.49,60.68,60.87,743100,0.0,1.0
2012-12-27,60.84,60.96,59.63,60.34,1510200,0.0,1.0
2012-12-28,59.94,60.24,59.33,59.33,1193100,0.0,1.0
2012-12-31,59.09,59.67,58.76,59.4754,2038800,0.0,1.0
2013-01-02,60.13,61.95,60.13,61.95,3526500,0.0,1.0
2013-01-03,61.64,62.01,61.51,61.74,2559000,0.0,1.0
2013-01-04,62.0,62.37,61.74,62.22,1898200,0.0,1.0
2013-01-07,61.82,62.5,61.82,62.29,1422500,0.0,1.0
2013-01-08,61.97,62.14,61.51,61.62,1041600,0.17,1.0
2013-01-09,61.78,62.33,61.7,62.16,790000,0.0,1.0
2013-01-10,62.49,62.79,61.7799,62.41,1072600,0.0,1.0
2013-01-11,62.29,62.76,62.19,62.62,827700,0.0,1.0
2013-01-14,62.4,62.86,62.3,62.68,1063800,0.0,1.0
2013-01-15,62.5,63.27,62.27,62.95,1503300,0.0,1.0
2013-01-16,62.8,63.39,62.323,62.95,1174500,0.0,1.0
2013-01-17,63.04,63.735,62.79,63.64,1212600,0.0,1.0
2013-01-18,63.49,63.69,62.98,63.68,1227500,0.0,1.0
2013-01-22,63.6,63.78,62.95,63.78,1155200,0.0,1.0
2013-01-23,63.81,64.06,63.65,63.67,1479100,0.0,1.0
2013-01-24,64.0,64.44,63.49,63.82,1679700,0.0,1.0
2013-01-25,63.63,64.14,63.48,63.71,1516100,0.0,1.0
2013-01-28,63.95,64.47,63.87,63.88,1225200,0.0,1.0
2013-01-29,63.76,64.18,63.01,63.88,1218000,0.0,1.0
2013-01-30,63.71,63.93,62.89,63.06,1754300,0.0,1.0
2013-01-31,63.22,63.54,62.27,62.38,3504600,0.0,1.0
2013-02-01,63.17,63.17,62.4,62.9,2262700,0.0,1.0
2013-02-04,62.41,63.0,61.86,62.09,1968300,0.0,1.0
2013-02-05,62.57,63.21,61.82,63.07,1778700,0.0,1.0
2013-02-06,62.71,63.08,62.13,62.91,1882400,0.0,1.0
2013-02-07,62.93,63.16,62.07,62.25,3569600,0.0,1.0
2013-02-08,62.64,62.66,60.12,61.51,5142100,0.0,1.0
2013-02-11,61.65,61.87,61.17,61.42,2166900,0.0,1.0
2013-02-12,61.39,61.61,61.16,61.44,1498800,0.0,1.0
2013-02-13,61.73,62.0,60.93,61.44,1759500,0.0,1.0
2013-02-14,61.22,61.39,60.6,60.76,2988200,0.0,1.0
2013-02-15,60.96,62.11,60.76,62.07,2139900,0.0,1.0
2013-02-19,62.1,62.56,61.98,62.21,1421800,0.0,1.0
2013-02-20,62.38,62.5,61.37,61.42,2107800,0.0,1.0
2013-02-21,60.76,61.62,60.76,61.3,1941300,0.0,1.0
2013-02-22,62.0,63.07,61.05,62.78,3073900,0.0,1.0
2013-02-25,62.93,63.24,62.01,62.02,2495500,0.0,1.0
2013-02-26,62.01,62.76,61.87,62.64,2054700,0.0,1.0
2013-02-27,62.78,64.18,62.26,63.76,2097100,0.0,1.0
2013-02-28,63.76,64.66,63.701,64.468,2473600,0.0,1.0
2013-03-01,64.04,65.11,63.7835,65.04,2307300,0.0,1.0
2013-03-04,64.87,66.285,64.7561,66.27,2519400,0.0,1.0
2013-03-05,66.57,67.91,66.4301,67.88,2678200,0.0,1.0
2013-03-06,67.99,68.41,67.7701,67.99,2242000,0.0,1.0
2013-03-07,67.99,68.2,67.63,67.93,1496000,0.0,1.0
2013-03-08,67.92,68.27,67.29,67.75,1882300,0.0,1.0
2013-03-11,66.8,67.23,66.1,66.56,3188200,0.0,1.0
2013-03-12,66.52,66.815,66.2,66.36,1555000,0.0,1.0
2013-03-13,66.61,66.812,66.21,66.25,1685500,0.0,1.0
2013-03-14,66.6,66.6977,66.0,66.185,2778000,0.0,1.0
2013-03-15,65.98,66.34,65.42,65.43,2502600,0.0,1.0
2013-03-18,64.88,65.64,64.6,65.41,1259400,0.0,1.0
2013-03-19,65.37,65.63,64.67,65.29,1851600,0.0,1.0
2013-03-20,65.76,65.97,65.08,65.17,1688300,0.0,1.0
2013-03-21,64.75,65.53,64.31,65.3,2608100,0.0,1.0
2013-03-22,65.31,65.89,64.91,65.54,1339200,0.0,1.0
2013-03-25,65.6,65.75,64.74,64.84,2343000,0.0,1.0
2013-03-26,65.28,65.93,65.0,65.73,1987800,0.0,1.0
2013-03-27,66.21,66.22,64.99,65.47,1083000,0.0,1.0
2013-03-28,65.19,65.7,65.1,65.66,1911200,0.0,1.0
2013-04-01,65.66,65.94,64.86,65.1,1443700,0.0,1.0
2013-04-02,65.5,66.11,65.18,65.38,1705900,0.0,1.0
2013-04-03,65.28,65.38,64.42,64.59,1333800,0.0,1.0
2013-04-04,64.67,64.86,64.14,64.71,906300,0.0,1.0
2013-04-05,63.68,64.56,63.0,64.46,1490200,0.0,1.0
2013-04-08,64.52,64.52,63.52,63.84,1106000,0.17,1.0
2013-04-09,64.14,64.14,63.18,63.8,2261800,0.0,1.0
2013-04-10,64.0,65.0,63.76,64.82,1090000,0.0,1.0
2013-04-11,64.95,65.3,64.72,64.93,1568500,0.0,1.0
2013-04-12,65.15,65.17,64.27,64.7,1368600,0.0,1.0
2013-04-15,64.54,64.615,63.02,63.08,1769300,0.0,1.0
2013-04-16,63.16,64.24,63.07,64.22,1989600,0.0,1.0
2013-04-17,63.79,63.88,62.545,63.04,2050700,0.0,1.0
2013-04-18,63.31,63.31,62.19,62.51,2059400,0.0,1.0
2013-04-19,62.08,63.17,61.85,62.97,2824400,0.0,1.0
2013-04-22,63.09,63.24,62.11,62.86,1601200,0.0,1.0
2013-04-23,63.32,64.25,63.13,63.98,1687500,0.0,1.0
2013-04-24,64.29,64.6,63.69,64.19,1525800,0.0,1.0
2013-04-25,55.75,57.97,55.54,57.09,15922300,0.0,1.0
2013-04-26,57.0,59.8,56.815,59.35,9119200,0.0,1.0
2013-04-29,59.5,61.1,59.376,60.94,4182700,0.0,1.0
2013-04-30,60.82,60.82,59.11,59.64,5255700,0.0,1.0
2013-05-01,59.51,60.47,59.25,59.97,2485000,0.0,1.0
2013-05-02,59.91,60.64,59.33,60.07,2343800,0.0,1.0
2013-05-03,60.67,60.75,60.11,60.26,2367400,0.0,1.0
2013-05-06,60.76,60.98,60.13,60.75,2033500,0.0,1.0
2013-05-07,60.58,60.7,60.17,60.56,1543400,0.0,1.0
2013-05-08,60.29,60.55,60.021,60.49,2067300,0.0,1.0
2013-05-09,59.65,60.26,58.88,59.0,3915200,0.0,1.0
2013-05-10,59.54,60.225,59.28,60.2,2401400,0.0,1.0
2013-05-13,59.89,59.97,58.93,58.99,2206000,0.0,1.0
2013-05-14,59.14,59.57,58.87,59.11,2114100,0.0,1.0
