date,open,high,low,close,volume,dividend,split
2012-11-01,35.819998,36.970008,35.570006,36.930004,4175100,0.0,1.0
2012-11-02,37.05,37.05,35.779998,35.930007,4294200,0.0,1.0
2012-11-05,35.930007,35.990005,35.130002,35.370006,3637300,0.0,1.0
2012-11-06,35.39,36.040008,35.370006,35.619997,3161400,0.0,1.0
2012-11-07,35.160006,35.280003,34.860004,34.970001,3788800,0.0,1.0
2012-11-08,35.070003,35.070003,34.140003,34.479998,3418800,0.0,1.0
2012-11-09,34.080005,35.640003,34.080005,34.849997,3950900,0.0,1.0
2012-11-12,34.720002,34.839998,34.340003,34.660004,2325000,0.0,1.0
2012-11-13,34.290004,34.580008,33.749998,34.360001,4075100,0.3,1.0
2012-11-14,34.410001,34.410001,33.529999,33.620002,4232300,0.0,1.0
2012-11-15,33.770004,34.290004,33.539998,33.650007,3895100,0.0,1.0
2012-11-16,33.660006,34.369997,32.950004,34.309998,5998900,0.0,1.0
2012-11-19,35.000006,35.630004,34.729997,35.590004,4034000,0.0,1.0
2012-11-20,35.470008,35.619997,35.160006,35.360007,3495000,0.0,1.0
2012-11-21,35.509996,35.530006,35.310008,35.459997,1939100,0.0,1.0
2012-11-23,35.680007,36.260002,35.640003,36.260002,1277400,0.0,1.0
2012-11-26,36.090007,36.160004,35.720007,36.100006,2088600,0.0,1.0
2012-11-27,35.979998,36.759997,35.840003,36.250007,4571900,0.0,1.0
2012-11-28,35.979998,36.970008,35.840003,36.930004,3240900,0.0,1.0
2012-11-29,37.000001,37.330008,36.780003,37.309999,3674300,0.0,1.0
2012-11-30,37.319998,37.350003,36.880005,37.140003,2379800,0.0,1.0
2012-12-03,37.250001,37.450005,36.730004,36.810008,2618400,0.0,1.0
2012-12-04,36.709998,37.230006,36.179998,36.250007,4021900,0.0,1.0
2012-12-05,36.250007,36.360004,35.110007,36.029997,5393500,0.0,1.0
2012-12-06,36.110001,36.140006,35.730006,35.969999,2954900,0.0,1.0
2012-12-07,36.100006,36.250007,35.830008,36.040008,2278500,0.0,1.0
2012-12-10,35.890006,36.370003,35.860002,36.329999,1924000,0.0,1.0
2012-12-11,36.520004,37.150002,36.510005,37.130004,3821500,0.0,1.0
2012-12-12,37.300004,37.770001,37.009996,37.380008,5163400,0.0,1.0
2012-12-13,37.900008,38.110008,37.390007,37.639998,5140700,0.0,1.0
2012-12-14,37.660004,38.209998,37.650005,38.060005,3057100,0.0,1.0
2012-12-17,38.130002,38.249998,37.800006,38.160007,3496000,0.0,1.0
2012-12-18,38.209998,38.979998,38.020005,38.940006,3460400,0.0,1.0
2012-12-19,38.869997,39.100006,38.630004,38.900002,3338300,0.0,1.0
2012-12-20,38.890007,39.759997,38.800004,39.589998,4316500,0.0,1.0
2012-12-21,39.169999,39.500007,38.740006,39.310005,4406800,0.0,1.0
2012-12-24,39.210003,39.759997,39.000004,39.470002,1346000,0.0,1.0
2012-12-26,39.610008,39.820007,39.450008,39.69,2142000,0.0,1.0
2012-12-27,39.620003,39.749998,39.100006,39.620003,2045000,0.0,1.0
2012-12-28,39.160004,39.280001,38.840004,38.910001,2793200,0.0,1.0
2012-12-31,38.740006,39.880005,38.650003,39.840001,3578000,0.0,1.0
2013-01-02,40.130005,40.639999,39.949999,40.490005,4523300,0.0,1.0
2013-01-03,40.360002,40.590007,39.949999,40.369997,3994000,0.0,1.0
2013-01-04,40.360002,40.889998,40.150003,40.849998,3318400,0.0,1.0
2013-01-07,40.570001,40.930002,40.469999,40.790007,2520000,0.0,1.0
2013-01-08,40.610001,40.700004,40.159998,40.410001,3835400,0.0,1.0
2013-01-09,40.450005,40.770002,40.130005,40.330005,3611900,0.0,1.0
2013-01-10,40.500004,40.529997,39.53,40.009997,3945900,0.0,1.0
2013-01-11,40.140004,40.140004,39.650008,40.109999,1827600,0.0,1.0
2013-01-14,40.119998,40.83,40.119998,40.83,3499100,0.0,1.0
2013-01-15,40.529997,40.920003,40.009997,40.800007,3308100,0.0,1.0
2013-01-16,40.550003,40.770002,40.410001,40.590007,1911000,0.0,1.0
2013-01-17,40.839999,42.200005,40.729998,41.640004,4947500,0.0,1.0
2013-01-18,41.659998,41.910001,41.520008,41.910001,3069500,0.0,1.0
2013-01-22,41.650003,42.110002,41.619998,42.060002,3628600,0.0,1.0
2013-01-23,41.979999,42.470002,41.900002,42.250008,3399600,0.0,1.0
2013-01-24,42.290008,42.74,42.200005,42.389998,2723000,0.0,1.0
2013-01-25,42.599997,42.599997,42.200005,42.510006,3095300,0.0,1.0
2013-01-28,42.430002,42.430002,41.690003,42.120001,3684700,0.0,1.0
2013-01-29,40.980001,42.300007,40.980001,41.900002,5599300,0.0,1.0
2013-01-30,41.590005,42.060002,41.500002,41.769999,4234800,0.0,1.0
2013-01-31,41.630005,41.979999,41.419998,41.419998,2932600,0.0,1.0
2013-02-01,41.850003,42.439997,41.840004,42.349998,3542600,0.0,1.0
2013-02-04,41.990005,42.189998,41.850003,42.120001,3080500,0.0,1.0
2013-02-05,42.379999,42.9,42.379999,42.790003,3421300,0.0,1.0
2013-02-06,42.589998,42.799998,42.33,42.450008,2760500,0.0,1.0
2013-02-07,42.630002,42.650008,41.630005,42.150006,2216500,0.0,1.0
2013-02-08,42.290008,42.630002,42.17,42.599997,1904200,0.0,1.0
2013-02-11,42.470002,42.49,42.029998,42.17,2637600,0.0,1.0
2013-02-12,42.120001,42.349998,41.990005,42.010003,2488100,0.0,1.0
2013-02-13,41.900002,41.969999,41.580006,41.750001,3880500,0.3,1.0
2013-02-14,41.590005,42.000004,41.550001,41.800004,3235100,0.0,1.0
2013-02-15,41.930007,42.580003,41.900002,42.17,3050200,0.0,1.0
2013-02-19,42.100006,42.499999,41.819998,41.910001,2905500,0.0,1.0
2013-02-20,41.840004,41.940006,39.919998,40.069999,6395500,0.0,1.0
2013-02-21,39.870006,41.750001,39.470002,41.310008,10313900,0.0,1.0
2013-02-22,41.550001,43.000002,41.550001,43.000002,8019800,0.0,1.0
2013-02-25,43.330005,43.490005,41.779998,41.790005,7053700,0.0,1.0
2013-02-26,42.150006,42.9,41.969999,42.749999,5073100,0.0,1.0
2013-02-27,42.959998,44.249999,42.949999,44.049998,5509400,0.0,1.0
2013-02-28,43.999999,44.740006,43.800007,44.010006,4625800,0.0,1.0
2013-03-01,43.740009,44.750001,43.510004,44.280004,4309700,0.0,1.0
2013-03-04,44.080003,44.550001,43.939997,44.540002,3487100,0.0,1.0
2013-03-05,44.81,45.400005,44.750001,45.260003,4395600,0.0,1.0
2013-03-06,45.580004,46.150003,45.549999,46.050001,4539300,0.0,1.0
2013-03-07,46.119998,46.279999,45.959998,46.240006,2878800,0.0,1.0
2013-03-08,46.420001,46.889999,46.340005,46.780001,3419100,0.0,1.0
2013-03-11,46.590008,47.249999,46.350004,47.0,4509900,0.0,1.0
2013-03-12,46.950008,47.2,46.220008,46.230007,4364400,0.0,1.0
2013-03-13,46.240006,46.300005,45.650008,45.74,4628900,0.0,1.0
2013-03-14,45.780004,46.050001,45.680002,45.9,2899300,0.0,1.0
2013-03-15,45.840002,45.949999,45.549999,45.660007,4952200,0.0,1.0
2013-03-18,44.93,45.570004,44.779999,45.389998,3242800,0.0,1.0
2013-03-19,45.139999,45.570004,44.76,44.950006,3380900,0.0,1.0
2013-03-20,45.349998,45.780004,45.260003,45.589999,4767000,0.0,1.0
2013-03-21,45.300007,45.54,44.790005,44.860003,2902100,0.0,1.0
2013-03-22,45.000005,45.480001,44.990006,45.100007,2829700,0.0,1.0
