date,open,high,low,close,volume,dividend,split
2012-11-01,10.1,10.43,10.0,10.26,10644900,0.0,1.0
2012-11-02,10.35,10.42,9.92,9.92,8228100,0.0,1.0
2012-11-05,9.92,10.08,9.89,10.06,5753200,0.0,1.0
2012-11-06,10.05,10.21,9.935,10.18,9015800,0.0,1.0
2012-11-07,10.07,10.15,9.96,10.01,5155000,0.0,1.0
2012-11-08,10.01,10.11,9.83,9.84,8417300,0.0,1.0
2012-11-09,9.81,10.04,9.75,9.96,4076900,0.0,1.0
2012-11-12,9.97,10.11,9.92,9.94,4193600,0.0,1.0
2012-11-13,9.87,9.92,9.75,9.76,5753700,0.0,1.0
2012-11-14,9.95,10.08,9.53,9.54,9241900,0.0,1.0
2012-11-15,9.56,9.6,9.39,9.45,13393300,0.0,1.0
2012-11-16,9.44,9.62,9.38,9.59,7112300,0.0,1.0
2012-11-19,9.73,9.92,9.66,9.91,6782400,0.0,1.0
2012-11-20,9.87,10.11,9.76,9.9,8142400,0.0,1.0
2012-11-21,9.91,10.01,9.9,9.97,3991600,0.0,1.0
2012-11-23,10.05,10.32,9.9708,10.32,2962200,0.0,1.0
2012-11-26,10.24,10.32,10.14,10.23,4575400,0.0,1.0
2012-11-27,10.41,10.48,10.27,10.27,8193000,0.0,1.0
2012-11-28,10.23,10.54,10.2,10.5,6651900,0.0,1.0
2012-11-29,10.48,10.76,10.4005,10.72,9509800,0.06,1.0
2012-11-30,10.72,10.89,10.66,10.82,6452400,0.0,1.0
2012-12-03,10.83,10.88,10.6,10.62,6555600,0.0,1.0
2012-12-04,10.65,10.73,10.505,10.71,5392600,0.0,1.0
2012-12-05,10.72,10.92,10.65,10.9,4957300,0.0,1.0
2012-12-06,10.85,10.88,10.71,10.81,4653400,0.0,1.0
2012-12-07,10.85,10.87,10.69,10.78,4291900,0.0,1.0
2012-12-10,10.73,10.81,10.702,10.71,3280700,0.0,1.0
2012-12-11,10.77,11.05,10.7,11.02,7096000,0.0,1.0
2012-12-12,11.04,11.09,10.86,10.89,7845300,0.0,1.0
2012-12-13,10.87,10.95,10.7,10.79,4923300,0.0,1.0
2012-12-14,10.74,10.94,10.68,10.9,4028000,0.0,1.0
2012-12-17,10.92,11.02,10.9,10.97,6386400,0.0,1.0
2012-12-18,11.0,11.25,10.97,11.24,5469000,0.0,1.0
2012-12-19,11.2,11.38,11.05,11.21,5840500,0.0,1.0
2012-12-20,11.24,11.48,11.17,11.42,4857200,0.0,1.0
