date,open,high,low,close,volume,dividend,split
2012-11-01,34.47,35.32,34.18,35.2,3069400,0.0,1.0
2012-11-02,35.32,35.48,34.76,34.76,1272300,0.0,1.0
2012-11-05,34.64,34.87,34.54,34.8,804700,0.0,1.0
2012-11-06,34.92,35.08,34.58,34.81,1543300,0.0,1.0
2012-11-07,34.55,34.72,34.12,34.26,1090000,0.0,1.0
2012-11-08,34.25,34.46,33.95,34.07,996400,0.0,1.0
2012-11-09,34.01,34.54,33.9909,34.2,1013600,0.0,1.0
2012-11-12,34.19,34.44,33.9,33.96,1209900,0.0,1.0
2012-11-13,33.83,34.2,33.54,33.59,1745700,0.0,1.0
2012-11-14,33.62,33.81,33.11,33.2,902700,0.0,1.0
2012-11-15,33.21,33.25,32.56,32.61,1632100,0.0,1.0
2012-11-16,32.65,33.07,32.55,32.69,1652000,0.0,1.0
2012-11-19,33.0,33.32,32.44,33.31,3376100,0.0,1.0
2012-11-20,33.31,33.39,32.94,33.1,613800,0.0,1.0
2012-11-21,33.08,33.25,32.3,32.59,2362000,0.0,1.0
2012-11-23,32.75,32.92,32.59,32.6,976200,0.0,1.0
2012-11-26,32.52,32.646,32.0,32.01,2992900,0.0,1.0
2012-11-27,32.11,32.27,31.72,31.91,3464300,0.0,1.0
2012-11-28,31.92,31.92,31.49,31.6,2267000,0.0,1.0
2012-11-29,31.74,32.0,31.46,31.49,2321300,0.0,1.0
2012-11-30,31.54,31.69,31.39,31.6,1950700,0.0,1.0
2012-12-03,31.78,31.98,31.44,31.64,2253500,0.0,1.0
2012-12-04,31.61,31.7,31.25,31.47,2022700,0.0,1.0
2012-12-05,31.58,31.62,31.27,31.46,1100300,0.0,1.0
2012-12-06,31.4,31.45,31.12,31.2,1791900,0.0,1.0
2012-12-07,31.29,31.6,30.75,31.34,6285900,0.0,1.0
2012-12-10,31.35,31.41,31.1,31.21,1468400,0.0,1.0
2012-12-11,31.27,31.3,31.03,31.19,1898800,0.0,1.0
2012-12-12,31.25,31.445,31.12,31.25,1145900,0.0,1.0
2012-12-13,31.28,31.28,30.65,30.71,1480300,0.0,1.0
2012-12-14,30.66,31.01,30.5,30.94,1234700,0.0,1.0
2012-12-17,31.02,31.08,30.78,30.96,1010200,0.0,1.0
2012-12-18,30.97,31.3,30.785,31.26,1089200,0.0,1.0
2012-12-19,31.27,31.335,31.04,31.11,1104300,0.0,1.0
2012-12-20,31.07,31.31,30.81,31.24,842000,0.0,1.0
2012-12-21,30.55,31.69,30.51,31.43,3037900,0.27,1.0
2012-12-24,31.3,31.778,31.09,31.15,582700,0.0,1.0
2012-12-26,31.15,31.3,30.91,31.0,905900,0.0,1.0
2012-12-27,30.98,31.09,30.63,30.93,1544700,0.0,1.0
2012-12-28,30.72,31.21,30.63,30.68,1559200,0.0,1.0
2012-12-31,30.65,31.16,30.55,31.05,1090000,0.0,1.0
2013-01-02,31.45,32.08,31.45,32.08,1438400,0.0,1.0
2013-01-03,32.14,32.84,32.12,32.67,1769400,0.0,1.0
2013-01-04,32.69,33.23,32.69,33.2,1488300,0.0,1.0
2013-01-07,33.0,33.18,32.87,33.0,865100,0.0,1.0
2013-01-08,32.92,33.03,32.59,32.6,665800,0.0,1.0
2013-01-09,32.62,32.7095,32.41,32.51,1058000,0.0,1.0
2013-01-10,32.54,33.12,32.28,33.1,1983600,0.0,1.0
2013-01-11,33.19,33.33,32.8,32.84,1092100,0.0,1.0
2013-01-14,32.85,33.0,32.61,32.99,768900,0.0,1.0
2013-01-15,32.84,33.62,32.84,33.62,1313900,0.0,1.0
2013-01-16,33.48,33.54,33.33,33.43,970200,0.0,1.0
2013-01-17,33.52,33.9681,33.5,33.87,1401500,0.0,1.0
2013-01-18,33.95,34.22,33.71,34.2,1455500,0.0,1.0
2013-01-22,34.14,34.34,33.99,34.33,1103200,0.0,1.0
2013-01-23,34.39,34.49,33.92,34.47,1147400,0.0,1.0
2013-01-24,34.44,34.65,34.14,34.27,931000,0.0,1.0
2013-01-25,34.36,34.47,34.11,34.29,1089900,0.0,1.0
2013-01-28,34.25,34.36,33.89,34.15,724200,0.0,1.0
2013-01-29,34.07,34.27,33.91,34.25,1151100,0.0,1.0
2013-01-30,34.28,34.55,34.15,34.42,1458000,0.0,1.0
2013-01-31,34.29,34.435,34.07,34.21,2401200,0.0,1.0
2013-02-01,34.32,34.56,34.29,34.51,1327400,0.0,1.0
2013-02-04,34.29,34.45,33.92,33.96,1236900,0.0,1.0
2013-02-05,34.2,34.3296,34.0,34.25,1062100,0.0,1.0
2013-02-06,34.19,34.5,33.98,34.5,1123400,0.0,1.0
2013-02-07,34.53,34.74,34.28,34.64,1409600,0.0,1.0
2013-02-08,34.63,34.7,33.88,34.25,1401100,0.0,1.0
2013-02-11,34.17,34.3,33.88,34.03,852200,0.0,1.0
2013-02-12,33.97,34.59,33.94,34.47,967000,0.0,1.0
2013-02-13,34.58,34.64,34.49,34.51,670500,0.0,1.0
2013-02-14,34.5,34.72,34.475,34.56,838700,0.0,1.0
2013-02-15,34.61,34.76,34.41,34.71,1312800,0.0,1.0
2013-02-19,34.72,34.99,34.54,34.96,1844300,0.0,1.0
2013-02-20,34.99,35.14,34.63,34.67,1348600,0.0,1.0
2013-02-21,34.52,34.57,33.99,34.43,2982100,0.0,1.0
2013-02-22,34.58,34.8,34.45,34.53,1316900,0.0,1.0
2013-02-25,34.71,34.85,34.06,34.06,1154500,0.0,1.0
2013-02-26,34.2,34.67,34.105,34.59,1379000,0.0,1.0
2013-02-27,34.61,35.16,34.5,34.98,1558400,0.0,1.0
2013-02-28,33.97,34.74,33.36,34.5,2204600,0.0,1.0
2013-03-01,34.37,34.72,34.25,34.63,1595100,0.0,1.0
2013-03-04,34.58,34.67,34.23,34.61,1119700,0.0,1.0
2013-03-05,34.79,35.15,34.6,35.15,1324700,0.0,1.0
2013-03-06,35.25,35.35,34.7,34.81,1313800,0.0,1.0
2013-03-07,34.85,35.02,34.62,34.72,693700,0.0,1.0
2013-03-08,34.89,34.99,34.62,34.88,914400,0.0,1.0
2013-03-11,34.84,35.82,34.797,35.78,1480200,0.0,1.0
