date,open,high,low,close,volume,dividend,split
2012-11-01,545.0,549.49,533.83,540.96,457300,0.0,1.0
2012-11-02,539.01,551.15,537.2103,541.47,334600,0.0,1.0
2012-11-05,540.5,543.2399,537.38,540.82,288500,0.0,1.0
2012-11-06,542.46,549.9799,541.16,543.9,193800,0.0,1.0
2012-11-07,537.06,540.995,531.0,537.7,346100,0.0,1.0
2012-11-08,535.72,538.24,530.74,531.5,263200,0.0,1.0
2012-11-09,528.87,535.84,526.99,529.6,333600,0.0,1.0
2012-11-12,529.92,537.5,529.0,533.64,260600,0.0,1.0
2012-11-13,532.6,539.75,530.0,536.17,235100,0.0,1.0
2012-11-14,536.68,538.9639,524.74,526.46,276000,0.0,1.0
2012-11-15,526.5,529.0,520.3,524.29,275300,0.0,1.0
2012-11-16,523.87,536.78,523.52,533.92,374500,0.0,1.0
2012-11-19,540.0,549.98,538.16,542.49,278400,0.0,1.0
2012-11-20,541.32,543.99,533.88,536.48,214100,0.0,1.0
2012-11-21,535.71,539.254,532.2,534.46,119500,0.0,1.0
2012-11-23,538.63,538.63,534.75,537.5,44900,0.0,1.0
2012-11-26,535.25,540.0,531.33,534.25,223100,0.0,1.0
2012-11-27,532.21,534.63,524.47,525.0,284100,0.0,1.0
2012-11-28,524.0,531.2859,522.0,530.49,332600,0.0,1.0
2012-11-29,532.4,539.1,531.2301,534.95,170200,0.0,1.0
2012-11-30,533.39,534.085,527.0,529.0,217900,0.0,1.0
2012-12-03,528.75,532.891,524.08,525.41,208300,0.0,1.0
2012-12-04,524.96,528.76,520.59,527.17,234000,0.0,1.0
2012-12-05,527.76,527.76,515.59,516.77,299700,0.0,1.0
2012-12-06,515.25,520.811,510.0,519.78,246700,0.0,1.0
2012-12-07,520.53,521.34,513.251,518.29,190100,0.0,1.0
2012-12-10,517.15,526.9,517.15,526.85,250000,0.0,1.0
2012-12-11,526.97,540.78,526.565,536.3,427600,0.0,1.0
2012-12-12,537.16,545.13,536.74,539.57,244800,0.0,1.0
