date,open,high,low,close,volume,dividend,split
2012-11-01,38.7,39.72,38.58,39.48,990000,0.0,1.0
2012-11-02,39.26,39.27,38.47,38.77,1760700,0.0,1.0
2012-11-05,38.5,39.83,38.5,39.72,1060200,0.0,1.0
2012-11-06,39.92,41.09,39.75,40.97,1218300,0.0,1.0
2012-11-07,40.03,40.27,39.22,39.69,1069300,0.0,1.0
2012-11-08,39.77,39.8399,38.78,38.97,1481400,0.0,1.0
2012-11-09,38.95,39.459,38.89,39.0,753700,0.0,1.0
2012-11-12,39.14,39.61,38.9,39.29,946800,0.0,1.0
2012-11-13,39.02,39.78,38.5,39.0,956700,0.0,1.0
2012-11-14,39.08,39.33,38.65,38.79,891000,0.0,1.0
2012-11-15,38.8,39.24,38.68,39.02,1577100,0.0,1.0
2012-11-16,39.02,39.19,38.62,38.95,1053300,0.0,1.0
2012-11-19,39.37,39.73,39.09,39.7,889200,0.0,1.0
2012-11-20,39.74,39.84,39.35,39.44,667100,0.0,1.0
2012-11-21,39.56,39.97,39.3401,39.81,796100,0.0,1.0
2012-11-23,40.0,40.38,39.9307,40.38,358300,0.0,1.0
2012-11-26,40.39,41.05,40.28,41.04,863000,0.0,1.0
2012-11-27,40.93,41.25,40.62,40.78,654700,0.0,1.0
2012-11-28,40.45,40.75,39.73,40.62,1011400,0.0,1.0
2012-11-29,40.92,41.14,40.6,41.01,580700,0.0,1.0
2012-11-30,41.13,41.178,40.67,40.94,823800,0.0,1.0
2012-12-03,41.28,41.4,40.53,40.62,674700,0.0,1.0
2012-12-04,40.32,41.26,40.32,41.1,600600,0.0,1.0
2012-12-05,41.15,41.61,40.66,41.31,694700,0.0,1.0
2012-12-06,41.26,41.56,40.78,41.56,864800,0.0,1.0
2012-12-07,41.65,42.12,41.02,42.11,835300,0.0,1.0
2012-12-10,42.0,42.26,41.925,42.16,699900,0.0,1.0
2012-12-11,42.39,42.59,42.21,42.42,856100,0.0,1.0
2012-12-12,42.62,42.72,42.1,42.15,720100,0.0,1.0
2012-12-13,42.08,42.21,41.55,41.72,702600,0.0,1.0
2012-12-14,41.49,42.01,41.18,41.34,840900,0.0,1.0
2012-12-17,41.61,42.08,41.55,42.04,1232700,0.0,1.0
2012-12-18,42.2,42.98,42.08,42.91,924400,0.0,1.0
2012-12-19,42.81,43.24,42.55,42.57,1138100,0.0,1.0
2012-12-20,42.68,43.56,42.56,43.54,903100,0.0,1.0
2012-12-21,42.95,43.14,42.65,42.91,1080600,0.0,1.0
2012-12-24,42.75,42.943,42.64,42.82,307400,0.0,1.0
2012-12-26,42.9,43.04,42.44,42.61,629300,0.0,1.0
2012-12-27,42.55,42.55,41.555,42.35,716500,0.0,1.0
2012-12-28,41.91,42.2,41.72,41.73,514500,0.0,1.0
2012-12-31,41.62,42.62,41.5,42.57,634500,0.0,1.0
2013-01-02,43.51,43.77,43.3,43.75,876500,0.0,1.0
2013-01-03,43.69,43.995,43.43,43.54,623400,0.0,1.0
2013-01-04,43.72,44.01,43.56,43.92,514900,0.0,1.0
2013-01-07,43.8,44.17,43.55,44.04,558000,0.0,1.0
2013-01-08,44.0,44.26,43.83,44.19,739700,0.0,1.0
2013-01-09,44.26,44.49,44.06,44.43,466900,0.0,1.0
2013-01-10,44.69,45.33,44.65,45.19,875500,0.0,1.0
2013-01-11,45.27,45.27,44.58,44.95,576300,0.0,1.0
2013-01-14,45.09,45.09,44.5,44.92,587800,0.0,1.0
2013-01-15,44.7,45.64,44.66,45.55,717200,0.0,1.0
2013-01-16,45.38,45.48,45.17,45.38,562700,0.0,1.0
2013-01-17,45.6,46.17,45.6,46.05,852500,0.0,1.0
2013-01-18,46.18,46.18,45.47,46.05,705800,0.0,1.0
2013-01-22,45.95,46.84,45.45,46.81,967800,0.0,1.0
2013-01-23,46.63,46.86,46.2,46.34,814300,0.0,1.0
2013-01-24,46.5,47.25,46.4201,47.03,951200,0.0,1.0
2013-01-25,47.37,49.41,47.03,48.46,2787500,0.0,1.0
2013-01-28,48.57,48.88,48.4002,48.73,755700,0.0,1.0
2013-01-29,48.74,49.35,48.68,48.91,894500,0.0,1.0
2013-01-30,48.92,48.959,48.0,48.04,1020600,0.0,1.0
2013-01-31,47.98,48.225,47.43,48.11,987500,0.0,1.0
2013-02-01,48.65,48.73,48.16,48.33,1079400,0.0,1.0
2013-02-04,48.0,48.24,47.8,47.91,717500,0.0,1.0
2013-02-05,48.11,48.55,47.94,48.5,785500,0.0,1.0
2013-02-06,48.21,48.56,48.13,48.56,525600,0.0,1.0
2013-02-07,48.62,48.62,47.8801,48.02,790700,0.0,1.0
2013-02-08,48.06,48.39,47.78,48.08,660600,0.0,1.0
2013-02-11,48.0,48.26,47.73,47.84,509200,0.0,1.0
2013-02-12,48.16,48.36,47.8697,48.14,682400,0.0,1.0
2013-02-13,48.39,49.0,48.39,48.69,648100,0.0,1.0
2013-02-14,48.53,49.21,48.45,48.9,853000,0.0,1.0
2013-02-15,48.9,49.35,48.59,49.35,1094800,0.0,1.0
2013-02-19,49.42,50.305,49.35,50.3,1337800,0.0,1.0
2013-02-20,50.34,50.48,49.38,49.39,1143900,0.0,1.0
2013-02-21,49.15,49.27,48.04,48.62,978400,0.0,1.0
2013-02-22,48.87,49.1,48.53,49.1,711600,0.0,1.0
2013-02-25,49.4,49.61,47.5475,47.58,1435800,0.0,1.0
2013-02-26,47.81,47.9,46.92,47.7,1106800,0.0,1.0
2013-02-27,47.58,48.71,47.48,48.57,616500,0.0,1.0
2013-02-28,48.75,49.07,48.46,48.84,923800,0.0,1.0
2013-03-01,48.24,48.545,47.34,48.0,1311200,0.0,1.0
