date,open,high,low,close,volume,dividend,split
2012-11-01,26.88,27.67,26.76,27.65,2847700,0.0,1.0
2012-11-02,27.75,28.0,27.53,27.81,4224800,0.0,1.0
2012-11-05,27.7,27.93,27.6,27.76,2113700,0.0,1.0
2012-11-06,27.87,28.85,27.75,28.55,5074100,0.0,1.0
2012-11-07,28.24,28.24,27.43,27.77,4419800,0.0,1.0
2012-11-08,27.75,28.06,27.6,27.6,2788800,0.0,1.0
2012-11-09,27.53,27.89,27.45,27.56,2276000,0.0,1.0
2012-11-12,27.55,27.73,27.31,27.41,2220700,0.0,1.0
2012-11-13,27.2,27.7,27.1,27.33,3847300,0.0,1.0
2012-11-14,26.96,27.98,26.61,26.61,8703600,0.0,1.0
2012-11-15,26.61,27.14,26.31,26.5,5976200,0.0,1.0
2012-11-16,26.55,26.79,26.17,26.77,5540100,0.0,1.0
2012-11-19,27.03,27.14,26.68,27.0,4799600,0.0,1.0
2012-11-20,27.01,27.18,26.78,27.14,3522900,0.0,1.0
2012-11-21,27.1,27.5,27.01,27.21,2899000,0.0,1.0
2012-11-23,27.21,27.88,27.21,27.66,1979200,0.0,1.0
2012-11-26,27.5,27.68,27.27,27.67,3197600,0.0,1.0
2012-11-27,27.7,27.99,27.5,27.54,2807200,0.0,1.0
2012-11-28,27.43,28.31,27.35,28.3,3952800,0.0,1.0
2012-11-29,28.44,28.7,28.38,28.47,5316200,0.0,1.0
2012-11-30,28.45,28.69,28.27,28.37,3128400,0.0,1.0
2012-12-03,28.39,28.52,27.84,27.9,3571200,0.0,1.0
2012-12-04,27.97,28.22,27.68,28.15,2716300,0.0,1.0
2012-12-05,28.21,28.715,28.12,28.64,4202400,0.0,1.0
2012-12-06,28.59,28.79,28.44,28.6,4487200,0.0,1.0
2012-12-07,28.66,28.77,28.33,28.66,2149200,0.0,1.0
2012-12-10,28.65,28.7,28.5,28.63,2311500,0.0,1.0
2012-12-11,28.7,29.0,28.34,28.4,3763200,0.0,1.0
2012-12-12,28.64,28.95,28.56,28.74,3074900,0.0,1.0
2012-12-13,28.75,28.93,28.54,28.6,3772600,0.0,1.0
2012-12-14,28.54,28.85,28.46,28.55,2112300,0.0,1.0
2012-12-17,28.57,29.1,28.57,29.08,4492400,0.0,1.0
2012-12-18,29.13,29.42,29.0,29.3,4108200,0.0,1.0
2012-12-19,29.25,29.455,28.93,29.24,3069400,0.0,1.0
2012-12-20,29.28,29.48,29.055,29.48,2681600,0.0,1.0
2012-12-21,29.24,29.68,29.05,29.38,4516600,0.0,1.0
2012-12-24,29.26,29.38,29.0,29.25,1047500,0.0,1.0
2012-12-26,29.31,29.34,28.865,29.03,2614700,0.0,1.0
2012-12-27,29.05,29.19,28.63,28.91,2959200,0.0,1.0
2012-12-28,28.76,28.94,28.55,28.57,2343800,0.0,1.0
2012-12-31,28.43,29.25,28.33,29.25,3677100,0.0,1.0
2013-01-02,29.76,30.57,29.72,30.57,4772400,0.0,1.0
2013-01-03,30.49,30.58,29.74,29.82,4587700,0.0,1.0
2013-01-04,29.97,30.03,29.71,29.78,3131800,0.0,1.0
2013-01-07,29.63,29.95,29.58,29.82,1786200,0.0,1.0
2013-01-08,29.78,29.86,29.59,29.77,1964400,0.0,1.0
2013-01-09,29.89,30.56,29.85,30.55,3780300,0.0,1.0
2013-01-10,30.68,30.745,30.14,30.39,4338200,0.0,1.0
2013-01-11,30.52,30.55,30.1,30.25,2118900,0.0,1.0
2013-01-14,30.16,30.3,29.95,30.3,1899400,0.0,1.0
2013-01-15,30.08,30.53,30.0,30.53,2272000,0.0,1.0
2013-01-16,30.38,30.58,30.17,30.54,1952600,0.0,1.0
2013-01-17,30.64,31.46,30.61,31.34,3988800,0.0,1.0
2013-01-18,31.33,31.38,30.83,31.37,3491000,0.0,1.0
2013-01-22,31.29,31.45,31.07,31.25,3055600,0.0,1.0
2013-01-23,31.06,31.22,30.91,31.1,2250800,0.15,1.0
2013-01-24,31.0,31.2899,30.77,30.94,3007500,0.0,1.0
2013-01-25,31.02,31.26,30.76,31.23,2489700,0.0,1.0
2013-01-28,31.15,31.23,30.66,30.7,4176100,0.0,1.0
2013-01-29,30.47,30.85,30.23,30.51,4281000,0.0,1.0
2013-01-30,30.54,30.78,30.07,30.16,2867300,0.0,1.0
2013-01-31,30.18,30.35,30.08,30.23,2842600,0.0,1.0
2013-02-01,30.4,30.65,30.15,30.25,2838900,0.0,1.0
2013-02-04,30.06,30.13,29.96,30.01,2698500,0.0,1.0
2013-02-05,30.13,30.74,30.05,30.6,2890300,0.0,1.0
2013-02-06,30.42,30.589,30.15,30.44,3843200,0.0,1.0
2013-02-07,30.37,30.5,30.125,30.44,2336500,0.0,1.0
2013-02-08,30.52,30.84,30.46,30.76,1976500,0.0,1.0
2013-02-11,30.73,31.04,30.67,30.73,2106800,0.0,1.0
2013-02-12,30.82,31.02,30.75,31.01,2315400,0.0,1.0
2013-02-13,30.87,31.55,30.87,31.5,3761000,0.0,1.0
2013-02-14,31.25,31.87,31.25,31.87,3484600,0.0,1.0
2013-02-15,31.99,32.21,31.9,32.05,4191700,0.0,1.0
2013-02-19,32.03,32.34,31.96,32.34,2557200,0.0,1.0
2013-02-20,32.25,32.43,32.07,32.3,3936400,0.0,1.0
2013-02-21,32.13,32.13,31.44,31.76,4153200,0.0,1.0
2013-02-22,31.91,32.05,31.73,31.85,2126200,0.0,1.0
2013-02-25,31.97,32.01,31.29,31.3,2820700,0.0,1.0
2013-02-26,31.43,31.51,31.21,31.27,3636800,0.0,1.0
2013-02-27,31.18,32.03,31.09,31.92,2962400,0.0,1.0
2013-02-28,31.94,32.325,31.87,32.01,3041700,0.0,1.0
2013-03-01,31.8,32.11,31.56,31.67,2845200,0.0,1.0
2013-03-04,31.55,31.94,31.5,31.89,2580300,0.0,1.0
2013-03-05,32.03,32.42,32.01,32.27,2583000,0.0,1.0
2013-03-06,32.47,32.49,32.1301,32.23,1692500,0.0,1.0
2013-03-07,32.25,32.25,31.83,31.84,2567200,0.0,1.0
2013-03-08,31.97,32.14,31.8,32.08,2135100,0.0,1.0
2013-03-11,31.99,32.2483,31.96,32.24,1449000,0.0,1.0
2013-03-12,32.19,32.22,31.59,31.64,2565300,0.0,1.0
2013-03-13,31.71,31.83,31.5501,31.73,2026300,0.0,1.0
2013-03-14,31.82,31.99,31.76,31.88,1791800,0.0,1.0
2013-03-15,31.71,31.8735,31.51,31.62,2667300,0.0,1.0
2013-03-18,31.25,31.6,31.23,31.34,2112500,0.0,1.0
2013-03-19,31.43,31.43,30.81,31.23,2930300,0.0,1.0
2013-03-20,31.45,31.6,31.35,31.46,2715400,0.0,1.0
2013-03-21,31.33,31.47,30.87,30.88,3346500,0.0,1.0
2013-03-22,30.98,31.25,30.905,31.24,2860200,0.0,1.0
2013-03-25,31.32,31.44,30.8335,30.99,1785500,0.0,1.0
2013-03-26,31.15,31.26,30.96,31.26,1975600,0.0,1.0
2013-03-27,31.04,31.22,30.89,31.18,1944100,0.0,1.0
2013-03-28,31.2,32.07,31.095,32.0,4589300,0.0,1.0
2013-04-01,32.1,32.16,31.57,31.75,2653100,0.0,1.0
2013-04-02,31.81,31.95,31.49,31.64,3602500,0.0,1.0
2013-04-03,31.69,31.96,31.43,31.53,4163800,0.0,1.0
2013-04-04,31.52,31.835,31.38,31.59,2302400,0.0,1.0
2013-04-05,31.21,31.37,30.95,31.11,2870200,0.0,1.0
2013-04-08,31.02,31.33,31.02,31.17,2755600,0.0,1.0
2013-04-09,31.31,31.79,31.11,31.68,4495700,0.0,1.0
2013-04-10,31.81,32.5,31.71,32.44,3052100,0.0,1.0
2013-04-11,32.47,32.77,32.43,32.71,3110000,0.0,1.0
2013-04-12,32.62,32.67,32.11,32.25,2740500,0.0,1.0
2013-04-15,32.06,32.3,31.29,31.36,3416600,0.0,1.0
2013-04-16,31.58,31.708,31.38,31.58,2553500,0.0,1.0
2013-04-17,31.36,31.41,30.77,31.17,3124000,0.0,1.0
2013-04-18,31.18,31.2,30.75,30.88,2354600,0.0,1.0
2013-04-19,31.03,31.36,30.91,31.32,2968600,0.0,1.0
2013-04-22,31.32,31.42,30.75,30.79,3361700,0.0,1.0
2013-04-23,30.98,31.23,30.75,31.05,2292800,0.0,1.0
2013-04-24,30.98,31.16,30.62,30.7,3878300,0.16,1.0
2013-04-25,30.75,31.2,30.65,31.08,3748200,0.0,1.0
2013-04-26,32.31,32.95,31.37,31.42,12536100,0.0,1.0
2013-04-29,31.58,32.425,31.52,32.16,6075700,0.0,1.0
2013-04-30,32.23,32.47,32.0,32.12,5067900,0.0,1.0
2013-05-01,31.98,32.26,31.49,31.5,4760600,0.0,1.0
2013-05-02,31.52,31.99,31.51,31.75,6172100,0.0,1.0
2013-05-03,32.04,32.68,31.99,32.03,4623500,0.0,1.0
2013-05-06,31.99,32.88,31.96,32.85,2720200,0.0,1.0
2013-05-07,32.98,33.17,32.83,33.15,2120800,0.0,1.0
2013-05-08,33.11,33.78,33.06,33.77,3881200,0.0,1.0
2013-05-09,33.65,34.01,33.61,33.96,3168200,0.0,1.0
2013-05-10,33.91,34.0,33.705,33.87,5546600,0.0,1.0
2013-05-13,33.84,33.97,33.7399,33.86,1631500,0.0,1.0
2013-05-14,33.84,34.24,33.8,34.11,2435100,0.0,1.0
2013-05-15,34.0,34.17,33.795,34.15,2498300,0.0,1.0
2013-05-16,34.08,34.08,33.83,33.91,3203200,0.0,1.0
2013-05-17,33.91,34.43,33.91,34.26,2168900,0.0,1.0
2013-05-20,34.15,34.32,34.08,34.24,2743700,0.0,1.0
2013-05-21,34.22,34.4,34.18,34.26,1340100,0.0,1.0
2013-05-22,34.26,34.31,33.91,34.08,4665100,0.0,1.0
2013-05-23,33.82,34.22,33.79,34.06,3585500,0.0,1.0
2013-05-24,33.89,34.355,33.74,34.27,2946700,0.0,1.0
2013-05-28,34.58,34.69,34.44,34.5,1862900,0.0,1.0
2013-05-29,34.24,34.39,34.12,34.22,2636800,0.0,1.0
2013-05-30,34.23,34.52,34.11,34.2,2906600,0.0,1.0
2013-05-31,34.08,34.34,33.81,33.81,3087500,0.0,1.0
2013-06-03,33.82,33.95,33.49,33.83,4004600,0.0,1.0
2013-06-04,33.78,34.06,33.625,33.7,3615400,0.0,1.0
2013-06-05,33.55,33.64,33.22,33.28,4182400,0.0,1.0
2013-06-06,33.28,33.56,33.09,33.56,2362800,0.0,1.0
2013-06-07,33.89,34.82,33.79,34.28,3137100,0.0,1.0
2013-06-10,34.29,34.515,34.16,34.43,3743700,0.0,1.0
2013-06-11,33.97,34.15,33.68,33.71,5430900,0.0,1.0
2013-06-12,33.9,33.91,33.13,33.31,4251000,0.0,1.0
2013-06-13,33.25,33.54,33.0,33.45,2961300,0.0,1.0
2013-06-14,33.46,33.63,33.22,33.31,3984000,0.0,1.0
2013-06-17,33.5,33.67,33.185,33.39,4403200,0.0,1.0
2013-06-18,33.35,33.9,33.32,33.75,2730500,0.0,1.0
2013-06-19,33.78,33.82,33.37,33.39,4468700,0.0,1.0
2013-06-20,33.1,33.1,32.15,32.26,7074700,0.0,1.0
2013-06-21,32.53,32.53,31.88,32.41,6244800,0.0,1.0
2013-06-24,32.16,32.16,31.72,31.72,5151600,0.0,1.0
2013-06-25,31.97,32.11,31.695,31.98,5335500,0.0,1.0
2013-06-26,32.22,32.25,31.98,32.01,5339800,0.0,1.0
2013-06-27,32.29,33.03,32.28,32.88,5389200,0.0,1.0
2013-06-28,32.77,33.01,32.52,32.95,21513000,0.0,1.0
2013-07-01,33.63,34.655,33.47,34.4,7745300,0.0,1.0
2013-07-02,34.39,34.73,34.03,34.41,3550800,0.0,1.0
2013-07-03,34.15,34.32,33.94,34.16,1595400,0.0,1.0
2013-07-05,34.41,34.65,34.25,34.57,1461100,0.0,1.0
2013-07-08,34.8,34.98,34.612,34.78,2408400,0.0,1.0
2013-07-09,35.0,35.39,34.99,35.32,3795900,0.0,1.0
2013-07-10,35.3,35.48,35.01,35.13,2516900,0.0,1.0
2013-07-11,35.54,35.62,34.96,35.09,3903500,0.0,1.0
2013-07-12,35.12,35.3,34.87,35.08,4256500,0.0,1.0
2013-07-15,35.24,35.75,35.09,35.44,2521900,0.0,1.0
2013-07-16,35.46,35.5,35.005,35.11,2481100,0.0,1.0
2013-07-17,35.3,35.31,35.0499,35.16,1275200,0.0,1.0
