date,open,high,low,close,volume,dividend,split
2012-11-01,71.1,71.9,70.83,71.5,11226000,0.0,1.0
2012-11-02,71.7,71.7,70.83,70.9,7946700,0.0,1.0
2012-11-05,70.86,71.0,70.47,70.79,6874500,0.0,1.0
2012-11-06,71.0,71.62,70.89,71.01,7927500,0.0,1.0
2012-11-07,70.69,70.99,69.7,70.34,12719700,0.0,1.0
2012-11-08,70.15,70.42,69.65,69.65,12652100,0.0,1.0
2012-11-09,69.56,70.26,69.43,69.87,10511700,0.0,1.0
2012-11-12,69.79,70.05,69.31,69.68,9761000,0.0,1.0
2012-11-13,69.52,70.11,69.4,69.51,8244500,0.0,1.0
2012-11-14,69.63,69.76,69.03,69.27,10470700,0.0,1.0
2012-11-15,68.99,69.2,68.72,69.07,11803600,0.0,1.0
2012-11-16,68.87,69.27,68.51,69.19,14272300,0.0,1.0
2012-11-19,69.54,69.81,69.04,69.25,12337400,0.0,1.0
2012-11-20,69.26,69.715,69.14,69.67,9859500,0.0,1.0
2012-11-21,69.63,69.875,69.45,69.59,7639900,0.0,1.0
2012-11-23,69.08,69.56,68.95,69.56,5450100,0.61,1.0
2012-11-26,69.12,69.5,68.82,69.09,9884800,0.0,1.0
2012-11-27,69.01,69.15,68.73,68.81,8763200,0.0,1.0
2012-11-28,68.71,69.38,68.6,69.29,9983200,0.0,1.0
2012-11-29,69.47,69.555,69.05,69.22,9853400,0.0,1.0
2012-11-30,69.39,69.92,69.175,69.73,13480700,0.0,1.0
2012-12-03,69.8,69.92,69.36,69.65,9928900,0.0,1.0
2012-12-04,69.58,70.49,69.45,69.86,14278100,0.0,1.0
2012-12-05,69.93,70.295,69.58,69.97,11037100,0.0,1.0
2012-12-06,70.34,70.34,69.8,70.05,9459200,0.0,1.0
2012-12-07,70.04,70.5225,69.86,70.45,10021300,0.0,1.0
2012-12-10,70.26,70.8,70.26,70.6,9700300,0.0,1.0
2012-12-11,70.93,71.62,70.75,71.1,14933700,0.0,1.0
2012-12-12,71.21,71.37,70.845,70.96,11783300,0.0,1.0
2012-12-13,70.9,71.0,70.6199,70.75,8838900,0.0,1.0
2012-12-14,70.62,70.86,70.49,70.69,10263600,0.0,1.0
2012-12-17,70.84,71.18,70.78,70.94,14317200,0.0,1.0
2012-12-18,71.06,71.1,70.505,70.95,16352400,0.0,1.0
2012-12-19,70.91,71.31,70.63,70.63,11865600,0.0,1.0
2012-12-20,70.74,70.9,70.49,70.75,11775800,0.0,1.0
2012-12-21,70.56,70.75,70.06,70.27,22142300,0.0,1.0
2012-12-24,70.32,70.4,69.94,70.02,5006500,0.0,1.0
2012-12-26,69.95,70.36,69.88,70.17,7737300,0.0,1.0
2012-12-27,70.13,70.4,69.8,70.09,10700400,0.0,1.0
2012-12-28,69.84,70.07,69.415,69.48,9691100,0.0,1.0
2012-12-31,69.24,70.11,69.175,70.1,12770000,0.0,1.0
