date,open,high,low,close,volume,dividend,split
2012-11-01,16.56,17.37,16.45,17.27,9677600,0.0,1.0
2012-11-02,17.44,17.49,17.1,17.12,4511900,0.0,1.0
2012-11-05,16.88,17.53,16.71,17.44,6011400,0.0,1.0
2012-11-06,17.51,17.69,17.35,17.54,6249400,0.0,1.0
2012-11-07,18.23,18.53,17.26,17.77,14271800,0.0,1.0
2012-11-08,18.12,18.15,17.58,17.6,8348300,0.0,1.0
2012-11-09,17.51,17.83,17.38,17.65,7042400,0.0,1.0
2012-11-12,17.76,17.98,17.54,17.79,6147600,0.0,1.0
2012-11-13,17.66,17.68,17.33,17.35,7783000,0.0,1.0
2012-11-14,17.72,17.98,17.49,17.55,9323300,0.0,1.0
2012-11-15,17.61,17.71,16.85,16.9,8667500,0.0,1.0
2012-11-16,16.97,17.0,16.025,16.32,12329700,0.0,1.0
2012-11-19,16.44,16.8,16.24,16.36,6980200,0.0,1.0
2012-11-20,16.28,16.46,16.09,16.15,7767500,0.0,1.0
2012-11-21,16.23,16.36,16.13,16.21,6713400,0.0,1.0
2012-11-23,16.22,16.7,16.22,16.7,2711700,0.0,1.0
2012-11-26,16.64,16.88,16.53,16.81,4161500,0.0,1.0
2012-11-27,16.8,17.29,16.69,17.09,6268800,0.0,1.0
2012-11-28,17.01,17.87,16.92,17.79,13974300,0.0,1.0
2012-11-29,17.83,18.1,17.81,18.02,7126000,0.0,1.0
2012-11-30,18.0,18.08,17.76,17.98,6001600,0.0,1.0
2012-12-03,18.1,18.35,17.83,17.88,7584900,0.0,1.0
2012-12-04,18.1,18.3,17.97,18.02,11159600,0.0,1.0
2012-12-05,17.98,18.43,17.87,18.37,9727800,0.0,1.0
2012-12-06,18.27,19.17,18.27,19.1,13838900,0.0,1.0
2012-12-07,19.07,19.31,18.86,19.29,8737400,0.0,1.0
2012-12-10,19.3,19.53,19.19,19.28,7084800,0.0,1.0
2012-12-11,19.23,19.69,19.08,19.17,9157500,0.0,1.0
2012-12-12,19.29,19.34,18.92,18.97,5654500,0.0,1.0
2012-12-13,18.94,19.5,18.88,19.36,7734400,0.0,1.0
2012-12-14,19.25,19.95,19.08,19.59,6907000,0.0,1.0
2012-12-17,19.62,19.82,19.43,19.78,4820600,0.0,1.0
2012-12-18,19.72,20.28,19.71,20.26,7202100,0.0,1.0
2012-12-19,20.39,20.67,20.06,20.16,6679800,0.0,1.0
2012-12-20,20.13,20.48,19.9,20.35,5369300,0.0,1.0
2012-12-21,20.18,20.21,19.74,20.17,7791600,0.0,1.0
2012-12-24,19.7,20.07,19.42,20.01,1860200,0.0,1.0
2012-12-26,20.01,20.4,19.77,19.89,2943200,0.0,1.0
2012-12-27,19.93,19.95,19.43,19.79,4461300,0.0,1.0
2012-12-28,19.58,19.645,19.35,19.38,5152800,0.0,1.0
2012-12-31,19.42,19.78,19.21,19.67,7807400,0.0,1.0
2013-01-02,20.13,20.68,20.01,20.55,6104100,0.0,1.0
2013-01-03,20.48,20.7,20.11,20.17,6327500,0.0,1.0
2013-01-04,20.15,20.43,20.085,20.38,7089600,0.0,1.0
2013-01-07,20.3,20.33,19.98,20.15,5313400,0.0,1.0
2013-01-08,20.0,20.0,19.545,19.72,8334700,0.0,1.0
2013-01-09,19.71,20.04,19.6,19.95,5493900,0.0,1.0
2013-01-10,20.05,20.37,19.995,20.3,6546300,0.0,1.0
2013-01-11,20.3,20.7,20.28,20.66,6055500,0.0,1.0
2013-01-14,20.57,20.87,20.5,20.82,6698000,0.0,1.0
2013-01-15,20.67,21.03,20.435,21.01,6103300,0.0,1.0
2013-01-16,20.89,21.17,20.835,20.98,4727900,0.0,1.0
2013-01-17,21.47,21.85,21.025,21.28,6333200,0.0,1.0
2013-01-18,21.24,21.49,21.08,21.49,6021300,0.0,1.0
2013-01-22,21.42,21.99,21.38,21.5,6658000,0.0,1.0
2013-01-23,21.5,21.7,21.23,21.28,6856200,0.0,1.0
2013-01-24,21.18,21.69,21.12,21.5,9507100,0.0,1.0
2013-01-25,21.76,22.64,21.5,22.57,15485500,0.0,1.0
2013-01-28,22.58,22.85,22.19,22.2,10210900,0.0,1.0
2013-01-29,22.07,22.2,21.555,21.58,7833600,0.0,1.0
2013-01-30,21.52,21.84,21.52,21.58,5986500,0.0,1.0
2013-01-31,21.68,22.41,21.56,22.38,9455600,0.0,1.0
2013-02-01,22.32,22.53,22.2,22.32,7183400,0.0,1.0
2013-02-04,22.41,22.975,22.22,22.24,7785900,0.0,1.0
2013-02-05,22.36,22.66,22.27,22.39,4701000,0.0,1.0
2013-02-06,22.24,22.48,22.1,22.38,5360600,0.0,1.0
2013-02-07,22.34,22.425,22.1,22.37,4898700,0.0,1.0
