date,open,high,low,close,volume,dividend,split
2012-11-01,52.72,53.6162,52.16,53.5,2670400,0.0,1.0
2012-11-02,53.56,54.1,53.46,53.69,3710000,0.0,1.0
2012-11-05,53.57,53.99,53.11,53.99,3497000,0.0,1.0
2012-11-06,53.98,54.79,53.74,54.76,3281100,0.0,1.0
2012-11-07,54.35,54.48,53.62,54.16,3157500,0.0,1.0
2012-11-08,52.25,54.15,52.22,53.67,3823100,0.0,1.0
2012-11-09,53.56,53.98,53.39,53.48,2717000,0.0,1.0
2012-11-12,53.5,53.75,53.24,53.67,1321800,0.0,1.0
2012-11-13,53.56,54.1501,53.56,53.82,1938000,0.0,1.0
2012-11-14,53.82,54.19,53.53,53.68,1861900,0.0,1.0
2012-11-15,53.6,53.98,53.35,53.89,1931100,0.0,1.0
2012-11-16,54.08,54.17,53.72,54.17,2264700,0.0,1.0
2012-11-19,54.35,54.75,54.1,54.74,1982100,0.0,1.0
2012-11-20,54.66,54.9,54.49,54.82,1734100,0.0,1.0
2012-11-21,54.81,55.14,54.689,55.05,1763300,0.0,1.0
2012-11-23,55.23,55.34,55.1,55.26,893000,0.0,1.0
2012-11-26,55.28,55.4499,55.14,55.39,2427200,0.0,1.0
2012-11-27,55.39,55.881,55.24,55.45,2185700,0.0,1.0
2012-11-28,55.39,55.83,55.34,55.78,4212600,0.0,1.0
2012-11-29,55.32,55.7,55.14,55.6,1630800,0.44,1.0
2012-11-30,55.55,55.7,55.27,55.46,2378800,0.0,1.0
2012-12-03,55.57,55.59,55.055,55.26,1595500,0.0,1.0
2012-12-04,55.05,55.25,54.53,55.23,1780300,0.0,1.0
2012-12-05,55.21,55.86,55.185,55.65,1881700,0.0,1.0
2012-12-06,55.61,55.75,55.5,55.74,1339700,0.0,1.0
2012-12-07,55.74,55.98,55.49,55.97,1355700,0.0,1.0
2012-12-10,55.94,56.5,55.85,56.13,1642100,0.0,1.0
2012-12-11,56.15,56.7,56.0501,56.66,1732000,0.0,1.0
2012-12-12,56.75,57.21,56.545,56.6,1856000,0.0,1.0
2012-12-13,56.67,56.84,56.45,56.75,1077900,0.0,1.0
2012-12-14,56.53,57.1,56.43,56.72,1950300,0.0,1.0
2012-12-17,56.75,57.0,56.72,56.86,1485100,0.0,1.0
2012-12-18,56.98,56.98,56.295,56.6,2944100,0.0,1.0
2012-12-19,56.8,56.81,56.11,56.15,1332200,0.0,1.0
2012-12-20,56.2,56.68,56.13,56.59,1311900,0.0,1.0
2012-12-21,56.53,56.58,55.87,56.18,2213100,0.0,1.0
2012-12-24,56.26,56.26,55.87,56.14,488200,0.0,1.0
2012-12-26,56.07,56.21,55.67,55.77,1101400,0.0,1.0
2012-12-27,55.77,55.92,55.405,55.74,938500,0.0,1.0
2012-12-28,55.59,55.82,55.28,55.33,829900,0.0,1.0
2012-12-31,55.17,55.88,55.02,55.85,1300000,0.0,1.0
2013-01-02,56.33,56.91,56.25,56.91,1563300,0.0,1.0
2013-01-03,56.94,56.94,56.29,56.52,1556900,0.0,1.0
2013-01-04,56.5,56.68,56.25,56.64,1764400,0.0,1.0
2013-01-07,56.66,56.82,56.37,56.66,1079700,0.0,1.0
2013-01-08,56.58,56.86,56.22,56.85,1530300,0.0,1.0
2013-01-09,56.94,57.15,56.775,56.99,1132600,0.0,1.0
2013-01-10,57.09,57.31,56.91,57.31,1119600,0.0,1.0
2013-01-11,57.4,57.4,56.92,57.02,927900,0.0,1.0
2013-01-14,57.16,57.545,57.132,57.38,1209700,0.0,1.0
2013-01-15,57.21,57.2446,57.02,57.12,1066000,0.0,1.0
2013-01-16,56.32,57.12,56.04,57.03,1939800,0.0,1.0
2013-01-17,57.27,58.0,57.18,57.76,1273500,0.0,1.0
2013-01-18,57.7,58.23,57.48,58.21,1396200,0.0,1.0
2013-01-22,58.05,58.35,57.9,58.19,1992200,0.0,1.0
2013-01-23,58.04,58.325,57.8,58.17,1798000,0.0,1.0
2013-01-24,58.25,58.75,58.1201,58.59,1587500,0.0,1.0
2013-01-25,58.6,58.84,58.24,58.84,1211100,0.0,1.0
2013-01-28,58.72,58.83,58.32,58.41,827300,0.0,1.0
2013-01-29,58.46,58.88,58.3,58.82,856200,0.0,1.0
2013-01-30,58.79,58.9,58.5801,58.71,777900,0.0,1.0
2013-01-31,58.65,58.85,58.29,58.5,1042800,0.0,1.0
2013-02-01,58.85,59.0,58.56,58.65,2151600,0.0,1.0
2013-02-04,58.41,58.49,58.0,58.1,2585100,0.0,1.0
2013-02-05,58.85,59.38,58.46,58.5,3053100,0.0,1.0
2013-02-06,58.61,59.0,58.6,58.99,2485200,0.0,1.0
2013-02-07,58.78,59.04,58.51,59.0,1877200,0.0,1.0
2013-02-08,58.93,59.35,58.76,58.91,1669300,0.0,1.0
