date,open,high,low,close,volume,dividend,split
2012-11-01,8.42,8.51,8.37,8.5,7366100,0.0,1.0
2012-11-02,8.56,8.57,8.35,8.37,14143300,0.0,1.0
2012-11-05,8.33,8.47,8.235,8.46,15334600,0.0,1.0
2012-11-06,8.49,8.64,8.45,8.59,12223600,0.0,1.0
2012-11-07,8.45,8.5,8.245,8.29,19228100,0.0,1.0
2012-11-08,8.3,8.44,8.25,8.25,10803100,0.0,1.0
2012-11-09,8.23,8.41,8.21,8.29,10897100,0.0,1.0
2012-11-12,8.31,8.36,8.265,8.29,5536000,0.0,1.0
2012-11-13,8.24,8.38,8.16,8.17,11135900,0.0,1.0
2012-11-14,8.2,8.26,8.01,8.035,10836500,0.0,1.0
2012-11-15,8.0,8.13,7.97,8.01,10455700,0.0,1.0
2012-11-16,8.04,8.12,7.96,8.03,14468300,0.0,1.0
2012-11-19,8.18,8.27,8.15,8.17,11547100,0.0,1.0
2012-11-20,8.2,8.36,8.14,8.36,10555700,0.0,1.0
2012-11-21,8.37,8.38,8.28,8.34,6875800,0.0,1.0
2012-11-23,8.33,8.45,8.3,8.45,2214700,0.05,1.0
2012-11-26,8.39,8.48,8.3,8.475,9714800,0.0,1.0
2012-11-27,8.43,8.46,8.23,8.23,13689000,0.0,1.0
2012-11-28,8.19,8.22,8.05,8.18,22054400,0.0,1.0
2012-11-29,8.23,8.28,8.08,8.12,14010700,0.0,1.0
2012-11-30,8.14,8.16,8.03,8.08,13364400,0.0,1.0
2012-12-03,8.15,8.16,7.98,7.99,17218500,0.0,1.0
2012-12-04,8.0,8.04,7.81,7.895,17498200,0.0,1.0
2012-12-05,7.94,7.98,7.82,7.92,14298100,0.0,1.0
2012-12-06,7.9,7.955,7.86,7.93,17072600,0.0,1.0
2012-12-07,7.95,8.12,7.93,8.105,13095000,0.0,1.0
2012-12-10,8.06,8.19,8.03,8.15,13956600,0.0,1.0
2012-12-11,8.19,8.26,8.175,8.23,10442400,0.0,1.0
2012-12-12,8.26,8.38,8.15,8.2,22134400,0.0,1.0
2012-12-13,8.21,8.23,8.1,8.14,12977600,0.0,1.0
2012-12-14,8.15,8.175,8.11,8.14,6573600,0.0,1.0
2012-12-17,8.18,8.4,8.16,8.39,10725500,0.0,1.0
2012-12-18,8.49,8.55,8.41,8.53,16314900,0.0,1.0
2012-12-19,8.56,8.565,8.45,8.45,8763100,0.0,1.0
2012-12-20,8.45,8.56,8.45,8.56,8435700,0.0,1.0
2012-12-21,8.44,8.5,8.37,8.44,12458400,0.0,1.0
2012-12-24,8.48,8.48,8.39,8.44,2053300,0.0,1.0
2012-12-26,8.45,8.52,8.41,8.45,5225300,0.0,1.0
2012-12-27,8.47,8.51,8.27,8.42,7912200,0.0,1.0
2012-12-28,8.34,8.43,8.32,8.35,5320900,0.0,1.0
2012-12-31,8.29,8.44,8.29,8.42,6170000,0.0,1.0
2013-01-02,8.62,8.79,8.57,8.78,12731000,0.0,1.0
2013-01-03,8.75,8.86,8.72,8.84,14056000,0.0,1.0
2013-01-04,8.69,8.97,8.63,8.95,21197200,0.0,1.0
2013-01-07,8.91,8.99,8.86,8.97,20213100,0.0,1.0
2013-01-08,9.0,9.0,8.9,8.96,36449200,0.0,1.0
2013-01-09,9.03,9.1,8.85,8.9,23183500,0.0,1.0
2013-01-10,8.94,8.98,8.87,8.94,19681300,0.0,1.0
2013-01-11,8.92,8.935,8.78,8.84,13687000,0.0,1.0
2013-01-14,8.94,8.95,8.82,8.87,12311200,0.0,1.0
2013-01-15,8.85,8.99,8.82,8.97,12164600,0.0,1.0
2013-01-16,8.98,9.15,8.95,9.15,17903400,0.0,1.0
2013-01-17,9.15,9.36,9.13,9.34,28365100,0.0,1.0
2013-01-18,9.39,9.4,9.23,9.28,20243400,0.0,1.0
2013-01-22,9.28,9.37,9.23,9.36,15889700,0.0,1.0
2013-01-23,9.44,9.5,9.21,9.3,24965500,0.0,1.0
2013-01-24,9.04,9.33,8.99,9.24,45937200,0.0,1.0
2013-01-25,9.26,9.3,9.14,9.29,16194800,0.0,1.0
2013-01-28,9.27,9.27,9.16,9.2,8380600,0.0,1.0
2013-01-29,9.16,9.28,9.16,9.26,11519200,0.0,1.0
2013-01-30,9.27,9.43,9.2338,9.38,13746600,0.0,1.0
2013-01-31,9.27,9.41,9.25,9.4,16540200,0.0,1.0
2013-02-01,9.47,9.57,9.38,9.47,14309600,0.0,1.0
2013-02-04,9.38,9.43,9.315,9.37,8851700,0.0,1.0
2013-02-05,9.41,9.55,9.38,9.49,14566500,0.0,1.0
2013-02-06,9.4,9.545,9.375,9.53,9842500,0.0,1.0
2013-02-07,9.53,9.56,9.44,9.5,7877600,0.0,1.0
2013-02-08,9.5,9.6,9.48,9.57,7594400,0.0,1.0
2013-02-11,9.51,9.56,9.46,9.48,10758400,0.0,1.0
2013-02-12,9.52,9.55,9.45,9.53,8900700,0.0,1.0
2013-02-13,9.55,9.55,9.45,9.45,11420000,0.0,1.0
2013-02-14,9.45,9.53,9.44,9.48,9224800,0.0,1.0
2013-02-15,9.53,9.555,9.3901,9.48,9585900,0.0,1.0
2013-02-19,9.5,9.64,9.47,9.58,11510500,0.0,1.0
2013-02-20,9.54,9.56,9.34,9.35,11414200,0.0,1.0
2013-02-21,9.35,9.41,9.26,9.34,15916100,0.0,1.0
