date,open,high,low,close,volume,dividend,split
2012-11-01,46.92,48.79,46.68,48.72,2340900,0.0,1.0
2012-11-02,48.61,48.71,47.53,47.9,2824400,0.0,1.0
2012-11-05,47.71,48.48,47.48,48.2346,1909500,0.0,1.0
2012-11-06,48.48,48.9,48.19,48.9,2942200,0.0,1.0
2012-11-07,48.36,48.51,46.74,46.92,2557900,0.0,1.0
2012-11-08,46.83,46.92,45.52,45.66,3518800,0.0,1.0
2012-11-09,45.65,46.6,45.6,46.24,3419400,0.0,1.0
2012-11-12,47.05,48.0,46.84,47.6,2710700,0.0,1.0
2012-11-13,47.23,47.44,46.05,46.07,2721400,0.0,1.0
2012-11-14,46.5,46.68,45.06,45.13,3009300,0.0,1.0
2012-11-15,44.81,45.07,43.75,43.97,3959500,0.4,1.0
2012-11-16,44.14,44.49,43.21,44.33,3017500,0.0,1.0
2012-11-19,44.42,44.78,43.99,44.25,2543100,0.0,1.0
2012-11-20,44.16,44.54,43.79,44.325,1924500,0.0,1.0
2012-11-21,44.33,44.36,44.02,44.13,979000,0.0,1.0
2012-11-23,44.5,45.354,44.47,45.17,732100,0.0,1.0
2012-11-26,44.96,45.37,44.69,45.12,1695100,0.0,1.0
2012-11-27,45.09,45.199,44.66,44.74,1664700,0.0,1.0
2012-11-28,44.56,45.55,43.85,45.53,2332200,0.0,1.0
2012-11-29,45.64,45.88,45.21,45.57,1329800,0.0,1.0
2012-11-30,45.66,45.7,44.96,45.47,2263600,0.0,1.0
2012-12-03,45.72,45.88,45.14,45.39,1897600,0.0,1.0
2012-12-04,45.42,47.23,45.22,47.19,3157200,0.0,1.0
2012-12-05,47.19,47.33,46.28,46.4,2219400,0.0,1.0
2012-12-06,46.42,47.06,46.42,46.96,1168500,0.0,1.0
2012-12-07,47.09,47.28,46.66,47.19,1208700,0.0,1.0
2012-12-10,47.14,47.81,47.14,47.42,1441900,0.0,1.0
2012-12-11,47.69,47.9,47.3,47.42,1561100,0.0,1.0
2012-12-12,47.67,47.72,46.99,47.08,1275200,0.0,1.0
2012-12-13,47.04,47.34,46.25,46.61,1334700,0.0,1.0
2012-12-14,46.67,47.55,46.35,47.1813,1866700,0.0,1.0
2012-12-17,47.27,47.75,46.715,47.35,1464600,0.0,1.0
2012-12-18,47.37,47.89,47.12,47.84,1258000,0.0,1.0
2012-12-19,47.92,48.29,47.73,47.92,1066100,0.0,1.0
2012-12-20,48.06,48.7,47.705,48.51,1367400,0.0,1.0
2012-12-21,47.9,48.4,47.07,48.37,2375900,0.0,1.0
2012-12-24,48.08,48.79,47.73,47.81,570400,0.0,1.0
2012-12-26,48.0,48.25,47.545,47.68,798700,0.0,1.0
2012-12-27,47.7,47.8,46.75,47.43,1491400,0.0,1.0
2012-12-28,47.2,47.64,46.97,47.02,937900,0.0,1.0
2012-12-31,47.13,47.76,46.76,47.76,1032300,0.0,1.0
2013-01-02,48.81,49.7,48.73,49.57,1837500,0.0,1.0
2013-01-03,50.0,50.18,48.88,49.14,2237900,0.0,1.0
2013-01-04,49.16,49.34,48.77,48.98,1332300,0.0,1.0
2013-01-07,48.65,48.72,47.88,48.63,1548000,0.0,1.0
2013-01-08,48.36,48.495,47.37,47.37,1566700,0.0,1.0
2013-01-09,47.54,47.96,47.4813,47.84,1020900,0.0,1.0
2013-01-10,48.12,48.7,48.03,48.59,1530900,0.0,1.0
2013-01-11,48.69,49.23,48.4,49.19,1771800,0.0,1.0
2013-01-14,49.0,49.48,48.72,48.92,1325700,0.0,1.0
2013-01-15,48.55,48.655,48.11,48.39,1663200,0.0,1.0
2013-01-16,48.22,48.73,48.16,48.5,1493300,0.0,1.0
2013-01-17,48.56,52.0,48.5,51.89,7126100,0.0,1.0
2013-01-18,52.105,52.42,51.49,51.84,4140100,0.0,1.0
2013-01-22,51.8,51.98,51.46,51.8,1879800,0.0,1.0
2013-01-23,52.0,52.49,51.4,52.35,1967600,0.0,1.0
2013-01-24,52.22,52.56,51.77,51.97,2200700,0.0,1.0
2013-01-25,53.5,57.97,53.5,56.34,7161700,0.0,1.0
2013-01-28,56.25,56.51,55.86,56.1,2170400,0.0,1.0
2013-01-29,55.91,56.04,55.135,55.82,2721800,0.0,1.0
2013-01-30,55.89,56.0,55.06,55.17,2098600,0.0,1.0
2013-01-31,55.49,55.89,54.83,54.91,2098200,0.0,1.0
2013-02-01,55.43,56.05,55.21,55.76,1955700,0.0,1.0
2013-02-04,55.55,56.86,55.5,55.82,2866600,0.0,1.0
