date,open,high,low,close,volume,dividend,split
2012-11-01,25.2,25.31,24.97,25.0,5726000,0.0,1.0
2012-11-02,25.12,25.19,24.895,24.93,5037000,0.0,1.0
2012-11-05,24.84,24.97,24.76,24.93,3745700,0.0,1.0
2012-11-06,24.98,25.23,24.92,25.11,2696800,0.0,1.0
2012-11-07,25.0,25.0,24.55,24.64,4422200,0.0,1.0
2012-11-08,24.64,24.75,24.52,24.54,4282400,0.0,1.0
2012-11-09,24.46,24.88,24.45,24.7,4361900,0.0,1.0
2012-11-12,24.67,24.97,24.62,24.91,5518500,0.0,1.0
2012-11-13,24.57,24.99,24.57,24.77,5819900,0.15,1.0
2012-11-14,24.76,24.84,24.42,24.47,4775000,0.0,1.0
2012-11-15,24.45,24.59,24.285,24.38,3407000,0.0,1.0
2012-11-16,24.37,24.57,24.19,24.52,4995800,0.0,1.0
2012-11-19,24.7,24.72,24.5,24.63,3122500,0.0,1.0
2012-11-20,24.56,24.65,24.41,24.54,3159600,0.0,1.0
2012-11-21,24.62,24.67,24.505,24.65,2162000,0.0,1.0
2012-11-23,24.58,24.99,24.56,24.98,1283900,0.0,1.0
2012-11-26,24.86,24.9,24.53,24.61,3781300,0.0,1.0
2012-11-27,24.61,24.98,24.5,24.86,4843500,0.0,1.0
2012-11-28,24.66,25.06,24.52,25.06,6721400,0.0,1.0
2012-11-29,26.06,26.4,25.76,26.25,13459100,0.0,1.0
2012-11-30,26.02,26.29,25.85,26.24,8770500,0.0,1.0
2012-12-03,26.33,26.89,26.29,26.78,7667000,0.0,1.0
2012-12-04,26.72,26.88,26.55,26.87,7094500,0.0,1.0
2012-12-05,26.79,26.83,26.56,26.71,4934500,0.0,1.0
2012-12-06,26.8,27.11,26.72,26.9,6061800,0.0,1.0
2012-12-07,26.92,27.0,26.67,26.81,3649500,0.0,1.0
2012-12-10,26.75,26.84,26.635,26.65,3616700,0.0,1.0
2012-12-11,26.68,26.89,26.57,26.6,6375900,0.0,1.0
2012-12-12,26.7,26.72,26.45,26.59,8835700,0.0,1.0
2012-12-13,26.61,26.88,26.33,26.35,4087400,0.0,1.0
2012-12-14,26.52,26.695,26.16,26.29,4697600,0.0,1.0
2012-12-17,26.36,26.58,26.32,26.57,3040000,0.0,1.0
2012-12-18,26.29,26.75,26.29,26.75,3647300,0.0,1.0
2012-12-19,26.69,26.74,26.45,26.5,3104800,0.0,1.0
2012-12-20,26.51,26.65,26.42,26.63,3605300,0.0,1.0
2012-12-21,26.4,26.51,26.2,26.3,6625800,0.0,1.0
2012-12-24,26.4,26.49,26.25,26.34,1151500,0.0,1.0
2012-12-26,26.35,26.44,25.97,26.1,2754600,0.0,1.0
2012-12-27,26.1,26.2,25.75,25.96,2765700,0.0,1.0
2012-12-28,25.82,25.8905,25.65,25.68,2616600,0.0,1.0
