date,open,high,low,close,volume,dividend,split
2012-11-01,42.27,42.925,42.05,42.92,875500,0.0,1.0
2012-11-02,43.1,43.13,42.13,42.16,1022700,0.0,1.0
2012-11-05,42.06,42.305,41.84,42.17,587600,0.0,1.0
2012-11-06,42.3,42.53,42.16,42.33,774300,0.0,1.0
2012-11-07,41.92,41.94,41.13,41.2,1085100,0.0,1.0
2012-11-08,41.26,41.4272,40.61,40.62,1239000,0.0,1.0
2012-11-09,40.54,41.41,40.5,41.13,1174500,0.0,1.0
2012-11-12,41.22,41.35,40.71,40.99,1475600,0.0,1.0
2012-11-13,40.8,41.19,40.58,40.61,757400,0.0,1.0
2012-11-14,40.63,40.8499,39.84,39.92,1129900,0.0,1.0
2012-11-15,39.98,40.17,39.62,39.83,1222100,0.0,1.0
2012-11-16,39.87,40.73,39.57,40.72,3708800,0.0,1.0
2012-11-19,41.14,41.25,40.65,40.84,1135700,0.0,1.0
2012-11-20,40.72,40.9,40.39,40.73,1682800,0.0,1.0
2012-11-21,40.95,40.96,40.7,40.84,680800,0.0,1.0
2012-11-23,41.03,41.3,40.97,41.3,386900,0.0,1.0
2012-11-26,41.1,41.28,40.89,41.09,694900,0.0,1.0
2012-11-27,41.01,41.27,40.73,40.74,675400,0.0,1.0
2012-11-28,40.53,40.95,40.34,40.85,1154500,0.0625,1.0
2012-11-29,40.98,41.24,40.7,40.97,985300,0.0,1.0
2012-11-30,40.92,41.03,40.72,40.88,1309700,0.0,1.0
2012-12-03,41.02,41.18,40.71,40.72,1465200,0.0,1.0
2012-12-04,40.77,41.09,40.66,40.95,1140300,0.0,1.0
2012-12-05,41.0,41.33,40.83,41.06,1165600,0.0,1.0
2012-12-06,41.13,41.39,41.04,41.28,922000,0.0,1.0
2012-12-07,41.45,41.49,41.0,41.28,1263600,0.0,1.0
2012-12-10,41.22,41.3986,41.04,41.04,1120500,0.0,1.0
2012-12-11,41.29,41.5,41.2,41.5,1665900,0.0,1.0
2012-12-12,41.63,41.775,41.39,41.44,809100,0.0,1.0
2012-12-13,41.4,41.44,40.8,40.99,825900,0.0,1.0
2012-12-14,40.97,41.0932,40.585,40.65,949300,0.0,1.0
2012-12-17,40.9,41.08,40.76,41.03,907800,0.0,1.0
2012-12-18,41.12,41.67,40.98,41.64,1182800,0.0,1.0
2012-12-19,41.64,41.71,41.17,41.17,863900,0.0,1.0
2012-12-20,41.21,41.39,40.94,41.2403,1311400,0.0,1.0
2012-12-21,40.91,41.1,40.53,40.9,2016900,0.0,1.0
2012-12-24,40.89,40.9485,40.66,40.74,367700,0.0,1.0
2012-12-26,40.81,40.89,40.42,40.53,716800,0.0,1.0
2012-12-27,40.59,40.73,40.21,40.49,788700,0.0,1.0
2012-12-28,40.23,40.52,40.08,40.18,832300,0.0,1.0
2012-12-31,40.13,40.76,39.92,40.75,1351000,0.0,1.0
2013-01-02,41.4,41.53,41.06,41.53,1166000,0.0,1.0
2013-01-03,41.58,41.991,41.39,41.71,1021000,0.0,1.0
2013-01-04,41.8,42.1,41.65,42.06,565600,0.0,1.0
2013-01-07,41.92,42.11,41.731,42.11,874000,0.0,1.0
2013-01-08,41.91,42.14,41.86,42.06,953700,0.0,1.0
