date,open,high,low,close,volume,dividend,split
2012-11-01,37.63,38.58,37.5,38.29,3883700,0.0,1.0
2012-11-02,38.5,38.98,37.2599,37.31,4108900,0.0,1.0
2012-11-05,37.3,38.69,37.09,38.62,3480200,0.0,1.0
2012-11-06,38.64,39.0,38.21,38.89,5222600,0.0,1.0
2012-11-07,38.32,39.33,38.2,39.05,6150400,0.0,1.0
2012-11-08,39.1,39.1,37.96,38.41,4306000,0.0,1.0
2012-11-09,38.2,38.89,36.69,38.11,7841400,0.0,1.0
2012-11-12,38.35,38.71,36.31,36.38,7060700,0.0,1.0
2012-11-13,36.07,37.1,35.78,36.21,6598500,0.0,1.0
2012-11-14,36.52,36.55,34.93,35.01,6777500,0.0,1.0
2012-11-15,34.93,35.9,33.92,34.9,9241600,0.0,1.0
2012-11-16,34.99,36.46,34.83,36.13,6896400,0.0,1.0
2012-11-19,36.78,37.54,36.275,36.81,5504800,0.0,1.0
2012-11-20,37.12,38.5,37.01,38.1,6861200,0.0,1.0
2012-11-21,38.13,38.8,37.86,38.32,4036100,0.0,1.0
2012-11-23,38.47,38.85,37.92,38.68,1232400,0.0,1.0
2012-11-26,38.33,38.73,37.975,38.54,5991300,0.0,1.0
2012-11-27,38.58,39.3,38.42,38.72,4810300,0.0,1.0
2012-11-28,38.45,38.84,37.45,38.38,5486700,0.0,1.0
2012-11-29,38.53,38.98,37.96,38.23,4308700,0.0,1.0
2012-11-30,38.25,38.34,37.56,38.04,10641100,0.0,1.0
2012-12-03,38.31,38.4,37.77,37.81,4554200,0.0,1.0
2012-12-04,38.28,38.38,37.53,37.78,5562500,0.0,1.0
2012-12-05,37.79,37.87,36.03,36.42,5848800,0.0,1.0
2012-12-06,36.13,36.78,35.51,36.29,5019700,0.0,1.0
2012-12-07,36.44,37.04,36.13,36.69,3102600,0.0,1.0
2012-12-10,36.7,36.9999,36.17,36.6,2437000,0.0,1.0
2012-12-11,36.77,37.14,36.25,36.41,4740900,0.0,1.0
2012-12-12,36.72,38.14,36.6501,37.87,5044600,0.0,1.0
2012-12-13,37.75,38.06,37.06,37.2,3251600,0.0,1.0
2012-12-14,37.11,37.44,36.76,37.31,2938000,0.0,1.0
2012-12-17,37.35,38.8,37.35,38.8,4053500,0.0,1.0
2012-12-18,38.94,39.72,38.73,39.71,5360000,0.0,1.0
