date,open,high,low,close,volume,dividend,split
2012-11-01,85.01,85.63,84.6,85.34,1358300,0.0,1.0
2012-11-02,85.76,86.07,84.41,85.27,590700,0.0,1.0
2012-11-05,85.02,86.73,84.763,86.31,588700,0.0,1.0
2012-11-06,86.75,87.32,85.74,86.52,436200,0.0,1.0
2012-11-07,86.09,86.965,84.8,84.91,1262500,0.0,1.0
2012-11-08,84.81,85.27,84.24,84.26,835100,0.0,1.0
2012-11-09,84.05,84.98,84.05,84.44,644600,0.0,1.0
2012-11-12,84.72,84.95,84.25,84.37,403200,0.0,1.0
2012-11-13,85.19,85.69,83.76,83.87,894500,0.0,1.0
2012-11-14,84.12,84.582,82.31,82.47,599900,0.0,1.0
2012-11-15,82.66,84.29,82.162,83.06,787200,0.0,1.0
2012-11-16,82.9,83.8,82.4,82.4,1860400,0.0,1.0
2012-11-19,82.54,83.65,82.26,83.65,1116900,0.0,1.0
2012-11-20,83.52,83.52,82.17,82.63,605800,0.0,1.0
2012-11-21,82.62,82.94,82.39,82.91,578600,0.0,1.0
2012-11-23,83.05,83.79,83.0,83.75,258700,0.0,1.0
2012-11-26,83.22,83.86,82.15,82.84,628500,0.0,1.0
2012-11-27,82.81,83.329,82.22,82.89,565900,0.0,1.0
2012-11-28,82.81,83.53,82.66,83.42,384700,0.0,1.0
2012-11-29,83.53,84.68,83.43,84.21,548800,0.0,1.0
2012-11-30,84.31,84.851,83.81,84.59,877900,0.0,1.0
2012-12-03,84.59,85.4,84.26,84.35,534300,0.0,1.0
2012-12-04,83.51,84.71,82.98,84.3,338500,0.0,1.0
2012-12-05,84.35,84.77,83.04,84.42,614500,0.0,1.0
2012-12-06,84.45,84.72,84.36,84.71,442400,0.0,1.0
2012-12-07,84.71,85.12,84.39,85.0,552900,0.0,1.0
2012-12-10,85.0,85.12,84.56,84.73,377400,0.0,1.0
2012-12-11,84.83,85.65,84.7,85.39,694500,0.0,1.0
2012-12-12,85.46,87.99,85.24,87.14,1137000,0.0,1.0
2012-12-13,87.23,87.77,87.01,87.38,806100,0.0,1.0
2012-12-14,87.35,87.68,86.96,87.1,664500,0.0,1.0
2012-12-17,87.19,88.12,86.95,87.17,1209100,0.0,1.0
2012-12-18,87.48,88.94,87.15,88.11,811900,0.0,1.0
2012-12-19,88.07,88.67,87.84,87.87,591800,0.0,1.0
2012-12-20,87.95,88.24,87.19,87.35,779100,0.0,1.0
2012-12-21,86.91,87.31,86.67,86.72,1108400,0.0,1.0
2012-12-24,86.49,86.9147,85.92,86.53,163300,0.0,1.0
2012-12-26,86.6,87.1,86.3,86.64,453100,0.0,1.0
2012-12-27,86.54,86.95,86.26,86.72,449700,0.0,1.0
2012-12-28,86.44,86.89,85.85,85.89,348900,0.0,1.0
2012-12-31,85.65,86.62,84.91,86.62,486200,0.0,1.0
2013-01-02,87.44,87.91,86.85,87.58,742000,0.0,1.0
2013-01-03,87.5,87.89,87.3713,87.7,556400,0.0,1.0
2013-01-04,87.78,88.33,87.71,87.87,994200,0.0,1.0
2013-01-07,87.43,87.88,87.3,87.67,867400,0.0,1.0
2013-01-08,87.62,87.85,86.24,86.77,1281500,0.0,1.0
2013-01-09,86.51,87.83,86.501,87.13,1404100,0.0,1.0
2013-01-10,87.33,87.92,87.03,87.41,810300,0.0,1.0
2013-01-11,87.43,87.65,85.8,86.41,1286500,0.0,1.0
2013-01-14,86.45,86.96,85.88,86.79,522800,0.0,1.0
2013-01-15,86.57,87.42,86.36,87.0,1013400,0.0,1.0
2013-01-16,86.44,87.6299,86.33,87.51,897700,0.0,1.0
2013-01-17,87.79,88.45,87.5,88.27,465200,0.0,1.0
2013-01-18,88.3,88.67,88.21,88.53,687000,0.0,1.0
2013-01-22,88.54,90.3,88.42,90.3,1307000,0.0,1.0
2013-01-23,87.97,88.48,86.73,87.38,1953300,0.0,1.0
2013-01-24,87.36,88.26,87.36,88.0,1213000,0.0,1.0
2013-01-25,88.13,88.91,87.94,88.66,979900,0.0,1.0
2013-01-28,88.83,90.71,88.81,90.34,2237500,0.0,1.0
2013-01-29,90.03,90.4,88.84,90.16,1833500,0.0,1.0
2013-01-30,89.79,90.31,89.54,89.73,823700,0.0,1.0
2013-01-31,89.62,89.945,89.315,89.5,839600,0.0,1.0
2013-02-01,90.04,90.49,89.46,90.47,717400,0.0,1.0
2013-02-04,90.0,90.38,89.77,89.84,694700,0.0,1.0
2013-02-05,90.26,90.43,89.25,89.98,686400,0.0,1.0
2013-02-06,89.85,91.035,89.55,91.0,1059500,0.0,1.0
2013-02-07,91.0,91.84,90.89,91.63,1393600,0.0,1.0
2013-02-08,89.83,90.84,88.66,90.24,1696700,0.0,1.0
2013-02-11,90.39,90.96,89.99,90.06,742800,0.0,1.0
2013-02-12,89.82,90.25,89.33,89.41,1079000,0.0,1.0
2013-02-13,89.49,89.975,89.36,89.7,504500,0.0,1.0
2013-02-14,89.64,90.065,89.05,89.19,694400,0.0,1.0
2013-02-15,89.04,89.92,89.04,89.84,763600,0.0,1.0
2013-02-19,90.0,90.8399,89.51,90.28,569900,0.0,1.0
2013-02-20,89.98,90.38,89.543,89.58,480200,0.0,1.0
2013-02-21,89.54,89.72,88.83,89.13,425800,0.0,1.0
2013-02-22,89.33,89.77,88.68,88.98,1095000,0.0,1.0
2013-02-25,89.22,89.76,88.26,88.4,920100,0.0,1.0
2013-02-26,88.69,88.72,87.73,88.49,874900,0.0,1.0
2013-02-27,88.46,89.32,88.29,89.0,472900,0.0,1.0
2013-02-28,89.0,89.03,88.542,88.6,948400,0.0,1.0
2013-03-01,88.33,89.2,87.79,89.05,602600,0.0,1.0
2013-03-04,88.71,89.6677,88.502,89.48,498400,0.0,1.0
2013-03-05,89.58,90.89,89.22,90.2,784700,0.0,1.0
2013-03-06,90.51,90.52,89.13,89.24,606000,0.0,1.0
2013-03-07,89.25,90.06,89.22,89.53,588900,0.0,1.0
2013-03-08,89.8,89.8,88.93,89.45,637500,0.0,1.0
2013-03-11,89.3,90.16,89.2,89.96,443200,0.0,1.0
2013-03-12,89.88,89.94,89.56,89.76,404200,0.0,1.0
2013-03-13,89.9,90.09,89.18,89.22,623300,0.0,1.0
2013-03-14,89.13,90.08,89.02,89.75,753200,0.0,1.0
2013-03-15,89.43,89.94,89.07,89.19,802600,0.0,1.0
2013-03-18,88.67,88.91,88.25,88.38,346500,0.0,1.0
2013-03-19,88.58,88.88,87.8425,88.3,1002400,0.0,1.0
2013-03-20,88.77,88.77,87.97,88.18,1212400,0.0,1.0
2013-03-21,88.07,88.29,87.65,87.83,777800,0.0,1.0
2013-03-22,88.02,88.445,87.84,88.25,848100,0.0,1.0
