date,open,high,low,close,volume,dividend,split
2012-11-01,45.79,47.71,45.75,47.66,877000,0.0,1.0
2012-11-02,47.96,48.0,47.01,47.46,695200,0.0,1.0
2012-11-05,47.2,48.48,47.18,48.38,804800,0.0,1.0
2012-11-06,48.45,49.47,48.234,49.25,929500,0.0,1.0
2012-11-07,48.93,48.93,48.02,48.25,1220100,0.0,1.0
2012-11-08,48.35,48.82,47.89,47.96,760300,0.0,1.0
2012-11-09,47.86,49.05,47.83,48.65,1037600,0.0,1.0
2012-11-12,48.46,49.04,47.79,48.14,537100,0.0,1.0
2012-11-13,47.72,48.44,47.55,47.94,1194000,0.0,1.0
2012-11-14,48.2,48.34,46.69,46.86,1180800,0.0,1.0
2012-11-15,46.91,47.2,46.03,46.3,1453900,0.0,1.0
2012-11-16,46.3,46.55,45.74,46.42,1619800,0.0,1.0
2012-11-19,46.82,46.9269,46.39,46.59,952100,0.0,1.0
2012-11-20,46.44,46.44,45.94,46.27,1252200,0.37,1.0
2012-11-21,46.38,46.42,46.09,46.26,773500,0.0,1.0
2012-11-23,46.51,46.83,46.4601,46.83,375500,0.0,1.0
2012-11-26,46.82,47.0628,46.5,46.57,648500,0.0,1.0
2012-11-27,46.57,47.06,46.46,46.65,900300,0.0,1.0
2012-11-28,46.5,47.05,46.173,47.0,585900,0.0,1.0
2012-11-29,47.02,47.58,46.78,47.24,622200,0.0,1.0
2012-11-30,47.3,47.47,46.86,47.13,634300,0.0,1.0
2012-12-03,47.17,47.59,46.4,46.42,627500,0.0,1.0
2012-12-04,46.47,47.69,46.4,47.61,958200,0.0,1.0
2012-12-05,47.56,48.07,47.18,47.98,713500,0.0,1.0
2012-12-06,47.02,48.05,46.25,48.03,1130600,0.0,1.0
2012-12-07,48.05,48.52,47.82,48.49,629600,0.0,1.0
2012-12-10,48.16,49.15,48.11,49.02,974800,0.0,1.0
2012-12-11,49.01,49.5925,48.97,49.31,764000,0.0,1.0
2012-12-12,49.5,49.745,48.95,49.06,1220600,0.0,1.0
2012-12-13,48.92,49.38,48.51,48.8,790100,0.0,1.0
2012-12-14,48.51,48.6,48.09,48.17,648600,0.0,1.0
2012-12-17,48.44,48.7356,48.1501,48.64,727000,0.0,1.0
2012-12-18,48.7,49.72,48.45,49.7,1028300,0.0,1.0
2012-12-19,49.71,50.35,49.48,50.1,1259700,0.0,1.0
2012-12-20,50.0,50.2,49.6901,49.9,1169000,0.0,1.0
2012-12-21,49.37,50.04,49.36,49.67,1164600,0.0,1.0
2012-12-24,49.35,49.69,49.28,49.54,278500,0.0,1.0
2012-12-26,49.51,49.89,49.11,49.39,478700,0.0,1.0
2012-12-27,49.4,49.48,48.5,49.12,465900,0.0,1.0
2012-12-28,48.83,48.91,48.3,48.31,438400,0.0,1.0
2012-12-31,48.25,48.98,48.11,48.96,526800,0.0,1.0
2013-01-02,49.87,50.45,49.84,50.21,977000,0.0,1.0
2013-01-03,50.21,50.4599,49.42,49.44,774000,0.0,1.0
2013-01-04,49.58,50.24,49.25,49.88,711000,0.0,1.0
2013-01-07,49.59,50.2125,49.34,50.07,764600,0.0,1.0
2013-01-08,49.37,49.52,48.83,48.91,858400,0.0,1.0
2013-01-09,49.12,50.01,49.05,50.0,1139000,0.0,1.0
2013-01-10,50.28,50.53,49.81,50.04,495800,0.0,1.0
2013-01-11,50.29,50.29,49.71,49.75,596400,0.0,1.0
2013-01-14,49.67,49.67,48.87,49.19,616100,0.0,1.0
2013-01-15,48.95,49.7,48.9,49.65,634800,0.0,1.0
2013-01-16,49.56,49.625,49.31,49.49,365700,0.0,1.0
2013-01-17,49.86,50.02,49.66,49.73,627800,0.0,1.0
2013-01-18,49.75,50.09,49.05,49.94,860700,0.0,1.0
2013-01-22,50.03,50.13,49.48,49.85,619300,0.0,1.0
2013-01-23,49.95,50.06,49.42,49.55,543300,0.0,1.0
2013-01-24,49.59,49.85,49.24,49.48,764600,0.0,1.0
2013-01-25,49.5,49.64,49.19,49.49,812500,0.0,1.0
2013-01-28,49.72,49.72,49.11,49.25,686200,0.0,1.0
2013-01-29,48.82,48.84,46.72,47.09,1678100,0.0,1.0
2013-01-30,46.78,47.49,46.715,46.9,984400,0.0,1.0
2013-01-31,46.86,47.05,46.15,46.2,1315100,0.0,1.0
2013-02-01,46.04,46.5,45.61,46.28,1387600,0.0,1.0
2013-02-04,46.01,46.25,45.655,45.68,746800,0.0,1.0
2013-02-05,45.82,46.39,45.73,46.31,730200,0.0,1.0
2013-02-06,46.1,46.7,45.97,46.5,648000,0.0,1.0
2013-02-07,46.56,46.88,46.21,46.53,879900,0.0,1.0
2013-02-08,46.69,47.025,46.495,46.62,811500,0.0,1.0
2013-02-11,46.53,46.86,46.27,46.54,813000,0.0,1.0
2013-02-12,46.59,46.89,46.37,46.75,661900,0.0,1.0
2013-02-13,46.84,47.18,46.63,47.1,639000,0.0,1.0
2013-02-14,46.96,47.87,46.87,47.74,932900,0.0,1.0
2013-02-15,47.94,47.97,47.45,47.61,900100,0.0,1.0
2013-02-19,47.57,48.06,47.3,47.65,967900,0.0,1.0
2013-02-20,47.18,47.88,47.18,47.46,847200,0.0,1.0
2013-02-21,47.21,47.21,46.68,47.0,878400,0.0,1.0
2013-02-22,47.13,48.2,47.13,47.98,858300,0.0,1.0
2013-02-25,48.26,48.37,47.1,47.1,978500,0.0,1.0
2013-02-26,47.09,47.46,46.901,47.31,775600,0.0,1.0
2013-02-27,47.34,48.49,47.34,48.06,923800,0.0,1.0
2013-02-28,47.92,48.44,47.92,48.07,816200,0.0,1.0
2013-03-01,47.85,48.17,47.33,47.71,684100,0.0,1.0
2013-03-04,47.51,47.73,47.05,47.33,489700,0.0,1.0
2013-03-05,47.33,47.51,47.02,47.23,620900,0.37,1.0
2013-03-06,46.79,46.8,45.39,45.73,1751900,0.0,1.0
2013-03-07,45.75,46.23,45.48,45.74,785900,0.0,1.0
2013-03-08,45.94,46.0,45.08,45.42,1025800,0.0,1.0
2013-03-11,45.38,45.45,44.59,44.82,1315200,0.0,1.0
2013-03-12,44.8,44.95,44.47,44.93,1218700,0.0,1.0
2013-03-13,44.94,45.425,44.66,45.26,878700,0.0,1.0
2013-03-14,45.44,45.5,44.77,44.89,854300,0.0,1.0
2013-03-15,44.74,44.93,44.22,44.36,1579100,0.0,1.0
2013-03-18,43.92,44.605,43.75,44.3,811500,0.0,1.0
2013-03-19,44.47,46.11,44.11,44.61,1140600,0.0,1.0
2013-03-20,44.89,45.16,44.7,44.98,763400,0.0,1.0
2013-03-21,44.58,44.91,44.13,44.13,963400,0.0,1.0
2013-03-22,44.26,44.31,43.7,43.99,952300,0.0,1.0
2013-03-25,44.05,44.71,44.03,44.63,1092400,0.0,1.0
2013-03-26,44.82,45.045,44.67,44.9,924800,0.0,1.0
2013-03-27,44.66,45.375,44.32,45.29,849300,0.0,1.0
2013-03-28,45.35,46.58,45.01,46.34,1314800,0.0,1.0
2013-04-01,46.29,46.29,45.75,46.04,1050100,0.0,1.0
2013-04-02,46.36,46.5,45.93,46.25,778200,0.0,1.0
2013-04-03,46.32,46.66,45.59,45.8,773500,0.0,1.0
2013-04-04,45.64,45.785,45.1,45.27,597400,0.0,1.0
2013-04-05,44.76,44.88,44.37,44.52,616100,0.0,1.0
2013-04-08,44.67,44.74,44.33,44.74,508700,0.0,1.0
2013-04-09,44.67,45.38,44.48,44.95,802500,0.0,1.0
2013-04-10,45.15,45.845,45.075,45.81,705100,0.0,1.0
2013-04-11,45.68,46.58,45.56,46.56,1024300,0.0,1.0
2013-04-12,44.8,45.75,43.85,44.06,2521800,0.0,1.0
2013-04-15,43.78,43.93,42.56,42.8,2146800,0.0,1.0
2013-04-16,42.97,43.1,42.15,42.36,1827900,0.0,1.0
2013-04-17,42.21,42.45,41.29,41.71,1755100,0.0,1.0
2013-04-18,41.63,41.83,41.08,41.66,1269300,0.0,1.0
2013-04-19,41.75,42.08,41.62,41.98,933100,0.0,1.0
2013-04-22,42.04,43.04,41.8,42.74,1221000,0.0,1.0
2013-04-23,42.99,43.22,42.72,43.1,1234700,0.0,1.0
2013-04-24,43.12,43.76,42.92,43.58,792100,0.0,1.0
2013-04-25,43.78,44.33,43.64,44.26,841500,0.0,1.0
2013-04-26,44.18,44.3,43.72,43.93,872700,0.0,1.0
2013-04-29,44.18,44.62,43.95,44.59,804400,0.0,1.0
2013-04-30,44.99,46.51,43.95,46.2,1602600,0.0,1.0
2013-05-01,45.92,45.92,45.2,45.22,984000,0.0,1.0
2013-05-02,45.41,46.07,45.3,45.9,900300,0.0,1.0
2013-05-03,46.39,46.65,46.26,46.47,690200,0.0,1.0
2013-05-06,46.42,46.785,46.18,46.6,603000,0.0,1.0
2013-05-07,46.68,47.31,46.49,47.2,644800,0.0,1.0
2013-05-08,47.06,48.45,47.01,48.29,962300,0.0,1.0
2013-05-09,48.26,48.96,48.11,48.52,963700,0.0,1.0
2013-05-10,48.57,48.98,48.32,48.79,715300,0.0,1.0
2013-05-13,49.04,49.37,48.58,48.99,884000,0.0,1.0
2013-05-14,48.87,49.69,48.87,49.29,986000,0.0,1.0
2013-05-15,49.27,49.84,49.16,49.82,696400,0.0,1.0
2013-05-16,49.71,50.49,49.37,49.43,1086700,0.0,1.0
