date,open,high,low,close,volume,dividend,split
2012-11-01,48.89,49.69,48.16,49.1,8200800,0.0,1.0
2012-11-02,49.39,49.48,48.55,48.55,10584600,0.0,1.0
2012-11-05,48.37,48.9,48.31,48.78,4246100,0.0,1.0
2012-11-06,48.8,49.13,48.58,48.78,5705500,0.0,1.0
2012-11-07,48.51,49.014,47.54,48.18,9276000,0.0,1.0
2012-11-08,48.12,48.22,47.45,47.47,23062400,0.0,1.0
2012-11-09,47.14,48.0,47.14,47.47,15307500,0.0,1.0
2012-11-12,47.5,48.64,47.39,48.3,7293700,0.0,1.0
2012-11-13,47.66,47.96,47.12,47.14,7142600,0.49,1.0
2012-11-14,47.24,47.6,46.01,46.22,9323100,0.0,1.0
2012-11-15,46.17,46.41,44.88,45.96,6867700,0.0,1.0
2012-11-16,46.0,46.25,45.43,45.91,8915600,0.0,1.0
2012-11-19,46.3,47.07,46.15,47.03,8489500,0.0,1.0
2012-11-20,47.03,47.29,46.75,47.19,4547600,0.0,1.0
2012-11-21,47.33,47.44,46.96,47.42,3922900,0.0,1.0
2012-11-23,47.48,47.76,47.41,47.74,2254200,0.0,1.0
2012-11-26,47.35,47.93,46.89,47.93,7630800,0.0,1.0
2012-11-27,47.82,48.27,47.51,47.68,5380000,0.0,1.0
2012-11-28,47.63,48.05,47.25,48.04,3654200,0.0,1.0
2012-11-29,48.29,48.77,48.23,48.58,4395700,0.0,1.0
2012-11-30,48.61,49.1464,48.39,49.04,6859200,0.0,1.0
2012-12-03,49.21,49.61,48.8,48.92,5651800,0.0,1.0
2012-12-04,48.91,49.47,48.85,49.22,5488200,0.0,1.0
2012-12-05,49.22,49.7,48.98,49.58,5268300,0.0,1.0
2012-12-06,49.63,49.65,49.25,49.4,5151100,0.0,1.0
2012-12-07,49.47,49.66,49.2,49.63,2972400,0.0,1.0
2012-12-10,49.61,50.3099,49.2,50.12,4296900,0.0,1.0
2012-12-11,50.21,50.7601,50.14,50.6,5401500,0.0,1.0
2012-12-12,49.25,50.0,48.81,49.0,18763400,0.0,1.0
2012-12-13,49.18,49.27,47.975,48.23,10167100,0.0,1.0
2012-12-14,48.05,48.09,47.61,47.79,6357400,0.0,1.0
2012-12-17,47.8,48.55,47.78,48.34,7445300,0.0,1.0
2012-12-18,48.57,49.54,48.35,49.52,13440200,0.0,1.0
2012-12-19,49.42,49.62,48.91,48.92,7036700,0.0,1.0
2012-12-20,48.89,49.35,48.71,49.25,6572200,0.0,1.0
2012-12-21,48.87,49.685,48.75,49.55,12842500,0.0,1.0
2012-12-24,49.46,49.46,48.8,49.04,2765100,0.0,1.0
2012-12-26,49.1,49.2397,48.62,49.06,3680400,0.0,1.0
2012-12-27,48.98,49.39,48.52,48.97,4349100,0.0,1.0
2012-12-28,48.65,49.175,48.55,48.6,3646300,0.0,1.0
2012-12-31,48.5,49.35,48.38,49.32,5245200,0.0,1.0
2013-01-02,49.94,50.31,49.19,49.51,8352400,0.0,1.0
2013-01-03,49.52,49.845,49.21,49.72,7448100,0.0,1.0
2013-01-04,51.06,51.9,50.69,51.56,13587200,0.0,1.0
2013-01-07,51.31,51.9,51.01,51.49,6989100,0.0,1.0
2013-01-08,51.42,52.02,51.28,51.88,5246100,0.0,1.0
2013-01-09,52.19,53.057,52.0,52.97,7267200,0.0,1.0
2013-01-10,53.25,53.53,52.87,53.25,6324400,0.0,1.0
2013-01-11,53.36,53.4,52.96,53.11,5126500,0.0,1.0
2013-01-14,53.2,53.415,52.75,52.8,6286100,0.0,1.0
2013-01-15,52.66,53.36,52.65,53.29,5915600,0.0,1.0
2013-01-16,53.17,53.3101,52.72,52.93,4467100,0.0,1.0
2013-01-17,52.61,53.47,52.5199,53.33,4880800,0.0,1.0
2013-01-18,53.31,53.77,52.93,53.77,6557400,0.0,1.0
2013-01-22,53.72,53.77,53.12,53.44,6089100,0.0,1.0
2013-01-23,52.75,52.96,52.2,52.4,10413800,0.0,1.0
2013-01-24,52.6,53.26,52.6,53.16,6719100,0.0,1.0
2013-01-25,53.17,53.67,53.09,53.21,6028200,0.0,1.0
