date,open,high,low,close,volume,dividend,split
2012-11-01,32.59,33.0,32.47,32.96,10238400,0.0,1.0
2012-11-02,33.05,33.63,33.03,33.15,13513400,0.0,1.0
2012-11-05,33.02,33.39,33.02,33.06,7020200,0.0,1.0
2012-11-06,33.03,33.415,33.03,33.29,6865900,0.0,1.0
2012-11-07,33.1,33.2,32.52,32.77,10337700,0.0,1.0
2012-11-08,32.71,32.91,32.08,32.1,9520300,0.0,1.0
2012-11-09,31.96,31.99,31.32,31.47,13777000,0.0,1.0
2012-11-12,31.77,32.21,31.5,31.98,8802200,0.0,1.0
2012-11-13,32.26,32.875,31.89,31.97,16624300,0.0,1.0
2012-11-14,32.11,32.6,31.905,31.98,11598600,0.0,1.0
2012-11-15,31.98,32.17,31.23,31.401,9935600,0.0,1.0
2012-11-16,31.52,32.23,31.4301,31.98,14885200,0.0,1.0
2012-11-19,33.78,34.5,33.73,33.96,25972800,0.0,1.0
2012-11-20,33.96,34.97,33.93,34.45,16199000,0.0,1.0
2012-11-21,34.15,34.745,34.05,34.55,10951600,0.0,1.0
2012-11-23,34.67,35.15,34.65,35.15,4507500,0.0,1.0
2012-11-26,34.89,35.35,34.55,35.345,12503400,0.0,1.0
2012-11-27,35.13,35.37,34.78,35.34,15864800,0.0,1.0
2012-11-28,35.1,35.78,34.71,35.77,12373300,0.0,1.0
2012-11-29,35.79,36.27,35.57,35.61,22956600,0.0,1.0
2012-11-30,35.53,36.2,35.26,36.09,17225900,0.0,1.0
2012-12-03,35.93,36.47,35.88,36.04,15285400,0.0,1.0
2012-12-04,35.92,36.01,35.32,35.62,12560600,0.0,1.0
2012-12-05,35.55,35.67,34.8,35.2,14365700,0.0,1.0
2012-12-06,35.16,35.25,34.81,35.17,11640700,0.0,1.0
2012-12-07,35.21,35.49,34.86,35.11,7773600,0.0,1.0
2012-12-10,35.16,35.25,34.73,34.81,6701700,0.0,1.0
2012-12-11,34.84,34.99,34.6,34.82,9153600,0.0,1.0
2012-12-12,34.79,35.03,34.46,34.73,11917100,0.0,1.0
2012-12-13,34.82,35.22,34.49,34.53,7611400,0.0,1.0
2012-12-14,34.51,34.58,34.201,34.46,7668800,0.0,1.0
2012-12-17,34.47,35.87,34.47,35.85,12348300,0.0,1.0
2012-12-18,35.72,36.14,35.51,35.8307,11575200,0.0,1.0
2012-12-19,35.8,35.98,35.1,35.11,11063800,0.0,1.0
