date,open,high,low,close,volume,dividend,split
2012-11-01,8.82,9.07,8.82,9.05,6272600,0.0,1.0
2012-11-02,9.07,9.1,8.95,9.03,6426000,0.0,1.0
2012-11-05,9.03,9.09,8.99,9.04,4066700,0.0,1.0
2012-11-06,9.04,9.16,8.98,9.15,7381000,0.0,1.0
2012-11-07,9.06,9.13,8.93,9.01,4980800,0.0,1.0
2012-11-08,9.01,9.22,8.99,9.18,5744200,0.0,1.0
2012-11-09,9.14,9.315,9.03,9.06,9317900,0.0,1.0
2012-11-12,9.08,9.13,8.97,9.07,5183200,0.0,1.0
2012-11-13,9.01,9.21,9.0,9.03,4394100,0.0,1.0
2012-11-14,9.03,9.1,8.75,8.76,8789100,0.0,1.0
2012-11-15,8.74,8.95,8.74,8.84,6886300,0.0,1.0
2012-11-16,8.82,8.94,8.7,8.93,8671800,0.0,1.0
2012-11-19,9.0,9.11,8.92,9.1,5355400,0.0,1.0
2012-11-20,9.12,9.15,8.99,9.11,7274600,0.0,1.0
2012-11-21,9.11,9.28,9.06,9.23,5718500,0.0,1.0
2012-11-23,9.24,9.37,9.21,9.37,2651200,0.0,1.0
2012-11-26,9.3,9.4,9.16,9.4,6263000,0.0,1.0
2012-11-27,9.37,9.44,9.29,9.29,6636400,0.0,1.0
2012-11-28,9.29,9.478,9.235,9.43,7062000,0.0,1.0
2012-11-29,9.46,9.55,9.43,9.5,7567600,0.0,1.0
2012-11-30,9.5,9.575,9.46,9.53,6930100,0.0,1.0
2012-12-03,9.58,9.58,9.42,9.44,4550700,0.0,1.0
2012-12-04,9.47,9.68,9.47,9.63,8287300,0.01,1.0
2012-12-05,9.6,9.82,9.59,9.79,13716800,0.0,1.0
2012-12-06,9.79,9.88,9.77,9.88,6328500,0.0,1.0
2012-12-07,9.87,9.89,9.73,9.81,4993900,0.0,1.0
2012-12-10,9.75,9.92,9.7,9.84,4429900,0.0,1.0
2012-12-11,9.88,10.2,9.85,10.12,9535400,0.0,1.0
2012-12-12,10.13,10.17,9.96,10.02,8867600,0.0,1.0
2012-12-13,10.03,10.23,10.0,10.14,5494600,0.0,1.0
2012-12-14,10.18,10.41,10.13,10.19,9643300,0.0,1.0
2012-12-17,10.25,10.43,10.24,10.36,11031800,0.0,1.0
2012-12-18,10.36,10.51,10.34,10.5,6126500,0.0,1.0
2012-12-19,10.43,10.61,10.39,10.56,6348800,0.0,1.0
2012-12-20,10.58,10.58,10.43,10.54,7193000,0.0,1.0
2012-12-21,10.44,10.55,10.35,10.46,9204100,0.0,1.0
2012-12-24,10.47,10.53,10.37,10.43,1901700,0.0,1.0
2012-12-26,10.42,10.5,10.3,10.31,3504000,0.0,1.0
2012-12-27,10.32,10.37,10.13,10.26,4590600,0.0,1.0
2012-12-28,10.19,10.2599,10.16,10.16,3419500,0.0,1.0
2012-12-31,10.13,10.25,10.1,10.24,5516300,0.0,1.0
2013-01-02,10.45,10.5,10.36,10.47,6017300,0.0,1.0
2013-01-03,10.46,10.77,10.435,10.72,8985900,0.0,1.0
2013-01-04,10.75,10.92,10.73,10.88,6884900,0.0,1.0
2013-01-07,10.9,11.02,10.8,10.91,6882100,0.0,1.0
