date,open,high,low,close,volume,dividend,split
2012-11-01,36.64,37.15,36.52,36.96,2507400,0.0,1.0
2012-11-02,37.23,37.47,36.67,36.69,4070100,0.0,1.0
2012-11-05,36.52,36.72,36.33,36.64,1859000,0.0,1.0
2012-11-06,36.73,36.88,36.5,36.77,2267800,0.0,1.0
2012-11-07,36.41,36.67,35.85,36.01,2809700,0.0,1.0
2012-11-08,35.98,36.0299,35.28,35.28,3327300,0.0,1.0
2012-11-09,35.16,36.0,35.11,35.54,3759700,0.0,1.0
2012-11-12,35.65,35.67,35.27,35.31,1980100,0.0,1.0
2012-11-13,35.13,35.47,35.06,35.13,3253900,0.0,1.0
2012-11-14,35.28,35.31,34.26,34.38,2788700,0.0,1.0
2012-11-15,34.38,34.6,33.93,34.11,3195600,0.0,1.0
2012-11-16,34.21,34.95,34.1,34.43,3369500,0.0,1.0
2012-11-19,34.93,35.59,34.86,35.45,4265300,0.0,1.0
2012-11-20,35.38,35.49,34.73,34.88,2710300,0.13,1.0
2012-11-21,34.9,35.16,34.75,34.82,1227700,0.0,1.0
2012-11-23,35.04,35.27,34.88,35.24,583400,0.0,1.0
2012-11-26,34.97,35.03,34.63,34.71,2639900,0.0,1.0
2012-11-27,34.56,35.07,34.51,34.64,2987700,0.0,1.0
2012-11-28,34.47,35.27,34.205,35.21,2701400,0.0,1.0
2012-11-29,35.49,36.7,35.35,36.63,5356600,0.0,1.0
2012-11-30,36.56,36.56,36.13,36.29,3632700,0.0,1.0
2012-12-03,36.23,36.69,35.87,35.89,1718000,0.0,1.0
2012-12-04,35.81,35.86,35.49,35.53,2285300,0.0,1.0
2012-12-05,35.61,35.75,35.11,35.27,2013300,0.0,1.0
2012-12-06,35.32,35.78,35.19,35.46,1544300,0.0,1.0
2012-12-07,35.72,35.72,35.28,35.43,1282800,0.0,1.0
2012-12-10,35.35,35.7,35.26,35.59,1135900,0.0,1.0
2012-12-11,35.75,35.92,35.555,35.79,1868500,0.0,1.0
2012-12-12,35.99,36.19,35.54,35.92,2259100,0.0,1.0
2012-12-13,35.9,36.0,35.57,35.62,1601200,0.0,1.0
2012-12-14,35.47,36.33,35.47,36.11,2328200,0.0,1.0
2012-12-17,36.21,36.86,36.11,36.84,2489800,0.0,1.0
2012-12-18,36.96,37.47,36.81,37.42,3001600,0.0,1.0
2012-12-19,37.39,37.5201,37.13,37.22,2375500,0.0,1.0
2012-12-20,37.19,37.855,37.12,37.68,3433300,0.0,1.0
2012-12-21,37.09,37.45,36.99,37.4,3346200,0.0,1.0
2012-12-24,37.32,37.37,37.0,37.12,562200,0.0,1.0
2012-12-26,37.15,37.19,36.69,36.71,1516100,0.0,1.0
2012-12-27,36.73,36.97,36.29,36.88,1731400,0.0,1.0
2012-12-28,36.49,37.04,36.42,36.48,1662700,0.0,1.0
2012-12-31,36.31,37.29,36.24,37.27,1946100,0.0,1.0
2013-01-02,38.32,39.41,38.14,38.79,3964900,0.0,1.0
2013-01-03,38.86,39.34,38.73,39.1,2810800,0.0,1.0
2013-01-04,39.23,39.43,38.98,39.23,2285300,0.0,1.0
2013-01-07,38.94,39.2,38.79,39.01,1817200,0.0,1.0
2013-01-08,38.93,39.05,38.75,38.9,1716000,0.0,1.0
2013-01-09,38.98,39.06,38.73,38.9,1456600,0.0,1.0
2013-01-10,39.19,39.29,38.845,39.02,1521500,0.0,1.0
2013-01-11,38.98,39.1,38.76,38.88,863200,0.0,1.0
2013-01-14,38.91,39.145,38.62,38.73,1227700,0.0,1.0
2013-01-15,38.58,39.24,38.55,39.16,1830000,0.0,1.0
2013-01-16,38.96,39.09,38.7,38.83,1182200,0.0,1.0
2013-01-17,38.95,39.53,38.9,39.28,2481100,0.0,1.0
2013-01-18,39.38,39.4,38.97,39.27,1523100,0.0,1.0
2013-01-22,39.2,39.3,38.74,39.24,2173200,0.0,1.0
2013-01-23,39.2,39.29,38.91,39.15,2010600,0.0,1.0
2013-01-24,39.2,39.38,38.83,38.97,2456800,0.0,1.0
2013-01-25,39.16,39.65,39.05,39.56,2912200,0.0,1.0
2013-01-28,39.51,40.12,39.4,40.1,4130800,0.0,1.0
2013-01-29,39.99,40.25,39.77,40.21,2281300,0.0,1.0
2013-01-30,40.13,40.38,40.07,40.14,2246600,0.0,1.0
2013-01-31,40.23,40.23,39.795,39.98,2593200,0.0,1.0
2013-02-01,40.34,40.58,40.09,40.29,1852600,0.0,1.0
2013-02-04,39.99,40.145,39.67,39.77,1830900,0.0,1.0
2013-02-05,40.02,40.17,39.85,39.95,1836600,0.0,1.0
2013-02-06,39.89,40.74,39.81,40.66,2508900,0.0,1.0
2013-02-07,40.55,40.66,39.99,40.47,2087800,0.0,1.0
2013-02-08,40.53,41.05,40.48,40.97,1965500,0.0,1.0
2013-02-11,40.97,41.23,40.76,41.22,1182200,0.0,1.0
2013-02-12,41.19,41.52,40.89,41.39,1637200,0.0,1.0
2013-02-13,41.58,41.61,41.16,41.18,1461000,0.0,1.0
2013-02-14,40.92,41.21,40.78,41.16,1381300,0.0,1.0
2013-02-15,41.19,41.73,41.13,41.23,3495800,0.0,1.0
2013-02-19,41.15,41.15,40.63,40.83,4131200,0.0,1.0
2013-02-20,39.87,41.0,39.52,39.72,3722300,0.0,1.0
2013-02-21,39.61,39.62,39.05,39.16,3558500,0.0,1.0
2013-02-22,39.33,39.49,39.04,39.49,1832600,0.0,1.0
2013-02-25,39.7,39.97,38.6,38.6,3347800,0.0,1.0
2013-02-26,38.71,38.92,38.35,38.53,2620200,0.0,1.0
2013-02-27,38.5,39.43,38.5,39.3,1638100,0.13,1.0
2013-02-28,39.34,39.8,39.24,39.45,2701000,0.0,1.0
2013-03-01,39.28,39.7,39.06,39.57,1580600,0.0,1.0
2013-03-04,39.5,39.615,38.93,39.2,3377400,0.0,1.0
2013-03-05,39.42,39.805,39.34,39.46,2484200,0.0,1.0
2013-03-06,39.62,39.71,39.3,39.38,2254500,0.0,1.0
2013-03-07,39.49,39.54,39.23,39.36,1950700,0.0,1.0
2013-03-08,39.68,40.515,39.53,40.29,4826500,0.0,1.0
2013-03-11,40.31,40.43,39.93,40.24,3276000,0.0,1.0
2013-03-12,40.31,40.56,39.82,39.98,2374200,0.0,1.0
2013-03-13,40.05,40.4,39.96,40.18,2199400,0.0,1.0
2013-03-14,40.26,40.56,40.13,40.42,1593700,0.0,1.0
2013-03-15,40.25,40.45,40.02,40.35,2691200,0.0,1.0
2013-03-18,39.79,40.15,39.605,39.9,2087000,0.0,1.0
2013-03-19,40.0,40.07,39.24,39.55,2858500,0.0,1.0
2013-03-20,39.83,40.22,39.75,40.02,1473900,0.0,1.0
2013-03-21,39.76,39.97,39.5,39.62,1431900,0.0,1.0
2013-03-22,39.7,39.89,39.65,39.85,1294500,0.0,1.0
2013-03-25,40.0,40.12,39.59,39.76,1931700,0.0,1.0
2013-03-26,39.93,41.56,39.79,41.29,5147100,0.0,1.0
2013-03-27,41.04,41.7,40.92,41.62,2543600,0.0,1.0
2013-03-28,41.69,42.27,41.57,42.23,2391500,0.0,1.0
2013-04-01,42.12,42.25,41.6,41.63,1777700,0.0,1.0
2013-04-02,41.86,41.92,41.31,41.46,1691500,0.0,1.0
2013-04-03,41.52,41.66,40.85,41.0,2291500,0.0,1.0
2013-04-04,40.98,41.325,40.88,41.3,1549400,0.0,1.0
2013-04-05,40.59,40.6899,40.2,40.66,1775100,0.0,1.0
2013-04-08,40.55,41.3,40.5,41.3,944100,0.0,1.0
2013-04-09,41.55,41.87,41.39,41.6,1744900,0.0,1.0
2013-04-10,41.73,42.15,41.58,41.99,1877000,0.0,1.0
2013-04-11,42.19,42.37,42.08,42.21,1702600,0.0,1.0
2013-04-12,42.07,42.59,41.98,42.59,1123100,0.0,1.0
2013-04-15,42.2,42.2375,40.55,40.71,4070100,0.0,1.0
2013-04-16,41.2,41.75,41.12,41.75,2480000,0.0,1.0
2013-04-17,41.42,41.56,40.83,41.13,1635200,0.0,1.0
2013-04-18,41.24,41.39,40.55,40.81,1993900,0.0,1.0
2013-04-19,40.91,41.43,40.711,41.34,1267800,0.0,1.0
2013-04-22,41.38,41.56,41.03,41.33,1456000,0.0,1.0
2013-04-23,41.51,41.94,41.4925,41.87,1744400,0.0,1.0
2013-04-24,41.98,42.06,41.39,41.43,1729800,0.0,1.0
