date,open,high,low,close,volume,dividend,split
2012-11-01,15.15,16.19,15.1,16.13,8358600,0.0,1.0
2012-11-02,16.28,16.4,15.87,15.89,4249300,0.0,1.0
2012-11-05,14.73,16.17,14.49,16.16,3721800,0.0,1.0
2012-11-06,16.21,16.5,16.19,16.34,5280400,0.0,1.0
2012-11-07,16.14,16.43,15.78,16.29,6392100,0.0,1.0
2012-11-08,16.28,16.32,15.6,15.69,3967200,0.0,1.0
2012-11-09,15.64,15.78,15.19,15.29,5079700,0.0,1.0
2012-11-12,15.37,15.51,15.095,15.11,2164700,0.0,1.0
2012-11-13,14.92,15.75,14.92,15.47,4524500,0.0,1.0
2012-11-14,15.56,15.73,14.81,14.89,4462900,0.0,1.0
2012-11-15,14.87,15.15,14.36,14.41,4674200,0.0,1.0
2012-11-16,14.48,15.02,14.41,14.92,5356400,0.0,1.0
2012-11-19,15.2,15.62,15.18,15.44,4237800,0.0,1.0
2012-11-20,15.48,16.34,15.48,16.31,6686600,0.0,1.0
2012-11-21,16.31,16.63,16.25,16.59,5773400,0.0,1.0
2012-11-23,16.67,16.91,16.58,16.9,1761200,0.0,1.0
2012-11-26,16.8,17.0,16.75,16.86,6787400,0.0,1.0
2012-11-27,16.81,17.11,16.66,16.97,4737800,0.0,1.0
2012-11-28,16.83,16.965,16.54,16.88,4853300,0.0,1.0
2012-11-29,17.01,17.14,16.63,17.08,4030900,0.0,1.0
2012-11-30,17.12,17.19,16.77,16.96,3942100,0.0,1.0
2012-12-03,17.05,17.14,16.65,16.66,3341200,0.0,1.0
2012-12-04,16.72,16.76,16.32,16.58,4781600,0.0,1.0
2012-12-05,16.67,16.71,15.94,16.21,5407400,0.0,1.0
2012-12-06,16.2,16.26,15.68,15.78,5544800,0.0,1.0
2012-12-07,15.93,16.13,15.82,15.99,2759400,0.0,1.0
2012-12-10,15.97,15.99,15.8,15.87,2737100,0.0,1.0
2012-12-11,16.01,16.075,15.64,15.72,3142200,0.0,1.0
2012-12-12,15.82,16.38,15.75,16.26,4386400,0.0,1.0
2012-12-13,16.21,16.56,16.01,16.16,3000400,0.0,1.0
2012-12-14,15.94,16.35,15.921,16.12,2492700,0.0,1.0
2012-12-17,16.23,16.46,16.16,16.39,3493200,0.0,1.0
2012-12-18,16.45,16.735,16.372,16.7,4136400,0.0,1.0
2012-12-19,16.7,16.72,16.34,16.35,4179300,0.0,1.0
2012-12-20,16.33,16.65,16.14,16.65,3507200,0.0,1.0
2012-12-21,16.41,16.5,15.92,16.27,9366700,0.0,1.0
2012-12-24,16.28,16.5555,16.25,16.49,1090300,0.0,1.0
2012-12-26,16.52,16.575,16.22,16.25,2109600,0.0,1.0
2012-12-27,16.26,16.38,15.93,16.29,2314900,0.0,1.0
2012-12-28,16.08,16.265,15.94,16.04,2998100,0.0,1.0
2012-12-31,16.02,16.8,15.85,16.66,4423200,0.0,1.0
2013-01-02,17.04,17.6,16.98,17.07,7094800,0.075,1.0
2013-01-03,17.11,17.49,16.91,17.3,3327500,0.0,1.0
2013-01-04,17.35,17.555,17.3,17.47,3538100,0.0,1.0
2013-01-07,17.3,17.46,17.12,17.25,2945300,0.0,1.0
2013-01-08,17.19,17.38,17.12,17.23,3064500,0.0,1.0
2013-01-09,17.29,17.76,17.28,17.43,2971300,0.0,1.0
2013-01-10,17.58,17.59,17.28,17.47,3197300,0.0,1.0
2013-01-11,18.1,18.14,17.64,17.69,4445400,0.0,1.0
2013-01-14,17.67,17.71,17.43,17.5,2879300,0.0,1.0
2013-01-15,17.42,17.62,17.38,17.46,3618600,0.0,1.0
2013-01-16,17.38,17.5,17.2,17.37,4136300,0.0,1.0
2013-01-17,17.48,17.59,17.41,17.5,4869400,0.0,1.0
2013-01-18,17.72,17.9,17.59,17.78,4485000,0.0,1.0
2013-01-22,17.75,17.84,17.5,17.61,3837600,0.0,1.0
2013-01-23,17.55,17.685,17.43,17.61,3920300,0.0,1.0
2013-01-24,17.61,17.85,17.59,17.73,3458600,0.0,1.0
2013-01-25,17.81,18.41,17.75,18.36,6697400,0.0,1.0
2013-01-28,18.39,18.49,18.0,18.13,4372700,0.0,1.0
2013-01-29,18.12,18.335,18.08,18.28,2818600,0.0,1.0
2013-01-30,18.32,18.64,18.16,18.22,3932000,0.0,1.0
2013-01-31,18.11,18.42,17.91,18.39,4313000,0.0,1.0
2013-02-01,18.63,18.82,18.45,18.55,4424400,0.0,1.0
2013-02-04,18.36,18.55,18.16,18.27,4084800,0.0,1.0
2013-02-05,18.42,18.43,18.2,18.37,2942500,0.0,1.0
2013-02-06,18.24,18.38,18.165,18.28,3336800,0.0,1.0
2013-02-07,18.26,18.27,17.78,17.86,4050500,0.0,1.0
2013-02-08,17.88,17.94,17.66,17.79,2785400,0.0,1.0
2013-02-11,17.79,17.95,17.66,17.79,4466300,0.0,1.0
2013-02-12,19.3,20.435,19.04,20.01,23556500,0.0,1.0
