date,open,high,low,close,volume,dividend,split
2012-11-01,87.0,87.1,86.405,86.8,7374900,0.0,1.0
2012-11-02,87.35,87.9,86.76,86.86,7908400,0.0,1.0
2012-11-05,86.97,87.63,86.7,87.46,5039100,0.0,1.0
2012-11-06,87.74,88.13,87.6301,87.97,5581600,0.0,1.0
2012-11-07,87.81,87.98,86.7,86.86,5971900,0.0,1.0
2012-11-08,86.39,87.0,84.96,85.13,11398400,0.0,1.0
2012-11-09,84.47,85.1,84.05,84.74,11030400,0.0,1.0
2012-11-12,84.95,85.3,84.6,84.88,4101900,0.0,1.0
2012-11-13,84.76,85.276,84.52,84.64,4842300,0.0,1.0
2012-11-14,84.85,85.61,84.18,84.62,8157000,0.0,1.0
2012-11-15,84.39,84.74,83.61,84.05,7639100,0.0,1.0
2012-11-16,84.17,84.39,83.31,84.1198,6909300,0.0,1.0
2012-11-19,84.54,85.05,84.37,85.04,5559800,0.0,1.0
2012-11-20,85.17,86.17,85.1,85.68,5822800,0.0,1.0
2012-11-21,86.06,86.26,85.2875,86.01,3900700,0.0,1.0
2012-11-23,86.77,87.07,86.56,87.05,2474400,0.0,1.0
2012-11-26,86.53,86.67,85.8,86.24,5619200,0.0,1.0
2012-11-27,86.24,86.465,85.82,85.92,4633200,0.0,1.0
2012-11-28,85.91,86.66,85.69,86.52,7155400,0.0,1.0
2012-11-29,86.44,86.98,86.1,86.49,4873900,0.77,1.0
2012-11-30,86.08,87.31,85.95,87.04,7369800,0.0,1.0
2012-12-03,87.42,87.43,86.76,87.06,6638100,0.0,1.0
2012-12-04,86.64,87.38,86.27,87.2,6109700,0.0,1.0
2012-12-05,87.43,87.97,86.73,86.97,5349700,0.0,1.0
2012-12-06,87.11,88.39,87.1,88.09,6580200,0.0,1.0
2012-12-07,89.09,89.14,88.2,88.48,8086500,0.0,1.0
2012-12-10,89.97,90.17,89.01,89.41,9276400,0.0,1.0
2012-12-11,89.76,89.81,89.0,89.62,7333000,0.0,1.0
2012-12-12,89.87,89.99,89.2,89.3077,4219500,0.0,1.0
2012-12-13,89.27,89.73,88.93,89.17,4639700,0.0,1.0
2012-12-14,88.84,89.39,88.5,88.88,4364600,0.0,1.0
2012-12-17,89.14,89.93,89.01,89.91,5956500,0.0,1.0
2012-12-18,89.99,90.8,89.92,90.52,5340500,0.0,1.0
2012-12-19,90.73,90.85,89.7,89.71,5152900,0.0,1.0
2012-12-20,89.97,90.12,89.45,90.04,4298900,0.0,1.0
2012-12-21,89.65,90.19,89.11,90.18,10730000,0.0,1.0
2012-12-24,89.59,89.69,89.1,89.29,2375000,0.0,1.0
2012-12-26,89.12,89.37,88.39,88.74,3054000,0.0,1.0
2012-12-27,88.9,89.13,87.76,88.72,4576600,0.0,1.0
2012-12-28,88.24,88.535,87.47,87.58,3725600,0.0,1.0
2012-12-31,87.42,88.25,86.81,88.21,6236600,0.0,1.0
2013-01-02,89.4,90.35,89.33,90.12,7377200,0.0,1.0
2013-01-03,90.31,90.7,90.16,90.63,5473500,0.0,1.0
2013-01-04,90.62,90.79,89.67,89.8487,5374100,0.0,1.0
2013-01-07,89.77,91.05,89.25,90.91,5820900,0.0,1.0
2013-01-08,90.54,90.96,89.975,90.94,6285200,0.0,1.0
2013-01-09,90.8,91.24,90.36,90.81,4822100,0.0,1.0
2013-01-10,91.35,91.64,91.025,91.4,4393300,0.0,1.0
2013-01-11,91.94,91.98,91.05,91.73,3692600,0.0,1.0
2013-01-14,91.76,92.12,91.43,91.53,3828100,0.0,1.0
2013-01-15,91.11,91.63,90.86,91.51,3910400,0.0,1.0
2013-01-16,91.13,91.32,90.91,91.1,2925800,0.0,1.0
2013-01-17,91.45,92.1,91.31,91.76,4044600,0.0,1.0
2013-01-18,92.07,92.3,91.85,92.26,5579900,0.0,1.0
2013-01-22,92.15,93.33,91.81,92.95,6967300,0.0,1.0
2013-01-23,93.45,93.75,92.25,93.48,9368000,0.0,1.0
2013-01-24,93.58,93.6,93.02,93.31,5157200,0.0,1.0
2013-01-25,93.31,93.94,93.28,93.72,5461600,0.0,1.0
2013-01-28,93.94,94.58,93.64,94.36,4564600,0.0,1.0
2013-01-29,94.15,94.99,94.05,94.92,4929700,0.0,1.0
2013-01-30,94.88,95.1,94.43,94.67,4657600,0.0,1.0
2013-01-31,94.6,95.29,94.46,95.29,5740500,0.0,1.0
2013-02-01,95.58,96.325,95.5,95.95,5481100,0.0,1.0
2013-02-04,95.4,95.785,94.5,94.6,5933300,0.0,1.0
2013-02-05,94.59,95.54,94.51,94.91,4952800,0.0,1.0
2013-02-06,94.49,95.33,94.41,95.07,4482700,0.0,1.0
2013-02-07,95.03,95.06,94.07,94.63,5619600,0.0,1.0
2013-02-08,94.39,95.48,94.36,94.87,5331600,0.0,1.0
2013-02-11,94.75,95.31,94.6,95.17,3557600,0.0,1.0
2013-02-12,95.05,95.335,94.81,95.1,4526900,0.0,1.0
2013-02-13,94.64,94.75,93.48,94.0,6663100,0.0,1.0
2013-02-14,93.86,93.89,93.19,93.56,5360900,0.0,1.0
2013-02-15,93.81,94.31,93.21,93.9,5094100,0.0,1.0
2013-02-19,94.14,94.49,93.77,93.85,4401900,0.0,1.0
2013-02-20,93.86,94.48,93.75,93.91,4023800,0.0,1.0
2013-02-21,93.44,94.45,93.3,94.14,4424600,0.0,1.0
2013-02-22,94.27,95.25,93.85,95.25,4421300,0.0,1.0
2013-02-25,95.38,96.78,95.26,96.14,9028000,0.0,1.0
2013-02-26,96.35,96.57,96.05,96.22,6451100,0.0,1.0
2013-02-27,95.3599,95.95,95.11,95.73,4326800,0.77,1.0
2013-02-28,95.71,96.22,95.51,95.9,3967600,0.0,1.0
2013-03-01,95.68,95.82,94.96,95.68,3823200,0.0,1.0
2013-03-04,95.6,95.67,94.87,95.07,4636900,0.0,1.0
2013-03-05,95.54,96.1,95.33,95.81,5643000,0.0,1.0
2013-03-06,95.95,96.82,95.93,96.81,5052000,0.0,1.0
2013-03-07,96.64,97.16,96.64,97.09,4566400,0.0,1.0
2013-03-08,98.13,98.95,98.03,98.71,8838100,0.0,1.0
2013-03-11,98.46,98.89,98.275,98.89,4853400,0.0,1.0
2013-03-12,98.86,98.87,98.53,98.76,3856000,0.0,1.0
2013-03-13,98.74,99.47,98.54,99.38,3896600,0.0,1.0
2013-03-14,99.36,99.38,98.9,99.31,3649900,0.0,1.0
2013-03-15,98.97,99.7,98.815,99.67,6388000,0.0,1.0
2013-03-18,98.95,99.34,98.21,98.57,3934500,0.0,1.0
2013-03-19,98.78,98.99,98.2,98.4,4648500,0.0,1.0
2013-03-20,98.59,98.9,98.59,98.77,3534900,0.0,1.0
2013-03-21,98.5,98.88,98.42,98.53,3523400,0.0,1.0
2013-03-22,98.52,99.6155,98.52,99.27,4160000,0.0,1.0
2013-03-25,99.46,99.6,98.12,98.24,4932500,0.0,1.0
2013-03-26,98.35,98.665,98.26,98.5,4434000,0.0,1.0
2013-03-27,98.19,99.285,98.18,98.9,4401700,0.0,1.0
2013-03-28,98.88,99.78,98.67,99.69,3954700,0.0,1.0
2013-04-01,99.41,99.68,98.85,99.05,3155800,0.0,1.0
2013-04-02,99.4,100.42,99.025,100.26,5136800,0.0,1.0
2013-04-03,100.21,100.5,99.06,99.25,4454400,0.0,1.0
2013-04-04,99.54,100.81,99.53,100.63,5860600,0.0,1.0
2013-04-05,100.17,101.475,99.81,101.42,5693000,0.0,1.0
2013-04-08,101.08,101.5,100.85,101.5,4163600,0.0,1.0
2013-04-09,101.5,101.5,100.57,101.06,3690400,0.0,1.0
2013-04-10,101.12,101.74,101.01,101.49,3159400,0.0,1.0
2013-04-11,101.34,102.47,101.34,101.99,4049400,0.0,1.0
2013-04-12,101.5,103.7,101.5,103.59,5714000,0.0,1.0
2013-04-15,103.14,103.44,102.13,102.15,5643600,0.0,1.0
2013-04-16,102.4,103.05,102.02,103.04,3199300,0.0,1.0
2013-04-17,102.56,103.11,102.0,102.54,4191500,0.0,1.0
2013-04-18,102.08,102.23,100.1,101.91,5696900,0.0,1.0
2013-04-19,100.58,101.44,99.45,99.92,8227700,0.0,1.0
2013-04-22,99.35,99.66,98.38,99.32,5620500,0.0,1.0
2013-04-23,99.27,100.24,99.21,99.76,5753500,0.0,1.0
2013-04-24,100.09,101.24,100.09,101.02,4593000,0.0,1.0
2013-04-25,101.27,101.63,100.85,100.94,3529400,0.0,1.0
2013-04-26,100.83,100.99,100.4,100.89,3113600,0.0,1.0
2013-04-29,101.56,102.52,101.15,102.18,3417700,0.0,1.0
2013-04-30,102.27,102.36,101.56,102.14,4205200,0.0,1.0
2013-05-01,101.98,102.44,101.33,101.38,2720100,0.0,1.0
2013-05-02,101.46,102.34,101.12,102.06,3821100,0.0,1.0
2013-05-03,102.92,103.34,102.55,102.92,4109400,0.0,1.0
2013-05-06,102.76,102.8,102.05,102.07,3314200,0.0,1.0
2013-05-07,102.09,102.52,101.79,102.29,4304200,0.0,1.0
2013-05-08,102.28,102.28,100.76,100.95,5228800,0.0,1.0
2013-05-09,100.78,101.23,99.46,99.69,10628500,0.0,1.0
2013-05-10,99.95,100.2,99.4,100.2,5036900,0.0,1.0
2013-05-13,100.02,100.7,99.8,100.38,3154100,0.0,1.0
2013-05-14,100.48,101.49,100.44,101.2,3810800,0.0,1.0
