date,open,high,low,close,volume,dividend,split
2012-11-01,31.47,32.51,31.37,32.5,2084700,0.0,1.0
2012-11-02,32.45,32.51,31.95,32.14,1987200,0.0,1.0
2012-11-05,31.97,32.46,31.77,32.39,2931600,0.0,1.0
2012-11-06,32.55,33.335,32.46,33.1522,2021900,0.0,1.0
2012-11-07,32.77,32.77,32.02,32.11,1909600,0.0,1.0
2012-11-08,32.15,32.46,31.88,31.91,1502400,0.0,1.0
2012-11-09,31.08,31.49,30.37,30.62,5153500,0.0,1.0
2012-11-12,30.61,30.7894,30.0,30.35,3625500,0.0,1.0
2012-11-13,30.19,30.52,29.9916,30.13,2944300,0.0,1.0
2012-11-14,30.21,30.53,29.82,29.91,3102700,0.0,1.0
2012-11-15,29.9,30.02,29.52,29.61,2513000,0.0,1.0
2012-11-16,29.59,29.66,28.92,29.37,3730300,0.0,1.0
2012-11-19,29.23,30.03,29.22,29.94,2541000,0.352,1.0
2012-11-20,29.79,30.02,29.39,29.62,1903100,0.0,1.0
2012-11-21,29.68,29.82,29.41,29.41,2605000,0.0,1.0
2012-11-23,29.67,29.99,29.54,29.99,857600,0.0,1.0
2012-11-26,29.9,30.09,29.51,29.7,1947100,0.0,1.0
2012-11-27,29.73,30.02,29.56,29.74,1854500,0.0,1.0
2012-11-28,29.7,30.41,29.29,30.26,3755600,0.0,1.0
2012-11-29,30.29,30.44,30.05,30.17,1828700,0.0,1.0
2012-11-30,30.2,30.52,30.092,30.42,2235400,0.0,1.0
2012-12-03,30.56,30.67,29.88,29.91,1623900,0.0,1.0
2012-12-04,29.92,29.96,29.56,29.82,1757300,0.0,1.0
2012-12-05,29.82,29.95,29.6,29.93,1709000,0.0,1.0
2012-12-06,29.95,30.53,29.92,30.51,1837100,0.0,1.0
2012-12-07,30.69,30.9,30.44,30.85,1994500,0.0,1.0
2012-12-10,30.75,31.17,30.68,30.99,2405900,0.0,1.0
2012-12-11,31.16,31.78,31.06,31.47,2582400,0.0,1.0
2012-12-12,31.68,32.0,31.57,31.7,2647600,0.0,1.0
2012-12-13,31.95,32.13,31.48,31.75,3119600,0.0,1.0
2012-12-14,31.65,31.91,31.495,31.64,1747600,0.0,1.0
2012-12-17,31.7,31.95,31.34,31.86,2983000,0.0,1.0
2012-12-18,31.83,32.47,31.74,32.32,3996000,0.0,1.0
2012-12-19,32.41,32.7999,32.23,32.46,2326600,0.0,1.0
2012-12-20,32.47,32.71,32.18,32.63,1711200,0.0,1.0
2012-12-21,32.33,32.67,32.1,32.59,3190100,0.0,1.0
2012-12-24,32.49,32.588,32.1,32.56,654200,0.0,1.0
2012-12-26,32.52,32.745,32.4,32.56,1077000,0.0,1.0
2012-12-27,32.55,32.64,32.0,32.32,1407900,0.0,1.0
2012-12-28,32.1,32.46,31.95,32.11,895400,0.0,1.0
2012-12-31,31.97,32.59,31.802,32.59,1609400,0.0,1.0
2013-01-02,33.17,33.75,33.11,33.75,2494400,0.0,1.0
2013-01-03,33.74,33.775,33.31,33.4,1483300,0.0,1.0
2013-01-04,33.5,33.5,33.0,33.21,2403300,0.0,1.0
2013-01-07,33.09,33.45,32.98,33.17,1722100,0.0,1.0
2013-01-08,33.05,33.1292,32.38,32.5805,2104600,0.0,1.0
2013-01-09,32.75,33.1,32.68,32.94,2428400,0.0,1.0
2013-01-10,33.11,33.55,33.06,33.55,2322500,0.0,1.0
2013-01-11,33.46,33.66,33.315,33.59,2249600,0.0,1.0
2013-01-14,33.38,33.55,32.979,33.11,2799700,0.0,1.0
2013-01-15,33.06,33.12,32.7,33.02,2747100,0.0,1.0
2013-01-16,33.03,33.48,32.83,33.36,2022400,0.0,1.0
2013-01-17,33.5,33.71,33.37,33.61,2502200,0.0,1.0
2013-01-18,33.46,33.59,33.2101,33.53,1948400,0.0,1.0
2013-01-22,33.59,33.67,33.09,33.23,2124700,0.0,1.0
2013-01-23,33.32,33.34,32.98,33.15,1567800,0.0,1.0
2013-01-24,33.21,33.39,32.96,33.25,1363700,0.0,1.0
2013-01-25,33.28,33.52,33.21,33.3,1824400,0.0,1.0
2013-01-28,33.54,33.945,33.372,33.72,1374500,0.0,1.0
2013-01-29,33.6,33.68,33.28,33.58,768600,0.0,1.0
2013-01-30,33.83,33.89,33.53,33.77,1321600,0.0,1.0
2013-01-31,33.74,33.93,33.44,33.45,1752400,0.0,1.0
2013-02-01,33.92,34.52,33.694,34.52,2429300,0.0,1.0
2013-02-04,34.87,34.87,33.95,34.0,1769900,0.0,1.0
2013-02-05,34.15,34.39,33.92,34.22,1280600,0.0,1.0
2013-02-06,33.97,34.46,33.87,34.45,1758000,0.0,1.0
2013-02-07,34.77,34.77,33.84,33.94,2037900,0.0,1.0
2013-02-08,37.0,37.37,35.88,36.39,6041200,0.0,1.0
2013-02-11,36.19,36.45,36.04,36.44,3549400,0.0,1.0
2013-02-12,36.27,36.63,36.23,36.62,2939700,0.0,1.0
