date,open,high,low,close,volume,dividend,split
2012-11-01,48.44,49.26,48.0,48.92,1457700,0.0,1.0
2012-11-02,49.34,49.36,47.98,48.02,1544000,0.0,1.0
2012-11-05,47.69,48.05,45.92,46.6,4321100,0.0,1.0
2012-11-06,46.76,47.2,46.53,47.06,1582500,0.0,1.0
2012-11-07,47.15,47.15,45.83,46.27,1146500,0.0,1.0
2012-11-08,46.3,46.63,45.96,45.98,1201700,0.0,1.0
2012-11-09,45.94,46.42,45.51,45.87,3138300,0.0,1.0
2012-11-12,46.04,46.93,45.6,46.42,1423400,0.0,1.0
2012-11-13,46.11,46.65,45.89,46.09,1128900,0.0,1.0
2012-11-14,46.2,46.39,45.64,45.74,1399600,0.0,1.0
2012-11-15,45.74,46.59,45.73,46.05,1428800,0.0,1.0
2012-11-16,43.9,46.1,43.9,45.0,2295100,0.16,1.0
2012-11-19,46.14,46.61,45.57,46.21,2106800,0.0,1.0
2012-11-20,46.11,46.22,45.61,46.14,1133300,0.0,1.0
2012-11-21,46.22,46.37,45.92,46.18,895900,0.0,1.0
2012-11-23,46.4,47.36,46.3213,47.32,487800,0.0,1.0
2012-11-26,46.97,47.46,46.78,47.37,1647500,0.0,1.0
2012-11-27,47.23,47.39,46.75,46.81,1480400,0.0,1.0
2012-11-28,46.67,47.66,46.38,47.36,1267500,0.0,1.0
2012-11-29,47.53,48.66,47.49,48.13,1785500,0.0,1.0
2012-11-30,48.13,48.82,47.92,48.58,4687700,0.0,1.0
2012-12-03,48.79,49.27,48.59,48.98,2407300,0.0,1.0
2012-12-04,48.81,49.19,48.4,48.97,1858200,0.0,1.0
2012-12-05,46.09,49.945,46.09,49.74,2143500,0.0,1.0
2012-12-06,49.49,49.74,49.0,49.42,1498300,0.0,1.0
2012-12-07,49.61,49.66,49.01,49.36,1826600,0.0,1.0
2012-12-10,49.2,49.462,48.87,49.12,1126300,0.0,1.0
2012-12-11,49.49,49.66,49.12,49.16,1166800,0.0,1.0
2012-12-12,49.36,49.65,49.13,49.25,1117000,0.0,1.0
2012-12-13,49.32,49.32,48.37,48.41,1027200,0.0,1.0
2012-12-14,48.33,48.81,48.0,48.17,1096600,0.0,1.0
2012-12-17,48.39,49.67,48.32,49.67,1472900,0.0,1.0
2012-12-18,49.48,50.84,49.14,50.79,1908200,0.0,1.0
2012-12-19,50.76,51.57,50.55,51.54,3429500,0.0,1.0
2012-12-20,51.53,51.6254,50.885,51.23,3651100,0.0,1.0
2012-12-21,50.7,50.7,50.17,50.25,2717200,0.0,1.0
2012-12-24,50.28,50.4635,49.8332,50.19,675400,0.0,1.0
2012-12-26,50.36,50.415,50.0,50.15,808300,0.0,1.0
2012-12-27,50.1,50.16,49.12,49.86,971900,0.0,1.0
2012-12-28,49.41,49.96,49.41,49.47,710600,0.0,1.0
2012-12-31,49.44,50.3599,49.44,50.32,1134300,0.0,1.0
2013-01-02,51.48,52.0,51.27,51.77,2620900,0.0,1.0
2013-01-03,51.67,52.48,51.63,51.98,2874200,0.0,1.0
2013-01-04,52.23,53.03,51.58,52.77,2902600,0.0,1.0
2013-01-07,52.42,52.9,52.24,52.53,2069900,0.0,1.0
2013-01-08,52.52,52.81,52.25,52.81,3108200,0.0,1.0
2013-01-09,52.86,53.29,52.86,53.27,2674100,0.0,1.0
2013-01-10,53.55,53.55,52.92,53.08,2456000,0.0,1.0
2013-01-11,53.04,53.36,52.6,53.28,1227000,0.0,1.0
2013-01-14,53.36,53.5193,53.09,53.24,1431400,0.0,1.0
2013-01-15,52.94,53.5,52.94,53.44,1569300,0.0,1.0
2013-01-16,53.17,53.46,52.78,53.0,1331800,0.0,1.0
2013-01-17,53.38,53.525,53.01,53.45,2097500,0.0,1.0
2013-01-18,53.5,53.65,53.26,53.6,1500300,0.0,1.0
2013-01-22,53.4,53.555,53.06,53.35,1574000,0.0,1.0
2013-01-23,53.32,53.671,53.15,53.63,1600500,0.0,1.0
2013-01-24,53.44,54.48,53.38,53.96,2068400,0.0,1.0
2013-01-25,54.01,54.35,53.66,54.34,1377700,0.0,1.0
2013-01-28,54.62,54.62,53.87,54.45,1156700,0.0,1.0
2013-01-29,54.34,55.02,54.092,54.99,2505400,0.0,1.0
2013-01-30,54.87,55.08,54.59,54.92,2216500,0.0,1.0
2013-01-31,54.8,55.04,54.54,54.82,1811800,0.0,1.0
2013-02-01,55.23,55.58,55.11,55.35,2459300,0.0,1.0
2013-02-04,55.13,55.39,48.9,49.45,11422100,0.0,1.0
2013-02-05,50.02,50.03,42.71,45.09,22411200,0.0,1.0
2013-02-06,46.96,48.48,45.51,47.49,11933500,0.0,1.0
2013-02-07,47.84,47.87,45.73,46.99,9662100,0.0,1.0
2013-02-08,45.28,46.42,40.67,43.37,16212600,0.0,1.0
2013-02-11,43.515,45.89,43.11,45.49,7505900,0.0,1.0
2013-02-12,45.35,47.15,45.24,46.09,5442900,0.0,1.0
2013-02-13,46.8,47.1,45.75,46.79,4301900,0.0,1.0
2013-02-14,46.88,47.49,46.5,46.68,2915600,0.0,1.0
2013-02-15,46.16,47.0,46.16,46.8,2831700,0.2,1.0
2013-02-19,46.73,48.67,46.65,48.57,3917200,0.0,1.0
2013-02-20,47.75,48.26,47.34,47.37,2976600,0.0,1.0
2013-02-21,47.33,47.81,47.01,47.47,1814700,0.0,1.0
2013-02-22,47.62,48.57,47.55,48.27,2234700,0.0,1.0
2013-02-25,48.44,48.86,46.68,46.71,2082200,0.0,1.0
2013-02-26,47.3,47.64,46.46,47.5,1806300,0.0,1.0
2013-02-27,47.35,48.49,47.35,48.4,2040900,0.0,1.0
2013-02-28,48.29,48.51,47.88,48.06,2770700,0.0,1.0
2013-03-01,47.79,48.96,47.74,48.93,2145900,0.0,1.0
2013-03-04,48.49,49.38,48.37,49.37,2410500,0.0,1.0
2013-03-05,49.5,50.35,49.5,50.06,3667700,0.0,1.0
2013-03-06,50.23,50.89,50.13,50.32,2512300,0.0,1.0
2013-03-07,50.37,50.56,50.07,50.23,1340300,0.0,1.0
2013-03-08,50.5,51.04,49.6,50.95,1746400,0.0,1.0
2013-03-11,50.78,51.44,50.345,51.32,1347300,0.0,1.0
2013-03-12,51.18,51.5,50.8,51.07,1414800,0.0,1.0
2013-03-13,51.01,51.77,50.72,51.7,1215200,0.0,1.0
2013-03-14,51.74,51.97,51.4,51.5,931000,0.0,1.0
2013-03-15,51.35,51.92,51.3,51.61,1469200,0.0,1.0
2013-03-18,51.03,51.705,50.65,51.42,703400,0.0,1.0
2013-03-19,51.44,51.666,50.35,50.67,1105200,0.0,1.0
2013-03-20,51.16,51.99,51.1,51.87,1604000,0.0,1.0
2013-03-21,51.38,51.92,51.04,51.32,811200,0.0,1.0
2013-03-22,51.45,52.2,51.105,51.32,1199700,0.0,1.0
2013-03-25,51.67,52.45,51.5001,52.21,963300,0.0,1.0
2013-03-26,52.27,52.38,51.22,52.08,1181700,0.0,1.0
2013-03-27,51.7,52.59,51.22,52.5,1118400,0.0,1.0
2013-03-28,52.56,53.37,52.25,53.32,1511700,0.0,1.0
2013-04-01,53.11,53.37,52.41,52.77,1533800,0.0,1.0
2013-04-02,52.91,53.39,52.44,52.91,943500,0.0,1.0
2013-04-03,53.0,53.34,51.78,52.23,1945400,0.0,1.0
2013-04-04,52.16,53.3,52.0,52.8,983300,0.0,1.0
2013-04-05,51.96,52.48,51.31,52.4,1140000,0.0,1.0
2013-04-08,52.44,53.01,51.87,52.99,1086600,0.0,1.0
2013-04-09,53.19,53.19,52.28,52.91,784100,0.0,1.0
2013-04-10,52.9,54.79,52.7,54.17,1741500,0.0,1.0
2013-04-11,54.06,54.89,53.23,54.36,1197900,0.0,1.0
2013-04-12,54.13,54.7,53.77,54.4,772800,0.0,1.0
2013-04-15,54.24,54.43,53.46,53.46,1471300,0.0,1.0
2013-04-16,53.85,54.67,53.694,54.63,1002500,0.0,1.0
2013-04-17,54.28,54.88,53.895,54.64,1407800,0.0,1.0
2013-04-18,54.72,54.98,53.87,54.23,1203100,0.0,1.0
2013-04-19,54.5,54.9,54.01,54.84,1061100,0.0,1.0
2013-04-22,54.97,54.98,54.2,54.83,591200,0.0,1.0
2013-04-23,55.0,55.24,54.53,55.07,984900,0.0,1.0
2013-04-24,55.16,55.56,54.22,54.3,2070200,0.0,1.0
2013-04-25,54.41,55.3,54.36,55.05,1120600,0.0,1.0
2013-04-26,55.14,55.36,54.77,55.12,1014900,0.0,1.0
2013-04-29,57.55,61.26,57.52,59.69,6036800,0.0,1.0
2013-04-30,59.83,61.5,59.5,60.85,3603000,0.0,1.0
2013-05-01,60.25,61.19,60.0896,60.8,2372600,0.0,1.0
2013-05-02,60.47,61.06,60.15,60.55,4352400,0.0,1.0
2013-05-03,61.33,62.97,58.09,62.75,3729000,0.0,1.0
2013-05-06,62.49,63.77,62.19,63.5,3017500,0.0,1.0
2013-05-07,63.5,64.22,63.28,64.12,1572400,0.0,1.0
2013-05-08,63.9,65.26,63.04,63.84,2279000,0.0,1.0
2013-05-09,63.84,64.36,63.84,64.17,1947300,0.0,1.0
2013-05-10,64.18,65.4,64.18,65.4,1375100,0.0,1.0
2013-05-13,65.18,65.6299,64.21,65.1,1675500,0.0,1.0
2013-05-14,65.19,66.7,65.19,66.68,1379000,0.0,1.0
2013-05-15,66.36,68.13,66.24,67.37,1683900,0.0,1.0
2013-05-16,67.16,67.599,66.72,66.81,988600,0.2,1.0
2013-05-17,66.72,68.01,66.72,67.91,1649000,0.0,1.0
2013-05-20,67.91,68.46,67.74,67.95,1194500,0.0,1.0
2013-05-21,67.87,69.18,67.837,68.62,1296600,0.0,1.0
2013-05-22,68.53,69.6992,66.43,66.98,1956300,0.0,1.0
2013-05-23,66.16,67.19,65.8,66.57,1296200,0.0,1.0
2013-05-24,66.19,67.505,65.7,67.25,1322300,0.0,1.0
2013-05-28,68.11,68.68,67.13,67.63,1103000,0.0,1.0
2013-05-29,67.15,67.65,66.5,67.21,957800,0.0,1.0
2013-05-30,67.08,68.06,66.79,67.6,941500,0.0,1.0
2013-05-31,67.3,67.895,66.44,66.44,1224700,0.0,1.0
2013-06-03,66.56,66.92,65.21,65.83,1535200,0.0,1.0
2013-06-04,65.83,66.05,65.06,65.27,1246700,0.0,1.0
2013-06-05,65.01,65.09,63.27,63.62,1764700,0.0,1.0
2013-06-06,63.8,65.03,63.37,64.96,1441600,0.0,1.0
2013-06-07,65.43,65.83,64.82,65.74,998500,0.0,1.0
2013-06-10,65.26,65.61,64.6,65.0,1396100,0.0,1.0
2013-06-11,64.28,64.48,63.51,63.52,1505800,0.0,1.0
2013-06-12,64.21,64.29,60.44,61.04,2916900,0.0,1.0
2013-06-13,61.04,63.08,60.51,62.86,1638000,0.0,1.0
2013-06-14,62.73,63.0,61.89,62.2,1045700,0.0,1.0
2013-06-17,62.82,62.93,62.0,62.19,1473300,0.0,1.0
2013-06-18,62.32,62.82,62.01,62.61,978600,0.0,1.0
2013-06-19,62.52,62.796,60.97,61.01,1349400,0.0,1.0
2013-06-20,60.36,60.84,58.66,58.8,1990300,0.0,1.0
2013-06-21,59.26,59.49,57.96,58.88,1747300,0.0,1.0
2013-06-24,58.08,58.21,56.75,57.64,1409500,0.0,1.0
2013-06-25,58.53,59.5,58.11,58.43,1233100,0.0,1.0
2013-06-26,58.94,59.3,58.56,58.82,1090500,0.0,1.0
2013-06-27,59.3,61.01,58.82,60.83,1672200,0.0,1.0
2013-06-28,60.69,61.47,60.57,60.93,2563800,0.0,1.0
2013-07-01,61.17,62.65,61.17,61.3,2147200,0.0,1.0
2013-07-02,61.02,61.93,60.29,60.45,1058400,0.0,1.0
2013-07-03,60.12,60.52,59.69,60.04,656900,0.0,1.0
2013-07-05,60.49,60.8,59.85,60.74,942400,0.0,1.0
2013-07-08,61.08,62.15,61.06,61.26,1224700,0.0,1.0
2013-07-09,61.96,62.18,61.42,61.66,1681500,0.0,1.0
2013-07-10,61.55,61.93,59.73,60.03,2095300,0.0,1.0
2013-07-11,61.25,62.25,60.92,61.34,2107600,0.0,1.0
2013-07-12,61.53,61.68,60.79,61.04,1456900,0.0,1.0
2013-07-15,61.1,61.2,60.39,60.8,1472000,0.0,1.0
2013-07-16,60.8,61.04,59.865,60.33,1070300,0.0,1.0
2013-07-17,60.72,61.51,60.23,60.64,1500700,0.0,1.0
2013-07-18,60.88,61.87,60.81,61.75,985200,0.0,1.0
2013-07-19,61.75,61.83,61.16,61.76,767600,0.0,1.0
2013-07-22,61.65,62.18,61.4601,61.89,768300,0.0,1.0
2013-07-23,61.93,63.24,61.84,62.31,1544200,0.0,1.0
2013-07-24,64.02,67.05,63.95,64.68,3195600,0.0,1.0
2013-07-25,64.37,64.86,63.78,64.56,1510100,0.0,1.0
2013-07-26,64.22,64.42,63.61,64.37,1559100,0.0,1.0
2013-07-29,64.06,64.87,64.06,64.72,772600,0.0,1.0
2013-07-30,65.15,66.78,64.91,66.55,1748300,0.0,1.0
2013-07-31,66.63,68.06,66.59,67.77,1804600,0.0,1.0
2013-08-01,68.31,69.29,68.17,68.91,1211900,0.0,1.0
2013-08-02,68.5,69.32,68.02,69.22,921900,0.0,1.0
2013-08-05,69.06,69.25,68.4,69.23,790600,0.0,1.0
2013-08-06,69.16,71.255,69.09,70.96,1960500,0.0,1.0
2013-08-07,70.62,70.64,69.3,69.68,1863400,0.0,1.0
2013-08-08,70.88,70.88,68.79,69.32,1434500,0.0,1.0
2013-08-09,69.32,70.0,69.145,69.58,875100,0.0,1.0
2013-08-12,69.12,69.81,68.93,69.0,457100,0.0,1.0
