date,open,high,low,close,volume,dividend,split
2012-11-01,41.6,42.405,41.44,42.25,5225500,0.0,1.0
2012-11-02,42.61,42.79,41.9,42.0,5083800,0.0,1.0
2012-11-05,41.87,42.3,41.65,42.2,4632500,0.0,1.0
2012-11-06,42.15,43.0,42.0,42.81,4809700,0.0,1.0
2012-11-07,42.39,42.45,41.11,41.51,6640200,0.0,1.0
2012-11-08,41.49,41.66,41.04,41.06,4583000,0.0,1.0
2012-11-09,41.0,41.375,40.76,41.16,3926500,0.0,1.0
2012-11-12,41.23,41.685,40.95,41.49,2992000,0.0,1.0
2012-11-13,41.35,41.91,41.29,41.3,4150400,0.0,1.0
2012-11-14,41.33,41.6,40.66,40.77,5047900,0.0,1.0
2012-11-15,40.71,40.95,40.44,40.87,3990700,0.0,1.0
2012-11-16,40.93,41.22,40.54,41.1,5433700,0.0,1.0
2012-11-19,41.36,41.81,41.31,41.81,5154800,0.0,1.0
2012-11-20,42.46,42.97,42.27,42.66,5143200,0.0,1.0
2012-11-21,42.72,43.0,42.52,42.75,5359300,0.0,1.0
2012-11-23,42.94,43.27,42.81,43.27,1838200,0.0,1.0
2012-11-26,42.96,43.05,42.62,42.8,4280900,0.0,1.0
2012-11-27,42.74,43.0,42.39,42.41,4221300,0.0,1.0
2012-11-28,42.32,42.6,41.91,42.59,3683900,0.0,1.0
2012-11-29,42.82,42.82,42.1,42.24,6219100,0.0,1.0
2012-11-30,42.37,42.5,42.05,42.11,6591200,0.0,1.0
2012-12-03,42.28,42.5,41.73,41.87,4957800,0.0,1.0
2012-12-04,41.9,42.105,41.62,41.86,6245900,0.0,1.0
2012-12-05,42.03,42.34,41.73,42.03,3658800,0.0,1.0
2012-12-06,42.05,42.5,41.88,42.5,4012200,0.0,1.0
2012-12-07,42.58,42.6,42.25,42.56,3006600,0.0,1.0
2012-12-10,42.45,42.91,42.354,42.6,2800800,0.0,1.0
2012-12-11,42.48,42.8,42.32,42.56,5120100,0.0,1.0
2012-12-12,42.83,43.02,42.52,42.63,4653000,0.0,1.0
2012-12-13,42.52,42.58,42.06,42.19,2505600,0.26,1.0
2012-12-14,42.08,42.18,41.79,41.86,3133200,0.0,1.0
2012-12-17,41.95,42.325,41.86,42.24,3717600,0.0,1.0
2012-12-18,42.37,42.89,42.075,42.8,3837000,0.0,1.0
2012-12-19,42.78,42.85,42.415,42.44,4275700,0.0,1.0
2012-12-20,42.45,42.78,42.08,42.68,3232400,0.0,1.0
2012-12-21,42.49,42.49,41.79,42.02,6718000,0.0,1.0
2012-12-24,41.87,41.98,41.55,41.7,1594200,0.0,1.0
2012-12-26,41.65,41.66,40.98,41.13,3485800,0.0,1.0
2012-12-27,41.13,41.41,40.76,41.34,3863800,0.0,1.0
2012-12-28,41.13,41.212,40.68,40.75,3055100,0.0,1.0
