date,open,high,low,close,volume,dividend,split
2012-11-01,35.43,35.59,34.71,35.48,15108400,0.0,1.0
2012-11-02,35.68,35.75,34.7,34.7,17524500,0.0,1.0
2012-11-05,34.56,34.87,34.131,34.69,7655500,0.0,1.0
2012-11-06,34.76,35.29,34.54,35.03,9480100,0.0,1.0
2012-11-07,33.72,33.89,32.58,32.59,16599200,0.74,1.0
2012-11-08,32.61,33.12,31.99,32.0,10011700,0.0,1.0
2012-11-09,31.8,32.6,31.69,32.02,9251000,0.0,1.0
2012-11-12,32.09,32.18,31.72,32.04,18702000,0.0,1.0
2012-11-13,31.63,32.32,31.43,31.47,7181300,0.0,1.0
2012-11-14,31.55,31.75,30.83,30.91,9960400,0.0,1.0
2012-11-15,30.7,31.6,30.55,31.34,11703500,0.0,1.0
2012-11-16,31.35,31.59,31.03,31.56,7807700,0.0,1.0
2012-11-19,31.97,32.1,31.78,32.02,7438600,0.0,1.0
2012-11-20,31.86,32.39,31.55,32.38,10715700,0.0,1.0
2012-11-21,32.5,32.84,32.22,32.84,11529800,0.0,1.0
2012-11-23,33.0,33.23,32.93,33.23,3269500,0.0,1.0
2012-11-26,32.89,33.17,32.74,33.13,8522400,0.0,1.0
2012-11-27,32.97,33.125,32.59,32.62,6754800,0.0,1.0
2012-11-28,32.37,32.95,32.225,32.94,7022400,0.0,1.0
2012-11-29,33.18,33.47,33.06,33.35,9253100,0.0,1.0
2012-11-30,33.29,33.58,33.14,33.19,7019300,0.0,1.0
2012-12-03,33.35,33.715,33.3,33.38,8905300,0.0,1.0
2012-12-04,33.35,33.55,33.21,33.32,6667800,0.0,1.0
2012-12-05,33.3,33.58,33.0775,33.32,17581200,0.0,1.0
2012-12-06,33.0,33.07,32.705,32.91,10586700,0.0,1.0
2012-12-07,33.1,33.31,32.735,32.89,8330000,0.0,1.0
2012-12-10,32.75,33.08,32.55,33.07,6827300,0.0,1.0
2012-12-11,33.28,33.31,32.92,33.21,7496700,0.0,1.0
2012-12-12,33.29,34.0,33.28,33.61,16761700,0.0,1.0
2012-12-13,33.605,34.33,32.71,32.83,23948500,0.0,1.0
2012-12-14,32.74,32.8,31.79,31.84,17308900,0.0,1.0
2012-12-17,31.99,32.12,31.84,32.03,16092600,0.0,1.0
2012-12-18,32.03,33.22,31.96,33.14,23844100,0.0,1.0
2012-12-19,33.27,33.46,33.04,33.22,14767900,0.0,1.0
2012-12-20,33.31,33.81,33.05,33.8,8825300,0.0,1.0
2012-12-21,33.39,33.56,32.93,33.07,15094600,0.0,1.0
2012-12-24,32.87,33.005,32.72,32.89,2875300,0.0,1.0
2012-12-26,32.92,33.08,32.62,32.79,4799300,0.0,1.0
2012-12-27,32.84,33.04,32.2,32.88,9337700,0.0,1.0
2012-12-28,32.62,32.69,32.24,32.27,4926100,0.0,1.0
2012-12-31,32.13,32.95,32.0,32.94,8603700,0.0,1.0
2013-01-02,34.04,35.17,33.93,35.15,19438200,0.0,1.0
2013-01-03,35.11,35.37,34.75,35.1,12745100,0.0,1.0
2013-01-04,35.43,36.2,35.3195,35.95,13825000,0.0,1.0
2013-01-07,36.16,36.16,35.51,35.79,8446600,0.0,1.0
2013-01-08,35.7,36.77,35.69,36.0,10810300,0.0,1.0
2013-01-09,35.91,36.39,35.9,36.05,10814300,0.0,1.0
2013-01-10,36.32,36.62,36.182,36.59,8144900,0.0,1.0
2013-01-11,36.45,36.57,36.12,36.34,5598400,0.0,1.0
2013-01-14,36.44,36.46,35.74,36.3,5456500,0.0,1.0
