date,open,high,low,close,volume,dividend,split
2012-11-01,61.63,61.8,61.15,61.2,459800,0.0,1.0
2012-11-02,61.49,62.0,61.14,61.48,535400,0.0,1.0
2012-11-05,61.23,61.59,60.79,61.34,223100,0.0,1.0
2012-11-06,61.32,62.23,61.32,61.93,342400,0.0,1.0
2012-11-07,61.6,61.9,61.07,61.6,651400,0.0,1.0
2012-11-08,61.38,62.16,61.16,61.85,884700,0.0,1.0
2012-11-09,61.75,62.3198,61.63,62.0,575700,0.0,1.0
2012-11-12,62.0,62.5,61.5,62.42,484300,0.0,1.0
2012-11-13,62.2,63.62,62.07,63.2,651400,0.0,1.0
2012-11-14,63.18,63.33,62.61,62.73,453900,0.0,1.0
2012-11-15,62.64,63.53,62.48,63.46,894200,0.0,1.0
2012-11-16,63.5,63.77,63.02,63.55,746800,0.0,1.0
2012-11-19,63.77,64.56,63.67,64.56,519500,0.0,1.0
2012-11-20,64.43,65.41,64.31,65.41,623800,0.0,1.0
2012-11-21,65.63,65.63,64.85,65.43,651300,0.0,1.0
2012-11-23,65.49,66.37,65.44,66.37,155500,0.0,1.0
2012-11-26,65.93,66.1,64.8601,65.11,644900,0.0,1.0
2012-11-27,65.25,65.45,64.69,64.8,840200,0.0,1.0
2012-11-28,64.74,64.75,64.3,64.56,1051400,0.0,1.0
2012-11-29,64.53,64.9491,64.18,64.6,1349300,0.0,1.0
2012-11-30,64.63,64.64,64.16,64.56,1436600,0.0,1.0
2012-12-03,64.9,64.99,64.48,64.67,596300,0.0,1.0
2012-12-04,64.56,64.72,64.4201,64.55,594700,0.0,1.0
2012-12-05,64.58,64.67,64.07,64.23,559900,0.0,1.0
2012-12-06,64.26,64.32,63.77,64.09,500400,0.0,1.0
2012-12-07,64.24,64.33,63.8,64.2,454300,0.0,1.0
2012-12-10,64.12,64.33,63.84,64.2,523700,0.0,1.0
2012-12-11,64.27,64.68,64.01,64.42,548100,0.0,1.0
2012-12-12,64.49,65.04,64.25,64.77,517800,0.0,1.0
2012-12-13,64.87,64.87,64.52,64.68,359200,0.0,1.0
2012-12-14,64.58,64.81,64.31,64.42,425400,0.0,1.0
2012-12-17,64.64,65.99,64.18,65.98,822000,0.0,1.0
2012-12-18,66.08,66.11,65.18,65.33,557800,0.0,1.0
2012-12-19,65.32,65.59,64.52,64.56,419700,0.0,1.0
2012-12-20,64.62,64.95,64.33,64.8,652000,0.0,1.0
2012-12-21,64.76,64.8,63.86,64.07,890900,0.0,1.0
2012-12-24,64.03,64.32,63.64,64.24,234500,0.0,1.0
2012-12-26,64.3,64.33,63.44,63.46,429700,0.0,1.0
2012-12-27,63.34,63.35,62.56,63.11,400200,0.34,1.0
2012-12-28,62.86,63.32,62.64,62.64,457800,0.0,1.0
2012-12-31,62.61,63.54,62.44,63.53,399100,0.0,1.0
2013-01-02,64.31,65.23,64.13,65.23,554300,0.0,1.0
2013-01-03,65.06,65.13,64.71,65.01,515500,0.0,1.0
2013-01-04,64.85,65.25,64.85,65.25,358500,0.0,1.0
2013-01-07,65.42,65.42,64.56,65.08,347000,0.0,1.0
2013-01-08,64.97,65.13,64.63,65.04,495000,0.0,1.0
2013-01-09,65.01,65.47,64.63,65.47,597800,0.0,1.0
2013-01-10,65.52,65.52,64.4,64.68,1051500,0.0,1.0
2013-01-11,64.85,65.07,64.39,65.07,588300,0.0,1.0
2013-01-14,65.08,65.58,64.95,65.3,504800,0.0,1.0
2013-01-15,64.99,65.51,64.99,65.37,490300,0.0,1.0
2013-01-16,65.18,65.53,65.13,65.44,380300,0.0,1.0
2013-01-17,65.63,66.5,65.56,66.29,477300,0.0,1.0
2013-01-18,66.35,66.65,65.97,66.65,646600,0.0,1.0
2013-01-22,66.53,66.95,66.07,66.5,490100,0.0,1.0
2013-01-23,66.58,66.645,66.07,66.59,636800,0.0,1.0
2013-01-24,62.96,63.1,60.82,62.37,3963800,0.0,1.0
2013-01-25,62.32,62.55,61.64,61.87,1538800,0.0,1.0
2013-01-28,61.7,61.7499,60.82,61.23,1280700,0.0,1.0
2013-01-29,61.0,61.965,60.88,61.87,1304900,0.0,1.0
2013-01-30,61.78,62.47,61.62,62.34,1249700,0.0,1.0
2013-01-31,62.37,62.61,62.1,62.35,1219200,0.0,1.0
2013-02-01,62.97,63.41,62.72,63.38,931700,0.0,1.0
2013-02-04,62.97,63.37,62.73,62.78,717000,0.0,1.0
2013-02-05,63.32,63.5099,62.98,63.38,551200,0.0,1.0
2013-02-06,63.13,63.14,62.54,62.75,841800,0.0,1.0
2013-02-07,63.38,63.79,63.08,63.37,1076500,0.0,1.0
2013-02-08,63.66,63.84,63.33,63.63,514300,0.0,1.0
2013-02-11,63.69,64.0,63.52,63.94,453900,0.0,1.0
2013-02-12,64.09,64.2,63.6701,64.09,517300,0.0,1.0
2013-02-13,64.5,64.5,63.84,64.09,362200,0.0,1.0
2013-02-14,64.25,64.92,64.23,64.39,1003400,0.0,1.0
2013-02-15,64.44,65.08,64.43,64.69,527100,0.0,1.0
2013-02-19,64.88,65.31,64.66,65.01,777900,0.0,1.0
2013-02-20,64.88,65.56,64.76,65.29,651900,0.0,1.0
2013-02-21,65.08,65.78,64.97,65.35,997000,0.0,1.0
2013-02-22,65.57,66.2,65.41,66.2,482000,0.0,1.0
2013-02-25,66.32,66.38,65.42,65.42,659200,0.0,1.0
2013-02-26,65.64,66.81,65.64,66.61,991000,0.0,1.0
2013-02-27,66.53,67.44,66.35,67.32,640800,0.0,1.0
2013-02-28,67.31,67.66,66.92,67.27,1342400,0.0,1.0
2013-03-01,67.15,68.48,66.59,68.39,937500,0.0,1.0
2013-03-04,68.25,69.26,68.11,69.22,650800,0.0,1.0
2013-03-05,69.37,69.9886,68.87,69.9,715600,0.0,1.0
2013-03-06,70.0,70.07,69.38,69.77,1128100,0.0,1.0
2013-03-07,69.96,70.44,69.84,70.15,750100,0.0,1.0
2013-03-08,70.44,70.44,69.72,70.2,536800,0.0,1.0
2013-03-11,70.0,70.4,69.84,70.15,669500,0.0,1.0
2013-03-12,69.96,70.429,69.7,70.35,420900,0.0,1.0
2013-03-13,70.35,70.69,70.16,70.34,867000,0.0,1.0
2013-03-14,70.51,71.11,70.395,71.01,556100,0.0,1.0
2013-03-15,70.71,70.97,70.5199,70.75,846500,0.0,1.0
2013-03-18,70.4,70.87,70.15,70.6,372100,0.0,1.0
2013-03-19,70.75,71.08,70.451,71.01,321300,0.0,1.0
2013-03-20,71.4,71.73,71.195,71.71,644000,0.0,1.0
2013-03-21,71.66,71.79,71.18,71.26,394800,0.0,1.0
2013-03-22,71.15,72.245,71.15,72.19,373300,0.0,1.0
2013-03-25,72.39,72.45,71.57,71.79,342200,0.0,1.0
2013-03-26,71.95,72.57,71.82,72.41,366800,0.0,1.0
