date,open,high,low,close,volume,dividend,split
2012-11-01,34.02,34.63,34.0,34.62,2493000,0.0,1.0
2012-11-02,34.75,34.94,34.26,34.28,4098200,0.0,1.0
2012-11-05,34.24,34.4,34.07,34.25,2568700,0.0,1.0
2012-11-06,34.23,34.94,34.09,34.92,2610500,0.0,1.0
2012-11-07,34.6,34.79,34.09,34.5,3082700,0.0,1.0
2012-11-08,34.39,34.65,34.14,34.14,1858700,0.0,1.0
2012-11-09,34.07,34.48,33.96,34.16,2361100,0.0,1.0
2012-11-12,34.23,34.28,33.99,34.17,1281400,0.0,1.0
2012-11-13,34.0,34.27,33.88,34.1,2710800,0.0,1.0
2012-11-14,34.17,34.35,34.002,34.06,3925600,0.0,1.0
2012-11-15,34.11,34.405,33.962,34.28,2990400,0.0,1.0
2012-11-16,33.99,34.54,33.99,34.54,5589300,0.0,1.0
2012-11-19,34.86,35.22,34.56,35.08,3870600,0.0,1.0
2012-11-20,35.01,35.42,34.94,35.41,2412400,0.0,1.0
2012-11-21,35.46,35.6,35.27,35.46,2278900,0.0,1.0
2012-11-23,35.59,35.78,35.44,35.78,854000,0.0,1.0
2012-11-26,35.52,35.71,35.43,35.53,2494200,0.0,1.0
2012-11-27,35.39,35.54,35.24,35.25,2330500,0.0,1.0
2012-11-28,35.12,35.27,34.895,35.12,3089200,0.0,1.0
2012-11-29,35.31,35.41,35.135,35.2,2225600,0.0,1.0
2012-11-30,35.2,35.39,35.1,35.22,5028900,0.0,1.0
2012-12-03,35.28,35.44,35.06,35.11,2000100,0.0,1.0
2012-12-04,34.95,35.165,34.72,34.91,2244500,0.0,1.0
2012-12-05,34.94,35.295,34.81,35.2,2130800,0.0,1.0
2012-12-06,35.22,35.24,35.01,35.11,1889400,0.0,1.0
2012-12-07,35.19,35.24,34.9,35.11,1523400,0.0,1.0
2012-12-10,35.03,35.03,34.74,34.88,1902500,0.0,1.0
2012-12-11,34.99,35.0,34.66,34.79,1892600,0.0,1.0
2012-12-12,34.89,35.07,34.67,34.74,2521500,0.0,1.0
2012-12-13,34.73,34.83,34.42,34.44,1692700,0.0,1.0
2012-12-14,34.44,34.45,34.2,34.21,1672900,0.0,1.0
2012-12-17,34.38,34.68,34.34,34.49,2729300,0.0,1.0
2012-12-18,34.58,34.65,34.3,34.6,3769200,0.0,1.0
