date,open,high,low,close,volume,dividend,split
2012-11-01,52.54,53.26,52.25,53.13,2230100,0.0,1.0
2012-11-02,53.79,53.79,52.11,52.19,2364000,0.0,1.0
2012-11-05,51.98,52.68,51.95,52.54,1573600,0.0,1.0
2012-11-06,52.89,54.07,52.672,53.64,2707100,0.0,1.0
2012-11-07,52.75,52.98,51.82,52.23,2215700,0.0,1.0
2012-11-08,52.12,52.33,51.25,51.53,1821700,0.0,1.0
2012-11-09,51.24,52.257,51.21,51.57,2022100,0.0,1.0
2012-11-12,51.65,51.82,51.0,51.13,2061900,0.0,1.0
2012-11-13,51.02,51.32,50.56,50.75,2898400,0.0,1.0
2012-11-14,48.33,49.62,48.29,49.1,10351100,0.0,1.0
2012-11-15,48.97,49.56,48.85,49.12,3276900,0.0,1.0
2012-11-16,49.15,49.66,48.52,49.52,3212400,0.0,1.0
2012-11-19,50.18,51.36,49.98,51.2,3132500,0.0,1.0
2012-11-20,51.0,53.18,50.64,52.35,4852100,0.0,1.0
2012-11-21,52.34,52.37,51.38,51.71,2254300,0.0,1.0
2012-11-23,52.18,52.815,52.0,52.65,1594300,0.0,1.0
2012-11-26,52.8,53.34,52.4,53.28,2337000,0.0,1.0
2012-11-27,53.18,53.99,53.1,53.2,2247700,0.0,1.0
2012-11-28,52.85,53.19,52.13,53.17,1901200,0.0,1.0
2012-11-29,53.6,54.74,53.49,54.1,3177500,0.0,1.0
2012-11-30,54.1,54.46,53.71,54.06,2738800,0.0,1.0
2012-12-03,54.31,54.43,52.645,52.84,2817700,0.0,1.0
2012-12-04,53.05,53.68,52.65,52.98,1820300,0.0,1.0
2012-12-05,53.1,53.45,52.93,53.08,2139900,0.0,1.0
2012-12-06,53.12,54.175,53.0,53.72,2775300,0.0,1.0
2012-12-07,54.0,54.0349,53.4,53.6,2216500,0.0,1.0
2012-12-10,53.45,54.55,53.28,54.39,2432200,0.0,1.0
2012-12-11,54.6,56.0,54.46,55.8,4336500,0.0,1.0
2012-12-12,56.31,57.109,56.12,56.44,4628300,0.0,1.0
2012-12-13,56.45,56.53,55.12,55.63,2612500,0.0,1.0
2012-12-14,55.56,56.18,55.36,55.56,1420400,0.0,1.0
2012-12-17,55.85,56.04,55.51,56.03,1631300,0.0,1.0
2012-12-18,56.08,56.255,55.58,55.96,1876500,0.0,1.0
2012-12-19,55.96,56.1,55.28,55.45,2199900,0.0,1.0
2012-12-20,55.29,55.84,54.68,55.83,2381500,0.0,1.0
2012-12-21,55.2,55.7,54.85,55.63,3500900,0.0,1.0
2012-12-24,55.57,55.84,54.96,55.61,979800,0.0,1.0
2012-12-26,55.89,56.5,55.83,56.02,1501200,0.0,1.0
2012-12-27,56.1,56.44,55.36,56.15,1899300,0.0,1.0
2012-12-28,55.65,55.75,55.09,55.21,1666800,0.0,1.0
2012-12-31,55.05,56.8,54.8,56.63,4026100,0.0,1.0
2013-01-02,58.06,59.19,57.14,57.51,5909800,0.0,1.0
2013-01-03,57.61,58.055,56.32,56.77,4555900,0.0,1.0
2013-01-04,57.5,59.149,57.2,58.62,8467100,0.0,1.0
