date,open,high,low,close,volume,dividend,split
2012-11-01,45.75,46.493,45.68,45.94,12166000,0.0,1.0
2012-11-02,46.25,46.55,45.99,46.0,11050500,0.0,1.0
2012-11-05,45.82,46.0,45.31,45.67,8981200,0.0,1.0
2012-11-06,45.69,46.32,45.68,45.92,8735300,0.0,1.0
2012-11-07,45.55,45.67,44.18,44.46,24067900,0.0,1.0
2012-11-08,44.51,44.77,43.84,43.8432,16329900,0.0,1.0
2012-11-09,43.69,44.32,43.62,44.05,13995200,0.0,1.0
2012-11-12,44.47,44.52,43.875,44.02,7329800,0.0,1.0
2012-11-13,43.77,44.46,43.67,43.68,9599100,0.0,1.0
2012-11-14,43.7,43.9,42.91,43.05,14206900,0.0,1.0
2012-11-15,42.96,43.14,42.55,42.8,12283200,0.0,1.0
2012-11-16,42.84,43.23,42.36,43.07,16636500,0.0,1.0
2012-11-19,43.32,43.4,43.09,43.34,9189700,0.0,1.0
2012-11-20,43.42,43.67,43.24,43.56,10905100,0.0,1.0
2012-11-21,43.8,43.93,43.63,43.89,7288000,0.0,1.0
2012-11-23,43.99,44.29,43.92,44.28,4477800,0.0,1.0
2012-11-26,44.0,44.33,43.92,44.2,9381100,0.0,1.0
2012-11-27,44.03,44.19,43.85,43.88,8869200,0.0,1.0
2012-11-28,43.75,44.61,43.54,44.6,10614800,0.0,1.0
2012-11-29,44.95,44.95,44.48,44.71,9559500,0.0,1.0
2012-11-30,44.54,44.71,44.12,44.3,15017200,0.0,1.0
2012-12-03,44.47,44.83,44.422,44.4414,11620100,0.0,1.0
2012-12-04,44.38,44.78,44.38,44.4,9996900,0.0,1.0
2012-12-05,44.33,44.76,44.23,44.39,11647000,0.0,1.0
2012-12-06,44.45,44.59,44.3801,44.51,8817000,0.0,1.0
2012-12-07,44.53,44.64,44.16,44.63,7869500,0.0,1.0
2012-12-10,44.46,44.825,44.42,44.48,9347500,0.0,1.0
2012-12-11,44.66,45.28,44.5,45.19,13583500,0.0,1.0
2012-12-12,45.21,45.49,45.02,45.26,11250000,0.0,1.0
2012-12-13,44.94,44.94,43.9,43.95,13744400,0.43,1.0
2012-12-14,43.9,43.96,43.41,43.54,13186000,0.0,1.0
2012-12-17,43.63,43.84,43.51,43.63,13280200,0.0,1.0
2012-12-18,43.59,44.4,43.36,44.24,14081000,0.0,1.0
2012-12-19,44.15,44.46,43.61,43.66,11693100,0.0,1.0
2012-12-20,42.45,42.78,42.0,42.159,33648000,0.0,1.0
2012-12-21,42.42,42.46,41.45,41.52,28709200,0.0,1.0
2012-12-24,41.43,41.75,41.31,41.42,6482700,0.0,1.0
2012-12-26,41.45,41.58,41.22,41.34,7129500,0.0,1.0
2012-12-27,41.21,41.41,40.8,41.2,11401600,0.0,1.0
2012-12-28,41.0,41.17,40.63,40.64,11319400,0.0,1.0
2012-12-31,40.28,40.97,40.02,40.94,14317400,0.0,1.0
2013-01-02,41.86,41.87,40.94,41.34,15956900,0.0,1.0
2013-01-03,41.89,42.43,41.11,42.33,23543400,0.0,1.0
2013-01-04,42.46,42.5,41.82,41.97,15428500,0.0,1.0
2013-01-07,42.04,42.19,41.85,42.12,11503600,0.0,1.0
2013-01-08,42.25,42.69,42.18,42.18,14750900,0.0,1.0
2013-01-09,42.39,42.65,42.2,42.59,10073100,0.0,1.0
2013-01-10,42.87,43.15,42.75,42.78,12970500,0.0,1.0
2013-01-11,42.71,43.33,42.71,43.23,12140100,0.0,1.0
2013-01-14,43.31,43.565,43.05,43.34,11117100,0.0,1.0
2013-01-15,43.38,43.54,42.81,42.87,11876600,0.0,1.0
2013-01-16,42.89,43.035,42.5,42.54,11909500,0.0,1.0
2013-01-17,42.81,42.85,42.5375,42.75,15510600,0.0,1.0
2013-01-18,42.88,42.98,42.65,42.98,16434100,0.0,1.0
2013-01-22,42.77,43.22,42.61,43.2,12232600,0.0,1.0
2013-01-23,43.0,43.08,42.55,42.82,14174300,0.0,1.0
2013-01-24,42.95,43.21,42.93,43.0,12496300,0.0,1.0
2013-01-25,43.12,43.46,42.72,43.46,13167300,0.0,1.0
2013-01-28,43.34,43.5,42.93,42.93,11850000,0.0,1.0
2013-01-29,43.19,43.74,42.99,43.66,15720300,0.0,1.0
2013-01-30,43.66,43.77,43.46,43.5,12672600,0.0,1.0
2013-01-31,43.43,43.64,43.25,43.25,14539400,0.0,1.0
2013-02-01,42.24,42.75,41.51,41.83,37688000,0.0,1.0
2013-02-04,41.39,41.66,40.83,40.85,29409700,0.0,1.0
2013-02-05,41.05,41.48,40.93,41.43,21307300,0.0,1.0
2013-02-06,41.35,41.45,40.98,41.09,17383800,0.0,1.0
2013-02-07,41.1,41.3,40.88,41.0,16174300,0.0,1.0
2013-02-08,41.06,41.18,40.95,41.18,14661800,0.0,1.0
2013-02-11,41.19,41.5,41.09,41.38,11412000,0.0,1.0
2013-02-12,41.37,41.57,41.13,41.45,9996000,0.0,1.0
2013-02-13,41.42,41.49,41.01,41.15,15803300,0.0,1.0
2013-02-14,41.04,41.22,40.825,41.19,16332800,0.0,1.0
2013-02-15,41.46,41.5,41.235,41.42,15579100,0.0,1.0
2013-02-19,41.6,42.22,41.58,42.22,13306100,0.0,1.0
2013-02-20,42.36,42.75,42.22,42.66,16800900,0.0,1.0
