date,open,high,low,close,volume,dividend,split
2012-11-01,30.06,30.4,30.05,30.37,4293400,0.0,1.0
2012-11-02,30.25,30.59,29.82,29.95,4909200,0.0,1.0
2012-11-05,29.51,30.6,29.23,30.51,6560500,0.0,1.0
2012-11-06,30.66,31.81,30.51,31.21,11304500,0.0,1.0
2012-11-07,31.12,31.39,29.92,29.96,12033100,0.0,1.0
2012-11-08,30.1,30.2,29.7,29.86,9158300,0.0,1.0
2012-11-09,29.89,30.64,29.71,30.44,9850300,0.0,1.0
2012-11-12,30.46,30.58,30.2,30.23,5584200,0.0,1.0
2012-11-13,29.95,30.49,29.83,30.16,6680600,0.0,1.0
2012-11-14,30.16,30.41,29.98,30.05,8373200,0.0,1.0
2012-11-15,30.02,30.73,29.96,30.53,10562400,0.0,1.0
2012-11-16,30.55,30.92,30.18,30.86,10504500,0.0,1.0
2012-11-19,31.1,31.56,31.09,31.13,11473000,0.17,1.0
2012-11-20,31.13,31.52,30.82,31.5,7900400,0.0,1.0
2012-11-21,31.61,31.67,31.38,31.5,4021000,0.0,1.0
2012-11-23,31.66,31.93,31.64,31.93,2364700,0.0,1.0
2012-11-26,31.49,31.69,30.96,31.0,8155900,0.0,1.0
2012-11-27,30.9,31.15,30.72,31.04,9302800,0.0,1.0
2012-11-28,30.75,31.13,30.4,31.07,5777900,0.0,1.0
2012-11-29,31.25,31.45,30.59,30.69,6336800,0.0,1.0
2012-11-30,30.77,30.98,30.62,30.85,4655500,0.0,1.0
2012-12-03,31.04,31.19,30.72,30.8,6106700,0.0,1.0
2012-12-04,30.61,30.77,30.03,30.04,7191800,0.0,1.0
2012-12-05,30.02,30.77,30.01,30.47,5525400,0.0,1.0
2012-12-06,30.41,30.73,30.2,30.72,4378500,0.0,1.0
2012-12-07,30.9,30.97,30.55,30.92,3649500,0.0,1.0
2012-12-10,30.92,30.96,29.73,30.36,12293600,0.0,1.0
2012-12-11,30.47,30.51,30.13,30.22,6737000,0.0,1.0
2012-12-12,30.39,30.79,30.13,30.51,7072800,0.0,1.0
2012-12-13,30.48,30.49,30.11,30.19,4412900,0.0,1.0
2012-12-14,30.6,30.9,30.38,30.82,4604700,0.0,1.0
2012-12-17,30.86,30.99,30.56,30.7,5525500,0.0,1.0
2012-12-18,30.68,31.34,30.6,31.28,6184500,0.0,1.0
2012-12-19,31.2,31.56,31.1,31.23,3692600,0.0,1.0
2012-12-20,31.23,31.47,31.12,31.46,3620000,0.0,1.0
2012-12-21,31.05,31.27,30.79,31.05,5595600,0.0,1.0
2012-12-24,30.92,31.0,30.57,30.69,1720400,0.0,1.0
2012-12-26,30.86,31.0,30.4,30.47,2847800,0.0,1.0
2012-12-27,30.45,30.51,29.88,30.32,3537900,0.0,1.0
2012-12-28,30.05,30.08,29.75,29.81,3434100,0.0,1.0
2012-12-31,29.69,30.69,29.6,30.66,5021900,0.0,1.0
2013-01-02,31.43,31.65,31.03,31.65,5297800,0.0,1.0
2013-01-03,31.56,31.93,31.37,31.59,3656200,0.0,1.0
2013-01-04,31.52,32.01,31.52,32.01,3450400,0.0,1.0
2013-01-07,31.81,32.1,31.64,31.85,4781000,0.0,1.0
2013-01-08,31.77,32.0,31.5,31.94,3447900,0.0,1.0
2013-01-09,32.0,32.07,31.48,31.65,3178100,0.0,1.0
2013-01-10,31.87,32.39,31.85,32.28,4423900,0.0,1.0
2013-01-11,32.29,32.46,31.89,32.15,3337200,0.0,1.0
2013-01-14,32.1,32.26,31.81,32.06,3304000,0.0,1.0
2013-01-15,31.82,32.06,31.6,31.93,4484800,0.0,1.0
2013-01-16,31.85,32.38,31.57,32.32,5637400,0.0,1.0
2013-01-17,32.52,33.36,32.42,33.16,7178500,0.0,1.0
2013-01-18,32.94,33.33,32.7,33.08,5106900,0.0,1.0
2013-01-22,33.1,33.55,32.8,33.54,5088700,0.0,1.0
2013-01-23,33.46,33.77,33.33,33.66,4656600,0.0,1.0
2013-01-24,33.73,34.25,33.66,33.77,5171600,0.0,1.0
2013-01-25,33.89,34.05,33.59,33.78,4061200,0.0,1.0
2013-01-28,33.96,33.96,33.19,33.52,3983800,0.0,1.0
