date,open,high,low,close,volume,dividend,split
2012-11-01,17.41,17.61,17.32,17.61,25089900,0.0,1.0
2012-11-02,17.76,17.84,17.52,17.78,19752700,0.0,1.0
2012-11-05,17.65,17.77,17.41,17.75,16147600,0.0,1.0
2012-11-06,17.84,18.24,17.83,18.19,15345900,0.0,1.0
2012-11-07,17.58,17.64,16.63,16.63,42700600,0.0,1.0
2012-11-08,16.77,17.01,16.505,16.52,21125000,0.0,1.0
2012-11-09,16.42,16.98,16.3,16.61,20657200,0.0,1.0
2012-11-12,16.7,16.9,16.59,16.77,10731100,0.0,1.0
2012-11-13,16.5,16.91,16.443,16.52,14431200,0.0,1.0
2012-11-14,16.65,16.71,15.99,16.09,20059100,0.0,1.0
2012-11-15,16.41,16.42,16.1,16.26,16252800,0.0,1.0
2012-11-16,16.3,16.36,15.95,16.18,16940700,0.0,1.0
2012-11-19,16.49,16.8,16.43,16.52,14758800,0.0,1.0
2012-11-20,16.43,16.62,16.26,16.35,15426700,0.0,1.0
2012-11-21,16.46,16.51,16.15,16.25,12734400,0.0,1.0
2012-11-23,16.41,16.56,16.35,16.43,8600700,0.0,1.0
2012-11-26,16.32,16.63,16.23,16.61,13217700,0.0,1.0
2012-11-27,16.53,16.84,16.47,16.63,19041400,0.0,1.0
2012-11-28,16.41,16.94,16.26,16.88,23800600,0.0,1.0
2012-11-29,16.97,17.1,16.65,16.86,19084300,0.0,1.0
2012-11-30,16.87,17.05,16.74,16.87,17198700,0.0,1.0
2012-12-03,17.01,17.01,16.425,16.47,15532000,0.0,1.0
2012-12-04,16.46,16.65,16.35,16.61,14287900,0.0,1.0
2012-12-05,16.7,17.12,16.7,16.98,15736300,0.0,1.0
2012-12-06,16.95,17.05,16.69,16.74,16042600,0.0,1.0
2012-12-07,16.97,17.08,16.87,16.97,11488400,0.0,1.0
2012-12-10,16.91,17.04,16.8,17.01,9740400,0.0,1.0
2012-12-11,17.26,17.89,17.22,17.75,36051800,0.0,1.0
2012-12-12,17.79,17.94,17.61,17.7,27771300,0.0,1.0
2012-12-13,17.66,17.93,17.58,17.8,19220900,0.0,1.0
2012-12-14,17.72,18.09,17.7,18.05,16296500,0.0,1.0
2012-12-17,18.08,18.55,18.07,18.53,16686000,0.0,1.0
2012-12-18,18.62,19.22,18.62,19.12,25465100,0.0,1.0
2012-12-19,19.27,19.45,18.84,19.09,21889300,0.0,1.0
2012-12-20,19.05,19.4005,19.0,19.27,19134000,0.0,1.0
2012-12-21,18.74,19.08,18.57,18.92,21669400,0.0,1.0
2012-12-24,18.9,18.98,18.82,18.95,3205700,0.0,1.0
2012-12-26,19.02,19.11,18.835,18.88,9052900,0.0,1.0
2012-12-27,18.94,19.07,18.5,18.77,14656100,0.0,1.0
2012-12-28,18.56,18.77,18.56,18.62,11258500,0.0,1.0
2012-12-31,18.6,19.21,18.52,19.12,19954000,0.0,1.0
2013-01-02,20.1601,20.17,19.51,19.62,29812900,0.0,1.0
2013-01-03,19.46,19.61,19.32,19.58,29859500,0.0,1.0
2013-01-04,19.68,20.25,19.58,20.19,31983900,0.0,1.0
2013-01-07,20.02,20.13,19.67,19.8,21445100,0.0,1.0
2013-01-08,19.74,19.79,19.59,19.65,22206200,0.0,1.0
2013-01-09,19.7,19.94,19.41,19.62,26993800,0.0,1.0
2013-01-10,19.86,20.43,19.82,20.34,39869800,0.0,1.0
2013-01-11,20.16,20.42,20.09,20.17,20880000,0.0,1.0
2013-01-14,20.24,20.24,19.75,20.07,14590200,0.0,1.0
2013-01-15,19.93,20.54,19.85,20.43,25277000,0.0,1.0
2013-01-16,20.73,20.86,20.36,20.54,30630600,0.0,1.0
2013-01-17,20.55,20.75,20.4,20.75,26063600,0.0,1.0
2013-01-18,21.98,22.46,21.786,22.38,65729400,0.0,1.0
2013-01-22,22.13,22.98,22.03,22.98,38089200,0.0,1.0
2013-01-23,22.86,22.94,22.47,22.67,24266100,0.0,1.0
2013-01-24,22.57,23.03,22.51,22.6,20294700,0.0,1.0
2013-01-25,22.7499,22.85,22.58,22.7,14059600,0.0,1.0
2013-01-28,22.79,22.79,22.31,22.31,13892000,0.0,1.0
2013-01-29,22.28,22.67,22.05,22.59,14548300,0.0,1.0
2013-01-30,22.36,22.995,22.36,22.98,23160400,0.0,1.0
2013-01-31,22.8001,23.02,22.61,22.85,19819100,0.0,1.0
2013-02-01,23.04,23.74,22.97,23.51,31744400,0.05,1.0
2013-02-04,22.84,23.14,22.82,22.88,26405700,0.0,1.0
2013-02-05,23.17,23.49,23.01,23.4,23873200,0.0,1.0
2013-02-06,23.24,23.5,23.17,23.39,15851000,0.0,1.0
2013-02-07,23.36,23.58,22.67,23.1,20157900,0.0,1.0
2013-02-08,23.08,23.41,23.04,23.32,16025800,0.0,1.0
2013-02-11,23.21,23.47,23.13,23.28,10258200,0.0,1.0
2013-02-12,23.3,23.65,23.2,23.63,15347000,0.0,1.0
2013-02-13,23.67,23.87,23.39,23.63,15783400,0.0,1.0
2013-02-14,23.53,23.88,23.4,23.83,16316300,0.0,1.0
2013-02-15,23.88,23.9401,23.44,23.87,17504700,0.0,1.0
2013-02-19,23.99,24.33,23.81,24.32,17457300,0.0,1.0
2013-02-20,24.38,24.47,23.35,23.42,17432700,0.0,1.0
2013-02-21,23.22,23.22,22.555,22.83,22324700,0.0,1.0
2013-02-22,23.21,23.59,23.06,23.58,17827100,0.0,1.0
2013-02-25,23.83,23.85,22.02,22.03,30074300,0.0,1.0
2013-02-26,22.35,22.5,21.78,22.44,30923000,0.0,1.0
2013-02-27,22.44,22.985,22.3466,22.9,18051600,0.0,1.0
2013-02-28,22.91,22.98,22.5,22.55,14890300,0.0,1.0
2013-03-01,22.39,22.755,21.84,22.43,22333000,0.0,1.0
2013-03-04,22.36,22.67,22.12,22.6,17138300,0.0,1.0
2013-03-05,22.8,23.0,22.675,22.74,15014100,0.0,1.0
2013-03-06,22.99,22.99,22.41,22.91,18583200,0.0,1.0
2013-03-07,23.01,23.37,22.89,23.22,17820000,0.0,1.0
2013-03-08,23.29,23.33,22.67,23.03,19394000,0.0,1.0
2013-03-11,23.03,23.28,22.65,23.1,14219200,0.0,1.0
2013-03-12,23.05,23.11,22.6,22.67,13077000,0.0,1.0
2013-03-13,22.71,22.86,22.53,22.78,12025800,0.0,1.0
2013-03-14,22.95,23.07,22.67,22.8,21068400,0.0,1.0
2013-03-15,22.83,23.66,22.77,23.59,24186700,0.0,1.0
2013-03-18,23.03,23.19,22.57,22.99,23417000,0.0,1.0
2013-03-19,23.07,23.19,22.0,22.39,32781600,0.0,1.0
2013-03-20,22.59,22.9178,22.33,22.74,17813500,0.0,1.0
2013-03-21,22.57,22.68,22.05,22.06,17557200,0.0,1.0
2013-03-22,22.2,22.41,21.93,22.18,16558900,0.0,1.0
2013-03-25,22.37,22.49,21.78,21.97,23992000,0.0,1.0
2013-03-26,22.16,22.3,21.96,22.22,14889200,0.0,1.0
2013-03-27,22.02,22.35,21.92,22.29,13926000,0.0,1.0
2013-03-28,22.35,22.4,21.89,21.98,18376400,0.0,1.0
2013-04-01,21.99,22.13,21.52,21.66,14219100,0.0,1.0
2013-04-02,21.43,21.905,21.4,21.7,21701700,0.0,1.0
2013-04-03,21.68,21.71,20.95,21.11,25406800,0.0,1.0
2013-04-04,21.12,21.39,21.015,21.33,17321000,0.0,1.0
2013-04-05,20.91,21.59,20.791,21.56,18163200,0.0,1.0
2013-04-08,21.48,21.76,21.19,21.74,14263500,0.0,1.0
2013-04-09,21.77,22.1,21.74,21.74,13196200,0.0,1.0
2013-04-10,21.89,22.53,21.87,22.22,17467300,0.0,1.0
2013-04-11,22.28,22.63,22.24,22.27,14692800,0.0,1.0
2013-04-12,22.09,22.23,21.54,21.82,25150400,0.0,1.0
2013-04-15,21.75,22.25,21.41,21.48,22458100,0.0,1.0
2013-04-16,21.81,21.86,21.19,21.85,21839800,0.0,1.0
2013-04-17,21.54,21.83,20.8627,21.47,45475800,0.0,1.0
2013-04-18,21.35,21.47,20.31,20.31,47193400,0.0,1.0
2013-04-19,20.37,20.63,20.16,20.58,24644100,0.0,1.0
2013-04-22,20.61,20.88,20.53,20.71,16156600,0.0,1.0
2013-04-23,20.97,21.73,20.91,21.61,23437700,0.0,1.0
2013-04-24,21.66,21.78,21.4,21.45,17955700,0.0,1.0
2013-04-25,21.56,21.81,21.39,21.43,18496600,0.0,1.0
2013-04-26,21.39,21.53,21.245,21.4,17348300,0.05,1.0
2013-04-29,21.56,22.21,21.53,22.21,19028600,0.0,1.0
2013-04-30,22.22,22.43,22.06,22.15,14015800,0.0,1.0
2013-05-01,22.11,22.11,21.68,21.85,13070800,0.0,1.0
2013-05-02,21.91,22.34,21.54,22.29,16779000,0.0,1.0
2013-05-03,22.88,23.15,22.67,22.76,20261100,0.0,1.0
2013-05-06,22.8,23.5,22.78,23.28,17400300,0.0,1.0
2013-05-07,23.35,23.39,23.01,23.27,12100700,0.0,1.0
2013-05-08,23.19,23.75,23.06,23.67,15207900,0.0,1.0
2013-05-09,23.66,23.74,23.3,23.41,12965300,0.0,1.0
2013-05-10,23.4,23.94,23.26,23.94,15032800,0.0,1.0
2013-05-13,23.8,23.98,23.58,23.68,14510500,0.0,1.0
2013-05-14,23.53,24.5,23.53,24.27,19210900,0.0,1.0
2013-05-15,24.24,24.895,24.15,24.86,19670500,0.0,1.0
2013-05-16,24.66,24.87,24.42,24.58,18863800,0.0,1.0
2013-05-17,24.78,25.24,24.69,25.19,14505800,0.0,1.0
2013-05-20,25.11,25.42,24.965,25.07,11410100,0.0,1.0
