date,open,high,low,close,volume,dividend,split
2012-11-01,28.84,29.56,28.82,29.515,72047900,0.0,1.0
2012-11-02,29.59,29.77,29.33,29.4998,57131600,0.0,1.0
2012-11-05,29.62,29.74,29.33,29.63,38070800,0.0,1.0
2012-11-06,29.82,30.2,29.61,29.86,43401500,0.0,1.0
2012-11-07,29.53,29.825,29.05,29.08,57871800,0.0,1.0
2012-11-08,29.12,29.37,28.8,28.81,49841800,0.0,1.0
2012-11-09,28.88,29.19,28.805,28.83,43291200,0.0,1.0
2012-11-12,28.94,29.01,28.21,28.22,61112300,0.0,1.0
2012-11-13,27.02,27.3,26.75,27.0895,131689200,0.23,1.0
2012-11-14,27.24,27.29,26.8,26.84,76086100,0.0,1.0
2012-11-15,26.88,26.97,26.63,26.6607,50955600,0.0,1.0
2012-11-16,26.67,26.7,26.3449,26.5209,64083300,0.0,1.0
2012-11-19,26.8,26.8,26.47,26.7277,57179300,0.0,1.0
2012-11-20,26.76,26.8,26.46,26.71,47070400,0.0,1.0
2012-11-21,26.71,27.1666,26.67,26.95,66360300,0.0,1.0
2012-11-23,27.23,27.77,27.2,27.7,57845700,0.0,1.0
2012-11-26,27.54,27.58,27.17,27.385,85198700,0.0,1.0
2012-11-27,27.3599,27.38,27.0424,27.08,45018600,0.0,1.0
2012-11-28,27.01,27.39,26.77,27.36,53018400,0.0,1.0
2012-11-29,27.11,27.36,26.86,26.95,69551400,0.0,1.0
2012-11-30,27.05,27.13,26.49,26.615,83690200,0.0,1.0
2012-12-03,26.78,26.82,26.4,26.4294,53173800,0.0,1.0
2012-12-04,26.5,26.63,26.34,26.37,49777500,0.0,1.0
2012-12-05,26.38,26.93,26.26,26.67,68283800,0.0,1.0
2012-12-06,26.81,26.98,26.61,26.725,39182300,0.0,1.0
2012-12-07,26.82,26.82,26.37,26.455,46162100,0.0,1.0
2012-12-10,26.56,26.97,26.52,26.94,47031100,0.0,1.0
2012-12-11,27.05,27.49,27.05,27.32,52282800,0.0,1.0
2012-12-12,27.53,27.62,27.08,27.24,43966300,0.0,1.0
2012-12-13,27.32,27.52,26.95,27.11,45080100,0.0,1.0
2012-12-14,27.11,27.13,26.7,26.81,42077500,0.0,1.0
2012-12-17,26.79,27.215,26.68,27.095,42046100,0.0,1.0
2012-12-18,27.25,27.63,27.14,27.56,50486900,0.0,1.0
2012-12-19,27.69,27.73,27.25,27.31,53519900,0.0,1.0
2012-12-20,27.36,27.68,27.15,27.68,52607300,0.0,1.0
2012-12-21,27.45,27.49,27.0,27.45,98776500,0.0,1.0
2012-12-24,27.2,27.25,27.0,27.06,20842400,0.0,1.0
2012-12-26,27.03,27.2,26.7,26.86,31631100,0.0,1.0
2012-12-27,26.89,27.09,26.57,26.96,39394000,0.0,1.0
2012-12-28,26.71,26.9,26.55,26.55,28239900,0.0,1.0
2012-12-31,26.59,26.77,26.37,26.7097,42749500,0.0,1.0
2013-01-02,27.25,27.73,27.1499,27.62,52899300,0.0,1.0
2013-01-03,27.63,27.65,27.16,27.25,48294400,0.0,1.0
2013-01-04,27.27,27.34,26.73,26.74,52521100,0.0,1.0
